CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Ageing and dependency,Latest available,,,,,,,,,AGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Median age population,,,,,,,,AGEPOP_MEDIAN,17.528,34.308,27.551,,16.095,,30.949,30.845,34.646,40.244,37.483,43.182,30.927,32.424,30.3,25.602,38.54,39.579,41.547,23.453,18.638,,26.747,,41.51,24.247,31.271,,30.555,43.455,17.036,17.622,23.95,18.477,40.554,,,20.015,16.024,34.408,36.963,30.05,19.652,,,31.376,18.403,42.834,41.22,35.933,41.518,33.862,,41.606,23.598,,26.11,26.645,24.728,26.655,20.454,18.597,41.66,18.62,27.56,42.533,41.236,21.408,16.792,37.466,46.218,20.575,,43.594,27.222,21.225,18.489,19.399,24.664,22.977,,23.389,43.18,41.264,35.969,26.62,28.382,29.538,19.306,36.853,30.257,45.876,29.117,46.512,22.505,29.337,18.925,22.427,30.963,25.126,21.867,42.882,28.514,20.995,18.633,27.499,,43.134,39.25,,18.716,17.189,28.505,26.366,16.17,41.537,,19.774,35.169,27.448,,,27.334,37.557,,27.96,17.136,27.887,21.214,,23.114,42.69,,37.99,25.176,14.823,17.908,,39.127,29.002,22.46,,,28.726,21.208,24.864,27.488,24.203,39.592,43.968,30.693,40.561,,42.138,38.705,19.23,,31.228,,21.167,,18.473,28.324,17.984,40.584,32.634,18.527,40.015,39.089,43.104,19.885,16.479,25.72,43.151,32.302,19.438,,20.513,41.036,42.309,,22.465,37.992,,18.534,18.74,,21.337,33.85,31.162,29.771,26.39,,,15.859,40.349,33.279,40.045,,38.011,34.856,26.315,22.16,27.435,30.445,19.326,16.884,,24.472,29.406,,,,,36.291,,,,,,18.604,,,,,,,,,,,,,,,,,,,,,,,,39.447,30.116,,,,,46.136,19.003,33.112,,,,,,,31.518,34.298,,,,,,,,,,
,,"Population, 65+",,metadata/POPY65_NB.html,,,,,,POPY65_NB,679171.013,334110.002,1795864.034,,500523.991,,6361,4448635.048,306119.994,11283,3687,1616.767,528607.912,27595,27926.001,7290068.787,30086.999,1302847.796,2102.587,12734,290076,,34843.999,506822.009,592620.015,71543.002,16333.78,,16662.999,1383.737,403133.989,240193.005,780936.999,700087.021,5956.3,27177,,174239.002,303253.999,1909.741,138782.3,3741.593,20524,146824.997,,328383.99,623114.002,767646.963,1466983.025,137.499,1968.316,2285246.098,,1062.723,33331,,636216,991014.026,4557173.945,444487.01,20643.001,135099.005,249.102,3105874.017,45519,1142,12489.93,85009.001,43773.999,643817.143,17395,890987.979,,2321.874,7515,679869.997,357520.999,48308.999,26215,458384.995,,348625.017,971308.102,1791.367,46.039,72780.36,14426.02,4006777.962,1060889.96,628.643,966.25,13430.89,213873.572,34640.21,220418.35,1100965.839,1140674.95,4055,70792.997,232970.704,249632.999,377.302,379022.782,86140.997,127701.005,289997.993,,537.396,79.078,42974.999,628547.983,500991.996,1509209.066,16857,418352.016,77.171,,119695.996,108184.553,8535.903,4082,,106342.998,79266,,1620028.071,821312.981,2726485.041,79261.998,,1392596.06,3122.947,,701,277532.014,446967.986,4601991.026,,836.524,91276.996,7814172.938,,,268915.009,204725.002,358387.998,1876424.006,3703384.105,6129.897,2159.418,20483,6863.5,399895.477,3396.708,20496.74,266756,,15812,7475,9625,,6481,824069.017,414606.991,1013445.397,6731.77,156440.998,517516.003,780.508,380.64,18403,286951.001,3163.06,8775.765,1669338.44,1190898.022,35134.001,42213.999,1963,1581.48,882917.96,256191.006,6287812.914,253544,,182018.002,,6134,117143.997,763086.666,6498.679,209639.998,,,882646.016,6977780.338,32892.999,11854.48,1515293.008,49223.57,476200.993,1276520.266,9844,1791459.945,5815278.421,671841.985,370126.998,,,,,,,,496304.107,,,,16047.065,,,221823541,,,,,,,,,,,,,,,,97773.84,97773.84,,,,,,,12693,,,,,,,25635.197,,,,,,212891.1,19477.999,,,,,,,207772,624369.6,,,
,,"Population, 65+, % of total",,metadata/POPY65_XPOP.html,,,,,,POPY65_XPOP,,,,,,,,,,,15.135,18.861,,,,,,,18.359,,,,,,,,8.077,,,19.218,,,,,16.321,,,,,10.609,9.85,7.675,,,,,,,,14.726,18.684,,,18.889,,,,,,,,,19.062,,,20.696,19.226,,,,21.367,,,20.35,,,,,,,,,,18.36,13.894,5.611,5.58,,,13.61,11.438,21.719,,27.45,,,,,,,,18.672,,,,,,17.198,15.651,,,,,,,18.463,,,,6.981,,,,,,,,,,,,18.327,,15.059,,,,,16.953,,,,,,,,,,16.136,20.884,,13.51,,16.031,13.967,,,,,,,,,,,,,,14.407,18.373,,,5.875,18.939,,,,,19.816,19.331,,,,,,,,,,,8.272,,,,,,,18.245,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.164,19.164,,,,,,,,,,,,,,,,,,,,16.649,,,,,,,,16.375,8.432,,,
,,"Population, 80+",,metadata/POPY80_NB.html,,,,,,POPY80_NB,,,,,,,,,,,947,432.709,,,,,,,619.809,,,,,,,,3372.954,,,314.426,,,,,1547.4,,,,,400.567,24285.63,710.09,,,,,,,,31.27,428.23,,,238.144,,,,,,,,,67.188,,,287,3933.748,,,,4826.5,,,651.534,,,,,,,,,,411.665,12.308,11023.96,2055.267,,,140.641,250.7,4124.355,,10530.03,,,,,,,,97.156,,,,,,140.774,21.651,,,,,,,16.932,,,,1875.061,,,,,,,,,,,,756.746,,168.5,,,,,206.644,,,,,,,,,,1513.88,619.049,,1505.54,,814.055,4673.769,,,,,,,,,,,,,,168.474,102.569,,,514.456,2845.7,,,,,503,464.051,,,,,,,,,,,1260.529,,,,,,,3290.894,,12262.69,,,,,,,,,,,,,,,,,,,,,,38856846,,,,,,,,,,,,,,,,27460.35,27460.35,,,,,,,,,,,,,,,,,,,,57414.51,,,,,,,,56107.26,129905.2,,,
,,"Population, 80+, % of total",,metadata/POPY80_XPOP.html,,,,,,POPY80_XPOP,,,,,,,,,,,3.887,5.048,,,,,,,5.412,,,,,,,,1.668,,,4.367,,,,,4.24,,,,,2.225,1.724,1.457,,,,,,,,3.349,4.065,,,4.233,,,,,,,,,5.141,,,5.201,6.055,,,,5.929,,,5.71,,,,,,,,,,4.219,3.714,0.85,0.795,,,3.045,2.968,6.67,,8.344,,,,,,,,4.808,,,,,,4.505,4.285,,,,,,,4.051,,,,1.533,,,,,,,,,,,,4.441,,3.62,,,,,4.188,,,,,,,,,,3.985,5.987,,2.964,,3.842,3.185,,,,,,,,,,,,,,3.11,4.951,,,0.956,6.141,,,,,5.078,5.672,,,,,,,,,,,1.605,,,,,,,5.065,,3.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.382,5.382,,,,,,,,,,,,,,,,,,,,4.49,,,,,,,,4.422,1.754,,,
,,"Population, <15",,metadata/POPY15_NB.html,,,,,,POPY15_NB,14141433.72,674458.008,10551186.64,,9906780.263,,22586,10031394.76,604058.999,20423,4612,1226.02,2068362.271,80424.999,265735.001,47296020.94,53790.998,1429468.833,1980.664,111476.002,4316880.872,,211673.997,3698111.028,626695.006,676321.995,45066.65,,106170.997,1062.508,7516387.283,4353104.911,4642630.059,9347862.044,6017.1,149148.004,,1813053.061,6039543.059,3746.479,256936,12864.2,302539.006,1837507.044,,1150495.983,8230452.294,639372.131,1868211.083,155.799,1611.024,5443162.098,,966.153,289854.005,,3137455.99,4692200.016,25224087.55,1928375.963,286802.999,2642217.034,211.747,39710742.26,252608.998,910,11737.25,628344.979,822145.995,794853.643,10580.5,9789712.168,,1619.904,28442,6153388.726,4861698.881,691275.984,292491.986,3596817.018,,2834478.13,842273.923,1409.511,67.929,363940.3,71236.94,18098796.63,13197092.65,953.364,2372.16,8586.522,753550.877,15573.71,2156068.113,4276170.911,18293665.38,32617.999,809503.998,1686248.657,2366253.011,318.684,957435.428,753960.005,1804311.052,1812831.991,,447.976,85.931,68109.001,9523177.923,7228656.856,7793215.089,98235.997,7001603.748,57.622,,1526689.066,260518.304,33374.74,37029.001,,756481.011,118081.004,,9055744.034,11438345.04,13346238.15,826643.985,,9774123.018,2833.931,,916.5,1999211.986,8577117.121,74661440.77,,873.511,801801.989,61488843.06,,,1089298.012,2750066.961,2191826.037,8749558.723,33396072.37,5807.887,1445.183,272354.991,6899.128,588018.198,3211.187,24938.14,4991081.213,,43966.001,28113.001,71550.002,,78254.003,8397565.241,5976663.103,1188427.707,19441.422,2495421.083,875227.141,821.352,308.521,221891.01,4827319.955,15678.94,6933.971,5112838.162,15427806.22,148765.003,468333.997,1733,1175.212,7919151.905,2863333.994,12332689.99,355619.998,,2782849.963,,39168,277246.992,2502848.501,18406.27,1481964.99,,,17643237.45,6464603.087,1326703.031,11427.59,21431761.75,62242.5,748537.989,8604750.757,92411.003,8637742.216,20304683.03,9711882.328,6577368.867,,,,,,,,725918.935,,,,21706.256,,,712288320,,,,,,,,,,,,,,,,79480.07,79480.07,,,,,,,43379.999,,,,,,,58844.103,,,,,,229467.3,62737.002,,,,,,,228832.2,1917661,,,
,,"Population, <15, % total",,metadata/POPY15_XPOP.html,,,,,,POPY15_XPOP,,,,,,,,,,,18.932,14.302,,,,,,,17.295,,,,,,,,22.286,,,14.757,,,,,16.488,,,,,20.812,18.236,26.389,,,,,,,,16.686,15.293,,,17.172,,,,,,,,,16.204,,,16.491,18.068,,,,12.996,,,14.197,,,,,,,,,,14.446,20.5,28.059,27.552,,,20.64,28.079,13.885,,12.341,,,,,,,,15.771,,,,,,14.336,17.007,,,,,,,13.786,,,,27.295,,,,,,,,,,,,16.631,,19.689,,,,,17.702,,,,,,,,,,15.289,13.977,,13.581,,15.155,16.993,,,,,,,,,,,,,,15.161,14.892,,,29.124,14.964,,,,,17.494,14.365,,,,,,,,,,,23.43,,,,,,,17.588,,19.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.579,15.579,,,,,,,,,,,,,,,,,,,,17.946,,,,,,,,18.035,25.897,,,
,,"Dependency ratio, % of working age population",,metadata/DEP_X1564.html,,,,,,DEP_X1564,98.778,46.834,47.244,,99.943,,48.146,54.422,44.207,44.86,51.669,49.618,38.758,40.926,28.673,54.527,42.077,40.589,55.41,62.151,84.628,,49.771,66.837,46.635,59.541,43.602,,42.444,51.458,92.728,87.387,57.446,86.236,48.831,55.435,,78.304,103.889,45.815,39.056,51.664,81.904,84.342,,44.459,80.588,49.197,42.027,45.798,51.462,45.368,,56.399,60.243,,58.03,57.938,58.463,60.462,71.691,82.816,54.477,87.538,51.703,59.204,59.474,77.604,93.582,46.815,52.353,72.728,,52.781,51.717,82.832,83.748,80.044,66.862,66.277,,66.974,33.956,48.823,52.425,50.761,49.548,40.696,77.826,52.092,65.335,55.291,55.45,66.089,60.294,47.084,81.85,57.199,37.14,52.396,64.911,52.54,43.273,69.347,85.547,51.899,,46.057,48.496,24.924,83.607,94.531,46.658,51.531,99.816,47.599,,76.585,39.957,52.152,66.006,,44.621,46.573,,48.87,94.715,43.766,66.931,,68.475,53.748,,53.251,61.285,110.957,88.493,,53.033,36.89,63.085,,,55.572,70.148,61.642,54.881,62.24,45.826,53.518,16.661,37.157,38.416,45.319,44.843,84.804,,49.365,48.232,75.364,,81.979,48.366,87.137,43.844,42.482,79.711,35.532,41.98,49.846,77.689,100.658,53.844,51.295,50.068,80.765,52.447,70.866,59.517,50.819,64.735,63.801,38.66,40.708,,80.61,,75.969,41.821,43.479,46.418,48.591,,,103.961,41.81,17.328,55.841,92.394,52.484,56.426,49.666,70.517,53.413,41.688,77.095,97.473,,,,,,,,49.992,,,,55.911,,,,,,,,,,,,,,,,,,,53.24,53.24,,,,,,,52.533,,,,,,,48.652,,,,,,52.894,42.91,,,,,,,52.464,52.273,,,
,,"Old-age dependency ratio, % of working age population",,metadata/ODEP_X1564.html,,,,,,ODEP_X1564,4.527,15.515,6.872,,4.807,,10.58,16.72,14.868,15.964,22.955,28.219,7.889,10.455,2.727,7.282,15.093,19.354,28.532,6.372,5.329,,7.035,8.056,22.666,5.696,11.599,,5.758,29.108,4.72,4.57,8.272,6.008,24.291,8.544,,6.865,4.967,15.469,13.697,11.641,5.203,6.241,,9.872,5.672,26.841,18.486,21.47,28.299,13.415,,29.542,6.213,,9.784,10.103,8.946,11.326,4.814,4.028,29.447,6.35,7.894,32.949,30.661,9.248,4.731,20.95,32.553,6.067,,31.09,10.809,8.241,5.737,5.228,5.5,7.492,,7.335,18.186,27.324,21.178,8.459,8.344,7.376,5.791,20.7,18.91,33.728,12.259,45.592,5.592,9.64,4.804,6.325,2.987,6.36,6.194,28.483,12.272,7.111,5.654,7.157,,25.118,23.241,9.642,5.177,6.127,7.57,7.547,5.628,27.251,,5.568,11.724,10.622,6.554,,5.5,18.707,,7.416,6.345,7.424,5.856,,8.54,28.178,,23.078,7.471,5.496,5.138,,25.943,3.77,7.113,,,11.003,4.86,8.663,9.691,6.213,23.531,32.061,1.165,18.531,15.55,23.296,20.23,4.303,,13.058,10.131,8.936,,6.27,4.322,5.653,20.18,10.926,4.702,13.203,20.455,27.531,5.95,5.648,9.039,28.654,12.324,5.788,10.02,5.859,31.61,29.154,6.493,5.24,13.055,16.943,,4.949,,10.286,12.422,10.159,12.112,6.022,,,4.953,21.703,0.419,28.433,6.101,23.177,21.94,6.416,6.789,9.175,9.281,4.988,5.193,,,,,,,,20.3,,,,23.765,,,,,,,,,,,,,,,,,,,29.367,29.367,,,,,,,11.892,,,,,,,14.763,,,,,,25.456,10.166,,,,,,,24.966,12.839,,,
