CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Broadband,Latest available,,,,,,,,,BBAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Fixed broadband subscribers, million",,metadata/FBBAND_NB.html,,,,,,FBBAND_NB,1500,242870,2262005,30694,153921,5000,12000,6779000,286319,19000,7374000,2510500,1899456,81018,253041,3866463,78269,2902775,4265026,10000,73263,30000,27606,180951,634987,36845,24921686,7000,34261,1594108,7210,3639,83504,16000,13347882,15188,27383,605,11337,2904580,260145000,5913230,2000,500,,558656,109707,986215,8157,260640,3038394,,1000,2430002,21000,15159,686107,1488191,3826410,353001,3799,200,384787,650590,12734,1712000,27683000,11082,3486,629953,31867148,75092,13000,3616705,19757,459847,1000,1051,53687,0,,197379,2335662,2814523,128023,17120000,2785000,8633861,3117,1360309,2263051,15563279,163961,38743212,320205,2188400,131117,117,49000,211524,36408,519154,1150000,2215,7000,61000,16000,833298,203100,169793,16000,558,2743340,23175,3499,163205,1000,9638,197300,16277627,3277,18191,208047,112394,6000,1147533,20670,189544,41212,950,302705,7135000,,1554206,116308,11000,14492,,2120360,233234,1793199,1224,274500,316168,15000,220858,1999459,3460000,7042470,3372571,236372,20555683,534393,4267119,26678775,21125,16376,28426,16960,2126,11641,1000,3590479,100611,1272491,13420,,1486200,1336541,583540,1420,82000,2809043,14163442,670016,,52000,,3679768,4198150,700000,6000,6229000,362587,1028,66072,,2010,278522,487923,10499692,3000,,1000,130200,4978813,1226360,25250011,106000,106327000,900933,1059396,4297,2580080,7600000,395000,22559,,,,5656330,10000,,,662401,,,,9000,,150,232866111,,,,,,,,,,,,,,,,,,,2000,18000,,,,3000,,,,,,,63000,,,,,,386824736,51908,,,,,1337,,327585258,1000,,,
,,"Fixed broadband subscribers, per 100 inhabitants",,metadata/FBBAND_HAB.html,,,,,,FBBAND_HAB,0.005,7.597,5.567,37.917,0.675,34.214,13.069,16.081,9.578,18.289,30.116,28.727,19.76,20.905,18.61,2.41,27.226,31.349,37.841,2.877,0.673,45.747,3.555,1.641,16.624,1.792,12.237,24.306,7.995,22.412,0.04,0.034,0.533,0.068,36.785,2.988,45.663,0.013,0.083,15.891,18.561,12.13,0.26,0.011,,11.169,0.515,23.176,0.073,22.378,28.762,,0.001,42.416,2.334,20.857,6.441,9.172,4.517,5.493,0.475,0.003,29.241,0.658,1.426,31.158,41.406,0.633,0.177,14.635,38.635,0.278,44.316,33.539,18.517,2.829,0.008,0.059,6.648,0,,2.343,31.936,28.676,38.095,1.335,1.089,10.863,0.01,29.045,26.487,25.672,5.828,30.555,4.164,13.049,0.28,0.111,1.367,3.706,0.519,26.478,22.756,0.104,0.155,0.966,42.711,27.786,34.801,29.053,0.066,0.003,8.95,6.474,0.022,37.846,1.887,0.236,15.739,13.313,3.137,47.471,7.117,18.083,115.92,3.38,0.076,0.35,1.723,9.476,1.064,41.897,,32.928,1.859,0.057,0.008,,40.496,5.61,0.953,5.749,6.035,7.928,0.197,3.14,6.417,3.399,18.327,32.653,10.056,40.446,15.549,19.774,18.775,0.17,29.572,15.371,15.506,1.1,36.605,0.493,12.009,0.672,16.75,14.314,,26.45,24.609,28.264,0.243,0.737,5.251,30.48,3.1,,9.481,,37.083,50.145,3.144,0.07,9.242,17.19,0.088,0.921,,1.889,20.682,4.343,13.419,0.056,,10.085,0.324,11.809,12.805,38.507,0.203,32.824,26.266,3.566,1.628,8.245,8.138,1.547,0.145,,,,24.26,17.46,,,18,,,,8.419,,0.001,,,,,,,,,,,,,,,,,,26.875,,65.402,36.367,,,,1.791,,,,,,,23.941,,,,,,30.115,18.357,,,,,32.42,,26.326,7.603,,,
,,"Wireless broadband subscribers, million",,metadata/WBBAND_NB.html,,,,,,WBBAND_NB,,,,,,,,8571692,,,31544000,7585400,,,,,,,7480397,,,,,,,,73936568,,,3064587,,,,,24973809,,,,,12914417,233400000,22804101,,,,1329028,,2321691,,384776,8534191,,,7058216,,,,,22544814,,,,1607838,,,8070000,53361000,,,,63094865,,,5709261,,,,,,,,,,4397417,353903,61700000,77990000,,,4697555,5886054,53076750,,193237268,,,,,,,,1555566,,,,,,409989,482000,,,,3974900,,,245823,,,,74512528,,,,,,,,,,,,15017000,,4916374.73,,,,,5038159,,,,,,,,,,30499198,6477160,,55713362,,5090000,75587313,,,,,,,,,,,,,,4300524,1294534,,,13200000,41471985,,,,,12140358,8221700,,,,,,,,,,,51736914,,,,,,,58706343,,409173000,,,,,,,,,,,,,,,,,,,,,,535813881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1274839047,,,,,,,,786260631,,,,
,,"Wireless broadband subscribers, per 100 inhabitants",,metadata/WBBAND_HAB.html,,,,,,WBBAND_HAB,,,,,,,,20.846,,,128.83,86.798,,,,,,,66.369,,,,,,,,37.274,,,41.425,,,,,68.824,,,,,70.656,17.243,46.778,,,,27.724,,52.918,,34.076,80.786,,,123.202,,,,,26.852,,,,122.185,,,146.871,79.812,,,,76.495,,,52.943,,,,,,,,,,44.804,105.309,4.903,31.863,,,100.302,68.891,87.553,,152.398,,,,,,,,79.337,,,,,,12.452,82.591,,,,13.556,,,58.639,,,,60.939,,,,,,,,,,,,88.18,,104.16,,,,,96.222,,,,,,,,,,79.369,62.711,,109.622,,23.799,52.968,,,,,,,,,,,,,,79.185,62.701,,,26.016,89.248,,,,,122.344,98.205,,,,,,,,,,,66.12,,,,,,,89.53,,126.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.647,,,,,,,,,,,,,,,,,,,,99.25,,,,,,,,63.188,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Fixed broadband subscribers, million",,,,,,,,,1500,242870,2262005,30694,153921,5000,12000,6779000,286319,19000,6763000,2455900,1899456,81018,253041,3866463,78269,2902775,4121049,10000,73263,30000,27606,180951,634987,36845,24921686,7000,34261,1594108,7210,3639,83504,16000,13030239,15188,27383,,11337,2719439,260145000,5490534,2000,,,558656,109707,986215,8157,260640,2970026,,1000,2409385,21000,15159,686107,1488191,3826410,353001,3799,,384129,650590,12734,1729000,26868000,11082,3486,629953,30707429,75092,,3439034,19757,459847,1000,1051,53687,0,,197379,2335662,2718794,124436,17120000,2785000,8633861,,1309467,2173000,14994560,163961,37608383,320205,2188400,131117,117,49000,211524,36408,509533,1150000,2215,7000,61000,16000,833298,200200,169793,16000,558,2743340,23175,3499,163205,1000,9638,197300,14758153,3277,18191,208047,112394,6000,1147533,20670,189544,41212,,302705,6991000,,1473146,116308,11000,14492,,2047134,233234,1793199,1224,274500,316168,15000,220858,1999459,3460000,7161909,3142188,236372,20024419,534393,4267119,26678775,21125,16376,28426,16960,2126,11641,1000,3590479,100611,1272491,13420,,1486200,1273812,563984,1420,82000,2809043,13542906,670016,,52000,,3497350,4125130,700000,6000,6229000,362587,1028,66072,,2010,278522,487923,9504594,3000,,1000,130200,4978813,1226360,24662337,106000,102195000,900933,1059396,,2580080,7600000,395000,22559,,,,5656330,10000,,,662401,,,,9000,,,,,,,,,,,,,,,,,,,,,,2000,18000,,,,,,,,,,,63000,,,,,,372198065,51908,,,,,1337,,,,,,
,,"Fixed broadband subscribers, per 100 inhabitants",,,,,,,,,0.005,7.597,5.567,37.917,0.675,34.214,13.069,16.081,9.578,18.289,28.102,28.488,19.76,20.905,18.61,2.41,27.226,31.349,36.756,2.877,0.673,45.747,3.555,1.641,16.624,1.792,12.237,24.306,7.995,22.412,0.04,0.034,0.533,0.068,36.323,2.988,45.663,,0.083,15.071,18.561,11.652,0.26,,,11.169,0.515,23.176,0.073,22.378,28.175,,0.001,42.404,2.334,20.857,6.441,9.172,4.517,5.493,0.475,,29.249,0.658,1.426,31.556,40.401,0.633,0.177,14.635,37.637,0.278,,31.673,18.517,2.829,0.008,0.059,6.648,0,,2.343,31.936,27.632,37.662,1.335,1.089,10.863,,28.208,25.94,24.692,5.828,29.663,4.164,13.049,0.28,0.111,1.367,3.706,0.519,25.763,22.756,0.104,0.155,0.966,42.711,27.786,35.203,29.053,0.066,0.003,8.95,6.474,0.022,37.846,1.887,0.236,15.739,12.196,3.137,47.471,7.117,18.083,115.92,3.38,0.076,0.35,1.723,,1.064,41.289,,31.879,1.859,0.057,0.008,,39.444,5.61,0.953,5.749,6.035,7.928,0.197,3.14,6.417,3.399,18.624,30.336,10.056,39.561,15.549,19.774,18.775,0.17,29.572,15.371,15.506,1.1,36.605,0.493,12.009,0.672,16.75,14.314,,26.45,23.492,27.333,0.243,0.737,5.251,29.171,3.1,,9.481,,35.69,49.742,3.144,0.07,9.242,17.19,0.088,0.921,,1.889,20.682,4.343,12.272,0.056,,10.085,0.324,11.809,12.805,37.886,0.203,31.773,26.266,3.566,,8.245,8.138,1.547,0.145,,,,24.26,17.46,,,18,,,,8.419,,,,,,,,,,,,,,,,,,,,,,65.402,36.367,,,,,,,,,,,23.941,,,,,,29.16,18.357,,,,,32.42,,,,,,
,,"Wireless broadband subscribers, million",,,,,,,,,,,,,,,,,,,26997000,5743200,,,,,,,6879060,,,,,,,,,,,,,,,,19397755,,,,,9373198,,17587431,,,,,,,,,7334497,,,6351455,,,,,,,,,1372561,,,7580000,45303000,,,,53882509,,,4788753,,,,,,,,,,3394138,302300,,,,,4006687,4100000,45807243,,165755630,,,,,,,,1472858,,,,,,,477000,,,,,,,,,,,54551502,,,,,,,,,,,,12669000,,5247254,,,,,4773849,,,,,,,,,,22107847,4775082,,53712423,,,,,,,,,,,,,,,,,4125469,1025585,,,,37347937,,,,,11455000,8500000,,,,,,,,,,,35298635,,,,,,,54629637,,355121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1084186206,,,,,,,,,,,,
,,"Wireless broadband subscribers, per 100 inhabitants",,,,,,,,,,,,,,,,,,,114.207,67.22,,,,,,,61.657,,,,,,,,,,,,,,,,54.579,,,,,52.552,,36.41,,,,,,,,,69.688,,,112.555,,,,,,,,,104.314,,,138.757,68.466,,,,65.425,,,43.826,,,,,,,,,,34.401,92.336,,,,,86.823,49.928,75.347,,130.462,,,,,,,,73.839,,,,,,,85.438,,,,,,,,,,,45.569,,,,,,,,,,,,75.125,,117.696,,,,,92.913,,,,,,,,,,57.447,45.909,,106.522,,,,,,,,,,,,,,,,,76.135,49.742,,,,80.38,,,,,118.14,103.803,,,,,,,,,,,46.07,,,,,,,84.571,,111.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.487,,,,,,,,,,,,
