CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>BERD (Business enterprise expenditure on R&D),Latest available,,,metadata/BE.html,,,,,,BE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, million NC",,metadata/BE_NC.html,,,,,,BE_NC,,0,,,,,,5441.56,,,18849.4,7515.886,6.1,,2.6,,,2949860,7247.08,,,0.082,,39.2,20.602,118.9,,,0.049,620.673,,,11726.06,,17724,,,,,208375.827,1088135,627015.1,,,,56801,,1461.802,,13.3,48147.505,,,38358,,,,190.5,1090.837,,,,139.45,61.581,,4047.3,31668.184,,,,60952,0.264,,561.59,,0.3,,,,,,,7437.5,343983.7,31364,371880.3,2076298,2667000,1280.88,2106.8,42245.9,12105.675,,13685745,,18150.93,2156,,,71.748,2420,37.7,,,,,,104.068,342.4,0.51,,,7823.54,,253.8,32.794,,,,29116.64,,,2630.5,4.173,,1678.46,9.42,,53.885,,,7574,,1602,,,,,32445.2,11.63,,,,0.531,,471.28,103.58,5686.12,8411.4,1078.574,841.201,51136420.5,93.6,1529.866,541533.1,,,,1.3,,,,,116.708,11103.9,,,5215.664,259.189,650.579,,,11782.85,6920.014,4339.61,65,,,95576,15660.128,,,59443,428.8,,,,,1.5,97.873,10308.738,,,,67722,7575.3,5570.258,20931.595,,359652,205.775,127414.3,,,6927201,,,,,,397163.348,,,,296.7,,,,,,,,,,,,,,,,,,,,,,,,,,,20.644,,,,0.497,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, million USD PPPs",,metadata/BE_PPP.html,,,,,,BE_PPP,,0,,,,,,1008.879,,,13027.611,9434.118,19.255,,12.781,,,571.013,9083.397,,,0.199,,21.829,29.849,32.363,,,0.109,917.924,,,8.684,,13964.867,,,,,550.156,314522.6,522.187,,,,150.379,,413.943,,20.16,3761.824,,,5267.517,,,,340.77,448.343,,,,262.192,9.248,,4474.946,39594.644,,,,78799.422,0.421,,911.65,,0.082,,,,,,,1322.852,2632.688,223.487,21909.13,547.051,816.078,3.417,2581.751,11117.4,16645.653,,133437.203,,204.2,68.235,,,3.464,1.578,76.177,,,,,,234.33,388.301,0.091,,,5526.761,,1.495,54.785,,,,3465.062,,,4.112,11.592,,444.163,0.531,,9.291,,,9396.493,,1109.776,,,,,3350.953,77.744,,,,0.896,,0.212,77.346,316.747,4768.98,1847.703,332.984,57409.982,13.748,940.887,23991.23,,,,0.756,,,,,0.504,274.969,,,6158.726,534.317,1112.579,,,2276.031,10367.84,98.677,94.816,,,10712.418,12557.267,,,4877.414,22.397,,,,,0.481,153.095,8303.137,,,,84.503,1301.823,2624.416,30404.693,,359652,11.046,141.639,,,919.477,,,,,,26115.423,,,,362.027,,,,,,,,,,,,,,,,,,,,,230057.46,,196583.81,245807.668,,,,,,,,,,,,,,,,,,,,862061.667,,,,,,,,,,,,
,,"BERD, million constant USD PPPs",,metadata/BE_PPPK.html,,,,,,BE_PPPK,,0,,,,,,1090.385,,,12136.91,8166.727,17.513,,11.888,,,5238901,8116.025,,,,,25.981,26.916,30.284,,,0.114,889.431,,,7.822,,13441.795,,,,,496.472,289397.822,481.339,,,,139.74,,367.295,,19.753,3311.448,,,4789.639,,,,317.117,440.198,,,,235.371,8.71,,4020.291,35481.038,,,,69807.899,0.421,,818.194,,0.078,,,,,,,1230.591,2382.864,197.897,20027.52,517.928,832.319,3.252,2330.336,9481.312,14824.917,,121417.265,,193.699,68.236,,,3.137,1.827,67.995,,,,,,213.199,332.067,0.083,,,5085.445,,1.555,52.886,,,,3184.921,,,3.784,10.585,,444.155,0.488,,8.642,,,8548.164,,988.514,,,,,3117.061,70.498,,,,0.849,,0.207,86.239,299.881,4351.885,1659.741,320.385,57152.856,12.617,844.228,21743.259,,,,0.913,,,,,0.504,246.932,,,5747.601,501.807,981.511,,,2162.461,9471.999,93.424,111.182,,,9886.909,10821.312,,,4456.114,20.619,,,,,0.487,140.554,7846.631,,,,90.16,1193.883,2628.751,27680.47,,330954.213,10.274,128.852,,,870.528,,,,,,24032.267,,,,356.11,,,,,,,,,,,,,,,,,,,,,205957.621,,,220127.72,,,,,,,,,,,,,,,,,,,,789739.769,,,,,,,,,,,,
,,"BERD, % of total gross domestic R&D expenditures (GERD)",,metadata/BE_XG.html,,,,,,BE_XG,,0,,,,,,20.057,,,56.315,70.82,5.045,,20.473,,,65.619,71.95,,,0.632,,25,32.966,17.682,,,2.338,73.258,,,13.508,,52.272,,,,,34.306,76.792,32.378,,,,36.466,,51.225,,16.542,54.304,,,63.956,,,,42.305,6.212,,,,46.059,1.175,,66.667,65.103,,,,68.654,0.152,,32.961,,0.17,,,,,,,44.463,73.44,64.659,43.583,25.68,10.612,1.638,70.953,85.364,55.297,,78.491,,29.431,8.657,,,14.002,36.89,24.754,,,,,,26.891,51.023,0.104,,,51.955,,2.975,48.51,,,,29.966,,,7.346,30.534,,29.938,0.472,,11.423,,,55.569,,49.813,,,,,53.887,17.574,,,,1.877,,0.79,29.172,35.729,46.573,47.117,25.845,77.527,20.754,44,59.205,,,,86.667,,,,,0.337,31.734,,,61.17,27.952,76.264,,,45.918,52.537,44.877,33.707,,,69.689,70.992,,,70.204,17.274,,,,,2.183,18.5,50.005,,,,34.77,61.966,47.318,65.726,,71.517,4.606,34.893,,,51.732,,,,,,77.808,,,,66.031,,,,,,,,,,,,,,,,,,,,,64.593,,61.744,63.604,,,24.474,,,,4.608,,,,,,,,,,,,,69.077,,,,,,,,,,,,
,,"BERD, % of GDP",,metadata/BE_XGDP.html,,,,,,BE_XGDP,,0,,,,,,0.118,,,1.186,2.211,0.011,,0.021,,,0.339,1.767,,,0.006,,0.069,0.072,0.096,,,0,0.701,,,0.016,,0.874,,,,,0.131,1.586,0.078,,,,0.21,,0.438,,0.075,1.057,,,1.892,,,,0.187,0.045,,,,0.689,0.007,,1.932,1.443,,,,2.01,0.011,,0.32,,0,,,,,,,0.329,1.012,1.417,0.273,0.022,0.071,0.001,1.091,3.63,0.736,,2.58,,0.05,0.068,,,0.017,0.014,0.155,,,,,,0.28,0.654,0.017,,,0.674,,0.007,0.373,,,,0.16,,,0.011,0.116,,0.214,0.002,,0.038,,,1.108,,0.636,,,,,1.041,0.043,,,,0.001,,0,0.045,0.049,0.467,0.601,0.124,3.281,0.077,0.215,0.67,,,,0.104,,,,,0.002,0.275,,,1.344,0.329,1.687,,,0.332,0.643,0.045,0.101,,,2.286,2.426,,,0.44,0.077,,,,,0.001,0.121,0.441,,,,0.165,0.383,0.41,1.118,,1.994,0.015,0.075,,,0.194,,,,,,2.37,,,,0.288,,,,,,,,,,,,,,,,,,,,,1.354,,1.195,1.245,,,0.211,,,,,,,,,,,,,,,,,1.644,,,,,,,,,,,,
,,"BERD, % of Value Added in industry (adjusted for industrial structure)",,,,,,,,BE_XVA_ADJ,,,,,,,,,,,2.39,3.87,,,,,,,3.37,,,,,,,,,,,,,,,,2.07,,,,,,,,,,,,,,,,1.24,,,3.13,,,,,,,,,1.15,,,3.06,3.42,,,,2.17,,,0.95,,,,,,,,,,1.24,2.96,,,,,1.44,,1.74,,2.9,,,,,,,,0.46,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,2.37,,,,,,,2.7,,,,,,,,,,0.72,1.6,,2.27,,,,,,,,,,,,,,,,,0.5,1.98,,,,1.36,,,,,3.12,,,,,,,,,,,,1.12,,,,,,,2.34,,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, per capita population (USD PPPs)",,,,,,,,BE_XPOP,,,,,,,,,,,563.381,1104.924,,,,,,,798.947,,,,,,,,,,,126.576,,,,,382.665,,,,,30.795,223.995,10.833,,,,,,,,21.804,357.192,,,938.714,,,,,,,,,199.917,,,814.664,612.305,,,,970.412,,,79.988,,,,,,,,,,268.649,681.25,17.085,2.189,,,560.045,1336.763,270.06,,1054.029,,,,,,,,37.501,,,,,,74.546,775.252,,,,,,,131.457,,,,28.636,,,,27.391,,,,,,,,553.347,,241.644,,,,,683.268,,,,,,,,,,125.446,178.042,,1134.202,,44.262,154.363,,,,,,,,,,13.281,,,1129.743,98.64,538.385,,,43.285,223.43,4.954,2.686,,,1093.215,1544.805,,,40.816,,,,,,0.364,22.157,106.81,,,,2.528,38.515,0.079,471.159,,1119.146,3.245,,,,2.337,,,,,,1069.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, compound annual growth rate at constant prices, %",,metadata/BE_GRO.html,,,,,,BE_GRO,,,,,,,,16.203,,,0.793,1.894,,,,,,,2.163,,,,,,,,,,,,,,,,-1.441,,,,,7.486,8.632,,,,,,,,,,1.468,,,3.258,,,,,,,,,10.565,,,-9.741,0.62,,,,4.874,,,12.519,,,,,,,,,,7.172,19.906,,,,,5.44,2.808,-2.579,,-1.278,,,,,,,,-35.033,,,,,,,0.471,,,,,,,,,,,1.876,,,,,,,,,,,,1.077,,12.405,,,,,9.56,,,,,,,,,,10.836,1.987,,0.354,,41.025,-0.889,,,,,,,,,,,,,16.481,5.299,-6.423,,,5.172,1.49,,,,,12.812,3.52,,,,,,,,,,,9.16,,,,,,,4.425,,4.43,,,,,,,,,,,3.097,,,,,,,,,,,,,,,,,,,,,,,,,2.871,,,3.197,,,,,,,,,,,,,,,,,,,,2.714,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
