CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Funding from abroad,Latest available,,,,,,,,,BE_AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, million NC",,metadata/BE_AF_NC.html,,,,,,BE_AF_NC,,,,,,,,11.8,,,300.8,1405.083,,,,,,423953,768.444,,,,,,0.821,1.96,,,,292.058,,,161.196,,1756,,,,,3930.994,9457.973,,,,,,,237.792,,2.045,15347.105,,,2113,,,,,,,,,11.3,,,674.6,2881.139,,,,2980.229,0.144,,49.84,,,,,,,,,,54437.2,11250,,,,,453.2,21698.1,1518.711,,75367,,2.5,843,,,,,19,,,,,,26.527,22.9,,,,29.07,,,3.034,,,,151.151,,,,0.012,,,,,,,,1350,,144,,,,,3929.8,,,,,,,,,,848.2,28.474,49.831,384009.96,31.3,253.097,12115.3,,,,,,,,,,3544.2,,,538.3,40.227,51.793,,,1226.966,527.4,70.21,,,,5915,1975,,,185,13.2,,,,,,,124.217,,,,33100,2069.8,,4051.9,,22345,,3036.6,,,11900,,,,,,222.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, million USD PPPs",,metadata/BE_AF_PPP.html,,,,,,BE_AF_PPP,,,,,,,,7.333,,,207.895,1764.378,,,,,,82.066,954.069,,,,,,1.19,0.531,,,,439.097,,,0.119,,1420.302,,,,,10.467,2733.803,,,,,,,67.336,,3.025,1200.058,,,290.403,,,,,,,,,21.263,,,746.483,3582.39,,,,3855.988,0.356,,80.973,,,,,,,,,,416.973,80.228,,,,,555.859,5640.737,2067.836,,735.175,,0.028,26.68,,,,,38.392,,,,,,59.731,25.391,,,,20.536,,,5.069,,,,17.993,,,,0.034,,,,,,,,1676.198,,99.61,,,,,422.448,,,,,,,,,,481.29,49.334,19.725,432.089,4.597,155.658,536.737,,,,,,,,,,87.766,,,635.632,82.996,88.645,,,237.007,796.341,1.596,,,,688.598,1458.564,,,15.18,0.689,,,,,,,108.262,,,,41.302,355.697,,5890.444,,22345,,3.376,,,1.58,,,,,,14.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,17195.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, million constant USD PPPs",,metadata/BE_AF_PPPK.html,,,,,,BE_AF_PPPK,,,,,,,,7.465,,,193.682,1583.359,,,,,,,873.766,,,,,,0.2,,,,,427.754,,,,,1329.363,,,,,9.374,2515.42,,,,,,,59.748,,2.999,1055.53,,,263.843,,,,,,,,,19.073,,,670.35,3264.859,,,,3413.235,,,72.613,,,,,,,,,,377.101,71.051,,,,,501.286,5004.408,1873.529,,673.499,,,,,,,,34.268,,,,,,54.344,25.809,,,,,,,4.893,,,,16.612,,,,3.204,,,,,,,,1534.583,,90.271,,,,,387.428,,,,,,,,,,439.498,44.729,,429.191,,134.705,496.307,,,,,,,,,,64.027,,,591.135,77.883,78.139,,,225.18,725.525,,,,,635.437,1349.514,,,,,,,,,,,101.289,,,,,,,5358.335,,20562.021,,,,,,,,,,,13.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, % of total BERD",,,,,,,,BE_AF_XBE,,,,,,,,0.801,,,1.622,26.149,,,,,,,12.856,,,,,,,,,,,,,,,,12.435,,,,,1.923,0.887,,,,,,,,,,46.789,,,5.83,,,,,,,,,8.821,,,20.002,10.198,,,,5.314,,,9.743,,,,,,,,,,18.801,55.931,,,,,27.407,118.645,14.03,,0.554,,,,,,,,101.604,,,,,,,5.114,,,,,,,,,,,0.491,,,,,,,,,,,,21.69,,13.508,,,,,15.714,,,,,,,,,,11.215,2.826,,0.757,,19.823,2.288,,,,,,,,,,,,,11.509,18.372,8.65,,,11.624,8.429,,,,,7.392,18.211,,,,,,,,,,,1.438,,,,,,,24.005,,6.625,,,,,,,,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, % of total GERD",,,,,,,,BE_AF_XG,,,,,,,,0.158,,,0.899,14.68,,,,,,,8.05,,,,,,0.209,,,,,43.93,,,,,5.091,,,,,0.647,0.667,,,,,,,8.333,,2.432,17.309,,,3.523,,,,,,,,,3.732,,,11.112,6.013,,,,3.357,,,2.925,,,,,,,,,,11.622,23.193,,,,,15.263,45.996,6.813,,0.432,,,,,,,,12.475,,,,,,6.855,3.692,,,,,,,4.488,,,,0.156,,,,9.921,,,,,,,,9.905,,5.363,,,,,7.295,,,,,,,,,,4.696,1.276,,0.582,,7.279,1.325,,,,,,,,,,9.321,,,6.313,4.338,6.071,,,4.782,4.114,,,,,4.746,9.892,,,,,,,,,,,0.706,,,,,,,12.723,,4.443,,,,,,,,,,,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, % of GDP",,,,,,,,BE_AF_XGDP,,,,,,,,0.001,,,0.019,0.436,,,,,,,0.196,,,,,,0.001,,,,,0.349,,,,,0.089,,,,,0.002,0.014,,,,,,,0.071,,0.012,0.337,,,0.104,,,,,,,,,0.056,,,0.322,0.134,,,,0.098,,,0.028,,,,,,,,,,0.16,0.508,,,,,0.235,1.964,0.094,,0.014,,,,,,,,0.078,,,,,,0.071,0.062,,,,,,,0.033,,,,0.001,,,,0.036,,,,,,,,0.198,,0.062,,,,,0.125,,,,,,,,,,0.047,0.016,,0.025,,0.036,0.015,,,,,,,,,,0.072,,,0.138,0.051,0.134,,,0.035,0.051,,,,,0.157,0.317,,,,,,,,,,,0.006,,,,,,,0.216,,0.124,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930.994,9457.973,,,,,,,237.792,,,15347.105,,,2113,,,,,,,,,11.3,,,674.6,,,,,2980.229,,,49.84,,,,,,,,,,54437.2,11250,,,,,,,,,75367,,,,,,,,19,,,,,,26.527,,,,,,,,3.034,,,,151.151,,,,,,,,,,,,1350,,,,,,,,,,,,,,,,,848.2,,,384009.96,,253.097,12115.3,,,,,,,,,,,,,,40.227,51.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,4051.9,,22345,,,,,,,,,,,222.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.467,2728.811,,,,,,,64.935,,,1200.058,,,290.403,,,,,,,,,21.263,,,746.483,,,,,3855.988,,,80.973,,,,,,,,,,416.973,80.228,,,,,,,,,735.175,,,,,,,,38.392,,,,,,58.949,,,,,,,,5.323,,,,17.993,,,,,,,,,,,,1676.198,,,,,,,,,,,,,,,,,481.29,,,432.089,,147.42,536.737,,,,,,,,,,,,,,82.996,88.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,5890.444,,22345,,,,,,,,,,,14.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.374,2515.42,,,,,,,59.748,,,1055.53,,,263.843,,,,,,,,,19.073,,,670.35,,,,,3413.235,,,72.613,,,,,,,,,,377.101,71.051,,,,,,,,,673.499,,,,,,,,34.268,,,,,,54.344,,,,,,,,4.893,,,,16.612,,,,,,,,,,,,1534.583,,,,,,,,,,,,,,,,,439.498,,,429.191,,134.705,496.307,,,,,,,,,,,,,,77.883,78.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,5358.335,,20562.021,,,,,,,,,,,13.519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, % of total BERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.923,0.887,,,,,,,,,,46.789,,,5.83,,,,,,,,,8.821,,,20.002,,,,,5.314,,,9.743,,,,,,,,,,18.801,55.931,,,,,,,,,0.554,,,,,,,,101.604,,,,,,,,,,,,,,,,,,0.491,,,,,,,,,,,,21.69,,,,,,,,,,,,,,,,,11.215,,,0.757,,19.823,2.288,,,,,,,,,,,,,,18.372,8.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.005,,6.625,,,,,,,,,,,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, % of total GERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.647,0.667,,,,,,,8.333,,,17.309,,,3.523,,,,,,,,,3.732,,,11.112,,,,,3.357,,,2.925,,,,,,,,,,11.622,23.193,,,,,,,,,0.432,,,,,,,,12.475,,,,,,6.855,,,,,,,,4.488,,,,0.156,,,,,,,,,,,,9.905,,,,,,,,,,,,,,,,,4.696,,,0.582,,7.279,1.325,,,,,,,,,,,,,,4.338,6.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.723,,4.443,,,,,,,,,,,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by abroad, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.014,,,,,,,0.071,,,0.337,,,0.104,,,,,,,,,0.056,,,0.322,,,,,0.098,,,0.028,,,,,,,,,,0.16,0.508,,,,,,,,,0.014,,,,,,,,0.078,,,,,,0.071,,,,,,,,0.033,,,,0.001,,,,,,,,,,,,0.198,,,,,,,,,,,,,,,,,0.047,,,0.025,,0.036,0.015,,,,,,,,,,,,,,0.051,0.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216,,0.124,,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
