CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Applied research,Latest available,,,,,,,,,BE_AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, business enterprise, million NC",,metadata/BE_AR_NC.html,,,,,,BE_AR_NC,,,,,,,,497.5,,,6134.4,2347.539,,,,,,,2696.073,,,,,,,,,,,355.75,,,,,,,,,,63164.159,32930.323,,,,,,,427.212,,7.233,19906.036,,,12123,,,,,,,,,19.96,,,636.3,13267.414,,,,26444.7,,,190.11,,,,,,,,,,89338.6,19423.1,,,,,549.4,3514.202,5950.531,,2353296,,,,,,,,17.1,,,,,,50.991,154.4,,,,,,,13.6,,,,4551.77,,,,,,,,,,,,3370.304,,403,,,,,7811.6,,,,,,,,,,1209.6,341.688,,9888623.621,,568.113,7276.36,,,,,,,,,,1610.874,,,1570.499,70.17,441.159,,,,2567.69,,,,,10585,6545,,,,,,,,,,,1516.134,,,,,,,8148.7,,50756,,,,,,,,,,,78276.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, business enterprise, million USD PPPs",,metadata/BE_AR_PPP.html,,,,,,BE_AR_PPP,,,,,,,,308.62,,,4239.741,2947.83,,,,,,,3347.337,,,,,,,,,,,560.236,,,,,,,,,,181.909,9501.044,,,,,,,115.525,,11.409,1572.979,,,1649.791,,,,,,,,,37.938,,,702.705,16496.62,,,,34162.553,,,301.419,,,,,,,,,,694.194,138.513,,,,,677.857,916.081,8102.084,,22955.476,,,,,,,,34.462,,,,,,112.563,172.621,,,,,,,24.156,,,,541.832,,,,,,,,,,,,4205.556,,278.769,,,,,865.916,,,,,,,,,,687.938,592.018,,11126.713,,335.231,2559.517,,,,,,,,,,43.201,,,1854.19,145.418,755.903,,,,3877.054,,,,,1232.259,4833.57,,,,,,,,,,,1321.393,,,,,,,11771.261,,50756,,,,,,,,,,,5160.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, business enterprise, million constant USD PPPs",,metadata/BE_AR_PPPK.html,,,,,,BE_AR_PPPK,,,,,,,,314.748,,,3949.869,2645.393,,,,,,,3065.595,,,,,,,,,,,521.038,,,,,,,,,,174.669,8758.071,,,,,,,107.452,,10.607,1382.794,,,1539.305,,,,,,,,,34.039,,,642.594,15034.412,,,,31449.199,,,269.018,,,,,,,,,,629.591,122.67,,,,,600.543,819.518,7340.758,,21029.656,,,,,,,,30.963,,,,,,104.714,153.086,,,,,,,22.456,,,,500.245,,,,,,,,,,,,3834.423,,252.634,,,,,788.63,,,,,,,,,,630.554,536.761,,11052.066,,309.614,1956.542,,,,,,,,,,42.328,,,1724.648,135.561,672.06,,,,3532.28,,,,,1137.127,4472.188,,,,,,,,,,,1236.282,,,,,,,10835.321,,48829.805,,,,,,,,,,,4748.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, business enterprise, % of business R&D",,,,,,,,BE_AR_XBE,,,,,,,,33.781,,,33.072,43.689,,,,,,,45.107,,,,,,,,,,,,,,,,,,,,,,3.089,,,,,,,,,,58.224,,,35.543,,,,,,,,,17.659,,,18.121,46.961,,,,51.992,,,43.907,,,,,,,,,,35.033,96.565,,,,,34.619,21.002,54.97,,17.29,,,,,,,,48.442,,,,,,,161.675,,,,,,,,,,,14.787,,,,,,,,,,,,52.94,,37.805,,,,,33.982,,,,,,,,,,17.656,33.915,,19.484,,68.366,15.509,,,,,,,,,,,,,33.577,36.219,68.72,,,,41.038,,,,,13.228,60.35,,,,,,,,,,,17.556,,,,,,,50.689,,,,,,,,,,,,,19.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, business enterprise, % of GDP",,metadata/BE_AR_XGDP.html,,,,,,BE_AR_XGDP,,,,,,,,0.041,,,0.386,0.728,,,,,,,0.688,,,,,,,,,,,0.425,,,,,,,,,,0.049,0.048,,,,,,,0.13,,0.041,0.461,,,0.62,,,,,,,,,0.101,,,0.31,0.618,,,,0.936,,,0.105,,,,,,,,,,0.276,0.877,,,,,0.305,0.332,0.367,,0.444,,,,,,,,0.072,,,,,,0.139,0.332,,,,,,,0.161,,,,0.025,,,,,,,,,,,,0.508,,0.173,,,,,0.254,,,,,,,,,,0.07,0.197,,0.634,,0.085,0.079,,,,,,,,,,0.047,,,0.402,0.092,1.182,,,,0.248,,,,,0.281,1.05,,,,,,,,,,,0.074,,,,,,,0.447,,0.314,,,,,,,,,,,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, business enterprise, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32930.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19423.1,,,,,,,,,2353296,,,,,,,,,,,,,,,,,,,,,,,,,,4551.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9888623.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78276.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, business enterprise, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9501.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.513,,,,,,,,,22955.476,,,,,,,,,,,,,,,,,,,,,,,,,,541.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11126.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5160.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, business enterprise, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8758.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.67,,,,,,,,,21029.656,,,,,,,,,,,,,,,,,,,,,,,,,,500.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11052.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4748.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
