CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Industry funding,Latest available,,,,,,,,,BE_BEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by industry, million NC",,metadata/BE_BEF_NC.html,,,,,,BE_BEF_NC,,,,,,,,1405.1,,,18133.8,4523.654,0.1,,2.6,,,1569480,5567.287,,,,,,19.142,118.9,,,,134.473,,,11564.86,,13455,,,,,184152.015,1019777,616724.9,,,,,,1217.231,,11.248,29117.239,,,35042,,,,,1088.68,,,,116.43,35.634,,3224.5,25798.336,,,,53977.457,0.176,,462.06,,,,,,,,,,222823.3,15469.4,,,,861.85,1525.9,16796.8,10072.84,,13450803,,11204.1,618,,,31.352,,18.1,,,,,,74.542,95.5,,,,1603.15,,213.8,29.619,,,,19975.066,,,750,4.054,,,9.42,,50.215,,,6066,,927,,,,,22535.9,11.63,,,,,,,,5686.12,6709.8,913.368,786.581,48095653.95,,1063.481,185037.4,,,,,,,,,87.531,3045.9,,,4400.009,202.093,570.972,,,9552.717,5586.003,3864.33,,,,74517,10660,,,53955,414.1,,,,,,97.873,7846.092,,,,25652,4520,7628.323,14786.7,,317178,183.937,100880.5,,,4500000,,,,,,391157.75,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.617,,,,,,,,,,,,
,,"BERD, financed by industry, million USD PPPs",,metadata/BE_BEF_PPP.html,,,,,,BE_BEF_PPP,,,,,,,,873.229,,,12533.029,5680.401,0.316,,12.781,,,303.809,6912.123,,,,,,27.734,32.363,,,,202.174,,,8.564,,10882.78,,,,,490.322,294764,513.617,,,,,,344.687,,16.639,2276.805,,,4816.038,,,,,447.456,,,,219.086,5.351,,3568.09,32077.49,,,,69839.079,0.281,,750.686,,,,,,,,,,1706.763,110.318,,,,2.299,1871.548,4366.573,13714.91,,131207.286,,126.048,19.559,,,1.514,,36.573,,,,,,167.846,106.77,,,,1132.509,,1.259,49.481,,,,2377.786,,,1.172,11.261,,,0.531,,8.658,,,7531.716,,641.239,,,,,2422.578,77.744,,,,,,,,316.747,3807.306,1582.522,311.363,54117.396,,654.054,8197.604,,,,,,,,,0.378,75.426,,,5195.589,416.951,977.231,,,1845.249,8434.522,87.87,,,,8674.939,7872.553,,,4427.112,21.629,,,,,,153.095,6838.295,,,,32.008,776.767,3157.091,21496.144,,317178,9.874,112.143,,,597.305,,,,,,25788.354,,,,353.852,,,,,,,,,,,,,,,,,,,,,,,,135040.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by industry, million constant USD PPPs",,metadata/BE_BEF_PPPK.html,,,,,,BE_BEF_PPPK,,,,,,,,888.949,,,11676.144,5097.612,,,,,,,6330.337,,,,,,15.965,,,,,196.952,,,,,10185.976,,,,,439.121,271217.594,,,,,,,305.844,,16.495,2002.6,,,4375.581,,,,,,,,,196.516,,,3204.186,29234.244,,,,61820.003,,,673.186,,,,,,,,,,1543.555,97.7,,,,,1687.802,3873.981,12426.166,,120199.82,,,,,,,,32.645,,,,,,152.71,94.688,,,,,,,47.765,,,,2195.284,,,,8.878,,,,,,,,6895.392,,581.122,,,,,2221.753,,,,,,,,,,3476.705,1434.817,,53754.329,,566.015,7580.117,,,,,,,,,,40.38,,,4831.882,391.266,861.411,,,1753.174,7684.467,,,,,8005.222,7283.96,,,,,,,,,,,6397.838,,,,,,,19554.306,,291869.35,,,,,,,,,,,23731.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by industry, % of total BERD",,metadata/BE_BEF_XBE.html,,,,,,BE_BEF_XBE,,,,,,,,79.347,,,96.204,66.736,,,,,,,82.533,,,,,,,,,,,,,,,,77.285,,,,,88.375,93.718,,,,,,,,,,60.475,,,91.355,,,,,,,,,83.506,,,79.67,82.865,,,,89.749,,,82.332,,,,,,,,,,64.777,49.322,,,,,72.427,42.006,81.603,,98.283,,,,,,,,48.011,,,,,,,30.041,,,,,,,,,,,63.705,,,,,,,,,,,,80.09,,76.28,,,,,78.221,,,,,,,,,,79.77,88.166,,94.054,,69.515,34.169,,,,,,,,,,,,,84.361,77.971,87.764,,,81.073,81.917,,,,,86.714,85.415,,,,,,,,,,,87.618,,,,,,,70.643,,88.19,,,,,,,,,,,98.488,,,,,,,,,,,,,,,,,,,,,,,,,83.403,,,82.543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by industry, % of total GERD",,,,,,,,BE_BEF_XG,,,,,,,,18.779,,,54.177,47.263,,,,,,,58.323,,,,,,16.725,,,,,20.227,,,,,39.006,,,,,30.318,71.968,,,,,,,42.655,,13.376,32.84,,,58.427,,,,,,,,,38.455,,,53.114,53.838,,,,60.798,,,27.119,,,,,,,,,,47.572,31.891,,,,,51.39,35.606,45.188,,77.144,,,,,,,,11.884,,,,,,19.262,15.766,,,,,,,43.813,,,,20.558,,,,27.494,,,,,,,,44.505,,34.525,,,,,41.836,,,,,,,,,,37.151,40.917,,72.917,,30.587,20.23,,,,,,,,,,5.878,,,51.604,21.794,66.932,,,37.227,43.57,,,,,59.788,53.392,,,,,,,,,,,44.585,,,,,,,46.431,,63.071,,,,,,,,,,,76.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by industry, % of GDP",,,,,,,,BE_BEF_XGDP,,,,,,,,0.116,,,1.141,1.403,,,,,,,1.421,,,,,,0.044,,,,,0.161,,,,,0.678,,,,,0.116,1.488,,,,,,,0.365,,0.064,0.639,,,1.729,,,,,,,,,0.575,,,1.539,1.201,,,,1.78,,,0.263,,,,,,,,,,0.655,0.699,,,,,0.79,1.52,0.621,,2.535,,,,,,,,0.074,,,,,,0.2,0.205,,,,,,,0.319,,,,0.11,,,,0.1,,,,,,,,0.888,,0.399,,,,,0.718,,,,,,,,,,0.373,0.528,,3.086,,0.15,0.222,,,,,,,,,,0.045,,,1.127,0.257,1.48,,,0.27,0.539,,,,,1.977,1.709,,,,,,,,,,,0.384,,,,,,,0.79,,1.759,,,,,,,,,,,2.334,,,,,,,,,,,,,,,,,,,,,,,,,1.12,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by industry, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by industry, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
