CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>>Direct government funding (subsidies, grants, procurement)",Latest available,,,,,,,,,BE_DGVF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by government (direct), million NC",,metadata/BE_DGVF_NC.html,,,,,,BE_DGVF_NC,,,,,,,,67.6,,,402.4,845.881,5.6,,,,,956427,408.986,,,,,,0.639,18.74,0.05,,,8.356,,,,,666,,,,,20118.209,46342.09,10290.08,,,,,,6.779,,1.289,3658.128,,,1080,,,,,2.16,,,,11.67,18.97,,147.3,2425.184,,,,1984.471,0.088,,49.48,,,,,,,,,,66578.1,2588.9,,,,419.03,125.8,1258.5,707.969,,143103,,5416.9,213,,,37.965,,0.6,,,,,,2.496,15.3,0.51,,,292.06,,40,0.086,,,,10716.929,,,279.7,0.107,,,,,2.61,,,138,,139,,,,,2462.2,,,,,,,,,,841.6,93.956,3.854,2623788.352,,209.034,343396.9,,,,,,,,,29.177,1002.1,,,277.051,16.853,27.789,,,,658.852,405.07,,,,5270,105,,,198,1.5,,,,,,,781.759,,,,233,788.6,,1950,,19641,21.839,15163.4,,,2399900,,,,,,5732.507,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by government (direct), million USD PPPs",,metadata/BE_DGVF_PPP.html,,,,,,BE_DGVF_PPP,,,,,,,,42.011,,,278.116,1062.182,17.676,,,,,185.138,507.781,,,,,,0.926,5.076,,,,12.563,,,,,538.679,,,,,53.567,13395.06,8.57,,,,,,1.92,,1.907,286.045,,,148.431,,,,,0.888,,,,21.959,2.849,,162.996,3015.459,,,,2567.62,0.14,,80.388,,,,,,,,,,509.969,18.462,,,,1.118,154.296,327.165,963.952,,1395.913,,60.941,6.741,,,1.833,,1.212,,,,,,5.62,16.964,0.091,,,206.319,,0.236,0.144,,,,1275.718,,,0.437,0.297,,,,,0.45,,,171.345,,96.151,,,,,264.683,,,,,,,,,,477.545,162.79,1.525,2952.296,,128.559,15213.31,,,,,,,,,0.126,24.815,,,327.146,34.771,47.561,,,,994.826,9.211,,,,613.51,77.544,,,16.246,0.078,,,,,,,681.346,,,,0.291,135.522,,2834.81,,19641,1.172,16.856,,,318.549,,,,,,377.934,,,,8.175,,,,,,,,,,,,,,,,,,,,,,,,11189.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by government (direct), million constant USD PPPs",,metadata/BE_DGVF_PPPK.html,,,,,,BE_DGVF_PPPK,,,,,,,,42.768,,,259.101,953.206,,,,,,,465.041,,,,,,1.463,,,,,12.238,,,,,504.189,,,,,47.973,12325.033,,,,,,,1.703,,1.89,251.596,,,134.856,,,,,,,,,19.697,,,146.372,2748.178,,,,2272.8,,,72.089,,,,,,,,,,461.204,16.351,,,,,139.148,290.258,873.372,,1278.805,,,,,,,,1.082,,,,,,5.113,17.243,,,,,,,0.139,,,,1177.803,,,,0.363,,,,,,,,156.868,,87.137,,,,,242.742,,,,,,,,,,436.078,147.595,,2932.489,,111.254,14067.365,,,,,,,,,,23.643,,,304.244,32.629,41.924,,,,906.359,,,,,566.146,71.746,,,,,,,,,,,637.46,,,,,,,2578.729,,18073.782,,,,,,,,,,,347.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by government (direct), % of total BERD",,metadata/BE_DGVF_XBE.html,,,,,,BE_DGVF_XBE,,,,,,,,7.082,,,2.135,12.479,,,,,,,6.063,,,,,,,,,,,,,,,,5.05,,,,,9.655,4.259,,,,,,,,,,7.598,,,2.816,,,,,,,,,8.372,,,3.639,7.79,,,,3.324,,,8.811,,,,,,,,,,19.355,8.254,,,,,5.971,3.147,5.735,,1.046,,,,,,,,1.592,,,,,,,3.25,,,,,,,,,,,35.307,,,,,,,,,,,,1.822,,10.986,,,,,8.644,,,,,,,,,,10.005,9.069,,5.131,,13.664,63.412,,,,,,,,,,,,,5.312,6.502,4.271,,,,9.369,,,,,6.133,1.413,,,,,,,,,,,10.616,,,,,,,9.316,,5.461,,,,,,,,,,,1.443,,,,,,,,,,,,,,,,,,,,,,,,,6.11,,7.183,6.388,,,,,,,,,,,,,,,,,,,,5.047,,,,,,,,,,,,
,,"BERD, financed by government (direct), % of total GERD",,,,,,,,BE_DGVF_XG,,,,,,,,0.903,,,1.202,8.838,,,,,,,4.285,,,,,,1.533,,,,,1.257,,,,,1.931,,,,,3.312,3.27,,,,,,,0.238,,1.533,4.126,,,1.801,,,,,,,,,3.854,,,2.426,5.061,,,,2.235,,,2.904,,,,,,,,,,14.214,5.337,,,,,4.237,2.668,3.176,,0.821,,,,,,,,0.394,,,,,,0.645,2.467,,,,,,,0.127,,,,11.029,,,,1.123,,,,,,,,1.012,,5.177,,,,,4.571,,,,,,,,,,4.66,4.209,,3.978,,6.012,37.543,,,,,,,,,,3.442,,,3.249,1.817,3.258,,,,5.139,,,,,4.228,0.526,,,,,,,,,,,4.442,,,,,,,6.123,,3.906,,,,,,,,,,,1.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by government (direct), % of GDP",,metadata/BE_DGVF_XGDP.html,,,,,,BE_DGVF_XGDP,,,,,,,,0.006,,,0.025,0.262,,,,,,,0.104,,,,,,0.004,,,,,0.01,,,,,0.034,,,,,0.013,0.068,,,,,,,0.002,,0.007,0.08,,,0.053,,,,,,,,,0.058,,,0.07,0.113,,,,0.065,,,0.028,,,,,,,,,,0.196,0.117,,,,,0.065,0.114,0.044,,0.027,,,,,,,,0.002,,,,,,0.007,0.041,,,,,,,0.001,,,,0.059,,,,0.004,,,,,,,,0.02,,0.06,,,,,0.078,,,,,,,,,,0.047,0.054,,0.168,,0.029,0.413,,,,,,,,,,0.026,,,0.071,0.021,0.072,,,,0.064,,,,,0.13,0.017,,,,,,,,,,,0.038,,,,,,,0.104,,0.109,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by government (direct), million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by government (direct), million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
