CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Experimental development,Latest available,,,,,,,,,BE_ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, business enterprise, million NC",,metadata/BE_ED_NC.html,,,,,,BE_ED_NC,,,,,,,,951.4,,,11521.3,3996.53,,,,,,,3303.773,,,,,,,,,,,79.344,,,,,,,,,,51449.389,1054065.13,,,,,,,600.786,,6.641,26340.183,,,21994.5,,,,,,,,,101.29,,,3589.3,15984.824,,,,24059.3,,,265.43,,,,,,,,,,208902,10939.2,,,,,1295.8,32182.692,5353.078,,10381777,,,,,,,,36.6,,,,,,59.897,125.5,,,,,,,6.01,,,,25052.93,,,,,,,,,,,,3282.077,,758,,,,,17884.8,,,,,,,,,,5945.5,667.366,,34885370.28,,326.816,43236.78,,,,,,,,,,637.4,,,3089.342,160.345,183.199,,,,3892.156,,,,,73750,5020,,,,,,,,,,,6403.619,,,,,,,10489,,251989,,,,,,,,,,,316727.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, business enterprise, million USD PPPs",,metadata/BE_ED_PPP.html,,,,,,BE_ED_PPP,,,,,,,,590.193,,,7962.853,5018.486,,,,,,,4101.834,,,,,,,,,,,124.951,,,,,,,,,,148.172,304118.478,,,,,,,162.462,,10.475,2081.407,,,2993.18,,,,,,,,,192.523,,,3963.882,19875.43,,,,31080.977,,,420.839,,,,,,,,,,1623.246,78.011,,,,,1598.775,8389.371,7288.608,,101270.146,,,,,,,,73.761,,,,,,132.223,140.31,,,,,,,10.675,,,,2982.243,,,,,,,,,,,,4095.464,,524.335,,,,,1982.531,,,,,,,,,,3381.394,1156.295,,39253.139,,192.847,13496.494,,,,,,,,,,17.094,,,3647.393,332.293,313.902,,,,5876.917,,,,,8585.648,3707.337,,,,,,,,,,,5581.101,,,,,,,15151.958,,251989,,,,,,,,,,,20881.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, business enterprise, million constant USD PPPs",,metadata/BE_ED_PPPK.html,,,,,,BE_ED_PPPK,,,,,,,,601.912,,,7418.432,4503.607,,,,,,,3756.587,,,,,,,,,,,116.209,,,,,,,,,,142.274,280336.686,,,,,,,151.11,,9.739,1829.748,,,2792.729,,,,,,,,,172.737,,,3624.802,18113.736,,,,28612.376,,,375.601,,,,,,,,,,1472.184,69.088,,,,,1416.424,7505.061,6603.722,,92774.218,,,,,,,,66.272,,,,,,123.003,124.432,,,,,,,9.924,,,,2753.347,,,,,,,,,,,,3734.047,,475.178,,,,,1805.584,,,,,,,,,,3099.338,1048.372,,38989.795,,178.11,18541.504,,,,,,,,,,16.749,,,3392.57,309.768,279.085,,,,5354.302,,,,,7922.825,3430.158,,,,,,,,,,,5221.62,,,,,,,13947.216,,229155.78,,,,,,,,,,,19215.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, business enterprise, % of business R&D",,,,,,,,BE_ED_XBE,,,,,,,,64.602,,,62.114,74.377,,,,,,,55.274,,,,,,,,,,,,,,,,,,,,,,98.869,,,,,,,,,,77.044,,,64.485,,,,,,,,,89.611,,,102.221,56.58,,,,47.302,,,61.303,,,,,,,,,,81.918,54.386,,,,,81.651,192.334,49.451,,76.278,,,,,,,,103.683,,,,,,,131.414,,,,,,,,,,,81.386,,,,,,,,,,,,51.554,,71.107,,,,,77.802,,,,,,,,,,86.782,66.24,,68.736,,39.329,92.156,,,,,,,,,,,,,66.049,82.764,28.537,,,,62.206,,,,,92.166,46.289,,,,,,,,,,,74.152,,,,,,,65.247,,,,,,,,,,,,,79.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, business enterprise, % of GDP",,metadata/BE_ED_XGDP.html,,,,,,BE_ED_XGDP,,,,,,,,0.079,,,0.725,1.239,,,,,,,0.843,,,,,,,,,,,0.095,,,,,,,,,,0.04,1.538,,,,,,,0.183,,0.038,0.611,,,1.13,,,,,,,,,0.513,,,1.747,0.744,,,,0.851,,,0.147,,,,,,,,,,0.645,0.494,,,,,0.719,3.039,0.33,,1.957,,,,,,,,0.155,,,,,,0.164,0.27,,,,,,,0.071,,,,0.138,,,,,,,,,,,,0.495,,0.326,,,,,0.582,,,,,,,,,,0.346,0.386,,2.238,,0.049,0.54,,,,,,,,,,0.019,,,0.791,0.211,0.491,,,,0.375,,,,,1.956,0.805,,,,,,,,,,,0.313,,,,,,,0.576,,1.56,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, business enterprise, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054065.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10939.2,,,,,,,,,10381777,,,,,,,,,,,,,,,,,,,,,,,,,,25052.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34885370.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316727.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, business enterprise, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304118.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.011,,,,,,,,,101270.146,,,,,,,,,,,,,,,,,,,,,,,,,,2982.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39253.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20881.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, business enterprise, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280336.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.088,,,,,,,,,92774.218,,,,,,,,,,,,,,,,,,,,,,,,,,2753.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38989.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19215.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
