CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>>BERD, financed by higher education",Latest available,,,,,,,,,BE_HEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by higher education, million NC",,metadata/BE_HEF_NC.html,,,,,,BE_HEF_NC,,,,,,,,0,,,6.9,0.88,,,,,,,0.212,,,,,,,,,,,0.133,,,,,0,,,,,167.729,,,,,,,,0,,0,24.394,,,,,,,,,,,,0,,,0.1,15.897,,,,0,,,0.03,,,,,,,,,,,18.9,,,,,1.6,75,7.351,,1905,,,324,,,,,,,,,,,0.094,0.1,,,,,,,0.013,,,,33.695,,,1600.8,0,,,,,,,,7,,2,,,,,0,,,,,,,,,,4,0.079,,18620.5,,4.254,561.7,,,,,,,,,,3511.8,,,0.305,0,0,,,,2.393,,,,,91,5,,,,,,,,,,,2.603,,,,397,0.3,,0,,,511.583,,,,79203,,,,,,8.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by higher education, million USD PPPs",,metadata/BE_HEF_PPP.html,,,,,,BE_HEF_PPP,,,,,,,,0,,,4.769,1.105,,,,,,,0.263,,,,,,,,,,,0.2,,,,,0,,,,,0.447,,,,,,,,0,,0,1.907,,,,,,,,,,,,0,,,0.111,19.766,,,,0,,,0.049,,,,,,,,,,,0.135,,,,,1.962,19.497,10.009,,18.583,,,10.254,,,,,,,,,,,0.212,0.106,,,,,,,0.022,,,,4.011,,,2.502,0,,,,,,,,8.691,,1.329,,,,,0,,,,,,,,,,2.27,0.137,,20.952,,2.616,24.885,,,,,,,,,,86.964,,,0.36,0,0,,,,3.613,,,,,10.594,3.693,,,,,,,,,,,2.269,,,,0.495,0.052,,0,,,31.406,,,,11.805,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by higher education, million constant USD PPPs",,metadata/BE_HEF_PPPK.html,,,,,,BE_HEF_PPPK,,,,,,,,0,,,4.443,0.992,,,,,,,0.241,,,,,,,,,,,0.195,,,,,0,,,,,0.4,,,,,,,,,,,1.678,,,,,,,,,,,,0,,,0.099,18.014,,,,0,,,0.044,,,,,,,,,,,0.119,,,,,1.77,17.298,9.068,,17.024,,,,,,,,,,,,,,0.193,0.129,,,,,,,0.021,,,,3.703,,,,0,,,,,,,,7.957,,1.437,,,,,0,,,,,,,,,,2.073,0.124,,20.811,,2.264,23.01,,,,,,,,,,75.625,,,0.334,0,0,,,,3.292,,,,,9.776,3.416,,,,,,,,,,,2.122,,,,,,,0,,,,,,,,,,,,,0.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by higher education, % of total BERD",,,,,,,,BE_HEF_XBE,,,,,,,,0,,,0.037,0.016,,,,,,,0.004,,,,,,,,,,,,,,,,0,,,,,0.082,,,,,,,,,,,0.074,,,,,,,,,,,,0,,,0.003,0.056,,,,,,,0.006,,,,,,,,,,,0.094,,,,,0.097,0.41,0.068,,0.014,,,,,,,,,,,,,,,0.025,,,,,,,,,,,0.109,,,,,,,,,,,,0.112,,0.23,,,,,0,,,,,,,,,,0.053,0.008,,0.037,,0.333,0.106,,,,,,,,,,,,,0.007,0,0,,,,0.038,,,,,0.114,0.046,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by higher education, % of total GERD",,,,,,,,BE_HEF_XG,,,,,,,,0,,,0.021,0.009,,,,,,,0.002,,,,,,,,,,,0.02,,,,,0,,,,,0.028,,,,,,,,0,,0,0.028,,,,,,,,,,,,0,,,0.002,0.033,,,,0,,,0.002,,,,,,,,,,,0.039,,,,,0.054,0.159,0.033,,0.011,,,,,,,,,,,,,,0.024,0.021,,,,,,,0.019,,,,0.035,,,,0,,,,,,,,0.051,,0.093,,,,,0,,,,,,,,,,0.022,0.004,,0.028,,0.122,0.061,,,,,,,,,,11.009,,,0.004,0,0,,,,0.019,,,,,0.073,0.025,,,,,,,,,,,0.015,,,,,,,0,,,,,,,,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by higher education, % of GDP",,,,,,,,BE_HEF_XGDP,,,,,,,,0,,,0,0,,,,,,,0,,,,,,,,,,,0,,,,,0,,,,,0,,,,,,,,0,,0,0.001,,,,,,,,,,,,0,,,0,0.001,,,,0,,,0,,,,,,,,,,,0.001,,,,,0.001,0.007,0,,0,,,,,,,,,,,,,,0,0,,,,,,,0,,,,0,,,,0,,,,,,,,0.001,,0.001,,,,,0,,,,,,,,,,0,0,,0.001,,0.001,0.001,,,,,,,,,,0.085,,,0,0,0,,,,0,,,,,0.002,0.001,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by higher education, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.729,,,,,,,,,,,24.394,,,,,,,,,,,,0,,,0.1,,,,,,,,0.03,,,,,,,,,,,18.9,,,,,,,,,1905,,,,,,,,,,,,,,0.094,,,,,,,,0.013,,,,33.695,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,4,,,18620.5,,4.254,561.7,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by higher education, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447,,,,,,,,,,,1.907,,,,,,,,,,,,0,,,0.111,,,,,,,,0.049,,,,,,,,,,,0.135,,,,,,,,,18.583,,,,,,,,,,,,,,0.209,,,,,,,,0.023,,,,4.011,,,,,,,,,,,,8.691,,,,,,,,,,,,,,,,,2.27,,,20.952,,2.478,24.885,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
