CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Regional inequalities in BERD,Latest available,,,,,,,,,BE_INEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of BERD in the 20% top region, percentage",,,,,,,,BE_TOP20,,,,,,,,,,,0.228,0.375,,,,,,,0.207,,,,,,,,,,,,,,,,0.226,,,,,0.281,,,,,,,,,,,0.375,,,0.433,,,,,,,,,0.2,,,0.309,0.501,,,,0.462,,,0.422,,,,,,,,,,0.418,,,,,,0.22,0.291,0.418,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,,,0.341,,,,,,,,,,0.481,0.342,,0.301,,,,,,,,,,,,,,,,,0.684,0.241,,,,0.445,,,,,0.349,0.482,,,,,,,,,,,,,,,,,,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442,,,,,,,,,,,,
,,BERD Hirshman-Herfindal index,,,,,,,,BE_HHI,,,,,,,,,,,0.138,0.072,,,,,,,0.2,,,,,,,,,,,,,,,,0.244,,,,,0.295,,,,,,,,,,,0.046,,,0.362,,,,,,,,,,,,0.132,0.171,,,,0.126,,,0.451,,,,,,,,,,0.318,,,,,,0.372,0.119,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092,,,,,,,0.119,,,,,,,,,,0.142,0.248,,0.507,,,,,,,,,,,,,,,,,0.23,0.02,,,,0.128,,,,,0.14,0.099,,,,,,,,,,,,,,,,,,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of BERD in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,0.228,0.375,,,,,,,0.207,,,,,,,,,,,,,,,,0.226,,,,,0.281,,,,,,,,,,,0.375,,,0.433,,,,,,,,,0.2,,,0.309,0.501,,,,0.462,,,0.422,,,,,,,,,,0.418,,,,,,0.22,,0.418,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,,,0.341,,,,,,,,,,0.481,0.342,,0.301,,,,,,,,,,,,,,,,,0.684,0.241,,,,0.445,,,,,0.349,0.482,,,,,,,,,,,,,,,,,,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442,,,,,,,,,,,,
,,BERD Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,0.138,0.072,,,,,,,0.2,,,,,,,,,,,,,,,,0.244,,,,,0.295,,,,,,,,,,,0.046,,,0.362,,,,,,,,,,,,0.132,0.171,,,,0.126,,,0.451,,,,,,,,,,0.318,,,,,,0.372,,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092,,,,,,,0.119,,,,,,,,,,0.142,0.248,,0.507,,,,,,,,,,,,,,,,,0.23,0.02,,,,0.128,,,,,0.14,0.099,,,,,,,,,,,,,,,,,,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of BERD in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,0.227,0.26,,,,,,,0.208,,,,,,,,,,,,,,,,0.233,,,,,0.281,,,,,,,,,,,0.392,,,0.44,,,,,,,,,0.2,,,0.292,0.507,,,,0.458,,,0.42,,,,,,,,,,0.446,,,,,,0.217,,0.423,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.186,,,,,,,0.353,,,,,,,,,,0.417,0.36,,0.299,,,,,,,,,,,,,,,,,0.684,0.242,,,,0.424,,,,,0.352,0.482,,,,,,,,,,,,,,,,,,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441,,,,,,,,,,,,
,,BERD Hirshman-Herfindal index,,,,,,,,,,,,,,,,,,,0.138,0.075,,,,,,,0.202,,,,,,,,,,,,,,,,0.251,,,,,0.295,,,,,,,,,,,0.042,,,0.369,,,,,,,,,,,,0.114,0.174,,,,0.126,,,0.451,,,,,,,,,,0.369,,,,,,0.344,,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,,,,,,,0.128,,,,,,,,,,0.101,0.257,,0.495,,,,,,,,,,,,,,,,,0.23,0.02,,,,0.119,,,,,0.14,0.099,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
