CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>>Other national fundings,Latest available,,,,,,,,,BE_ONF_F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, million NC",,metadata/BE_ONF_NC.html,,,,,,BE_ONF_NC,,,,,,,,0,,,12.4,3.802,,,,,,,0.831,,,,,,,,,,,,,,,,0,,,,,174.609,6.78E+12,,,,,,,,,,25.033,,,123,,,,,,,,,0,,,0.9,28.283,,,,115.844,,,0.03,,,,,,,,,,145.1,2055.7,,,,,1.9,233,44.253,,16473,,,,,,,,,,,,,,,0.1,,,,,,,,,,,90.702,,,,,,,,,,,,20,,54,,,,,10.8,,,,,,,,,,11.7,0.17,,32968.24,,4.254,983.6,,,,,,,,,,,,,0.305,0.015,0.024,,,,12.056,,,,,232,80,,,,,,,,,,,7.951,,,,,,,143,,488,,,,,,,,,,,50.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, million USD PPPs",,metadata/BE_ONF_PPP.html,,,,,,BE_ONF_PPP,,,,,,,,0,,,8.57,4.774,,,,,,,1.031,,,,,,,,,,,,,,,,0,,,,,0.465,1.9088E+12,,,,,,,,,,1.957,,,16.905,,,,,,,,,0,,,0.996,35.167,,,,149.885,,,0.049,,,,,,,,,,1.111,14.66,,,,,2.33,60.572,60.254,,160.688,,,,,,,,,,,,,,,0.106,,,,,,,,,,,10.797,,,,,,,,,,,,24.833,,35.873,,,,,1.161,,,,,,,,,,6.639,0.294,,37.096,,2.478,43.576,,,,,,,,,,,,,0.36,0.031,0.042,,,,18.204,,,,,27.008,59.081,,,,,,,,,,,6.93,,,,,,,207.886,,488,,,,,,,,,,,3.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, million constant USD PPPs",,metadata/BE_ONF_PPPK.html,,,,,,BE_ONF_PPPK,,,,,,,,0,,,7.984,4.284,,,,,,,0.945,,,,,,,,,,,,,,,,0,,,,,0.416,1.68623E+12,,,,,,,,,,1.722,,,15.359,,,,,,,,,0,,,0.894,32.05,,,,132.675,,,0.044,,,,,,,,,,1.005,12.983,,,,,2.102,53.739,54.592,,147.207,,,,,,,,,,,,,,,0.129,,,,,,,,,,,9.968,,,,,,,,,,,,22.735,,38.803,,,,,1.065,,,,,,,,,,6.062,0.266,,36.847,,2.264,40.293,,,,,,,,,,,,,0.334,0.029,0.037,,,,16.585,,,,,24.923,54.664,,,,,,,,,,,6.483,,,,,,,189.107,,449.061,,,,,,,,,,,3.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, % of total BERD",,,,,,,,BE_ONF_XBE,,,,,,,,0,,,0.067,0.071,,,,,,,0.014,,,,,,,,,,,,,,,,0,,,,,0.085,,,,,,,,,,,0.076,,,0.339,,,,,,,,,0,,,0.027,0.1,,,,0.207,,,0.006,,,,,,,,,,0.05,10.22,,,,,0.115,1.274,0.409,,0.121,,,,,,,,,,,,,,,0.025,,,,,,,,,,,0.295,,,,,,,,,,,,0.321,,6.207,,,,,0.043,,,,,,,,,,0.155,0.017,,0.065,,0.333,0.186,,,,,,,,,,,,,0.007,0.007,0.004,,,,0.193,,,,,0.29,0.738,,,,,,,,,,,0.092,,,,,,,0.847,,0.145,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, % of total GERD",,,,,,,,BE_ONF_XG,,,,,,,,0,,,0.037,0.04,,,,,,,0.009,,,,,,,,,,,,,,,,0,,,,,0.029,572496832,,,,,,,,,,0.028,,,0.205,,,,,,,,,0,,,0.015,0.059,,,,0.13,,,0.002,,,,,,,,,,0.031,4.238,,,,,0.064,0.494,0.199,,0.094,,,,,,,,,,,,,,,0.021,,,,,,,,,,,0.093,,,,,,,,,,,,0.147,,2.499,,,,,0.02,,,,,,,,,,0.065,0.008,,0.05,,0.122,0.108,,,,,,,,,,,,,0.004,0.002,0.003,,,,0.094,,,,,0.186,0.401,,,,,,,,,,,0.045,,,,,,,0.449,,0.097,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, % of GDP",,,,,,,,BE_ONF_XGDP,,,,,,,,0,,,0.001,0.001,,,,,,,0,,,,,,,,,,,,,,,,0,,,,,0,11530244,,,,,,,,,,0.001,,,0.006,,,,,,,,,0,,,0,0.001,,,,0.004,,,0,,,,,,,,,,0,0.093,,,,,0.001,0.021,0.003,,0.003,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,0.003,,0.029,,,,,0,,,,,,,,,,0.001,0,,0.002,,0.001,0.001,,,,,,,,,,,,,0,0,0,,,,0.001,,,,,0.006,0.013,,,,,,,,,,,0,,,,,,,0.008,,0.003,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.609,,,,,,,,,,,25.033,,,123,,,,,,,,,0,,,0.9,,,,,115.844,,,0.03,,,,,,,,,,145.1,2055.7,,,,,,,,,16473,,,,,,,,,,,,,,,,,,,,,,,,,,90.702,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,11.7,,,32968.24,,4.254,983.6,,,,,,,,,,,,,,0.015,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,488,,,,,,,,,,,50.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465,,,,,,,,,,,1.957,,,16.905,,,,,,,,,0,,,0.996,,,,,149.885,,,0.049,,,,,,,,,,1.111,14.66,,,,,,,,,160.688,,,,,,,,,,,,,,,,,,,,,,,,,,10.797,,,,,,,,,,,,24.833,,,,,,,,,,,,,,,,,6.639,,,37.096,,2.478,43.576,,,,,,,,,,,,,,0.031,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.886,,488,,,,,,,,,,,3.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.416,,,,,,,,,,,1.722,,,15.359,,,,,,,,,0,,,0.894,,,,,132.675,,,0.044,,,,,,,,,,1.005,12.983,,,,,,,,,147.207,,,,,,,,,,,,,,,,,,,,,,,,,,9.968,,,,,,,,,,,,22.735,,,,,,,,,,,,,,,,,6.062,,,36.847,,2.264,40.293,,,,,,,,,,,,,,0.029,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.107,,449.061,,,,,,,,,,,3.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, % of total BERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085,,,,,,,,,,,0.076,,,0.339,,,,,,,,,0,,,0.027,,,,,0.207,,,0.006,,,,,,,,,,0.05,10.22,,,,,,,,,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,0.295,,,,,,,,,,,,0.321,,,,,,,,,,,,,,,,,0.155,,,0.065,,0.333,0.186,,,,,,,,,,,,,,0.007,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.847,,0.145,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, % of total GERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,,,,,,,,,,,0.028,,,0.205,,,,,,,,,0,,,0.015,,,,,0.13,,,0.002,,,,,,,,,,0.031,4.238,,,,,,,,,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,,,,,,,,,,,,0.147,,,,,,,,,,,,,,,,,0.065,,,0.05,,0.122,0.108,,,,,,,,,,,,,,0.002,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.449,,0.097,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.001,,,0.006,,,,,,,,,0,,,0,,,,,0.004,,,0,,,,,,,,,,0,0.093,,,,,,,,,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.003,,,,,,,,,,,,,,,,,0.001,,,0.002,,0.001,0.001,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,,0.003,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,436.999,,,,,,,,,,,20.119,,,150,,,,,,,,,0.069,,,2.7,28.283,,,,111.8,,,0.22,,,,,,,,,,150,884.3,,,,,1.9,233,44.253,,22922,,,,,,,,,,,,,,,,,,,,,,,,,,82.456,,,,,,,,,,,,36.412,,,,,,,10.8,,,,,,,,,,8.3,0.17,,26597.65,,2.149,802.1,,,,,,,,,,,,,0.305,0.01,0.318,,,,12.056,,,,,,,,,,,,,,,,,7.951,,,,,,,136.2,,523,,,,,,,,,,,48.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1.205,,,,,,,,,,,1.59,,,20.485,,,,,,,,,0.132,,,2.982,35.167,,,,145.843,,,0.356,,,,,,,,,,1.166,6.398,,,,,2.33,60.572,60.254,,223.789,,,,,,,,,,,,,,,,,,,,,,,,,,10.309,,,,,,,,,,,,45.436,,,,,,,1.161,,,,,,,,,,4.72,0.294,,30.555,,1.268,37.726,,,,,,,,,,,,,0.36,0.021,0.545,,,,18.204,,,,,,,,,,,,,,,,,6.93,,,,,,,196.749,,523,,,,,,,,,,,3.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1.087,,,,,,,,,,,1.398,,,18.899,,,,,,,,,0.118,,,2.727,32.05,,,,130.566,,,0.317,,,,,,,,,,1.057,5.916,,,,,2.102,53.739,54.592,,208.866,,,,,,,,,,,,,,,,,,,,,,,,,,9.291,,,,,,,,,,,,41.426,,,,,,,1.065,,,,,,,,,,4.327,0.266,,30.384,,1.171,35.382,,,,,,,,,,,,,0.334,0.019,0.485,,,,16.585,,,,,,,,,,,,,,,,,6.483,,,,,,,181.105,,486.446,,,,,,,,,,,3.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, % of total BERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.24,,,,,,,,,,,0.059,,,0.433,,,,,,,,,0.061,,,0.077,0.1,,,,0.207,,,0.049,,,,,,,,,,0.059,5.291,,,,,0.115,1.274,0.409,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,0.292,,,,,,,,,,,,0.572,,,,,,,0.043,,,,,,,,,,0.121,0.017,,0.054,,0.259,0.162,,,,,,,,,,,,,0.007,0.005,0.05,,,,0.193,,,,,,,,,,,,,,,,,0.092,,,,,,,0.847,,0.165,,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, % of total GERD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.078,,,,,,,,,,,0.024,,,0.26,,,,,,,,,0.024,,,0.041,0.059,,,,0.133,,,0.015,,,,,,,,,,0.034,2.189,,,,,0.064,0.494,0.199,,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,,,,,,,,,,,,0.274,,,,,,,0.02,,,,,,,,,,0.051,0.008,,0.042,,0.084,0.095,,,,,,,,,,,,,0.004,0.001,0.036,,,,0.094,,,,,,,,,,,,,,,,,0.045,,,,,,,0.445,,0.109,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by other national sources, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,0,,,0.008,,,,,,,,,0,,,0.001,0.001,,,,0.004,,,0,,,,,,,,,,0,0.044,,,,,0.001,0.021,0.003,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.005,,,,,,,0,,,,,,,,,,0,0,,0.002,,0,0.001,,,,,,,,,,,,,0,0,0.001,,,,0.001,,,,,,,,,,,,,,,,,0,,,,,,,0.007,,0.003,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
