CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>>BERD, financed by private non-profit sector",Latest available,,,,,,,,,BE_PNPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by private non-profit sector, million NC",,metadata/BE_PNPF_NC.html,,,,,,BE_PNPF_NC,,,,,,,,0,,,5.5,2.922,0.4,,,,,,0.619,,,,,,0.007,,,,,1.937,,,,,0,,,,,6.88,,,,,,,,1.698,,0.03,0.639,,,123,,,,,,,,,0,,,0.8,12.386,,,,115.844,,,0,,,,,,,,,,145.1,2036.8,,,,,0.3,158,36.902,,14568,,,158,,,,,,,,,,,0.409,,9.671,,,,,,0.042,,,,57.007,,,,0,,,,,1.06,,,13,,52,,,,,10.8,,,,,,,,,,7.7,0.09,0.935,14347.74,,0.248,421.9,,,,,,,,,,1.484,,,0,0.015,0.024,,,,9.663,,,,,141,75,,,,,,,,,,,5.348,,,,8340,0.2,,143,,488,,,,,,,,,,,42.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by private non-profit sector, million USD PPPs",,metadata/BE_PNPF_PPP.html,,,,,,BE_PNPF_PPP,,,,,,,,0,,,3.801,3.669,1.263,,,,,,0.769,,,,,,0.01,,,,,2.912,,,,,0,,,,,0.018,,,,,,,,0.475,,0.042,0.05,,,16.905,,,,,,,,,0,,,0.885,15.401,,,,149.885,,,0,,,,,,,,,,1.111,14.525,,,,,0.368,41.074,50.245,,142.105,,,5.001,,,,,,,,,,,0.921,,1.775,,,,,,0.07,,,,6.786,,,,0,,,,,0.183,,,16.141,,34.545,,,,,1.161,,,,,,,,,,4.369,0.157,0.37,16.144,,0.154,18.691,,,,,,,,,,0.037,,,0,0.031,0.042,,,,14.591,,,,,16.415,55.389,,,,,,,,,,,4.661,,,,10.407,0.034,,207.886,,488,,,,,,,,,,,2.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by private non-profit sector, million constant USD PPPs",,metadata/BE_PNPF_PPPK.html,,,,,,BE_PNPF_PPPK,,,,,,,,0,,,3.541,3.293,,,,,,,0.704,,,,,,0.093,,,,,2.837,,,,,0,,,,,0.016,,,,,,,,0.427,,0.043,0.044,,,15.359,,,,,,,,,0,,,0.795,14.036,,,,132.675,,,0,,,,,,,,,,1.005,12.864,,,,,0.332,36.441,45.523,,130.183,,,,,,,,,,,,,,0.838,,,,,,,,0.068,,,,6.265,,,,0,,,,,,,,14.777,,37.366,,,,,1.065,,,,,,,,,,3.99,0.142,,16.036,,0,17.283,,,,,,,,,,0.034,,,0,0.029,0.037,,,,13.293,,,,,15.147,51.247,,,,,,,,,,,4.361,,,,,,,189.107,,449.061,,,,,,,,,,,2.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by private non-profit sector, % of total BERD",,,,,,,,BE_PNPF_XBE,,,,,,,,0,,,0.03,0.054,,,,,,,0.01,,,,,,,,,,,,,,,,0,,,,,0.003,,,,,,,,,,,0.002,,,0.339,,,,,,,,,0,,,0.024,0.044,,,,0.207,,,0,,,,,,,,,,0.05,10.126,,,,,0.018,0.864,0.341,,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,,,,,,,,0.209,,5.977,,,,,0.043,,,,,,,,,,0.102,0.009,,0.028,,0,0.08,,,,,,,,,,,,,0,0.007,0.004,,,,0.154,,,,,0.176,0.692,,,,,,,,,,,0.062,,,,,,,0.847,,0.145,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by private non-profit sector, % of total GERD",,,,,,,,BE_PNPF_XG,,,,,,,,0,,,0.016,0.031,,,,,,,0.006,,,,,,0.098,,,,,0.291,,,,,0,,,,,0.001,,,,,,,,0.063,,0.036,0.001,,,0.205,,,,,,,,,0,,,0.013,0.026,,,,0.13,,,0,,,,,,,,,,0.031,4.199,,,,,0.01,0.335,0.166,,0.084,,,,,,,,,,,,,,0.106,,,,,,,,0.062,,,,0.059,,,,0,,,,,,,,0.095,,2.406,,,,,0.02,,,,,,,,,,0.043,0.004,,0.022,,0,0.046,,,,,,,,,,0.005,,,0,0.002,0.003,,,,0.075,,,,,0.113,0.376,,,,,,,,,,,0.03,,,,,,,0.449,,0.097,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by private non-profit sector, % of GDP",,,,,,,,BE_PNPF_XGDP,,,,,,,,0,,,0,0.001,,,,,,,0,,,,,,0,,,,,0.002,,,,,0,,,,,0,,,,,,,,0.001,,0,0,,,0.006,,,,,,,,,0,,,0,0.001,,,,0.004,,,0,,,,,,,,,,0,0.092,,,,,0,0.014,0.002,,0.003,,,,,,,,,,,,,,0.001,,,,,,,,0,,,,0,,,,0,,,,,,,,0.002,,0.028,,,,,0,,,,,,,,,,0,0,,0.001,,0,0.001,,,,,,,,,,0,,,0,0,0,,,,0.001,,,,,0.004,0.012,,,,,,,,,,,0,,,,,,,0.008,,0.003,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by private non-profit sector, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88,,,,,,,,,,,0.639,,,123,,,,,,,,,0,,,0.8,,,,,115.844,,,0,,,,,,,,,,145.1,2036.8,,,,,,,,,14568,,,,,,,,,,,,,,0.409,,,,,,,,0.042,,,,57.007,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,7.7,,,14347.74,,0,421.9,,,,,,,,,,,,,,0.015,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,488,,,,,,,,,,,42.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BERD, financed by private non-profit sector, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,,,,,,,,,,,0.05,,,16.905,,,,,,,,,0,,,0.885,,,,,149.885,,,0,,,,,,,,,,1.111,14.525,,,,,,,,,142.105,,,,,,,,,,,,,,0.909,,,,,,,,0.074,,,,6.786,,,,,,,,,,,,16.141,,,,,,,,,,,,,,,,,4.369,,,16.144,,0,18.691,,,,,,,,,,,,,,0.031,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.886,,488,,,,,,,,,,,2.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
