CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Gazelles,Latest available,,,,,,,,,BUSGZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gazelles (turnover definition), % of enterprises with 10+ employees",,metadata/GZLT_XB10.html,,,,,,GZLT_XB10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1.4,,,,,,,,,,,,,,,,1.4,,,0.5,,,,,,,,,4.7,,,0.89,,,,,,,,,,,,,,,,,,4.6,,,,,,,,0.8,,,,,,,,,,4.8,,,,,,3.4,0.9,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,0.2,,,,,,,,,,,1.2,,,,0.6,,,,,,,,,,,,,,,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gazelles (turnover definition), manufacturing, % of enterprises with 10+ employees",,metadata/GZLTMANU_XB10.html,,,,,,GZLTMANU_XB10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,,,,,1.4,,,,,,,,,,,,,,,,1.1,,,0.3,,,,,,,,,4.4,,,0.88,,,,,,,,,,,,,,,,,,2.5,,,,,,,,0.5,,,,,,,,,,4.8,,,,,,3.1,0.6,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,0,,,,,,,,,,,1.3,,1.4,,0.4,,,,,,,,,,,,,,,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gazelles (turnover definition), services, % of enterprises with 10+ employees",,,,,,,,GZLTSERV_XB10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,1.7,,,,,,,,,,,,,,,,1.6,,,0.5,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,1,,,,,,,,,,5,,,,,,3.1,0.9,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,0.2,,,,,,,,,,,1.1,,,,0.7,,,,,,,,,,,,,,,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gazelles (employment definition), % of enterprises with 10+ employees",,metadata/GZLE_XB10.html,,,,,,GZLE_XB10,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,,2.9,,,,,0.5,,,,,,,,,,,,,,,0.1,0.9,,,0.3,,,,,,,,,4.3,,,0.4,0.7,,,,,,,,,,,,,,,,,3.5,,,,,,,0.9,0.7,,,,,,,,,,2.2,,,,,,2,1.1,,,,,,,,,,,,,,,,,,,,,,,1.4,,0.5,,,,,0.3,,,,,,,,,,,0.8,,,,0.3,,,,,,,,,,,,,,,0.6,0.4,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gazelles (employment definition), manufacturing, % of enterprises with 10+ employees",,metadata/GZLEMANU_XB10.html,,,,,,GZLEMANU_XB10,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,2.3,,,,,0.5,,,,,,,,,,,,,,,0,0.8,,,0.2,,,,,,,,,4.5,,,0.42,0.4,,,,,,,,,,,,,,,,,2.3,,,,,,,0.3,0.4,,,,,,,,,,2.1,,,,,,1.7,0.3,,,,,,,,,,,,,,,,,,,,,,,0.7,,0.5,,,,,0.3,,,,,,,,,,,0.9,,0.8,,0.3,,,,,,,,,,,,,,,0.7,0.4,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gazelles (employment definition), services, % of enterprises with 10+ employees",,metadata/GZLESERV_XB10.html,,,,,,GZLESERV_XB10,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,3.2,,,,,0.6,,,,,,,,,,,,,,,0.1,1,,,0.3,,,,,,,,,3.2,,,,0.8,,,,,,,,,,,,,,,,,3.8,,,,,,,1,0.9,,,,,,,,,,2.1,,,,,,0.7,1,,,,,,,,,,,,,,,,,,,,,,,1.6,,0.5,,,,,0.3,,,,,,,,,,,0.7,,,,0.4,,,,,,,,,,,,,,,0.7,0.4,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gazelles (turnover definition), % of enterprises with 10+ employees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gazelles (turnover definition), manufacturing, % of enterprises with 10+ employees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
