CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Business,Latest available,,,,,,,,,BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Enterprises using cloud computing services, % all enterprises",,,,,,,,CLOUD_XT,,,,,,,,,,,,17,,,,,,,28,,,,,,,,,,,7,,,,,30.5,,,,,,,,,,,,,23,,15,18,,,42,,,,,,,,,23,,,57,17,,,,16,,,9,,,,,,,,,,12,43,,,,,36,,22,,28,,,,,,,,8,,,,,,17,19,,,,,,,28,,,,,,,,,,,,,,,,35,,,,,,,40,,,,,,,,,,8,18,,12.1,,7,,,,,,,,,,,4,,,,18,22,,,,18,,,,,48,8.6,,,,7,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,21,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,,,,,
,,"Small enterprises using cloud computing services, % small enterprises",,,,,,,,CLOUDSMALL_XT,,,,,,,,,,,,16,,,,,,,25,,,,,,,,,,,6,,,,,27.6,,,,,,,,,,,,,20,,14,17,,,40,,,,,,,,,21,,,53,15,,,,15,,,7,,,,,,,,,,11,41,,,,,32,,20,,,,,,,,,,7,,,,,,14,17,,,,,,,24,,,,,,,,,,,,,,,,32,,,,,,,37,,,,,,,,,,6,16,,9.6,,7,,,,,,,,,,,3,,,,17,20,,,,15,,,,,46,8.3,,,,6,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,19,,,,,,,,,,,,,,,,,,,,19.6,,,,,,,,,,,,
,,"Medium enterprises using cloud computing services, % medium enterprises",,,,,,,,CLOUDMED_XT,,,,,,,,,,,,22,,,,,,,41,,,,,,,,,,,11,,,,,35.9,,,,,,,,,,,,,32,,21,22,,,48,,,,,,,,,30,,,72,28,,,,20,,,19,,,,,,,,,,19,51,,,,,50,,30,,23.9,,,,,,,,13,,,,,,26,24,,,,,,,42,,,,,,,,,,,,,,,,42,,,,,,,54,,,,,,,,,,13,28,,23.6,,9,,,,,,,,,,,6,,,,21,29,,,,33,,,,,60,8.3,,,,8,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,29,,,,,,,,,,,,,,,,,,,,27.1,,,,,,,,,,,,
,,"Large enterprises using cloud computing services, % large enterprises",,,,,,,,CLOUDLGE_XT,,,,,,,,,,,,35,,,,,,,64,,,,,,,,,,,18,,,,,53.7,,,,,,,,,,,,,39,,37,30,,,66,,,,,,,,,45,,,87,48,,,,38,,,32,,,,,,,,,,33,62,,,,,63,,50,,36.5,,,,,,,,32,,,,,,34,48,,,,,,,48,,,,,,,,,,,,,,,,58,,,,,,,66,,,,,,,,,,31,44,,39.8,,17,,,,,,,,,,,5,,,,28,49,,,,45,,,,,73,20.3,,,,13,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,45,,,,,,,,,,,,,,,,,,,,37.9,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Enterprises using cloud computing services, % all enterprises",,,,,,,,,,,,,,,,,,,,17,,,,,,,28,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,23,,15,18,,,42,,,,,,,,,23,,,57,17,,,,16,,,9,,,,,,,,,,12,,,,,,36,,22,,,,,,,,,,8,,,,,,17,19,,,,,,,28,,,,,,,,,,,,,,,,35,,,,,,,40,,,,,,,,,,8,18,,,,7,,,,,,,,,,,,,,,18,22,,,,18,,,,,48,,,,,7,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Small enterprises using cloud computing services, % small enterprises",,,,,,,,,,,,,,,,,,,,16,,,,,,,25,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,20,,14,17,,,40,,,,,,,,,21,,,53,15,,,,15,,,7,,,,,,,,,,11,,,,,,32,,20,,,,,,,,,,7,,,,,,14,17,,,,,,,24,,,,,,,,,,,,,,,,32,,,,,,,37,,,,,,,,,,6,16,,,,7,,,,,,,,,,,,,,,17,20,,,,15,,,,,46,,,,,6,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Medium enterprises using cloud computing services, % medium enterprises",,,,,,,,,,,,,,,,,,,,22,,,,,,,41,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,32,,21,22,,,48,,,,,,,,,30,,,72,28,,,,20,,,19,,,,,,,,,,19,,,,,,50,,30,,,,,,,,,,13,,,,,,26,24,,,,,,,42,,,,,,,,,,,,,,,,42,,,,,,,54,,,,,,,,,,13,28,,,,9,,,,,,,,,,,,,,,21,29,,,,33,,,,,60,,,,,8,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Large enterprises using cloud computing services, % large enterprises",,,,,,,,,,,,,,,,,,,,35,,,,,,,64,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,39,,37,30,,,66,,,,,,,,,45,,,87,48,,,,38,,,32,,,,,,,,,,33,,,,,,63,,50,,,,,,,,,,32,,,,,,34,48,,,,,,,48,,,,,,,,,,,,,,,,58,,,,,,,66,,,,,,,,,,31,44,,,,17,,,,,,,,,,,,,,,28,49,,,,45,,,,,73,,,,,13,,,,,,,,,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
