CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Net lending/borrowing position,Latest available,,,,,,,,,CGDNTBRW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, government, million NC",,metadata/GVNTLB_NC.html,,,,,,GVNTLB_NC,-16898,-58153,-2713815,,-602569,,-292,-387416,-243953,,-48118,-5430,-3675,-382,-1761,-588306,-608,-30308114,-11052.7,-280,-373862,,-245,-15672,-69,-5904,-339637,,-2580,-2484,-147034,-250919,-1139415,-452502,-37902,-6058,,-5900,-318319,-3595320.09,543627,-25645000,11388,-959266,,-926774.779,-553142,-10706,,-241,27557,,-32517,-12890,-48159,13,-13345,-5226,-280434,-824,-260657,-10201,56.7,-30882,-312,-4100,-75893,-104891,-2472,-381,23705,-6618,,1288,-32,-7007,-4537640,-44025,-7912,-10177,,-6400,14374,-646685.19,311771.56,-9374457,-298422914,-196303000,-26384190,-1811.06,-25761.969,-40809,-4884,-18638600,-1088,-2799625,-514412,104,574,-4962,-2916597,3.44,-5633000,34,-232,-28773,,100.79,844.75,35358,-946651,-147181,-35125,-4196,-141140,-129,5,-53478,-13919,-160735.135,10,,-1915969,-268,,-42743,-43653,-3493469,-12240,,5552,2573,,-67.362,-4792,-386377,-3657259,,93685,-4060,-1441812,14,,-1219,-3012,-1906669,-14598,29612,-44735,-3722.404,33018,34667800,-2832,-10361,-1221803.188,-184652,151,-59,-43,-76,-3,-439551,-385607,-386970,-145827,342,-981633,10287,-1361.537,-733.07,-23,,-154623,-50576,-767929,-9184,-1543,-2923,39216,6909.21,-217480,-1125,33987,-19425,110,-164927,,-10,-11160,-3731,30623.511,-874,,3,-2142019,-23080,-28523,-57235,-2877106,-761238,-52189,1487119,5769,-1394456,-247266000,-857270,-17123,,,,-296837,,,,-2018,,,,,,-11830,,,,,,,,,,,,,,-290114.2,,,,-434524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, government, million current USD PPPs",,,,,,,,GVNTLB_PPP,-896.874,-1321.449,-94895.27,,-9038.896,,-172.679,-58663.84,-1231.135,,-32900.59,-6808.768,-11484.38,-385.081,-9675.824,-21030.46,-320.169,-58623040,-13798.84,-247.569,-1706.026,,-11.78,-5126.595,-97.872,-1425.054,-194300.3,,-4813.433,-3869.159,-697.627,-415.961,-824.245,-1957.815,-29863.26,-129.975,,-18.869,-1502.547,-9492.399,154587.2,-21393.69,53.078,-5367.063,,-1914.709,-2359.972,-2923.539,,-389.338,2142.626,,-57.133,-1781.407,-485.449,7.349,-651.962,-9659.889,-122943.4,-1681.633,-1190.486,-1238.888,104.794,-3860.25,-272.014,-4531.275,-94452.89,-427.235,-210.958,-428.571,30469.13,-5505.824,,2107.738,-17.439,-1811.062,-1355.714,-193.168,-69.532,-452.371,,-575.488,2492.889,-4839.206,2211.555,-548630.9,-73748.3,-23837.25,-72652.9,-2239.92,-6817.29,-56428.5,-72.313,-181728,-3378.882,-30174.55,-11755.3,97.744,4905.983,-235.758,-1073.618,6.991,-6065.422,7.551,-427.256,-40073.82,,224.477,962.141,6270.261,-1176.812,-937.966,-24805.79,-445.672,-650.217,-226.316,4.892,-565.941,-850.899,-19128.48,10.163,,-2995.021,-738.292,,-11926.06,-2459.462,-13581.43,-2137.245,,183.811,3198.216,,-46.665,-438.106,-1731.568,-42034.56,,9340.022,-26710.53,-48853.45,13.436,,-2041.876,-1375.342,-819.981,-9192.695,1655.319,-25503.46,-6364.229,15648.34,38789.03,-414.884,-6367.008,-50940.95,-658.409,86.138,-30.729,-25.966,-39.075,-4.19,-41.138,-268903.1,-1761.044,-3524.094,45.166,-431.161,12017.52,-2796.666,-1251.64,-2.945,,-28800.88,-76572.22,-16934.88,-3040.053,-805.324,-640.026,4364.988,5540.235,-10623.81,-541.647,2768.573,-1015.049,275.689,-726.788,,-6.301,-3364.486,-5543.833,24665.6,-615.06,,2.536,-2134.365,-3952.732,-14559.98,-82526.3,-4392.803,-761238,-2605.021,1630.981,48.282,-118940.3,-32636.96,-8176.858,-5806.375,,,,-19518.48,,,,-2580.563,,,,,,-6418.882,,,,,,,,,,,,,,,,,,-575452.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, government, million constant USD PPPs",,,,,,,,GVNTLB_PPPK,-826.978,-1216.013,-87324.22,,-8317.732,,-158.892,-53985.43,-1132.904,,-31331.18,-5825.641,-10551.12,-354.435,-8884.478,-19351.92,-294.621,-53826690,-12188,-227.812,-1569.908,,-10.84,-4716.484,-90.147,-1311.515,-180767.6,,-4431.112,-3559.596,-643.271,-382.77,-760.018,-1801.605,-28744.69,-119.604,,-17.399,-1382.658,-8566.141,143951.1,-19686.81,48.843,-4965.691,,-1761.935,-2196.442,-2690.011,,-357.934,1875.214,,-52.574,-1603.6,-447.628,6.764,-599.943,-8897.204,-113166.6,-1548.305,-1014.424,-1142.248,94.114,-3552.56,-250.272,-4041.353,-84704.2,-393.146,-194.518,-394.276,26762.65,-5062.664,,1874.707,-16.05,-1666.411,-1275.525,-177.755,-63.984,-416.286,,-529.598,2294.16,-4435.995,1927.815,-504859,-67863.77,-21935.27,-66992,-1933.865,-5702.555,-49601.59,-66.542,-165358,-3117.105,-27766.89,-10817.57,90.193,4489.147,-216.946,-987.955,6.16,-5592.808,6.948,-393.791,-36855.77,,204.07,824.289,5770.148,-1082.914,-863.122,-22831.9,-410.118,-598.337,-208.033,4.5,-521.844,-782.999,-17582,9.347,,-2756.05,-679.736,,-10974.29,-2263.144,-12497.78,-1966.603,,169.146,2887.076,,-41.566,-403.138,-1593.408,-38680.25,,8778.169,-24611.39,-44954.61,12.357,,-1881.395,-1291.385,-754.556,-8458.165,1523.247,-23099.31,-5637.734,14257.79,38058.79,-381.746,-5717.526,-49056.98,-605.875,79.844,-28.279,-23.894,-35.959,-3.855,-31.075,-247421.6,-1620.534,-3242.943,41.65,-396.759,11055.55,-2646.206,-1099.347,-2.716,,-26820.84,-69015.83,-15583.56,-2798.751,-740.922,-588.962,3999.966,4774.336,-10623.81,-499.37,2547.818,-934.071,255.007,-670.157,,-5.808,-3096.344,-5105.58,23309.49,-565.86,,2.339,-1968.062,-3637.455,-13460.75,-74397.32,-4042.314,-700496.4,-2397.211,1503.898,44.52,-109447.7,-30032.92,-7539.745,-5341.895,,,,-17961.54,,,,-2376.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, government, % of GDP",,metadata/GVNTLB_XGDP.html,,,,,,GVNTLB_XGDP,-1.439,-4,-15.639,,-4.89,,-8.4,-6.635,-4.833,,-2.908,-1.554,-6.761,-4.388,-15.397,-3.641,-6.89,-3.485,-2.622,-7.941,-7.466,,-0.174,-6.879,-0.248,-4.3,-5.877,,-15.923,-2.876,-2.259,-5.541,-1.521,-2.688,-1.869,-3.823,,-0.625,-4.943,-2.266,0.844,-3.168,4.363,-18.279,,-1.568,-3.002,-3.203,,-1.383,0.577,,-0.09,-0.624,-15.692,0.968,-0.439,-5.288,-11.535,-3.198,-4.689,-14.219,0.269,-2.497,-3.389,-1.902,-3.405,-1.236,-6.47,-1.199,0.754,-4.946,,0.732,-1.243,-1.432,-9.049,-7.043,-1.211,-2.418,,-1.437,0.598,-1.847,12.873,-6.877,-2.586,-1.693,-13.353,-0.554,-2.063,-2.44,-0.3,-3.513,-4.079,-7.29,-8.506,48.148,1.591,-1.171,-2.857,0.014,-7.303,0.131,-11.4,-54.392,,-0.204,1.559,9.589,-3.314,-4.591,-3.036,-8.704,-1.827,-1.467,2.732,-3.474,-3.421,-0.883,3.145,,-8.27,-7.363,,-4.268,-7.296,-4.547,-7.48,,0.261,0.366,,-0.027,-1.438,-9.14,-3.843,,3.006,-18.052,-5.265,4.878,,-2.338,-6.721,-1.302,-2.385,0.223,-2.417,-2.013,4.893,2.117,-2.34,-1.457,-1.468,-3.104,6.245,-1.543,-2.104,-3.905,-0.213,-6.254,-15.742,-4.79,-3.67,1.868,-4.448,2.556,-1.682,-1.814,-0.257,,-4.073,-4.541,-6.796,-1.821,-8.769,-5.691,0.896,1.07,-7.79,-2.324,0.251,-3.526,4.198,-6.699,,-1.199,-7.092,-4.364,1.31,-0.7,,6.977,-2.672,-1.166,-2.248,-2.951,-3.218,-4.201,-3.528,0.868,7.05,-24.633,-5.897,-10.825,-8.99,,,,-1.779,,,,-1.987,,,,,,-27.097,,,,,,,,,,,,,,-3.029,,,,-3.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, government, million NC",,,,,,,,,,,,,,,,,,,,-5430,,,,,,,-11052.7,,,,,,,,,,,,,,,,-37902,,,,,,,,,,,,,,,,27557,,,-12890,,,,,,,,,56.7,,,-4100,-75893,,,,23705,,,1288,,,,,,,,,,-646685.19,311771.56,,,,,-1526.17,,-40809,,,,,,,,,,3.44,,,,,,100.79,844.75,,,,,,,,,,,,,,,,,,,,,,,2573,,,,,,,93685,,,,,,,,,,-44735,-3722.404,,,,,,,,,,,,,,,,,,,-1361.537,-733.07,,,,-50576,,,,,39216,,,,,,,,,,,,,,,,,,,-57235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, government, million current USD PPPs",,,,,,,,,,,,,,,,,,,,-6808.768,,,,,,,-13798.84,,,,,,,,,,,,,,,,-29863.26,,,,,,,,,,,,,,,,2142.626,,,-1781.407,,,,,,,,,104.794,,,-4531.275,-94452.89,,,,30469.13,,,2107.738,,,,,,,,,,-4839.206,2211.555,,,,,-1887.568,,-56428.5,,,,,,,,,,6.991,,,,,,224.477,962.141,,,,,,,,,,,,,,,,,,,,,,,3198.216,,,,,,,9340.022,,,,,,,,,,-25503.46,-6364.229,,,,,,,,,,,,,,,,,,,-2796.666,-1251.64,,,,-76572.22,,,,,4364.988,,,,,,,,,,,,,,,,,,,-82526.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, government, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,-5825.641,,,,,,,-12188,,,,,,,,,,,,,,,,-28744.69,,,,,,,,,,,,,,,,1875.214,,,-1603.6,,,,,,,,,94.114,,,-4041.353,-84704.2,,,,26762.65,,,1874.707,,,,,,,,,,-4435.995,1927.815,,,,,-1629.657,,-49601.59,,,,,,,,,,6.16,,,,,,204.07,824.289,,,,,,,,,,,,,,,,,,,,,,,2887.076,,,,,,,8778.169,,,,,,,,,,-23099.31,-5637.734,,,,,,,,,,,,,,,,,,,-2646.206,-1099.347,,,,-69015.83,,,,,3999.966,,,,,,,,,,,,,,,,,,,-74397.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Net lending/borrowing, government, % of GDP",,,,,,,,,,,,,,,,,,,,-1.554,,,,,,,-2.622,,,,,,,,,,,,,,,,-1.869,,,,,,,,,,,,,,,,0.577,,,-0.624,,,,,,,,,0.271,,,-1.902,-3.405,,,,0.756,,,0.732,,,,,,,,,,-1.847,12.873,,,,,-0.554,,-2.44,,,,,,,,,,0.014,,,,,,,1.559,,,,,,,,,,,,,,,,,,,,,,,0.366,,,,,,,3.01,,,,,,,,,,-2.417,-2.013,,,,,,,,,,,,,,,,,,,-1.682,-1.843,,,,-4.541,,,,,0.896,,,,,,,,,,,,,,,,,,,-2.951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
