CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>International co-invention,Latest available,,,,,,,,,COINVENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"International co-invention, number of PCT patent applications",,metadata/COPAT_NB.html,,,,,,COPAT_NB,,,10,5,,,,67,9,,1968,1777,,,,,,24,1588,,,2,,,4,,691,,,61,,,,,3541,,5,,,154,26650,91,,,,27,,35,3,20,315,7,,1316,0,,,7,87,1,,,40,,,1413,8976,,,7,19193,,,139,,4,,,,,,,529,284,41,2462,16,57,,510,2247,3681,1,42245,3,24,13,,4,,,25,25,,,,61,45,99,,,,350,,,17,,,,321,,20,1,,,24,,,,,,3924,,387,,,4,,766,,10,,,6,,,26,49,536,194,,13252,7,111,1048,,,,,,,,350,,,1,,955,76,114,,,337,1940,15,,,,3246,3012,,,143,2,,,,,2,18,920,,,,,161,92,7285,,55867,10,3,,10,,,,,,,907,,,,16,,,,,,,18652,,,,,,,,,,,,,,,,48957,53607,,,,,,,,,,,,,,,,,,,,170912,,,,,,,,162305,202992,,1,
,,"International co-invention, % of total ip5 patent applications",,,,,,,,COPAT_XIP5,,,,,,,,,,,9.797,15.889,,,,,,,24.692,,,,,,,,15.138,,,,,,,,15.446,,,,,15.351,13.423,,,,,,,,,,24.84,,,13.433,,,,,,,,,24.444,,,10.044,10.178,,,,8.85,,,19.57,,,,,,,,,,23.08,18.551,23.874,44.05,,,23.822,9.814,6.82,,1.271,,,,,,,,,,,,,,,42.164,,,,,,,,,,,20.809,,,,,,,,,,,,12.859,,15.207,,,,,12.621,,,,,,,,,,20.895,20.947,,1.688,,,28.247,,,,,,,,,,,,,,32.744,9.728,,,13.06,12.592,,,,,11.241,24.305,,,,,,,,,,,8.741,,,,,,,14.196,,7.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"International co-invention, number of PCT patent applications",,,,,,,,,,,10,5,,,,59,8,,1884,1720,,,,,,16,1517,,,2,,,4,,588,,,52,,,,,3293,,3,,,138,18205,82,,,,17,,29,3,16,292,4,,1246,0,,,6,70,1,,,36,,,1165,8630,,,4,18393,,,118,,1,,,,,,,467,241,40,2193,12,40,,482,2080,3430,0,38578,3,19,13,,4,,,11,21,,,,60,36,93,,,,322,,,16,,,,261,,19,1,,,20,,,,,,3826,,373,,,3,,726,,9,,,5,,,23,40,430,163,,11776,5,100,826,,,,,,,,319,,,1,,835,68,112,,,306,1733,13,,,,2645,2852,,,105,2,,,,,2,16,765,,,,,135,81,6976,,52762,9,1,,7,,,,,,,711,,,,11,,,,,,,,,,,,,,,,,,,,,,,,50510,,,,,,,,,,,,,,,,,,,,159273,,,,,,,,,182377,,,
,,"International co-invention, % of total ip5 patent applications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"International co-invention, number of PCT patent applications",,,,,,,,,,,10,1,,,,63,8,,1982,1751,,,,,,28,1657,,,1,,,7,,796,,,68,,,,,3938,,7,,,155,25633,125,,,,22,,60,4,23,303,8,,1355,0,,,4,73,4,,,47,,,1708,8898,,,2,19346,,,140,,1,,,,,,,620,308,43,2667,43,38,,509,2114,3757,3,42048,4,25,13,,2,,,25,20,,,,80,53,95,,,,393,,,13,,,,336,,23,1,,,66,,,,,,3967,,406,,,5,,809,,15,,,1,,,18,45,479,192,,12493,5,93,1196,,,,,,,,297,,,1,,1034,105,193,,,345,2002,18,,,,3580,3165,,,135,6,,,,,1,14,885,,,,,173,117,7521,,62007,13,4,,10,,,,,,,838,,,,14,,,,,,,,,,,,,,,,,,,,,,,,54862,,,,,,,,,,,,,,,,,,,,177271,,,,,,,,,208696,,,
,,"International co-invention, % of total ip5 patent applications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
