CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Firms investments,Latest available,,,,,,,,,CRPFRMINV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gross fixed capital formation (GFCF), non-financial corporations, million NC",,metadata/NFCGFCF_NC.html,,,,,,NFCGFCF_NC,,,,,,,,,,,204641,46933.8,,,,,,,57831.5,,,,,,,,590207,,,,,,,,203263,,,,,26366723.55,18273816,128484000,,,,3152572.384,,,,,723228,,,239840,,,,,,,,,2651.5,,,23856,266750,,,,341484,,,8437.109,,,,,,,,,,4086494,219633.197,,,,,41001.087,,149440.44,,83415600,,,,,,,,3690.318,,,,,,4139.137,4437.7,,,,,,,,,,,2243113,,,,,,,,,,,,72400,,31636,,,,,367162,,,,,,,,67577,,188655,18232.238,,277281000,,,9603143.574,,,,,,,,,,,,,,9389.39,4061.189,,,,150078,,,,,711994,101672.417,,,,,,,,,,,409156.56,,,,,,,167107,,1689022.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1733614.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gross fixed capital formation (GFCF), non-financial corporations, million USD PPPs",,metadata/NFCGFCF_PPP.html,,,,,,NFCGFCF_PPP,,,,,,,,,,,139922.9,58912.42,,,,,,,72485.26,,,,,,,,337647,,,,,,,,,,,,,69613.69,5196391,107184.5,,,,8338.66,,,,,56506.7,,,33146.06,,,,,,,,,4985.295,,,26365.39,331984.6,,,,441474.3,,,13696.28,,,,,,,,,,31276.09,1587.632,,,,,50952.48,,206638.2,,813309.4,,,,,,,,7456.735,,,,,,9198.083,4298.633,,,,,,,,,,,266944.4,,,,,,,,,,,,89992.55,,21927.16,,,,,36604.59,,,,,,,,43318.59,,106961,31171.83,,318443.5,,,400386.3,,,,,,,,,,,,,,19356.19,6945.191,,,,224852.8,,,,,79249.42,81527.28,,,,,,,,,,,329553.7,,,,,,,240949.1,,1689022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2248318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gross fixed capital formation (GFCF), non-financial corporations, million constant USD PPPs",,,,,,,,NFCGFCF_PPPK,,,,,,,,,,,133248.3,50998.05,,,,,,,64765.66,,,,,,,,314130.4,,,,,,,,,,,,,62820.86,4838862,98632.88,,,,7755.873,,,,,49741.55,,,29837.66,,,,,,,,,4475.322,,,23514.76,297719.7,,,,391099.2,,,12292.22,,,,,,,,,,28308.21,1469.419,,,,,43241.61,,181638.5,,740047,,,,,,,,6655.754,,,,,,8479.629,4528.624,,,,,,,,,,,245362.7,,,,,,,,,,,,81237.58,,19660.15,,,,,34402.63,,,,,,,,40292.27,,97606.22,27613.47,,316752.6,,,385578.7,,,,,,,,,,,,,,18178.51,6127.01,,,,205424.2,,,,,72622.19,70256.7,,,,,,,,,,,311434.9,,,,,,,217215.2,,1554250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gross fixed capital formation (GFCF), non-financial corporations, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239840,,,,,,,,,,,,23856,,,,,,,,,,,,,,,,,,,,,,,,,,149440.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72400,,,,,,,367162,,,,,,,,,,,18232.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711994,,,,,,,,,,,,,,,,,,,167107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gross fixed capital formation (GFCF), non-financial corporations, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33146.06,,,,,,,,,,,,26365.39,,,,,,,,,,,,,,,,,,,,,,,,,,206638.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89992.55,,,,,,,36604.59,,,,,,,,,,,31171.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79249.42,,,,,,,,,,,,,,,,,,,240949.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gross fixed capital formation (GFCF), non-financial corporations, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29837.66,,,,,,,,,,,,23514.76,,,,,,,,,,,,,,,,,,,,,,,,,,181638.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81237.58,,,,,,,34402.63,,,,,,,,,,,27613.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72622.19,,,,,,,,,,,,,,,,,,,217215.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gross fixed capital formation (GFCF), non-financial corporations, million NC",,,,,,,,,,,,,,,,,,,204641,46933.8,,,,,,,57831.5,,,,,,,,,,,,,,,,,,,,,26366723.55,,128484000,,,,,,,,,723228,,,221982,,,,,,,,,2651.5,,,22283,253688,,,,341484,,,8437.109,,,,,,,,,,4086494,,,,,,41001.087,,143523.37,,83415600,,,,,,,,3690.318,,,,,,4139.137,,,,,,,,,,,,2243113,,,,,,,,,,,,70003,,,,,,,386055,,,,,,,,,,188655,17047.024,,,,,9603143.574,,,,,,,,,,,,,,9389.39,4061.189,,,,150078,,,,,683002,101672.417,,,,,,,,,,,409156.56,,,,,,,167565,,1689022.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678369.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
