CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Demonstrators budgets,Latest available,,,,,,,,,DEMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Demonstration, million NC",,metadata/DEMB_NC.html,,,,,,DEMB_NC,,,,,,,,,,,433.409,12.255,,,,,,,6.514,,,,,,,,,,,,,,,,249.521,,,,,,,,,,,,,,,,4.369,,,121.912,,,,,,,,,,,,,51.967,,,,,,,,,,,,,,,,,,,,,,,17.574,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.679,,1.29,,,,,972.731,,,,,,,,,,,0.13,,30496.238,,,,,,,,,,,,,,,,,,,,,,104.431,,,,,242,13.544,,,,,,,,,,,3.666,,,,,,,63.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Demonstration, million USD PPPs",,,,,,,,DEMB_PPP,,,,,,,,,,,299.547,15.375,,,,,,,8.08,,,,,,,,,,,,,,,,203.857,,,,,,,,,,,,,,,,0.32,,,16.576,,,,,,,,,,,,,64.027,,,,,,,,,,,,,,,,,,,,,,,21.352,,113.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.667,,0.892,,,,,107.73,,,,,,,,,,,0.209,,35.685,,,,,,,,,,,,,,,,,,,,,,150.266,,,,,28.147,10.319,,,,,,,,,,,4.057,,,,,,,91.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Demonstration, million constant USD PPPs",,,,,,,,DEMB_PPPK,,,,,,,,,,,279.067,13.81,,,,,,,7.407,,,,,,,,,,,,,,,,192.48,,,,,,,,,,,,,,,,0.32,,,15.48,,,,,,,,,,,,,59.199,,,,,,,,,,,,,,,,,,,,,,,19.483,,109.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98,,0.81,,,,,98.203,,,,,,,,,,,0.21,,35.715,,,,,,,,,,,,,,,,,,,,,,143.788,,,,,25.998,9.254,,,,,,,,,,,4.271,,,,,,,86.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Demonstration, million NC",,,,,,,,,,,,,,,,,,,433.409,12.255,,,,,,,6.514,,,,,,,,,,,,,,,,249.521,,,,,,,,,,,,,,,,,,,121.912,,,,,,,,,,,,,51.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.679,,1.29,,,,,972.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,13.544,,,,,,,,,,,,,,,,,,63.646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Demonstration, million USD PPPs",,,,,,,,,,,,,,,,,,,299.547,15.375,,,,,,,8.08,,,,,,,,,,,,,,,,203.857,,,,,,,,,,,,,,,,,,,16.576,,,,,,,,,,,,,64.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.667,,0.892,,,,,107.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.147,10.319,,,,,,,,,,,,,,,,,,91.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Demonstration, million constant USD PPPs",,,,,,,,,,,,,,,,,,,279.067,13.81,,,,,,,7.407,,,,,,,,,,,,,,,,192.48,,,,,,,,,,,,,,,,,,,15.48,,,,,,,,,,,,,59.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.98,,0.81,,,,,98.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.998,9.254,,,,,,,,,,,,,,,,,,86.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Demonstration, million NC",,,,,,,,,,,,,,,,,,,227.094,11.984,,,,,,,16.441,,,,,,,,,,,,,,,,280.403,,,,,,,,,,,,,,,,,,,277.263,,,,,,,,,,,,,58.597,,,,,,,,,,,,,,,,,,,,,,,17.574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.319,,3.8,,,,,1266.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.431,,,,,168,11.537,,,,,,,,,,,,,,,,,,37.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
