CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Population educational attainment,Latest available,,,,,,,,,EATTPOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Adult population at tertiary education level, % total",,metadata/ADTERPOP_XT.html,,,,,,ADTERPOP_XT,,12.9,8.031,21.251,,17.78,,13.683,43.692,16.395,42.889,30.551,25.407,22.894,19.27,4.209,1.058,51.657,36.857,5.719,2.161,37.365,4.548,24.032,11.301,,14.321,,,24.063,0.166,,1.464,1.444,55.174,,41.226,,3.224,21.09,9.681,21.563,,,,23.136,,18.292,15.083,35.216,22.187,,5.425,37.096,,5.034,11.786,11.554,,10.164,,,38.031,1.093,12.309,42.743,33.539,,,30.882,27.638,3.129,,29.057,,8.531,,,0.199,,,9.774,20.551,24.243,38.841,,8.288,21.314,,42.806,48.824,17.546,,49.542,16.182,25.484,2.183,,9.519,17.623,,31.592,15.363,1.888,,,,38.724,39.795,17.364,,,8.331,1.742,2.072,16.462,,,5.276,16.291,,,23.713,19.571,,,2.24,,2.298,,,35.331,,34.041,,,,,42.707,14.032,7.991,,22.733,21.359,,13.646,21.118,26.586,27.747,22.858,20.884,45.491,33.518,13.535,54.303,3.625,,10.243,,3.935,,,22.698,4.264,18.977,7.695,,42.441,21.15,30.173,,,14.59,35.081,14.108,,3.915,,39.787,41.666,6.246,10.647,16.897,12.231,,2.632,,6.227,9.613,13.265,18.02,,,,8.145,38.142,17.953,43.496,1.928,44.629,12.139,,,24.864,6.696,,14.543,,,,,,,,31.206,,,,,,3.775,,,,,,,,,,,,,,25.2,,,26,26,,,,,,,,,,,,,,,,,,34.966,,33,25.2,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Adult population at tertiary education level, % total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Adult population at tertiary education level, % total",,,,,,,,,,,,21.251,,,,,,,,,25.407,,,,,,,,,,,,11.301,,,,,24.063,,,,,,,41.226,,,,,,,,,,,,,35.216,,,,,,,11.786,,,,,,,,,,,,,30.882,,,,,,8.531,,,,,,9.774,20.551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.462,,,,,,,,,,,,,,,,,,,,,,,,,,,22.733,,,13.646,21.118,,,,,,33.518,13.535,,,,,,,,,,,18.977,,,42.441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Adult population at tertiary education level, % total",,,,,,,,,,,,,,,,,,,,,25.38,,,,,,,,,,,,,,,,,22.92,,,,,,,,,,,,,,,,,,,,34.233,,,5.425,,,,10.859,,,10.164,,,,,,,,,,,,,,,,2.862,,,,,,,,,,,,21.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.137,,,,,,,,,,,,,,,,,,,,,,,,,7.991,,22.537,,,,21.34,26.586,,,,,33.081,13.529,,,,10.243,,,,,,4.264,18.215,,,41.29,,,,,,,,,,,,,,,16.897,,,,,,,,,,,,,,,,,,11.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Adult population at tertiary education level, % total",,,,,,,,,,12.9,,,,,,,,,,,25.337,,,,,,,,,,4.548,24.032,,,,,,21.511,,,,,,,,,,,,,,,,,,,15.083,34.105,,,,,,,10.789,,,11.219,,,,,,,,,,30.173,,,,,,2.569,,,,,,4.249,,,,,,19.799,,,,,,,,,,,9.519,,,,,,,,,,,,,,,,,13.991,,,,,,,,,,,,,,,,,,,,,,,,,7.542,,24.822,,,,22.155,,,,20.884,,18.862,13.25,,3.625,,,,,,,,,17.256,,,39.567,,,,,,,,,,,,,,,,,,,,,,,,,,,8.145,,,,1.928,,10.882,,,,,,,,,,,,,,31.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
