CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,,
>>Economic growth,Latest available,,,,,,,,,ECOGWTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GDP, million NC",,metadata/GDP_NC.html,,,,,,GDP_NC,1167905,1434740,16591875,,12321461,,3775,8034698,5032089,,1714573,349344.3,59988,8854,11703,16226844,8844,89910,421611,3485,4903800,,141430,228014,28659,145923,6266895,,17778,92635,6507851,4723455,74932237,16807044,2027544,156525,,943782,6474073,167227447.5,74029739.45,862675000,261009,5247999,,29315644,18427475,333836,,17901,4715061,,35679048,2060868,306896,1396,3322409,100177,2708300,26709,5558320,71742,20916.428,1528044,9211,214062,2228857,8494958,38208,33664,3134070,138748,,175887.855,2657,488333,50146645,615483,709663,484351,,457432,2489109,35005439,2421959,151904814,12406809800,13047038642,197590428,265834.782,1224167,1672438.285,1667193,537369900,26637,40884134,6224369,216,34315,430489,112735007,25021.334,77135951,30143,2035,41108,5302.6,38631,54194.9,362642,28584819,3201157,1229384,49195,7748144,9898,179,1539204,430605,19472074,315,,23886409,3625,,982223,689896,83479328,146619,120,2248691,702641,,265782,345959,4241524,102704409,,3112676,26850,29597905,284,,52132,44818,142003380,612790,14449925,1851171,184933.677,674837,1631629300,122563,759227.6,86043648.9,6618000,2418,3739,2092,2054,1415,7028293,2398564,8763227,4043468,18304,23057466,410272,80958.004,39769.08,8948,,4313291,1113851,11183220,504363,16669,50109,4375176,650087,2791775,48402,14360627,607452,2620,2461970,,834,139876,85491,2590517,126163,,43,80170858,2383182,1268787,1939637,90863681,18569100,1617701,171369000,81825,6025330,4502732989,7919110,183381,,,,17085543,,,,102906,,,,,,43658,,,,,,,,,,,,,-0.398,9579227.7,11998539.5,,13025472.7,13068600.5,,,,,0.904,,,,,487248418.5,,,,,,,,,,,,,,,,,,,3.895,0,9579227.7,9602599.9,
,,"GDP, million USD PPP",,metadata/GDP_PPP.html,,,,,,GDP_PPP,60888.64,32602.54,580176.1,,184829.3,,2271.36,871725.941,25394.97,,1169640.324,438048.689,165712.7,8925.403,64302.2,580068.8,4657.188,173907.2,526364.079,3081.344,22377.27,,6509.412,74587.51,40651.06,35221.58,3141301,,33167.91,144516.4,30877.58,7830.298,54205.43,72718.1,1597516.449,3358.257,,3018.393,30559.27,429122.545,21145312.61,688818,1216.53,29362.39,,76346.8,78620.54,91162.2,,29686.57,366607.82,,62688.3,284813.453,3093.554,789.146,161839.8,185170.1,1132233,54731.56,25386.25,8712.897,38658.131,177452.6,8030.514,236578.983,2773931.589,34601.13,3260.625,37156.73,4028364.409,115430.9,,287830.313,1447.956,126216.9,14982.35,2700.541,6046.375,19353.91,,41132.27,429675.3,261948.953,17180.194,8662455,3032093,1454517,544095.4,328784.65,323946.569,2312557.889,24684.53,5266443.94,82723.6,440652,142238.8,203.008,293290.6,20453.7,40897.75,50847.568,83057.36,6693.982,3747.698,57253.48,,86037.86,61726.091,64309.63,35534.7,20400.58,863331.4,5225.172,35694.88,17304.2,175.147,16288.91,25893.27,2272174.726,320.122,,36996.02,9986.226,,274057.8,34942.06,304734.7,25601.36,134.529,71525.52,873376.451,,183290.712,31629.09,19008.61,1091230,,310321.424,176644.7,988243.9,272.553,,87323.28,20464.84,61069.92,385887.9,805234.1,1055354.137,316182.866,319828,1825593.504,17955.32,462516.344,3397368.406,22792.79,1379.35,2055.525,1240.807,1081.622,1976.257,657.786,1750777,39694.28,97715.52,2417.327,10127.48,492523.409,166291.864,67901.514,1145.857,,736936.785,1686373.755,246619.8,166952.3,8699.896,10971.97,486984.688,526449.609,136377.1,23303.8,1164973,30265.16,6566.416,10849.22,,525.52,43547.95,127029.7,1927692.617,88784.66,,36.348,79884.39,352959.4,647670.8,2796733.83,138731.9,18569100,74921.31,187947.1,684.814,513931.3,595524.4,75534.48,62184.13,,,,1132167.716,,,,131593.3,,,,,,23688.55,18081707.03,,,,,,,,,,,,,12260015.13,17438651.73,,17215037.8,20273566.79,,,,,,,,,,4592849.276,,,,,,,,,,53864734.33,,,,,,,,46216764.37,,0,,,
,,"GDP, million constant USD PPPs",,metadata/GDP_PPPK.html,,,,,,GDP_PPPK,16212.669,11941.505,163875.531,,91653.214,,1221.452,812091.57,9992.657,,1077535.16,369329.463,60261.567,8220.002,29931.937,130422.429,4490.269,20090.884,459555.346,1504.746,6931.368,,2550.448,,,12687.518,2913848.039,,,896.183,,2066.409,14420.256,,1515437.562,,,2073.386,12309.404,375593.319,18231549.88,719342.389,594.044,,,70240.837,25560.291,673.765,,192.489,313253.403,,32110.974,253126.247,,,,,,,12842.165,2179.146,34181.707,,3580.123,207831.375,2455869.979,17144.821,840.002,,3538647.205,,,255977.767,,,5571.236,972.75,2490.515,,,16341.692,,235519.985,13980.002,4592186.4,2620774.27,,,269794.199,261801.4,2013578.942,,4436993.519,28655.098,,,173.289,,,9074.73,43995.632,38352.403,,1387.635,,,74854.026,49820.993,,,,,,10169.306,9386.383,176.574,,,1939052.301,287.752,,,65.464,,,,,,,,769031.727,,151787.954,,6855.853,,,307690.702,62564.694,,,,,14859.792,,,,931795.988,276229.554,,1741967.091,,174593.974,3310174.734,,715.09,,,,1715.055,221.872,,14249.809,670.559,1184.153,3461.292,300371.718,152340.759,58189.562,903.443,,658532.26,1472316.541,,31534.423,3863.219,,432516.383,446085.746,60043,,,190.723,4153.985,,,428.675,21147.197,,1483132.254,,,39.152,19376.738,,,2476524.294,31642.961,16156618.88,,,754.637,112360.396,121041.912,30370.453,21828.906,,,,522534.958,,,,,,,,,,,,,,,,,,,,,,,1.603,9932079.132,15233496.22,,14020439.51,17666065.5,,,,,,,,,,5120198.476,,,,,,,,,,45477274.57,,,,,,,,408978.136,,,,,
,,"GDP, annual growth rate at constant prices, %",,metadata/GDP_GRO.html,,,,,,GDP_GRO,,,,,,,,-2.245,,,2.443,1.481,,,,,,,1.193,,,,,,,,3.915,,,3.443,,,,,1.468,,,,,1.589,6.916,3.052,,,,4.723,,2.982,,2.835,2.593,,,1.681,,,,,,,,,2.063,,,1.927,1.188,,,,1.944,,,0.012,,,,,,,,,,2.213,7.2,9.105,4.794,,,5.141,3.748,0.942,,0.999,,,,,,,,1.95,,,,,,2.299,3.083,,,,,,,5.517,,,,2.303,,,,3.388,,,,,,,,2.21,,3.946,,,,,1.091,,,,,,,,2.354,,2.679,1.539,,2.828,,4.785,-0.225,,,,,,,,2.381,,-5.783,,,5.547,3.325,3.148,,,0.279,3.274,,,,,3.303,1.376,,,,1.182,,,,,,,3.184,,,,,,,1.806,,1.485,,,,,,,,,,,2.288,,,,,,,,,,,,,,,,,,,,,,,,-0.436,1.83,,-0.39,1.913,,,,,,,,,,,,,,,,,,,0.313,1.772,,,,,,,,1.277,,,,,
,,"GDP per capita, USD PPPs ",,metadata/GDP_HAB_PPP.html,,,,,,GDP_HAB_PPP,1957.643,11872.414,14163.274,,7375.983,,23470.845,20451.758,8432.48,,47769.668,50688.19,18511.826,25346.575,50169.084,3609.396,16653.427,17859.457,46700.743,8432.648,1947.708,,8196.77,6420.745,10214.452,17456.071,15243.039,,78475.631,19057.78,1738.797,836.594,3485.425,3120.584,44025.182,6628.822,,636.735,2766.972,23477.544,14388.112,14129.6,1518.357,6620.287,,16422.071,3303.777,23642.489,,32306.937,35127.44,,774.558,49810.325,3203.119,11588.021,14770.551,11168.2,11262.284,8292.719,32455.304,1175.72,29633.141,1773.877,8763.021,43363.482,41489.898,21394.486,1650.836,9566.213,48989.492,4215.864,,26691.12,12981.502,7720.532,1237.957,1505.942,7193.839,1793.686,,4861.204,56689.148,27007.634,51122.401,4113.691,11125.884,17571.641,15112.949,72772.024,37798.933,38328.097,8742.255,41534.125,12162.133,24345.741,3245.525,1725.965,70258.715,3314.056,5334.626,25933.705,18416.627,3015.834,880.026,14854.518,,29896.755,103352.164,,1467.134,1135.148,26141.125,13604.939,1788.989,37880.532,3381.816,4432.673,19464.539,18582.8,3001.475,,12268.343,15716.609,,8194.081,1243.499,5164.099,11182.24,,2464.724,51284.583,,38832.778,4972.241,1074.418,6184.742,,59349.98,44727.782,4902.087,14684.071,,20512.46,2732.228,8671.134,11999.75,7318.391,27463.87,30662.255,133039.599,35750.566,4998.776,23406.33,23224.677,1782.57,22324.136,11888.972,11009.016,5342.135,62119.793,3274.339,54509.179,2425.454,13576.84,26655.224,1555.985,84900.802,30694.236,33424.741,1940.757,,13328.912,36443.186,11119.739,4355.918,16509.881,9714.202,49409.774,63739.037,6374.903,2748.835,16081.217,13938.64,5884.591,1505.944,,5068.004,32649.557,11450.202,24807.227,15334.522,,3420.272,1999.327,7989.643,66996.664,42651.342,2900.745,57591.198,21719.056,5999.781,2518.247,15891.685,6019.514,2670.062,4165.427,,,,47407.202,,,,,,,,,,1888.622,,,,,,,,,,,,,3.166,36775.967,43020.56,,34118.958,39713.044,,,,,,,,,,,,,,,,,,,34815.538,42050.736,,,,,,,,36706.421,,,,,
,,"GDP per capita, constant USD PPPs ",,metadata/GDP_HAB_PPPK.html,,,,,,GDP_HAB_PPPK,,,,,,,,18580.025,,,45083.21,43068.773,,,,,,,41249.021,,,,,,,,14757.606,,,17272.849,,,,,42376.162,,,,,21007.275,13262.974,12729.382,,,,14543.658,,20566.625,,30454.929,30643.324,,,44926.027,,,,,,,,,26726.205,,,38494.238,37207.63,,,,43076.42,,,23740.155,,,,,,,,,,24715.956,44563.444,3924.945,10258.959,,,63191.716,31697.885,33621.109,,37491.861,,,,,,,,22852.901,,,,,,26694.407,88429.406,,,,,,,35104.202,,,,16651.762,,,,,,,,,,,,46295.335,,34210.932,,,,,59745.838,,,,,,,,11202.739,,24874.915,27224.447,,35014.197,,20808.617,23164.685,,,,,,,,49290.621,,,,,,29039.887,29011.8,,,12069.556,32796.292,,,,,45215.78,54656.489,,,,,,,,,,,23468.968,,,,,,,38450.113,,52321.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29792.933,38250.251,,27787.496,35314.8,,,,,,,,,,,,,,,,,,,28410.112,38110.97,,,,,,,,31482.454,,,,,
,,"GDP per capita, annual growth rate at constant prices, %",,metadata/GDP_HAB_GRO.html,,,,,,GDP_HAB_GRO,,,,,,,,-0.404,,,0.953,0.208,,,,,,,0.663,,,,,,,,-4.358,,,,,,,,0.243,,,,,0.292,6.387,0.817,,,,3.444,,,,,2.376,,,0.847,,,,,,,,,1.862,,,1.653,0.782,,,,0.95,,,0.357,,,,,,,,,,2.208,5.525,6.265,3.699,,,4.217,1.719,1.06,,1.144,,,,,,,,2.815,,,,,,3.595,1.646,,,,,,,,,,,1.242,,,,,,,,,,,,1.622,,1.81,,,,,0.223,,,,,,,,,,2.753,1.719,,2.364,,,-0.213,,,,,,,,,,,,,,3.121,3.082,,,-1.359,3.139,,,,,2.014,0.286,,,,,,,,,,,1.815,,,,,,,1.089,,0.789,,,,,,,,,,,,,,,,,,,,,,3.795,,,,,,,,,,,,,,,,,1.534,,,,,,,,,,,,,,,,,,,,1.154,,,,,,,,0.778,,,,,
,,"Value added in industry, million current USD PPPs",,metadata/VA_PPP.html,,,,,,VA_PPP,,,,,,,,507157.135,,,751604.083,282545.65,,,,,,,324878.776,,,,,,,,,,,,,,,,1023338.534,,,,,288255.019,15905784.33,,,,,,,,,,252596.27,,,166314.497,,,,,,,,,24441.768,,,133240.611,1579668.848,,,,2560269.835,,,154990.129,,,,,,,,,,164612.45,10508.532,,,,,246265.011,189332.966,1405532.6,,3788096.399,,,,,,,,31701.366,,,,,,,41378.386,,,,,,,,,,,1647075.098,,,,,,,,,,,,561481.573,,116668.953,,,,,193286.571,,,,,,,,,,747513.163,185944.733,,1257898.148,,318053.693,2416909.902,,,,,,,,,,,,,391415.78,120255.072,44857.943,,,495164.41,1055815.753,,,,,302835.516,370295.264,,,,,,,,,,,1338612.903,,,,,,,1698375.494,,11801845.14,,,,,,,,,,,847813.863,,,,,,,,,,,,,,,,,,,,,,,,,10699537.41,,,12643333.92,,,,,,,,,,2958559.774,,,,,,,,,,34862333.05,,,,,,,,,,,,,
,,"GDP percent change from preceding period, at annual rates (volume)",,metadata/GDPVANN_X.html,,,,,,GDPVANN_X,,,,,,,,,,,2.443,1.608,,,,,,,1.192,,,,,,,,-3.604,,,,,,,,1.433,,,,,1.589,6.7,1.96,,,,,,,,,2.328,,,1.288,,,,,,,,,1.722,,,1.387,1.103,,,,1.783,,,-0.053,,,,,,,,,,1.857,7.2,7.14,5.016,,,5.222,4.041,0.993,,1.042,,,,,,,,1.95,,,,,,,4.192,,,,,,,,,,,2.036,,,,,,,,,,,,2.132,,3.946,,,,,1.078,,,,,,,,,,2.679,1.404,,2.828,,,-0.242,,,,,,,,,,,,,,3.285,2.492,,,0.279,3.236,,,,,3.053,1.31,,,,,,,,,,,3.074,,,,,,,1.806,,1.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.395,,,,1.779,,,,,,,,2.679,,,,,
