CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Employment,Latest available,,,metadata/EMP.html,,,,,,EMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employment, total",,metadata/EMP_NB.html,,,,,,EMP_NB,,,,,,,,,,,11590.13,4112.784,,,,,,,4453.71,,,,,,,,95880.3,,,,,,,,17867,,,,,,,,,,,,,,,,4974.295,,,2729.7,,,,,,,,,627.7,,,2467,26575.31,,,,39855,,,,,,,,,,,,3886,4101.3,,,,,,1901.5,3450,22278.92,,,,,,,,,,,,,,,,,396.1,,,,,,,,,,,,,,,,,,,,,,,8401.7,,2314,,,,,2637,,,,,,,,,,15847,4499.5,,,,,72323.63,,,,,,,,,,,,,3227,2218.3,,,,,17344.97,,,,,,,,,,,,,,,,,21791,,,,,,,30607.85,,147652.3,,,,,,,,,,,11079,,,,,,,,,,,,,,,,,,,,,,,,142057.8,34378.109,,217205.3,217508.3,,,,,35115.98,,,,,,,,,,,,,,,,,,,,,,,86570.98,,,,
,,"Employment rate, % of working-age population",,metadata/EMP_X1564.html,,,,,,EMP_X1564,,,,,,,,,,,73.867,71.737,,,,,,,62.204,,,,,,,,68.874,,,,,,,,73.423,,,,,63.921,,68.696,,,,,,,,,69.981,,,74.069,,,,,,,,,71.87,,,70.006,64.943,,,,74.931,,,51.405,,,,,,,,,,61.042,82.018,,,,,63.011,69.872,56.285,,79.876,,,,,,,,,,,,,,,104.16,,,,,,,,,,,63.049,,,,,,,,,,,,74.852,,78.183,,,,,77.469,,,,,,,,,,58.864,64.097,,69.49,,,70.196,,,,,,,,,,,,,,60.456,65.423,,,,55.814,,,,,76.924,87.343,,,,,,,,,,,49.678,,,,,,,73.765,,69.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.403,,,,,,,,,,,,,,,,,,,,,,,15.782,,,,
,,"Employment rate, women, % women in working-age population",,metadata/EMPF1564_X1564F.html,,,,,,EMPF1564_X1564F,,,,,,,,,,,67.94,67.462,,,,,,,58.112,,,,,,,,57.034,,,,,,,,70.203,,,,,52.339,,56.325,,,,,,,,,61.693,,,70.959,,,,,,,,,69.312,,,69.32,62.028,,,,70.522,,,42.428,,,,,,,,,,55.636,79.347,,,,,57.378,65.017,47.369,,68.907,,,,,,,,,,,,,,,84.882,,,,,,,,,,,46.14,,,,,,,,,,,,69.539,,72.348,,,,,75.364,,,,,,,,,,52.439,60.603,,59.768,,,65.838,,,,,,,,,,,,,,53.875,61.776,,,,51.381,,,,,74.421,79.879,,,,,,,,,,,29.773,,,,,,,68.696,,64.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55253542.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Vulnerable employment, % of total employment",,metadata/EMPV_XEMP.html,,,,,,EMPV_XEMP,,58.1,26.9,,,7.8,8.1,20.5,42.4,4.1,9,8.6,56.4,,2,57.8,14,2.1,10.5,23.5,87.7,7.7,53.1,54.3,25.3,12.9,23.1,,,8.7,89.6,93.7,64.1,73.6,,39.6,3.8,,,24.4,,47.9,,75.1,,20.7,79,10.4,,14.2,14.5,,,5.4,,25.9,41.7,39,26.4,37.6,,,5.7,88.8,38.8,9.8,7.2,31.3,60.5,59.8,6.3,76.8,,29.6,,44.5,89.8,,,,,53.3,6.9,5.8,8.5,80.8,33,40.5,,12.7,7.2,18.1,37.5,10.5,9.7,28.6,,53.3,2.2,41.6,83.9,7.6,27.8,17.4,78.7,,,9.8,6.3,3.5,86,,21.1,18.8,82.9,9.4,,,17.1,29.2,,,51.4,,,50.7,87.8,,7.8,,71.6,12.8,17.3,12.1,47.1,84.8,,,5.3,,63.1,,25.6,29.9,,38.1,46.3,38.4,17.2,14.5,0.2,24.8,32,30.9,6,77.7,8.5,28.7,8,30.9,,,,58,28.6,10.4,92.4,8.7,12.2,15.1,,,9.3,12.5,43.1,,12.9,,6.7,9.1,32.9,47.1,55.9,22.8,69.6,89.1,,55.2,15.6,21.6,29.4,,,2,78.9,18.1,1,12.7,74,,22.5,,70,30.3,62.6,29.6,79,,13.7,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,0.2,,,,,14.9,,,,,11.958,,,17.151,15.9,15.9,,,,,,,,,,
,,"Vulnerable employment, women, % of women in employment",,,,,,,,EMPVF_XEMF,,62.1,24.4,,,5,7,16.3,47.8,2.4,6.9,8.1,62.1,,1.1,38,9.9,1.7,8.5,21.5,92.9,5,67.5,64.1,24.1,16,18.8,,,7.1,93.1,92.7,69.7,84.1,,44,2.5,,,23.8,,49,,89.4,,19.4,89.3,9.3,,11.4,11.2,,,3.9,,20.5,28.9,47.9,46,45.8,,,4.3,91.4,37,7.4,6,38.5,69.7,60.5,5.5,84.3,,26.5,,55.9,94.8,,,,,56.8,4.3,4.8,6.1,85,47.5,48.8,,5.8,5.3,14.7,30.5,11.4,2.3,28.5,,54.2,1.4,37.9,88.9,6.4,15.9,20.4,88.6,,,8.9,6.1,2.2,90.1,,23.6,27.6,89,5.3,,,15.3,32.4,,,49.5,,,64.6,95.9,,7.7,,83.5,10.7,13.7,9.4,55.7,89.2,,,3.6,,77.8,,33.3,27.8,,41,53.4,42,15,11.8,0,26.9,27.2,31,5.5,84.4,6.9,25.3,7.6,31.7,,,,67.7,25.7,5.8,96.3,6.2,8.1,14,,,10.1,9.5,47.7,,9.1,,4.5,9.5,15.9,41.1,57.8,19.4,78.1,94.3,,59.5,11.6,17.2,38.5,,,1.7,85.5,19,0.5,9,79.7,,21.3,,74.5,30.3,69,40.2,88.2,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.181,,,16.862,12.4,,,,,,,,,,,
,,"Self-employment, thousand",,metadata/SLFEMP_NB.html,,,,,,SLFEMP_NB,,,,,,,,,,,1203.778,536.85,,,,,,,680.475,,,,,,,,31117.85,,,,,,,,1551.2,,,,,2148.326,,11373.1,,,,,,,,,881.75,,,257.35,,,,,,,,,59.9,,,343.525,3140.25,,,,4315.375,,,1252.35,,,,,,,,,,467.275,22.916,,,,,340.55,477.33,5447.4,,6800,,,,,,,,102.1,,,,,,,15.5,,,,,,,,,,,16220.69,,,,,,,,,,,,1416.925,,441,,,,,183.475,,,,,,,,,,3355.5,818.025,,6689,,,5424.266,,,,,,,,,,,,,,367.325,129.875,,,,3107.1,,,,,490.425,664.575,,,,,,,,,,,8830.525,,,,,,,4878.725,,9692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22248.6,,,35633.6,35503.4,,,,,,,,,,,,,,,,,,,,86463.25,,,,,,,,,,,,
,,"Self-employment, % total employment",,metadata/SLFEMP_XEMP.html,,,,,,SLFEMP_XEMP,,,,,,,,,,,10.081,12.721,,,,,,,14.836,,,,,,,,32.941,,,,,,,,8.58,,,,,26.474,,51.332,,,,,,,,,17.159,,,9.063,,,,,,,,,9.392,,,14.032,11.813,,,,10.457,,,34.091,,,,,,,,,,10.738,12.473,,,,,16.859,12.774,23.936,,10.559,,,,,,,,11.541,,,,,,,8.006,,,,,,,,,,,31.537,,,,,,,,,,,,16.814,,17.883,,,,,6.955,,,,,,,,,,20.717,17.763,,25.496,,,7.493,,,,,,,,,,,,,,15.154,14.194,,,,16.94,,,,,9.988,14.433,,,,,,,,,,,32.447,,,,,,,15.425,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.943,,,16.53,15.837,,,,,,,,,,,,,,,,,,,,15.783,,,,,,,,,,,,
,,"Part-time employment, thousand",,metadata/PTEMP_NB.html,,,,,,PTEMP_NB,,,,,,,,,,,3083.328,875.095,,,,,,,746.133,,,,,,,,16995.78,,,44.109,,,,,3467.6,,,,,1415.291,,3487.05,,,,311.88,,73.305,,39.404,254.136,,,615.209,,,,,,,,,55.842,,,340.6,3714.123,,,,9097.398,,,400.223,,,,,,,,,,162,33.733,,,,,415.492,494.297,4191.104,,14230,,,,,,,,63.665,,,,,,80.819,31.141,,,,,,,18.892,,,,9046.795,,,,,,,,,29067.395,,,3165.735,,521.4,,,,,504.33,,,,,,,,,,961.193,389.272,,2810.6,,261.638,3109.594,,,,,,,,,,,,,,142.109,72.13,,,1432.762,2448.11,,,,,675.23,1243.257,,,,23.552,,,,,,,2572,,,,,,,7273.243,,16098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36491.112,40378.838,,,,,,,,,,,,,,,,,,,92064.814,,,,,,,,,,,,
,,"Part-time employment, % of total employment",,,,,,,,PTEMP_XEMP,,,,,,,,,,,25.001,20.882,,,,,,,15.746,,,,,,,,16.382,,,,,,,,19.211,,,,,,,,,,,,,,,,4.759,,,18.981,,,,,,,,,7.583,,,13.133,13.369,,,,22.337,,,,,,,,,,,,,4.232,,,,,,20.933,13.441,18.731,,,,,,,,,,,,,,,,,9.233,,,,,,,,,,,,,,,,,,,,,,,37.006,,20.696,,,,,18.602,,,,,,,,,,9.224,10.327,,,,,4.22,,,,,,,,,,,,,,2.371,,,,,13.961,,,,,,,,,,,,,,,,,10.853,,,,,,,23.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
