CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>Employment protection legislation index (EPL),Latest available,,,,,,,,,EPLIDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EPL - Strictness of employment protection – individual dismissals (regular contracts),,metadata/EPLDSMI_I.html,,,,,,EPLDSMI_I,,2.495,,,,,,2.62,,,1.94,2.442,,,,,,,2.995,,,,,1.935,2.582,,1.746,,,,,,,,1.506,,,,,1.805,3.006,2.338,,,,1.202,,2.298,,,2.66,,,2.32,,,1.399,1.782,,1.211,,,2.066,,,2.167,2.823,,,,2.842,,,2.41,,1.016,,,,,,2.44,,2.074,2.458,2.615,2.947,,,2.069,2.216,2.889,1.554,2.085,,2.289,,,,,,2.907,,,,,,2.416,2.735,,,,1.934,,,,,,,2.615,,,,2.877,,,,,,,,2.938,,1.007,1.48,,,,2.31,,,,,1.735,,1.753,2.214,,2.391,2.685,,2.168,,,2.474,,,,,,,,1.147,,2.228,,,,2.256,2.387,,,,2.355,,,,,2.517,2.104,,,2.166,2.293,,,,,,1.948,2.328,,,,,,,1.592,,1.171,1.989,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.285,,,,,,,,,,,,
,,EPL - Strictness of employment protection – collective dismissals (regular contracts),,metadata/EPLDSMC_I.html,,,,,,EPLDSMC_I,,3.125,,,,,,3.875,,,2.875,3.25,,,,,,,5.125,,,,,0,2.563,,1.5,,,,,,,,2.969,,,,,0,2.25,4,,,,0,,2.25,,,2.125,,,2.875,,,0,1,,0,,,2.875,,,1.625,3.375,,,,3.625,,,3.25,,0,,,,,,3.375,,3.625,3.5,0.438,0,,,3.5,1.875,3.75,1.375,3.25,,0,,,,,,3.75,,,,,,2.875,3.875,,,,0,,,,,,,4.375,,,,3.625,,,,,,,,3.188,,0,1.75,,,,2.5,,,,,0,,1.375,3.75,,2.875,1.875,,1.875,,,1.5,,,,,,,,0,,3.625,,,,3.375,3.375,,,,3.375,,,,,2.5,3.625,,,0,3.25,,,,,,0,2.625,,,,,,,2.625,,2.875,2.125,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.902,,,,,,,,,,,,
,,EPL - Strictness of employment protection – temporary contracts,,metadata/EPLTMP_I.html,,,,,,EPLTMP_I,,,,,,,,3.042,,,1.042,2.167,,,,,,,2.417,,,,,3.292,,,4.083,,,,,,,,0.21,,,,,2.417,1.875,2.25,,,,2.958,,2.875,,,2.125,,,1.792,,,2.125,3.958,,2.25,,,3.042,,,1.875,3.75,,,,1.75,,,2.917,,2.25,,,,,,2.375,,2,1.292,2.542,2.958,,,1.208,1.583,2.708,0.417,1.25,,,,,,,,1.792,,,,,,3.333,3.833,,,,0.292,,,,,,,2.292,,,,2.083,,,,,,,,1.167,,0.917,1.042,,,,3.417,,,,,4.292,,1.667,2.875,,2.333,2.333,,2.542,,,1.25,,,,,,,,3.458,,,,,,2.417,2.125,,,,3.167,,,,,1.167,1.375,,,3.667,3.5,,,,,,0.542,4.958,,,,,,,0.542,,0.333,4.542,,,5.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.083,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EPL - Strictness of employment protection – individual dismissals (regular contracts),,,,,,,,,,2.495,,,,,,,,,,,,,,,,,,,,,,,2.582,,,,,,,,,,,,,,,,,,,,,,,2.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.289,,,,,,,,,,,,2.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.228,,,,,,,,,,,,,,,,,,,2.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EPL - Strictness of employment protection – collective dismissals (regular contracts),,,,,,,,,,3.125,,,,,,,,,,,,,,,,,,,,,,,2.563,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,2.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.625,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EPL - Strictness of employment protection – temporary contracts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EPL - Strictness of employment protection – individual dismissals (regular contracts),,,,,,,,,,,,,,,,2.62,,,,,,,,,,,,,,,,1.935,,,,,,,,,,,,,,,,,,2.338,,,,1.202,,,,,,,,,,,1.399,1.782,,1.211,,,,,,,,,,,,,,,,1.016,,,,,,2.44,,,,,,,,,,,1.554,,,2.289,,,,,,,,,,,,2.416,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,,,,,,,,1.735,,1.753,2.214,,,,,,,,,,,,,,,,,,,,,,,2.387,,,,,,,,,,,,,2.166,,,,,,,,,,,,,,,1.592,,,1.989,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EPL - Strictness of employment protection – collective dismissals (regular contracts),,,,,,,,,,,,,,,,3.875,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,4,,,,0,,,,,,,,,,,0,1,,0,,,,,,,,,,,,,,,,0,,,,,,3.375,,,,,,,,,,,1.375,,,0,,,,,,,,,,,,2.875,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,,,,,,,0,,1.375,3.75,,,,,,,,,,,,,,,,,,,,,,,3.375,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2.625,,,2.125,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EPL - Strictness of employment protection – temporary contracts,,,,,,,,,,,,,,,,3.042,,,,,,,,,,,,,,,,3.292,,,,,,,,,,,,,,,,,,2.25,,,,2.958,,,,,,,,,,,2.125,3.958,,2.25,,,,,,,,,,,,,,,,2.25,,,,,,2.375,,,,,,,,,,,0.417,,,,,,,,,,,,,,,3.208,,,,,,,,,,,,,,,,,,,,,,,,,,,1.042,,,,,,,,,4.292,,1.667,2.875,,,,,,,,,,,,,,,,,,,,,,,2.125,,,,,,,,,,,,,3.667,,,,,,,,,,,,,,,0.542,,,4.542,,,5.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EPL - Strictness of employment protection – individual dismissals (regular contracts),,,,,,,,,,,,,,,,2.62,,,1.94,2.442,,,,,,,2.995,,,,,,,,,,,,,,,,1.506,,,,,1.805,,,,,,,,,,,2.66,,,2.32,,,,,,,,,2.066,,,2.167,2.823,,,,2.842,,,2.41,,,,,,,,,,2.074,2.458,,,,,2.069,2.216,2.889,,2.085,,,,,,,,2.907,,,,,,,2.735,,,,1.934,,,,,,,2.615,,,,2.877,,,,,,,,2.938,,1.007,,,,,2.31,,,,,,,,,,2.391,2.685,,2.168,,,,,,,,,,,,,,,,,2.256,2.669,,,,2.355,,,,,2.517,2.104,,,2.166,,,,,,,1.948,2.328,,,,,,,1.663,,1.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.285,,,,,,,,,,,,
,,EPL - Strictness of employment protection – collective dismissals (regular contracts),,,,,,,,,,,,,,,,3.875,,,2.875,3.25,,,,,,,5.125,,,,,,,,,,,,,,,,2.969,,,,,0,,,,,,,,,,,2.125,,,2.875,,,,,,,,,2.875,,,1.625,3.375,,,,3.625,,,3.25,,,,,,,,,,3.625,3.5,,,,,3.5,1.875,3.75,,3.25,,,,,,,,3.75,,,,,,,3.875,,,,0,,,,,,,4.375,,,,3.625,,,,,,,,3.188,,0,,,,,2.5,,,,,,,,,,2.875,1.875,,1.875,,,,,,,,,,,,,,,,,3.375,3.375,,,,3.375,,,,,2.5,3.625,,,0,,,,,,,0,2.625,,,,,,,2.875,,2.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.902,,,,,,,,,,,,
