CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>Exports, manufacturing",Latest available,,,,,,,,,EXPMNF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Exports, manufacturing, thousand USD",,metadata/EXPMAN_NC.html,,,,,,EXPMAN_NC,,1512173.289,9066126.256,,,,,42742067.82,,,70183958.13,139503973.4,,,9593788.393,31349908.42,,21455880.2,359170647.4,,161332.546,,,2717494.945,4701663.899,1218880.672,124481881.7,,426244.192,21477322.54,,,9819532.083,1134109.812,281444929.2,,,,,38770273.31,2063223061,13229487.54,,2493331.712,,7096308.315,5869752.832,12200661.46,1010007.296,1613337.737,153778719.2,,,84786803.83,,,7870481.609,7034571.05,17740437.54,5106710.71,,,12723461.66,652095.596,,54524267.86,459870454.2,440708.896,,1564670.175,1273517198,6280499.356,,23945220.34,,7160425.472,,,,,,3033380.867,505634720.1,98338797.53,4199139.783,245353370.7,105760516.7,27173511.17,,125881663.6,55659213,445133339.4,991321.207,596775722.6,6191213.064,12873443.48,3037205.76,,20465961.68,1158359.574,,9849430.761,2754957.816,,,,,22577187.61,12174081.43,,,,169246908.9,,,3865954.458,,,,333307167.1,,,1162091.032,253560.505,,19666230.48,2328632.064,5243673.198,2513763.607,,537604.608,403636259.6,,26700489.38,3939195.572,,10699983.87,,35588354.39,10976850.83,19239345.28,,,10844820.01,,3868319.787,18946148.68,52814385.08,187039986.9,52761698.37,48010014.41,492077893.9,1563472.81,57972405.29,136877360.2,,,,,,,,68859185.31,2200041.562,13195268.15,346806.05,,306679369.7,74674562.8,24879367.05,,,54662722.27,251751686.5,8994172.961,1131758.592,,,125194881.9,299136350.3,5339544.618,,200245280.8,4338016.937,,547220.737,,,7201003.279,12454178.89,134449332.2,,,,,26683594.75,101387744.7,360749054.8,3284491.794,1282377939,4962165.839,,,12770823.17,150009313.9,321853.664,6411239.576,,,,275977912,,,,,,,,,,,,,,,,,,431982125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Exports, high technology, thousand USD",,metadata/HITECH_NC.html,,,,,,HITECH_NC,,19223.729,13627.655,,,,,1472486.977,,,8408581.399,20395506.27,,,328236.257,115218.384,,628569.8,59558557.49,,1789.252,,,3806.084,79324.781,37079.04,9855378.57,,116336.632,2008914.856,,,198481.197,13464.097,35609980.19,,,,,546546.969,637964762,620084.923,,47750.584,,645481.388,79909.856,1566985.453,436376.32,505853.369,26678141.29,,,20474512.44,,,237913.279,198578.367,935376.619,332004.889,,,2252850.365,75030.211,,4562435.543,128373862.8,14982.587,,136142.098,245842060,89181.952,,2549447.126,,369730.176,,,,,,31276.817,287029608.2,19338766.02,142691.232,22514545.33,6445074.814,197515.584,,54501002.25,19471976,44386526.6,24473.117,100772455.2,1405631.201,135588.079,131084.736,,256511.812,66759.536,,1787036.306,106751.383,,,,,2172831.321,885847.44,,,,66403181.15,,,1670078.129,,,,74814341.75,,,40015.359,15277.82,,1110769.665,42499.264,270974.232,54949.56,,9009.482,83806159.83,,990184.056,13817.605,,96579.656,,4146137.285,378113.906,317257.43,,,2733065.498,,52779.165,105605.523,28552752.49,21647037.1,4370112.258,423295.348,139597882,80707.606,4803190.157,5666366.347,,,,,,,,1678374.901,37310.834,503244.22,4134.098,,142206324.2,13928788.78,3752279.1,,,2556188.707,24219114.1,147347.156,1768.612,,,21661913.25,104197161.1,92272.678,,40422019.07,121532.408,,11231.778,,,225177.299,1556073.984,4243638.773,,,,,1314021.248,11638635.84,103922118.2,24444.286,379078863.7,215671.609,,,13386.022,49641467.5,17444.658,43504.098,,,,137118763.3,,,,,,,,,,,,,,,,,,76889424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Exports, medium-high technology,  thousand USD",,metadata/MHTECH_NC.html,,,,,,MHTECH_NC,,99036.507,1318792.261,,,,,10805800.89,,,15812329.55,59674756.66,,,1410782.85,439179.902,,7635692.5,163343858.3,,21124.137,,,118680.261,1237542.519,267547.304,35122769.57,,228512.16,6585278.88,,,687373.238,220694.823,120303406.4,,,,,4186059.079,551535930,3712288.518,,182805.568,,3150532.067,716228.16,3465256.052,180262.912,232141.775,77569780.44,,,27330323.41,,,2027170.1,375665.34,4234364.154,329007.133,,,3887080.428,58578.381,,19596395.02,173695043.3,80980.048,,349241.885,670291582.8,413372.915,,3257900.303,,1117934.336,,,,,,974444.263,71089890.34,54616183.42,229863.749,57417089.49,25450461.47,10161241.09,,53472763.97,15398286,189118081.8,493371.896,366281376.6,1812289.053,3103175.267,552528.192,,4029447.738,117177.821,,2010027.241,794623.887,,,,,6635657.234,3719335.317,,,,39282500.19,,,547068.941,,,,186671083.2,,,102018.384,38878.04,,10032840.37,71211.784,517885.963,229148.028,,29413.04,144410640.8,,2983376.134,597651.944,,815934.976,,9974243.381,4853054.117,1123563.829,,,3651252.165,,289384.867,1160600.912,10871061.63,71783955.47,15063538.85,4731022.073,202608700.4,384150.436,28120925.37,26417294.48,,,,,,,,33701091.56,391325.429,5145340.499,4905.351,,93751332.18,37754239.12,11377187.21,,,20431466,114652659,712859.538,12700.636,,,52842861.22,66010955.33,810664.513,,78604615.68,2346638.296,,154651.078,,,3573870.73,5062766.422,44350641.1,,,,,5546482.176,21278184.71,140533788.6,127304.921,520332771.4,423267.294,,,1072041.536,17023322.45,150794,366508.987,,,,73068991.11,,,,,,,,,,,,,,,,,,171914635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Exports, medium-low technology,  thousand USD",,metadata/MLTECH_NC.html,,,,,,MLTECH_NC,,1148740.271,7703758.418,,,,,26419543.97,,,23156282.04,36408267.62,,,5099017.379,30572315.89,,10773746,92032348.42,,82519.328,,,1359564.556,2707774.083,192200.476,57494984.89,,59027.688,8007390.491,,,8560614.985,694147.439,77147597.7,,,,,16827589.23,578813300.1,5790156.918,,2213766.656,,2395768.504,2387860.992,5695585.411,92353.952,734706.953,29608050,,,30370514.54,,,2806737.393,5894156.669,7387048.299,3866884.165,,,5292830.571,375035.882,,20533262.28,103875416.1,119611.928,,726317.959,211809085.9,927503.832,,13967585.59,,1170505.088,,,,,,1650584.548,46858198.57,15007029.6,2052195.33,99333651.17,56043053.12,12671315.97,,15456936.04,4638021,140680036.5,436696.285,37038601.71,2385474.111,2878246.698,929588.736,,15660961.84,207391.514,,4775982.197,1077632.677,,,,,11832693.7,2768119.654,,,,43711192.33,,,1346825,,,,43381415.94,,,175887.153,107162.255,,7605827.587,1515957.632,3958760.073,1078311.642,,94393.504,135097956.6,,20653034.42,2969361.294,,5772357.632,,12595408.31,3871838.031,16864794.09,,,3666375.484,,3319030.546,7294524.264,9515539.441,63584507.74,25907970.17,38096708.76,65814148.26,1013792.763,17193009.07,69255482.15,,,,,,,,26417609.51,1081063.268,5066484.524,306312.42,,55413115.82,13292629.13,5902060.919,,,12030628.2,79240889.99,6785476.867,1035467.84,,,36156365.06,21140658.85,3713872.033,,33856206.85,1257798.34,,164878.558,,,2036238.426,4944590.977,52921719.09,,,,,10348049.41,22822374.98,62959384.99,1161930.884,240786238.3,3972804.038,,,11616441.34,70914755.79,12113.752,465531.544,,,,37456697.42,,,,,,,,,,,,,,,,,,102523538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Exports, low technology,  thousand USD",,,,,,,,LOTECH_NC,,909503.04,216090.112,,,,,25075660.8,,,22752595.97,28910178.3,,,2056451.84,22695249.92,,5595192.32,69328502.78,,63897.688,,,1433566.08,2047998.976,644334.912,52987883.52,,22367.708,5992612.864,,,7501331.456,493572.659,60917903.29,,,,,16564674.56,598033563.7,3787542.784,,48667.704,,2287950.08,2685753.6,3886017.28,301014.144,320453.952,21745443.93,,,25575490.59,,,3350878.72,5160926.72,6262088.192,3836897.28,,,3653706.252,425334.528,,15360405.5,94327748.23,224976.992,,649919.808,158241918.6,1096972.672,,6026377.216,,4502256.128,,,,,,1546917.12,82620137.47,11874328.58,2044417.408,99927138.3,61554003.97,4143438.592,,13982206.15,17834563.58,118137200.6,221118.72,21270085.63,2484688.896,1294777.513,1423951.488,,771374.592,151802.464,,4041680.384,1111803.904,,,,,7428412.416,2505197.312,,,,31565010.94,,,538425.536,,,,35444576.26,,,163059.056,93293.104,,6639670.272,698963.456,767744.704,1448407.936,,404788.544,87819829.25,,21240903.68,2959361.024,,4015111.424,,6489687.552,1459885.696,18098311.17,,,333447.232,,3917991.424,5790119.219,9745219.584,49434025.98,22233839.62,135899.2,25177171.97,940067.264,13717482.5,20461379.58,,,,,,,,5034971.136,835831.684,3893069.056,261474.64,,19916457.98,8645752.956,3772402.688,,,8622587.904,46640099.33,6688749.056,81821.52,,,26368266.24,30278041.6,2440125.184,,47362437.12,1122956.544,,170907.152,,,323646.464,5108160.512,48601179.2,,,,,9475043.328,34906202.11,61702858.59,1770288,194596094,4073010.688,,,68262.752,64343199.74,141501.264,741603.584,,,,20223057.92,,,,,,,,,,,,,,,,,,79524334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Exports, manufacturing, thousand USD",,,,,,,,,,1512173.289,9066126.256,,,,,42742067.82,,,70180554.09,,,,9593788.393,,,21390079.9,359166556.1,,161332.546,,,,4701663.899,1218880.672,124481582.1,,,21477115.56,,,9819532.083,,281331317.3,,,,,38770273.31,2063009029,13229487.54,,,,7096308.315,,12200431.26,,1613336.178,153774036.4,,,84785935.85,,,7870481.609,7034571.05,17740437.54,5106710.71,,,12715063.3,652095.596,,,459851713.7,,,1564670.175,1273462045,6280499.356,,23945118.67,,,,,,,,,505634720.1,98336468.44,4199139.783,245317677,105760516.7,,,125878633.9,55659213,445126836.3,991321.207,596751599.8,6191213.064,12873413.86,,,,1158359.574,,9848681.081,,,,,,22579038.95,12172350.91,,,,169246908.9,,,3865932.359,,,,333296588.2,,,1162091.032,253560.505,,19666230.48,,5243673.198,2513763.607,,,,,26700489.38,,,,,35384521.11,10976850.83,19239345.28,,,,,3874272.264,18946148.68,52814385.08,187027646.1,52761118.48,,492075742.6,1564202.481,57972276.3,136877058.2,,,,,,,,,2200041.562,13195268.15,346806.05,,306679369.7,74669493.95,,,,54662722.27,251746738.3,8994172.961,,,,125191148.7,299136083.6,,,,4338016.937,,547220.737,,,,12454178.89,134507515.8,,,,,,101387744.7,370808071.5,3284491.794,1282340419,4962165.839,,,,,,,,,,275581224.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Exports, high technology, thousand USD",,,,,,,,,,19223.729,13627.655,,,,,1472486.977,,,8353205.304,,,,328236.257,,,628141.6,59251892.5,,1789.252,,,,79324.781,37079.04,9821203.064,,,2000290.88,,,198481.197,,35478276.01,,,,,546546.969,634292404.8,620084.923,,,,645481.388,,1561966.964,,505717.659,26544154.24,,,20437144.68,,,237913.279,198578.367,935376.619,332004.889,,,2284466.743,75030.211,,,128136868.9,,,136142.098,244862983.8,89181.952,,2522730.044,,,,,,,,,287029608.2,19288083.52,142691.232,22472042.78,6445074.814,,,54489195.86,19471976,44195065.11,24473.117,99966772.74,1405631.201,135121.126,,,,66759.536,,1781812.341,,,,,,2170556.497,881018.235,,,,66403181.15,,,1670041.524,,,,74554034.63,,,40015.359,15277.82,,1110769.665,,270974.232,54949.56,,,,,990184.056,,,,,4139182.634,378113.906,317257.43,,,,,52779.165,105605.523,28552752.49,21568947.14,4357142.808,,139326555,80707.606,4794847.139,5659078.186,,,,,,,,,37310.834,503244.22,4134.098,,142206324.2,13905497.76,,,,2556188.707,24086689.95,147347.156,,,,21609910.18,104152341,,,,121532.408,,11231.778,,,,1556073.984,4246765.164,,,,,,11638635.84,105446582.4,24444.286,378034296.5,215671.609,,,,,,,,,,136613552.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Exports, medium-high technology,  thousand USD",,,,,,,,,,99036.507,1318792.261,,,,,10805800.89,,,15862412.05,,,,1410782.85,,,7596055.5,163646127.7,,21124.137,,,,1237542.519,267547.304,35155214.4,,,6592844.172,,,687373.238,,120386800.4,,,,,4186059.079,554976284.7,3712288.518,,,,3150532.067,,3469713.078,,232269.889,77698428.68,,,27362773.88,,,2027170.1,375665.34,4234364.154,329007.133,,,3840066.268,58578.381,,,173887097.7,,,349241.885,671198079.4,413372.915,,3284493.008,,,,,,,,,71089890.34,54664501.98,229863.749,57423067.91,25450461.47,,,53480545.81,15398286,189287916.9,493371.896,367059753.8,1812289.053,3103578.374,,,,117177.821,,2013970.705,,,,,,6641417.044,3722359.542,,,,39282500.19,,,547083.447,,,,186919684,,,102018.384,38878.04,,10032840.37,,517885.963,229148.028,,,,,2983376.134,,,,,9985501.297,4853054.117,1123563.829,,,,,289384.867,1160600.912,10871061.63,71847615.33,15074805.58,,202876452,384150.436,28128894.8,26422688.32,,,,,,,,,391325.429,5145340.499,4905.351,,93751332.18,37771904.68,,,,20431466,114774960.3,712859.538,,,,52888583.69,66054351.04,,,,2346638.296,,154651.078,,,,5062766.422,44370965.46,,,,,,21278184.71,145923808.6,127304.921,521250623.2,423267.294,,,,,,,,,,73176584.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
