CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Direct expenditure for R&D activities,Latest available,,,,,,,,,E_DIRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Direct expenditure for R&D activities, million NC",,,,,,,,E_DIRD_NC,,,,,,,,0,,,10464,1454,,,,,,,1967,,,,,,,,2661.32,,,,,,,,12591,,,,,148027,,0,,,,,,,,,19388,,,19346,,,,,,,,,138,,,1438,9889,,,,14302,,,547.7,,,,,,,,,,60464,0,0,0,,,407,5482,5576,,0,,,,,,,,60,,,,,,150,78,,,,,,,,,,,37340,,,,,,,,,,,,4090,,843,,,,,14260,,,,,,,,,,4187,846,,4990765.52,,,81853,,,,,,,,,,,,,,238,94,,,,3543,,,,,33743,3480,,,,,,,,,,,0,,,,,,,7099,,46740.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Direct expenditure for R&D activities, financed by government, million NC",,,,,,,,E_DIRD_GVF_NC,,,,,,,,0,,,9578,1454,,,,,,,1507,,,,,,,,3813,,,,,,,,8360,,,,,132033,,0,,,,,,,,,11124,,,0,,,,,,,,,113,,,1166,8733,,,,11534,,,424.02,,,,,,,,,,44898,0,0,0,,,407,0,5099,,0,,,,,,,,53,,,,,,68,72,,,,,,,,,,,43896,,,,,,,,,,,,3151,,488,,,,,12767,,,,,,,,,,3064,818,,3635951.67,,,29310,,,,,,,,,,,,,,229,64,,,,3094,,,,,25721,3589,,,,,,,,,,,0,,,,,,,4524,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Direct expenditure for R&D activities, million NC",,,,,,,,,,,,,,,,,,,10464,1454,,,,,,,1967,,,,,,,,,,,,,,,,,,,,,148027,,,,,,,,,,,19388,,,19346,,,,,,,,,138,,,1438,9889,,,,14302,,,,,,,,,,,,,60464,,,,,,407,5482,5576,,,,,,,,,,60,,,,,,150,78,,,,,,,,,,,,,,,,,,,,,,,4090,,843,,,,,,,,,,,,,,,4187,,,,,,81853,,,,,,,,,,,,,,238,94,,,,3543,,,,,33743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Direct expenditure for R&D activities, financed by government, million NC",,,,,,,,,,,,,,,,,,,9578,1454,,,,,,,1507,,,,,,,,3813,,,,,,,,,,,,,132033,,,,,,,,,,,11124,,,,,,,,,,,,113,,,1166,8733,,,,11534,,,,,,,,,,,,,44898,,,,,,407,0,5099,,,,,,,,,,53,,,,,,68,72,,,,,,,,,,,43896,,,,,,,,,,,,3151,,488,,,,,,,,,,,,,,,3064,818,,,,,29310,,,,,,,,,,,,,,229,64,,,,3094,,,,,25721,3589,,,,,,,,,,,,,,,,,,4524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Direct expenditure for R&D activities, million NC",,,,,,,,,,,,,,,,,,,9610,1454,,,,,,,1871,,,,,,,,,,,,,,,,12591,,,,,148027,,,,,,,,,,,19879,,,,,,,,,,,,122,,,1475,9730,,,,13980,,,,,,,,,,,,,,,,,,,,,5396,,,,,,,,,,0,,,,,,404,6,,,,,,,,,,,37340,,,,,,,,,,,,3953,,844,,,,,14260,,,,,,,,,,,846,,,,,74594,,,,,,,,,,,,,,235,99,,,,3618,,,,,32703,3480,,,,,,,,,,,,,,,,,,7099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Direct expenditure for R&D activities, financed by government, million NC",,,,,,,,,,,,,,,,,,,8776,1454,,,,,,,1435,,,,,,,,3162,,,,,,,,8360,,,,,132033,,,,,,,,,,,12274,,,,,,,,,,,,97,,,1203,8521,,,,11351,,,,,,,,,,,,,,,,,,,529,,4968,,,,,,,,,,,,,,,,345,0,,,,,,,,,,,37340,,,,,,,,,,,,3043,,517,,,,,12767,,,,,,,,,,3560,701,,,,,74594,,,,,,,,,,,,,,226,72,,,,3120,,,,,,3265,,,,,,,,,,,,,,,,,,4464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
