CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>FDI stocks,Latest available,,,,,,,,,FDISTK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign Direct Investment (FDI) outward stocks, million NC",,metadata/FDIOS_NC.html,,,,,,FDIOS_NC,,,,,,,,,,,542611,167799,,,,,,,409880,,,,,,,,,,,,,,,,1005227,,,,,92609.261,,,,,,,,,,,456594.908,,,1251266,,,,,,,,,5656.546,,,85352.29,1101103,,,,1139676,,,25577.278,,,,,,,,,,43728303.78,1435709.8,,,,,815202,79686.4,429227.462,,147799700,,,,,,,,1196,,,,,,,3517234,,,,,,,,,,,131105.771,,,,,,,,,,,,4299559,,26336.165,,,,,1456554,,,,,,,,,,95316.9,52110,,276153.193,,,,,,,,,,,,,,,,,2322.914,5460.649,,,,450361,,,,,3159221,1123652.411,,,,,,,,,,,34657.89,,,,,,,1055318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign Direct Investment (FDI) outward stocks, million USD",,metadata/FDIOS_USD.html,,,,,,FDIOS_USD,,,,,,,,,,,396442.61,231414.977,,,,,,,446249.32,,,,,,,,,,,,,,,,726320.087,,,,,92609.261,,,,,,,,,,,18393.285,,,183201.464,,,,,,,,,6158.461,,,92925.738,1198805.661,,,,1383680.631,,,27846.792,,,,,,,,,,152560.108,11078.871,,,,,887536.2,79686.4,467313.513,,1226553.527,,,,,,,,1302.123,,,,,,,3829323.898,,,,,,,,,,,131105.771,,,,,,,,,,,,4681065.868,,18034.764,,,,,165329.625,,,,,,,,,,24433.339,56733.805,,276153.193,,,,,,,,,,,,,,,,,2820.249,5945.181,,,,490322.265,,,,,374279.808,1132599.951,,,,,,,,,,,34657.89,,,,,,,1563897.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign Direct Investment (FDI) outward stocks, % of GDP",,metadata/FDIOS_XGDP.html,,,,,,FDIOS_XGDP,,,,,,,,5.985,,,31.888,66.604,,,,,,,97.091,,,,,,,,9.745,,,,,,,,79.851,,,,,46.866,11.563,,,,,,,,,,9.664,,,60.802,,,,,,,,,28.42,,,39.992,51.163,,,,39.994,,,15.972,,,,,,,,,,156.868,47.99,,6.268,,,283.187,7.286,24.786,,27.803,,,,,,,,4.966,,,,,,,6596.8,,,,,,,,,,,0.84,,,,,,,,,,,,620.694,,9.587,,,,,42.767,,,,,,,,,,6.116,28.497,,20.042,,,26.476,,,,,,,,,,,,,,2.96,13.69,,,,41.101,,,,,74.191,168.424,,,,,,,,,,,5.226,,,,,,,55.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign Direct Investment (FDI) inward stocks, million NC",,metadata/FDIIS_NC.html,,,,,,FDIIS_NC,,,,,,,,,,,735494,135869,,,,,,,418266,,,,,,,,,,,,,,,,768467,,,,,213020.642,,,,,,,,,,,2776778.417,,,777857,,,,,,,,,17462.284,,,74153.67,606370,,,,700092,,,21498.757,,,,,,,,,,55651855.56,1463505.107,,,,,795644,93279,309619.887,,20569200,,,,,,,,13545,,,,,,,3005207,,,,,,,,,,,361233.512,,,,,,,,,,,,3618685,,97603.454,,,,,1263550,,,,,,,,,,715979.7,107384,,169659.191,,,,,,,,,,,,,,,,,40969.24,11564.456,,,,502663,,,,,2553554,870716.285,,,,,,,,,,,147754.53,,,,,,,1048884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign Direct Investment (FDI) inward stocks, million USD",,metadata/FDIIS_USD.html,,,,,,FDIIS_USD,,,,,,,,,,,537366.845,187379.672,,,,,,,455379.423,,,,,,,,,,,,,,,,555250.723,,,,,213020.642,,,,,,,,,,,111858.621,,,113888.287,,,,,,,,,19011.741,,,80733.446,660174.197,,,,849981.697,,,23406.377,,,,,,,,,,194159.214,11293.358,,,,,866242.787,93279,337092.964,,170698.755,,,,,,,,14746.87,,,,,,,3271863.909,,,,,,,,,,,361233.512,,,,,,,,,,,,3939776.81,,66837.947,,,,,143422.247,,,,,,,,,,183532.773,116912.357,,169659.191,,,,,,,,,,,,,,,,,49740.754,12590.589,,,,547265.106,,,,,302525.116,877649.718,,,,,,,,,,,147754.53,,,,,,,1554362.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign Direct Investment (FDI) inward stocks, % of GDP",,metadata/FDIIS_XGDP.html,,,,,,FDIIS_XGDP,,,,,,,,14.507,,,43.223,51.69,,,,,,,101.737,,,,,,,,35.368,,,,,,,,61.99,,,,,101.556,25.158,,,,,,,,,,59.714,,,37.798,,,,,,,,,83.717,,,34.783,28.339,,,,22.959,,,13.694,,,,,,,,,,194.589,67.8,,24.872,,,285.507,8.529,18.707,,4.028,,,,,,,,51.49,,,,,,,5636.461,,,,,,,,,,,2.316,,,,,,,,,,,,515.186,,39.261,,,,,37.1,,,,,,,,,,40.353,59.767,,12.313,,,29.921,,,,,,,,,,,,,,46.469,31.029,,,,45.875,,,,,56.828,125.2,,,,,,,,,,,18.425,,,,,,,45.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign Direct Investment (FDI) outward stocks, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Foreign Direct Investment (FDI) outward stocks, million USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
