CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Family,Latest available,,,,,,,,,FMLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Single-adult households, average number of persons per household",,,,,,,,AVGSNGLHH_NB,,,7.6,,,,,,,,,1.1,,,,,,,1.3,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,1.1,,1.2,1.2,,,1.3,,,,,,,,,1.2,2.4,,1.1,1.2,,,,1.1,,,1.1,,,,,,,,,,1.1,,,,,,1.4,,1.1,,,,,,,,,,1.2,,,,,,1.2,1.1,,,,,,,1.2,,,,33.3,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,1.2,1.2,,,,1.1,,,,,,,,,,,,,,,1.2,1.1,,,,1.2,,,,,1.2,,,,,1.2,,,,,,,1.2,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,37.968,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Average household size,,,,,,,,AVGHHSZ_NB,,,,,,,,,,,,2.2,,,,,,,2.4,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,2.8,,2.6,2.3,,,2,,,,,,,,,2.2,,,2.1,2.2,,,,2,,,2.3,,,,,,,,,,2.3,,,,,,2.7,,2.3,,,,,,,,,,2.3,,,,,,2.1,2.3,,,,,,,2.7,,,,39.2,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,2.7,2.5,,,,2.6,,,,,,,,,,,,,,,2.7,2.3,,,,2.5,,,,,1.9,,,,,3.7,,,,,,,3.5,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2.3,,,2.3,2.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Obese,% of 15-year old population",,,,,,,,OBSTY,,,,,,,,,,,27.9,,,,,,,,18.6,,,,,,,,20.8,,,,,,,,25.8,,,,,25.1,,,,,,,,,,,21,,,,,,,,,,,,18,,,24.8,16.9,,,,23.6,,,,,,,,,,,,,30,,,,,,23,,,,3.7,,,,,,,,23.2,,,,,,,22.6,,,,,,,,,,,8.5,,,,,,,,,,,,,,31.6,,,,,,,,,,,,,,,,,,5.3,,,17.2,,,,,,,,,,,,,,16.9,,,,,,,,,,,,,,,,,,,,,,22.3,,,,,,,26.9,,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Overweight rate at 15, % of 15-year old population",,,,,,,,OVRWT_X,,,,,,,,,,,35.5,,,,,,,,32.4,,,,,,,,,,,,,,,,34.4,,,,,39.3,,,,,,,,,,,34,,,,,,,,,,,,33.3,,,40.2,32.4,,,,36.4,,,,,,,,,,,,,32.3,,,,,,37,,,,20.1,,,,,,,,31.4,,,,,,,35.5,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,,,,,,,,,,,,,,,,,28.1,,,,,,,,,,,,,,,,,34.6,,,,,,,,,,,,,,,,,,,,,,33.1,,,,,,,36.1,,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Time at school, average years of schooling",,,,,,,,YRSEDU_Y,3.2,9.3,,10.4,4.7,,8.9,9.8,10.8,,12.8,10.8,11.2,10.9,9.4,5.1,9.4,11.5,10.9,9.3,3.2,,2.3,9.2,8.3,8.8,7.2,,8.7,10.6,1.3,2.7,5.8,5.9,12.3,3.5,,3.5,1.5,9.8,7.5,7.1,2.8,6.1,,8.4,4.3,11,10.2,11.6,12.3,,3.1,12.1,3.8,7.7,7.5,7.6,6.4,6.5,5.4,3.4,12,,9.9,10.3,11.1,7.4,2.8,12.1,12.9,7,,10.2,8.6,5.6,1.6,2.3,8.5,4.9,,5.5,10,11.3,10.4,4.4,7.5,7.8,5.6,11.6,12.5,10.1,9.6,11.5,9.9,10.4,6.3,7.8,7.2,9.3,4.6,11.5,7.9,5.9,3.9,7.5,10.3,12.4,11.3,,5.2,4.2,9.5,5.8,2,9.9,,3.7,8.5,,,,8.3,10.5,,4.4,3.2,4,6.2,,3.2,11.9,,12.5,5.8,1.4,5.2,,12.6,6.8,4.7,12.2,,9.4,3.9,7.7,9,8.9,11.8,8.2,9.1,11.8,9.8,10.7,11.7,3.3,8.4,8.3,,10.3,,4.7,8.7,4.5,9.5,9.4,2.9,10.2,11.6,11.9,4.5,,9.9,9.6,10.8,3.1,,7.1,11.7,12.2,,9.9,7.3,,4.4,5.3,,9.4,10.8,6.5,7.6,9.9,,,5.4,11.3,9.1,12.3,5.1,12.9,8.5,10,9,8.6,5.5,2.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Single-adult households, average number of persons per household",,,,,,,,,,,,,,,,,,,,1.1,,,,,,,1.3,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,1.1,,1.2,1.2,,,1.3,,,,,,,,,1.2,,,1.1,1.2,,,,1.1,,,1.1,,,,,,,,,,1.1,,,,,,1.4,,1.1,,,,,,,,,,1.2,,,,,,1.2,1.1,,,,,,,1.2,,,,33.3,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,1.2,1.2,,,,1.1,,,,,,,,,,,,,,,1.2,1.1,,,,1.2,,,,,1.2,,,,,1.2,,,,,,,1.2,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Average household size,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,2.4,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,,2.8,,2.6,2.3,,,2,,,,,,,,,2.2,,,2.1,2.2,,,,2,,,2.3,,,,,,,,,,2.3,,,,,,2.7,,2.3,,,,,,,,,,2.3,,,,,,2.1,2.3,,,,,,,2.7,,,,39.2,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,2.7,2.5,,,,2.6,,,,,,,,,,,,,,,2.7,2.3,,,,2.5,,,,,1.9,,,,,3.7,,,,,,,3.5,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Obese,% of 15-year old population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,,,,,,,,,,,,,,,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
