CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Interest rates,Latest available,,,,,,,,,FNINTRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interest rate spread,,,,,,,,INTRTSPR_NB,,6.744,6.25,,12.524,,7.178,3.591,5.983,6.058,3.046,0.375,8.686,3.333,4.887,3.923,5.874,0.158,5.24,7.925,,,10.15,6.744,3.972,6.466,21.985,,5.2,6.622,,,,10.75,2.45,7.415,,10.75,10.75,4.179,2.85,6.778,8.75,10.75,,11.58,,7.726,,3.302,3.943,,14.686,4.7,11.453,6.062,7.176,5.586,4.792,4.643,10.75,,4.256,3.325,3.903,2.664,4.35,10.75,11.989,3.484,7.044,,,4.308,6.786,8.296,11.875,,11.76,8.159,,9.79,4.99,3.015,7.171,,3.853,-2.942,7.379,2.638,3.11,4.885,11.95,0.804,4.471,,8.141,,2.541,5.657,19.613,5.795,1.361,7.614,9.618,3.5,,4.279,,5.2,47.6,31.115,1.539,7.279,,2.621,,11.19,1.716,2.712,15.294,,6.71,7.273,,7.977,6.22,5,4.451,,4.375,-1.112,,1.793,12.49,,7.209,,2,3.066,4.465,,5.585,4.671,9.044,16.879,13.431,4.297,3.284,3.172,3.612,1.728,5.296,5.446,5.102,9.57,6.098,6.198,6.398,6.961,4.838,,,,8,9.315,12.806,5.206,2.003,4.545,10.664,,3.324,1.806,0.34,,4.933,6.485,2.525,2.67,3.685,19.042,4.813,3.758,12.014,,,6.113,6,,,,,,10.718,5.618,4.449,,6.348,,10.636,,3.588,2.53,2.908,6.833,3.696,,,,,,,,,,,,,,,,,,,,,,,,,,,0.962,,,,,,,,,,,,,,,,,,,,,,4.847,,,2.894,,,,,,,,,6,,,
,,"Lending interest rate, %",,,,,,,,LNDINTRT_X,15,8.659,8,,16.382,,10.072,24.009,16.409,8.233,5.95,,17.858,4.75,5.868,13,8.383,18.742,9.5,10.822,,,14.15,9.694,6.638,9,32.008,,5.5,8.278,,15.668,,15,3,10.898,,15,15,8.098,5.6,10.867,10.5,15,,14.903,,9.247,,6.741,4.645,,18.693,7.1,12.69,8.937,13.903,9.806,11.708,13.958,15,,4.764,8,5.761,3.689,6.6,15,28.5,11.91,9.698,,,6.786,9.186,13.773,19.375,,12.833,10.773,,20.612,5,4.435,7.743,10.25,12.605,14,13.126,2.648,3.907,4.867,17.217,1.219,8.99,,16.514,,4.561,15.5,22.613,5.923,7.274,10.339,13.489,6,,5.989,,5.25,60,44.29,4.587,11.417,,4.703,,17,8.5,3.552,15.833,,19.025,9.413,,11.5,14.798,13,8.699,,8,1.625,,5.804,13.538,,16.548,,4.28,5.083,11.73,,6.41,6.83,9.376,21.186,15.743,5.526,5.484,,4.964,4.263,11.013,8.466,11.143,16.67,9.282,8.998,9.031,9.981,5.92,,,,14.81,11.648,19.412,5.35,5.762,5.949,10.91,,9.125,4.306,7.838,,12.283,8.625,3.314,2.69,9.901,24.531,6.772,7.457,12.866,,,8.95,7.5,,,,,,21.528,17.718,8.053,0.5,16.203,3.25,15.534,,4.692,17.212,8.665,22.083,11.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Deposit interest rate, %",,,,,,,,DEPINTRT_X,,1.915,1.75,,3.859,,2.893,20.418,10.426,2.175,2.904,,9.172,1.418,0.982,9.077,2.509,18.583,1.648,2.897,3.5,,4,2.95,2.666,2.534,10.024,,0.3,1.656,3.5,,1.419,2.6,0.55,3.482,,2.6,2.6,3.919,2.75,4.089,1.75,2.6,,3.323,3.5,1.521,,3.439,0.701,,4.007,2.4,1.238,2.875,6.727,4.028,6.917,9.314,2.6,,0.507,4.675,1.859,1.025,1.146,2.6,16.511,8.426,2.653,12.904,,2.229,2.4,5.478,14.35,3.5,1.073,2.614,,10.823,0.01,1.421,4.846,,8.753,16.942,5.747,0.01,0.798,0.945,5.267,0.415,4.519,,8.373,,2.021,9.843,3,0.128,5.913,2.725,3.872,2.5,,1.71,,0.05,12.4,13.175,3.048,4.139,3.5,3.033,,5.81,6.784,0.84,0.539,,12.315,2.139,,3.893,8.578,8,4.248,,3.625,2.737,,4.012,1.048,3.5,9.339,,2.28,2.017,7.265,,0.825,2.159,0.332,4.307,2.312,1.229,2.2,,1.352,2.536,5.717,3.02,6.041,7.1,3.184,2.8,2.633,3.02,1.083,,,3.5,6.81,2.333,6.606,0.144,3.759,1.404,0.246,,5.801,2.5,7.498,,7.35,2.14,0.789,0.02,6.216,5.49,1.958,3.699,0.853,3.5,,2.837,1.5,,16.765,,,,10.81,12.1,3.603,,9.855,,4.898,,1.104,14.682,5.758,15.25,7.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Real interest rate, %",,,,,,,,RLINTRT_X,10.24,7.16,8.732,,12.189,,7.483,-3.302,13.638,16.759,4.279,,17.627,4.842,7.466,6.42,6.935,0.584,8.268,9.755,,,9.117,3.524,4.987,0.883,23.491,,2.417,7.601,,6.8,,13.835,1.201,11.823,,13.904,11.324,2.545,4.734,8.879,8.631,13.724,,9.707,,8.326,,2.329,2.229,,17.165,4.643,9.478,7.202,12.275,1.672,0.204,10.478,12.531,,2.638,-17.122,2.457,3.063,4.874,9.064,22.019,7.846,8.244,,,3.482,4.976,10.503,12.3,,7.949,6.711,,14.736,2.045,1.294,3.567,6.179,6.844,-2.388,14.978,-0.302,2.918,3.981,8.731,-0.416,5.361,,8.363,,3.679,7.016,11.447,5.427,6.121,2.971,9.916,28.212,,3.603,,-3.009,50.862,19.297,2.266,6.82,,2.466,,24.245,6.55,-0.011,13.688,,12.321,6.988,,9.889,11.647,6.017,-2.709,,-6.207,0.37,,1.364,4.059,,11.356,,10.006,6.954,4.271,,3.605,4.665,7.745,14.195,12.465,2.336,3.58,,6.908,3.68,4.672,4.487,3.683,13.672,7.945,4.929,7.076,9.657,4.516,,,,12.682,8.943,23.235,5.12,2.848,2.509,1.985,,3.139,0.183,2.642,,8.995,2.802,2.49,2.887,-1.605,18.08,5.384,5.932,13.863,,,6.515,3.606,,,,,,18.649,2.603,10.652,-1.243,11.014,1.765,5.454,,2.282,-21.14,4.826,13.151,2.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Long-term interest rate on government bonds, %",,metadata/LNGGVINTRT_X.html,,,,,,LNGGVINTRT_X,,,,,,,,,,,2.337,,,,,,,,0.476,,,,,,,,,,,,,,,,1.251,,,,,4.405,,8.021,,,,,,,,,0.428,,,0.321,,,,,,,,,,,,0.365,0.468,,,,0.09,,,8.36,,,,,,,,,,3.143,5.603,7.247,,,,0.688,1.879,1.486,,-0.047,,,,,,,,0.534,,,,,,,-0.177,,,,,,,,,,,5.983,,,,,,,,,,,,0.291,,2.762,,,,,1.302,,,,,,,,,,3.036,,,1.747,,,,,,,,,,,,,,,,,0.543,1.149,,,9.021,1.393,,,,,0.54,-0.363,,,,,,,,,,,9.832,,,,,,,1.305,,1.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Interest rate spread,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Lending interest rate, %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Deposit interest rate, %",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
