CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Venture capital investments,Latest available,,,,,,,,,FNVCINV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Venture capital, millions USD",,,,,,,,VC_USD,,,,,,,,,,,165.77,55.87,,,,,,,130.73,,,,,,,,,,,,,,,,2377.4,,,,,,,,,,,,,,,,4.65,,,93.87,,,,,,,,,7.2,,,119.65,894.22,,,,1051.38,,,0,,,,,,,,,,34.57,,,,,,226.94,1165,96.84,,1367.77,,,,,,,,8.73,,,,,,,0.79,,,,,,,,,,,,,,,,,,,,,,,204.1,,64.25,,,,,103,,,,,,,,,,23.71,16.71,,1212.22,,,46,,,,,,,,,,,,,,11.03,3.28,,,,446.52,,,,,206.61,243.04,,,,,,,,,,,,,,,,,,761.36,,66626.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Venture capital, % of GDP",,metadata/VC_XGDP.html,,,,,,VC_XGDP,,,,,,,,,,,0.013,0.014,,,,,,,0.028,,,,,,,,,,,,,,,,0.155,,,,,,,,,,,,,,,,0.002,,,0.031,,,,,,,,,0.031,,,0.051,0.036,,,,0.03,,,0,,,,,,,,,,0.028,,,,,,0.077,0.381,0.005,,0.024,,,,,,,,0.032,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,0.026,,0.035,,,,,0.028,,,,,,,,,,0.005,0.008,,0.086,,,0.004,,,,,,,,,,,,,,0.012,0.007,,,,0.036,,,,,0.04,0.037,,,,,,,,,,,,,,,,,,0.029,,0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Venture capital, millions USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Venture capital, % of GDP",,,,,,,,,,,,,,,,,,,0.023,0.033,,,,,,,0.015,,,,,,,,,,,,,,,,0.118,,,,,,,,,,,,,,,,0.001,,,0.029,,,,,,,,,0.018,,,0.051,0.031,,,,0.028,,,,,,,,,,,,,0.023,,,,,,0.035,,0.003,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.024,,0.025,,,,,0.016,,,,,,,,,,0.005,0.033,,0.079,,,0.004,,,,,,,,,,,,,,0.011,0.004,,,,0.014,,,,,0.037,0.044,,,,,,,,,,,,,,,,,,0.033,,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Venture capital, millions USD",,,,,,,,,,,,,,,,,,,265.92,81.76,,,,,,,151.17,,,,,,,,,,,,,,,,1464.82,,,,,,,,,,,,,,,,12.03,,,87.51,,,,,,,,,5.84,,,163.73,835.84,,,,880.69,,,0.26,,,,,,,,,,42.65,,,,,,119.41,1165,44.77,,,,,,,,,,,,,,,,,5.86,,,,,,,,,,,,,,,,,,,,,,,224.56,,46.29,,,,,157.18,,,,,,,,,,29.21,65.91,,865.51,,,250.71,,,,,,,,,,,,,,6.24,3.32,,,,132.42,,,,,376.2,224.11,,,,,,,,,,,,,,,,,,1112.62,,49532.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Venture capital, % of GDP",,,,,,,,,,,,,,,,,,,0.018,0.019,,,,,,,0.028,,,,,,,,,,,,,,,,0.082,,,,,,,,,,,,,,,,0.006,,,0.026,,,,,,,,,0.023,,,0.06,0.029,,,,0.023,,,0,,,,,,,,,,0.031,,,,,,0.049,0.381,0.002,,0.024,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,,,,,0.026,,0.023,,,,,0.031,,,,,,,,,,0.005,0.029,,0.061,,,0.013,,,,,,,,,,,,,,0.006,0.007,,,,0.009,,,,,0.066,0.032,,,,,,,,,,,,,,,,,,0.038,,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
