CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>International/foreign students at university/tertiary level (ISCED2011 levels 5 to 8),Latest available,,,,,,,,,FORSUNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total enrolment at tertiary level (ISCED2011 levels 5 to 8), number",,,,,,,,TENR_NB,,,,,,,,417401,,,318575,72037,,,,,,,86871,,,,,,,,1515655,,,,,,,,,,,,,239828,4371034,334477,,,,,,157289,,,83720,,,64719,,,,,0,,,,7610,,,35952,325212,,5358,,560283,,,46226,,,,,,,,,,51286,4039,9414685,1135956,,,29844,82036,268817,0,979320,157757,,,,,,,24150,,,,,,31022,2220,,,,139985,,,,,,,831492,,,,,,,,,,,,143389,,60123,,,,,54419,,389,,,,,0,0,1531362,362703,72514,,481676,,,1326493,,,,,,,,396202,,,,,,42258,14977,,,175218,333432,0,,,,79220,82000,,,501311,,,,,,,73275,1182603,,,,,,54162,498864,,2252812,16476,,,,,,,,,,,,,,,,,,,,,,,,,,27466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"International/foreign students at tertiary level (ISCED2011 levels 5 to 8), number",,metadata/FORSUNI_NB.html,,,,,,FORSUNI_NB,,2091,6529,102,,,215,,4164,,249868,70852.25,4628,,2648,1589,1714,12131,44723,,,86,,,6296,141,12716,,354,11214,2040,1813,68,3385,135187,,346,1800,978,3001,96409,0,2,39,,1480,,842,22754,7454,40138,,2242,29480,,,,,49011,688,,53,1876,,7444,21859,228639,372,,1670,196619,9132,,,4235,,930,,34,,,1582,,20694,1249,31475,7235,4512,3557,12861,10306,82450,797,135803,27931,8710,,,7984,16425,588,3505,27230,127,,,777,3138,2880,,1567,117,63625,,462,591,13,180,924,8020,,,1058,,,8604,396,65,2004,,107,68943,,41352.796,,1181,,,9234,2108,,197,,,,,,2665,27770,14541,7154,55536,1935,,138496,547,,325,,132,,,62143,,8931,,,,10183,2563,,,42180,56361,375,,,79,25437,47142,,3107,20309,1372,,459,,,969,1901,54387,,,,15035,43609,,416693,,784427,,378,,,3996,11393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665363.25,,1379067.25,2914580.046,,,,,,,,,,,,
,,"International/foreign students at tertiary level (ISCED2011 levels 5 to 8), % total enrolment at tertiary-level",,,,,,,,FORSUNI_XTENR,,,,,,,,,,,18,16.8,,,,,,,10,,,,,,,,,,,,,,,,9.7,,,,,0.3,0.3,,,,,,,,,,9.4,,,10.1,,,,,,,,,2.9,,,7.1,9.8,,,,7.1,,,,,,,,,,,,,5.8,6.5,,,,,,,4.4,,3.5,,,,,,,,3.7,,,,,,,43.5,,,,,,,,,,,0.2,,,,,,,,,,,,10.2,,16.1,,,,,3.6,,,,,,,,,,1.5,3.9,,1.7,,,1.7,,,,,,,,,,,,,,4.9,2.6,,,,2.9,,,,,5.8,16.8,,,,,,,,,,,1.1,,,,,,,17.5,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total enrolment at tertiary level (ISCED2011 levels 5 to 8), number",,,,,,,,,,,,,,,,,,,,72037,,,,,,,86871,,,,,,,,,,,,,,,,,,,,,239828,,334477,,,,,,,,,83720,,,64719,,,,,,,,,,,,35952,,,,,560283,,,,,,,,,,,,,51286,,,,,,,82036,268817,,979320,,,,,,,,,,,,,,31022,2220,,,,,,,,,,,831492,,,,,,,,,,,,143389,,60123,,,,,54419,,,,,,,,,,362703,72514,,,,,1326493,,,,,,,,396202,,,,,,42258,14977,,,,333432,,,,,79220,82000,,,,,,,,,,,1182603,,,,,,,498864,,2252812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"International/foreign students at tertiary level (ISCED2011 levels 5 to 8), number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"International/foreign students at tertiary level (ISCED2011 levels 5 to 8), % total enrolment at tertiary-level",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total enrolment at tertiary level (ISCED2011 levels 5 to 8), number",,,,,,,,,,,,,,,,417401,,,,76537,,,,,,,88023,,,,,,,,,,,,,,,,,,,,,248876,,504367,,,,,,,,,88761,,,62594,,,,,,,,,,,,37191,,,,,543360,,,,,,,,,,,,,,4039,9414685,,,,,82071,267915,,963176,,,,,,,,,,,,,,33333,2428,,,,,,,,,,,826193,,,,,,,,,,,,133699,,57064,,,,,51103,,,,,,,,,,403860,72864,,,,,1353469,,,,,,,,418604,,,,,,44742,15804,,,,328696,,,,,81342,77592,,,,,,,,,,,887104,,,,,,,476789,,2286506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
