CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Firms creation and destruction,Latest available,,,,,,,,,FRMCRTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise births, number (total industry and market services)",,metadata/EMPENTBR_NB.html,,,,,,EMPENTBR_NB,,,,,,,,,,,80076,19195,,,,,,,3981,,,,,,,,298030,,,23461,,,,,61600,,,,,,,,,,,,,25035,,2026,11836,,,16359,,,,,,,,,5681,,,15312,127470,,,,154240,,,,,,,,,,,,,53556,,,,,,,27231,113818,,,,,,,,,,5495,,,,,,7853,1991,,,,,,,706,,,,,,,,,,,,,,,,21111,,13575,,,,,11175,,,,,,,,,,107761,30502,,742429,,31570,,,,,,,,,,,,,,,9516,6679,,,,131651,,,,,,13188,,,,,,,,,,,,,,,,,,298920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise birth rate, total economy, % of active enterprises with at least one employee",,metadata/EMPENTRBR_XB1.html,,,,,,EMPENTRBR_XB1,,,,,,,,,,,11.8,9.3,,,,,,,2.2,,,,,,,,13.3,,,12.9,,,,,7.8,,,,,,,,,,,,,20,,5.8,5.7,,,12.4,,,,,,,,,13,,,11.2,11.3,,,,10.5,,,,,,,,,,,,,16.5,,,,,,,12.9,8.3,,,,,,,,,,10.3,,,,,,10.9,10.2,,,,,,,7.7,,,,,,,,,,,,,,,,9.2,,12.5,,,,,9,,,,,,,,,,15.7,10,,15,,8.9,,,,,,,,,,,,,,,8.3,10.2,,,,10.2,,,,,,5.1,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise deaths, number",,metadata/EMPENTDT_NB.html,,,,,,EMPENTDT_NB,,,,,,,,,,,55363,19027,,,,,,,1251,,,,,,,,233362,,,40166,,,,,112390,,,,,,,,,,,,,13700,,2110,31137,,,8267,,,,,,,,,2997,,,17279,130509,,,,110324,,,,,,,,,,,,,87994,,,,,,4767,20804,119545,,,,,,,,,,908,,,,,,3806,1697,,,,,,,207,,,,,,,,,,,,,,,,23050,,11541,,,,,9008,,,,,,,,,,100523,23975,,582131,,34090,,,,,,,,,,,,,,,12928,5143,,,,133955,,,,,,,,,,,,,,,,,,,,,,,,198940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise death rate, % of % of active enterprises with at least one employee",,metadata/EMPENTDTRT_XB1.html,,,,,,EMPENTDTRT_XB1,,,,,,,,,,,8.2,9.2,,,,,,,1,,,,,,,,10.6,,,22,,,,,14.2,,,,,,,,,,,,,11,,,15.1,,,4.1,,,,,,,,,10.3,,,12.7,11.6,,,,7.5,,,,,,,,,,,,,27.2,,,,,,,10.5,8.8,,,,,,,,,,1.7,,,,,,5.3,8.7,,,,,,,2.1,,,,,,,,,,,,,,,,10,,10.9,,,,,7.2,,,,,,,,,,15.1,7.9,,12.1,,9.6,,,,,,,,,,,,,,,11.2,7.9,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise births, number (total industry and market services)",,,,,,,,,,,,,,,,,,,80076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise birth rate, total economy, % of active enterprises with at least one employee",,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise deaths, number",,,,,,,,,,,,,,,,,,,55363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise death rate, % of % of active enterprises with at least one employee",,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise births, number (total industry and market services)",,,,,,,,,,,,,,,,,,,74504,19195,,,,,,,,,,,,,,,298030,,,23461,,,,,61600,,,,,,,,,,,,,25035,,,11836,,,,,,,,,,,,,,,15312,127470,,,,154240,,,,,,,,,,,,,53556,,,,,,,27231,113818,,,,,,,,,,5495,,,,,,7853,1991,,,,,,,706,,,,,,,,,,,,,,,,21111,,12366,,,,,11175,,,,,,,,,,107761,30502,,742429,,31570,,,,,,,,,,,,,,,9516,6679,,,,131651,,,,,,13188,,,,,,,,,,,,,,,,,,298920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise birth rate, total economy, % of active enterprises with at least one employee",,,,,,,,,,,,,,,,,,,11.2,9.3,,,,,,,,,,,,,,,13.3,,,12.9,,,,,7.8,,,,,,,,,,,,,20,,,5.7,,,,,,,,,,,,,,,11.2,11.3,,,,10.5,,,,,,,,,,,,,16.5,,,,,,,12.9,8.3,,,,,,,,,,10.3,,,,,,10.9,10.2,,,,,,,7.7,,,,,,,,,,,,,,,,9.2,,11.7,,,,,9,,,,,,,,,,15.7,10,,15,,8.9,,,,,,,,,,,,,,,8.3,10.2,,,,10.2,,,,,,5.1,,,,,,,,,,,,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise deaths, number",,,,,,,,,,,,,,,,,,,53534,19027,,,,,,,1251,,,,,,,,,,,40166,,,,,112390,,,,,,,,,,,,,13700,,2110,31137,,,,,,,,,,,,2997,,,17279,130509,,,,110324,,,,,,,,,,,,,87994,,,,,,,,119545,,,,,,,,,,908,,,,,,3806,1697,,,,,,,207,,,,,,,,,,,,,,,,23050,,11541,,,,,9008,,,,,,,,,,,23975,,,,34090,,,,,,,,,,,,,,,12928,5143,,,,133955,,,,,,,,,,,,,,,,,,,,,,,,198940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise death rate, % of % of active enterprises with at least one employee",,,,,,,,,,,,,,,,,,,8,9.2,,,,,,,,,,,,,,,,,,22,,,,,14.2,,,,,,,,,,,,,11,,,15.1,,,,,,,,,,,,,,,12.7,11.6,,,,7.5,,,,,,,,,,,,,27.2,,,,,,,,8.8,,,,,,,,,,1.7,,,,,,5.3,8.7,,,,,,,2.1,,,,,,,,,,,,,,,,10,,10.9,,,,,7.2,,,,,,,,,,,7.9,,,,9.6,,,,,,,,,,,,,,,11.2,7.9,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Employer enterprise births, number (total industry and market services)",,,,,,,,,,,,,,,,,,,75025,18770,,,,,,,3981,,,,,,,,307729,,,21181,,,,,61690,,,,,,,,,,,,,12885,,,20541,,,16359,,,,,,,,,5681,,,12349,128569,,,,87427,,,,,,,,,,,,,41459,,,,,,,26096,114297,,,,,,,,,,5470,,,,,,5074,1886,,,,,,,575,,,,,,,,,,,,,,,,20970,,11019,,,,,12417,,,,,,,,,,88845,31679,,660927,,34257,,,,,,,,,,,,,,,23322,5877,,,,132682,,,,,,12442,,,,,,,,,,,,,,,,,,287200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
