CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>GERD (Gross domestic expenditure on R&D),Latest available,,,metadata/G.html,,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, million NC",,metadata/G_NC.html,,,,,,G_NC,,1665.5,4994,,,,,27130.75,12609.9,,33471.5,10906.09,120.9,,12.699,,,4495431,10072.4,,,12.981,,191.115,62.494,672.45,66433.7,,4.925,847.244,7905.79,3602.142,86811.09,,33907,107.457,,,,607407.683,1416988,1936572,,,,155763,,2853.679,373.4,80.4,88663.39,,11812.3,59976,,,,450.307,17561.44,33.658,,,302.766,5242.608,,6070.9,48643.42,32999,35.221,101.56,88781.819,173.371,,1703.82,,176.5,,,,,,67.112,18270.7,468389.7,48507,853261,8085259,23240760,78211.64,2969.282,49489.3,21892,286.837,17436052,67.785,66600.1,24903.6,,148.933,512.429,6560,152.3,,15.358,,,,386.998,671.07,490.95,3995.4,,15058.34,,30866,67.603,,,623.2,97166.208,,1.291,35808.1,13.668,,5606.46,1996.96,9122.008,471.734,,3604.614,13630,,3216,373.495,,45852.6,,60209.2,66.177,67524.6,,,28.3,,182333.4,707.287,15914.71,18060.7,2289.143,3254.836,65959371.73,451,3476.933,914669.1,,,,1.5,,,,22823.97,34642.94,34990.6,15.271,,8526.47,927.272,853.067,,,25660.57,13171.807,9670,192.84,,,137146,22058.97,,52.709,84672,2482.4,,6021.042,,,144.64,533,20615.248,,,,194769.3,12224.9,11772.05,31846.8,375512.7,502893,4467.776,365160.1,,,13390600,,,,,,510443.451,70.543,,,443.3,,,,1.3,,,,,1.95,,,,,,,,,,,,,,,,,,84.352,,,,10.789,,,,,,,,,,,,,,,,,,,51.156,,,,,,
,,"GERD, million USD PPPs",,metadata/G_PPP.html,,,,,,G_PPP,,37.376,241.141,,,,,5030.11,63.663,,23133.557,13675.33,381.622,,62.426,,,870.194,12624.617,,,7.761,,78.276,90.545,183.032,38447.94,,9.636,1253.003,39.662,8.46,64.288,,26715.568,2.211,,,,1603.684,409576.9,1612.804,,,,412.379,,808.085,1113.505,121.872,6927.38,,28.39,8236.211,,,,805.516,7217.893,68.759,,,569.254,787.274,,6712.364,60818.735,131.865,3.544,114.348,114778.121,276.672,,2765.876,,47.978,,,,,,9.214,3169.699,3584.833,345.642,50269.41,2130.258,4172.304,208.638,3638.669,13023.568,30102.133,10.93,170003.023,263.286,744.813,788.177,,831.867,24.741,4.277,307.741,,3.328,,,,871.403,761.031,87.233,5.285,,10637.62,,161.361,112.936,,,38.856,11563.384,,,55.975,37.965,,1483.61,112.508,100.266,81.34,,158.904,16909.717,,2227.865,34.146,,1374.848,,6218.431,442.394,2325.068,,95.534,47.761,,78.96,461.477,886.535,10239.807,3921.526,1288.403,74051.455,66.244,2138.357,40522.05,,,,0.873,,,,12513.25,149.464,866.48,3.97,,10068.17,1911.568,1458.862,,,4956.719,19734.524,219.884,281.296,,,15371.696,17688.258,,26.174,6947.502,129.659,,27.21,,,38.867,815.151,16604.479,,,,243.031,2100.862,5546.376,46259.836,623.754,502893,239.83,405.928,,,1777.392,,,,,,33564.141,,,,548.271,,,,,,,177944.088,,,,,,,,,,,,,,356165.945,,318382.745,386466.764,,,,,,,,,,,,,,,,,,,,1247981.007,,,,,,,,,1609856.3,,,
,,"GERD, million constant USD PPPs",,metadata/G_PPPK.html,,,,,,G_PPPK,,39.312,264.496,,,,,5132.319,58.56,,21551.911,11700.73,347.11,,58.067,,,7983809,11280.108,,,,,79.226,81.648,171.275,35358.52,,9.87,1214.109,40.147,8.289,57.905,,25714.903,2.167,,,,1447.198,376858.922,1486.642,,,,383.204,,717.021,,119.41,6098.015,,29.603,7489.008,,,,749.606,7086.761,63.244,,,511.022,741.481,,6030.387,54500.095,133.542,3.472,105.099,101681.196,276.509,,2482.336,,46.157,,,,,,10.466,2916.093,3244.657,306.064,45952.16,2016.851,4013.975,198.587,3284.33,11106.96,26809.5,13.458,154689.258,268.959,687.351,788.188,,788.027,22.404,4.953,274.684,,3.139,,,,792.822,650.819,80.119,4.916,,9788.202,,161.361,109.021,,,37.166,10628.516,,,51.509,34.666,,1483.583,103.53,120.646,75.655,,158.906,15383.084,,1984.433,31.421,,860.461,,5784.391,401.161,2105.366,,,45.251,,72.158,409.806,839.328,9344.235,3522.599,1239.657,73719.796,60.794,1918.681,36725.155,,,,1.054,,,,11843.68,149.458,778.131,4.274,,9396.071,1795.263,1287,,,4709.387,18029.348,208.177,329.851,,,14187.14,15242.979,,23.397,6347.393,119.369,,25.292,,,36.149,729.369,15691.566,,,,259.301,1926.669,5555.54,42115.013,590.547,462765.554,223.069,369.28,,,1682.77,,,,,,30886.821,,,,522.062,,,,,,,,,,,,,,,,,,,,,319033.709,,275006.021,346318.858,,,,,,,,,,,,,,,,,,,,1143005.176,,,,,,,,,1540506.711,,,
,,"GERD, % of GDP",,metadata/G_XGDP.html,,,,,,G_XGDP,,0.154,0.066,,,,0.42,0.589,0.251,1.66,2.105,3.122,0.222,,0.101,,1,0.517,2.455,,,0.222,0.33,0.157,0.219,0.542,1.168,,0.037,0.957,0.2,0.121,0.118,1.62,1.672,0.073,,,,0.383,2.066,0.242,,,0.3,0.577,,0.854,0.429,0.456,1.947,,0.08,2.959,,,0.07,0.441,0.723,0.13,,,1.495,0.605,2.45,2.898,2.217,0.579,0.132,0.32,2.927,0.377,,0.97,,0.045,,,,,,0.041,0.761,1.378,2.191,0.627,0.085,0.325,0.037,1.537,4.253,1.33,0.061,3.286,0.435,0.169,0.786,,0.302,0.121,0.037,0.625,,0.053,,,,1.042,1.282,0.133,0.015,0.22,1.298,,0.583,0.769,,,0.178,0.534,,0.038,0.155,0.38,,0.714,0.337,0.162,0.337,,0.303,1.994,,1.277,0.108,,0.219,,1.931,0.246,0.246,,0.492,0.063,,0.129,0.117,0.138,1.004,1.275,0.479,4.232,0.37,0.488,1.132,,,,0.12,,,,0.818,0.541,0.866,0.302,1.32,2.198,1.178,2.212,,,0.723,1.225,0.101,0.298,,,3.28,3.417,,0.109,0.627,0.443,,0.271,,0.1,0.086,0.632,0.882,,,,0.475,0.617,0.866,1.701,0.529,2.788,0.336,0.214,,,0.374,0.01,,,,,3.046,0.728,,,0.431,2.61,,,0.27,,0.79,4.683,,,,,,,,,,,,,,2.096,,1.935,1.958,,,0.861,,,,,,,,,,0.26,,,,,,,2.38,,0.71,,,,,,,,0.65,,
,,"GERD, compound annual growth rate at constant prices, %",,metadata/G_GRO.html,,,,,,G_GRO,,,,,,,,9.702,,,2.166,1.467,,,,,,,1.125,,,,,,,,3.3,,,,,,,,-0.669,,,,,4.575,9.345,3.303,,,,5.8,,,,,3.149,,,2.956,,,,,13.522,,,,4.505,,,-8.326,0.415,,,,3.348,,,15.654,,,,,,,,,,4.381,13.249,10.6,,,,5.456,2.086,-2.441,,-2.201,,,,,,,,-6.819,,,,,,6.9,5.804,,,,14.5,,,,,,,1.801,,,,,,,,,,,,1.909,,8.492,,,,,9.225,,,,,,,,,,10.867,0.455,,1.254,,32.863,-0.212,,,,,,,,,,,,,13.161,38.775,-5.101,,,1.425,2.224,,,,,8.527,3.767,,,11.52,,,,,,,,8.664,,,,,,,3.507,,3.793,,,,,,,,,,,2.227,,,,,,,,,,,,,,,,,,,,,,,,,2.064,,2.664,2.634,,,,,,,,,,,,,,,,,,,,2.316,,,,,,,,,,,,
,,"GERD, per capita population (USD PPPs)",,,,,,,,G_XPOP,,,,,,,,119.942,,,1000.413,1595.33,,,,,,,1110.422,,,,,,,,192.729,,,172.782,,,,,732.06,,,,,89.766,291.69,33.458,,,,,,,,131.81,657.767,,,1467.76,,,,,,,,,434.046,,,1221.985,940.522,,,,1413.489,,,242.678,,,,,,,,,,365.809,1053.609,39.2,8.526,,,789.316,1565.961,488.379,,1342.865,,,,,,,,151.495,,,,,,277.216,1519.416,,,,,,,270.99,,,,95.561,,,,55.55,,,,,,,,995.79,,485.099,,,,,1267.953,,,,,,,,,,269.355,377.872,,1462.974,,100.595,260.725,,,,,,,,,,100.107,,,1846.884,352.893,705.954,,,94.265,425.285,11.324,7.969,,,1568.7,2176.023,,2.989,75.234,,,0.003,,,14.021,0.073,213.596,,,,7.271,69.698,0.276,716.854,8.14,1564.876,70.455,0.01,,,8.983,,,,,,1432.515,,,,,,,,,,,,,,,,,,,,,,,,,874.875,,,759.425,,,,,,,,,,,,,,,,,,,,974.934,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, million NC",,,,,,,,,,,,,,,,,,,,10906.09,,,,,,,,,,,,,,,,,,,,,,,33907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66600.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, million USD PPPs",,,,,,,,,,,,,,,,,,,,13675.33,,,,,,,,,,,,,,,,,,,,,,,26715.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
