CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>GBAORD (Government budget appropriations and outlays for R&D),Latest available,,,metadata/GB.html,,,,,,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, million NC",,metadata/GB_NC.html,,,,,,GB_NC,,,,,,,,8677.28,,,6935.82,2778.557,,,,,,,2537.333,,,,,,15.1,,,,,212.47,,,,,9651,,,,,328520.435,,,,,,,,2518.469,,59.655,29092.232,,,19076.1,,,,,,,,,140.455,,,1845.44,13970.7,,,,27558.06,,,923.02,,,,,,,,,,138290.5,19416,,,,,736.3,6859,8371.6,,3455161,,,,,,,,46.6,,,,,,122.053,316.527,,,,,,,24.316,,,,57576.104,,,,,,,,,,,,5022.076,,1435,,,,,30940.451,,,,,,,,,,7338.7,1678.82,,18890025.94,,2137.287,439392.8,,,,,,,,,,17610.4,,,,276.788,159.832,,,,5893.554,,,,,33132,5873.416,,,,58.761,,,,,,,7460.951,,,,,,,10117.3,,,,,,,,,,,,,120639.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, million USD PPPs",,metadata/GB_PPP.html,,,,,,GB_PPP,,,,,,,,2711.65,,,4731.449,3484.079,,,,,,,3180.261,,,,,,21.418,,,,,330.95,,,,,7700.062,,,,,867.363,,,,,,,,743.578,,96.373,2261.994,,,2636.331,,,,,,,,,264.081,,,2039.56,17387.282,,,,35421.643,,,1498.374,,,,,,,,,,1034.841,140.35,,,,,915.008,1805.009,11511.192,,33861.985,,,,,,,,94.161,,,,,,271.229,360.513,,,,,,,42.66,,,,6718.492,,,,,,,,,,,,6242.395,,989.616,,,,,3084.64,,,,,,,,,,4160.795,2870.295,,21207.508,,1302.021,18319.716,,,,,,,,,,425.578,,,,568.537,273.335,,,,8922.858,,,,,3713.525,4709.671,,,,3.095,,,,,,,5551.95,,,,,,,14696.128,,,,,,,,,,,,,7994.143,,,,,,,,,,,,,,,,,,,,,,,,,114474.626,,,125477.437,,,,,,,,,,,,,,,,,,,,366963.778,,,,,,,,,,,,
,,"GBAORD, million constant USD PPPs",,metadata/GB_PPPK.html,,,,,,GB_PPPK,,,,,,,,2603.584,,,4504.685,2977.256,,,,,,,2841.58,,,,,,19.728,,,,,304.472,,,,,7447.838,,,,,783.376,,,,,,,,684.182,,88.6,1983.338,,,2439.883,,,,,,,,,237.066,,,1811.636,15609.886,,,,31117.616,,,1344.77,,,,,,,,,,666.128,129.894,,,,,776.535,1539.376,10263.29,,30913.557,,,,,,,,84.046,,,,,,250.043,312.52,,,,,,,39.213,,,,6100.391,,,,,,,,,,,,5675.773,,875.814,,,,,2998.211,,,,,,,,,,3802.571,2544.017,,21112.525,,1129.948,17999.868,,,,,,,,,,391.625,,,,537.139,241.135,,,,8270.657,,,,,3427.357,3920.73,,,,2.879,,,,,,,4683.766,,,,,,,13379.373,,,,,,,,,,,,,7291.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, % of GDP",,metadata/GB_XGDP.html,,,,,,GB_XGDP,,,,,,,,0.327,,,0.405,0.795,,,,,,,0.618,,,,,,0.053,,,,,0.24,,,,,0.486,,,,,0.207,,,,,,,,0.816,,0.338,0.617,,,0.926,,,,,,,,,0.694,,,0.862,0.627,,,,0.879,,,0.525,,,,,,,,,,0.395,0.968,,,,,0.288,0.589,0.509,,0.643,,,,,,,,0.191,,,,,,0.327,0.584,,,,,,,0.262,,,,0.296,,,,,,,,,,,,0.715,,0.54,,,,,0.994,,,,,,,,,,0.408,0.908,,1.212,,0.282,0.528,,,,,,,,,,0.436,,,,0.342,0.414,,,,0.529,,,,,0.792,0.91,,,,0.011,,,,,,,0.288,,,,,,,0.54,,,,,,,,,,,,,0.706,,,,,,,,,,,,,,,,,,,,,,,0.69,,0.69,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, % of general government expenditures",,metadata/GB_XGGE.html,,,,,,GB_XGGE,,,,,,,,0.944,,,1.204,1.582,,,,,,,1.236,,,,,,0.109,,,,,0.65,,,,,1.241,,,,,0.944,,,,,,,,1.768,,0.891,1.412,,,1.82,,,,,,,,,1.872,,,1.658,1.14,,,,1.949,,,0.792,,,,,,,,,,0.608,2.138,,,,,0.975,1.537,1.024,,1.784,,,,,,,,0.39,,,,,,1.01,1.696,,,,,,,0.69,,,,1.055,,,,,,,,,,,,1.644,,1.317,,,,,1.877,,,,,,,,,,1.02,2.028,,3.741,,0.753,1.584,,,,,,,,,,0.903,,,,0.795,0.853,,,,1.248,,,,,1.628,2.633,,,,,,,,,,,0.788,,,,,,,1.365,,,,,,,,,,,,,3.888,,,,,,,,,,,,,,,,,,,,,,,1.43,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, million NC",,,,,,,,,,,,,,,,,,,6935.82,2778.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2518.469,,,29092.232,,,19076.1,,,,,,,,,,,,1845.44,13970.7,,,,27558.06,,,,,,,,,,,,,138290.5,,,,,,,,,,3455161,,,,,,,,,,,,,,,316.527,,,,,,,,,,,57576.104,,,,,,,,,,,,5022.076,,1435,,,,,30940.451,,,,,,,,,,,1678.82,,,,2137.287,,,,,,,,,,,,,,,276.788,,,,,5893.554,,,,,,,,,,,,,,,,,7460.951,,,,,,,,,,,,,,,,,,,,120639.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, million USD PPPs",,,,,,,,,,,,,,,,,,,4731.449,3484.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2261.994,,,2636.331,,,,,,,,,,,,2039.56,17387.282,,,,35421.643,,,,,,,,,,,,,1034.841,,,,,,,,,,33861.985,,,,,,,,,,,,,,,360.513,,,,,,,,,,,6718.492,,,,,,,,,,,,6242.395,,989.616,,,,,3084.64,,,,,,,,,,,2870.295,,,,1302.021,,,,,,,,,,,,,,,568.537,,,,,8922.858,,,,,,,,,,,,,,,,,5551.95,,,,,,,,,,,,,,,,,,,,7994.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366963.778,,,,,,,,,,,,
,,"GBAORD, million constant USD PPPs",,,,,,,,,,,,,,,,,,,4504.685,2977.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983.338,,,2439.883,,,,,,,,,,,,1811.636,15609.886,,,,31117.616,,,,,,,,,,,,,,,,,,,,,,,30913.557,,,,,,,,,,,,,,,312.52,,,,,,,,,,,6100.391,,,,,,,,,,,,5675.773,,875.814,,,,,2998.211,,,,,,,,,,,2544.017,,,,1129.948,,,,,,,,,,,,,,,537.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7291.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, % of GDP",,,,,,,,,,,,,,,,,,,0.405,0.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617,,,0.926,,,,,,,,,,,,0.862,0.627,,,,0.879,,,,,,,,,,,,,0.395,,,,,,,,,,0.643,,,,,,,,,,,,,,,0.584,,,,,,,,,,,0.296,,,,,,,,,,,,0.715,,0.54,,,,,0.994,,,,,,,,,,,0.908,,,,0.282,,,,,,,,,,,,,,,0.342,,,,,0.529,,,,,,,,,,,,,,,,,0.288,,,,,,,,,,,,,,,,,,,,0.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, % of general government expenditures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, million NC",,,,,,,,,,,,,,,,,,,6959.4,2744.844,,,,,,,2537.333,,,,,,15.1,,,,,212.47,,,,,9651,,,,,328520.435,,,,,,,,2722.983,,59.655,27829.778,,,20414.4,,,,,,,,,140.455,,,2001.6,14173.486,,,,26532.81,,,923.02,,,,,,,,,,96160.4,,,,,,736.3,6859,8371.6,,3477647,,,,,,,,46.6,,,,,,122.053,317.191,,,,,,,24.316,,,,59061.8,,,,,,,,,,,,4880.717,,1289.2,,,,,28966.071,,,,,,,,,,7338.7,1755.61,,18890025.94,,1836.104,439392.8,,,,,,,,,,17610.4,,,,330.736,159.832,,,,6042.343,,,,,33132,5873.416,,,,,,,,,,,6172.9,,,,,,,10117.3,,,,,,,,,,,,,115063.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, million USD PPPs",,,,,,,,,,,,,,,,,,,4758.476,3445.393,,,,,,,3180.261,,,,,,21.418,,,,,330.95,,,,,7700.062,,,,,867.363,,,,,,,,743.578,,96.373,2174.375,,,2803.41,,,,,,,,,264.081,,,2213.093,17721.071,,,,34301.911,,,1498.374,,,,,,,,,,735.966,,,,,,915.008,1805.009,11511.192,,33907.361,,,,,,,,94.161,,,,,,271.229,359.713,,,,,,,42.66,,,,7028.722,,,,,,,,,,,,6055.139,,893.086,,,,,2991.628,,,,,,,,,,4160.795,3007.532,,21207.508,,1128.317,18319.716,,,,,,,,,,425.578,,,,681.811,273.335,,,,9052.877,,,,,3713.525,4709.671,,,,,,,,,,,4971.941,,,,,,,14696.128,,,,,,,,,,,,,7565.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,125477.437,,,,,,,,,,,,,,,,,,,,352399.763,,,,,,,,,,,,
,,"GBAORD, million constant USD PPPs",,,,,,,,,,,,,,,,,,,4531.489,2982.535,,,,,,,2841.58,,,,,,19.728,,,,,304.472,,,,,,,,,,783.376,,,,,,,,684.182,,88.6,1914.053,,,2549.08,,,,,,,,,237.066,,,1988.99,15959.293,,,,30387.842,,,1344.77,,,,,,,,,,666.128,,,,,,776.535,1539.376,10263.29,,31077.144,,,,,,,,84.046,,,,,,250.043,308.55,,,,,,,39.213,,,,6490.963,,,,,,,,,,,,5546.91,,802.002,,,,,2753.742,,,,,,,,,,3802.571,2701.079,,21112.525,,977.227,17999.868,,,,,,,,,,391.625,,,,640.328,241.135,,,,8270.657,,,,,3427.357,,,,,,,,,,,,4683.766,,,,,,,13379.373,,,,,,,,,,,,,6980.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
