CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Agriculture,Latest available,,,,,,,,,GB_AGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, agriculture, million NC",,metadata/GB_AGR_NC.html,,,,,,GB_AGR_NC,,,,,,,,2121.328,,,634.43,34.989,,,,,,,37.268,,,,,,4.382,,,,,33.824,,,,,622,,,,,38439.438,,,,,,,,38.661,,5.933,1187.931,,,700.4,,,,,,,,,8.577,,,76.62,476.547,,,,894.6,,,30.03,,,,,,,,,,5227.5,2972,,,,,91,395.7,243.8,,107732,,,,,,,,8.7,,,,,,7.697,0.583,,,,,,,0.709,,,,2366.625,,,,,,,,,,,,88.12,,296.7,,,,,2353.4,,,,,,,,,,247,57.04,,982897.455,,108.017,4598.7,,,,,,,,,,1743.7,,,,8.567,5.97,,,,401.797,,,,,436,128.228,,,,,,,,,,,255.3,,,,,,,350,,,,,,,,,,,,,8082.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, agriculture, million USD PPPs",,metadata/GB_AGR_PPP.html,,,,,,GB_AGR_PPP,,,,,,,,661.595,,,438.389,43.904,,,,,,,46.749,,,,,,6.269,,,,,52.685,,,,,508.778,,,,,102.349,,,,,,,,9.461,,9.585,93.265,,,97.375,,,,,,,,,16.139,,,84.843,599.363,,,,1155.93,,,48.788,,,,,,,,,,40.041,21.502,,,,,113.178,104.218,335.503,,1060.365,,,,,,,,17.579,,,,,,17.104,0.68,,,,,,,1.244,,,,275.107,,,,,,,,,,,,110.208,,204.354,,,,,250.551,,,,,,,,,,140.154,97.565,,1105.96,,63.305,328.026,,,,,,,,,,42.139,,,,17.946,10.217,,,,602.475,,,,,48.908,99.951,,,,,,,,,,,205.797,,,,,,,508.812,,,,,,,,,,,,,537.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6839.118,,,,,,,,,,,,
,,"GBAORD, agriculture, million constant USD PPPs",,metadata/GB_AGR_PPPK.html,,,,,,GB_AGR_PPPK,,,,,,,,636.496,,,412.05,37.491,,,,,,,41.737,,,,,,5.83,,,,,48.47,,,,,479.809,,,,,91.661,,,,,,,,8.705,,8.812,80.986,,,87.341,,,,,,,,,14.477,,,75.218,532.46,,,,1010.152,,,43.751,,,,,,,,,,36.212,19.883,,,,,95.973,88.808,298.89,,959.016,,,,,,,,15.691,,,,,,15.768,0.576,,,,,,,1.143,,,,250.752,,,,,,,,,,,,99.61,,181.083,,,,,230.384,,,,,,,,,,127.984,86.436,,1098.54,,57.107,332.032,,,,,,,,,,38.777,,,,16.625,9.006,,,,549.973,,,,,45.102,88.109,,,,,,,,,,,193.712,,,,,,,462.849,,,,,,,,,,,,,488.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9663.73,,,,,,,,,,,,
,,"GBAORD, agriculture, % of total GBAORD",,metadata/GB_AGR_XGB.html,,,,,,GB_AGR_XGB,,,,,,,,24.447,,,9.147,1.259,,,,,,,1.469,,,,,,31.719,,,,,15.919,,,,,6.204,,,,,11.701,,,,,,,,1.535,,9.946,4.083,,,3.672,,,,,,,,,6.107,,,4.152,3.411,,,,3.246,,,3.253,,,,,,,,,,5.436,15.307,,,,,12.359,5.769,2.912,,3.118,,,,,,,,18.67,,,,,,6.306,0.184,,,,,,,2.916,,,,4.11,,,,,,,,,,,,1.755,,20.676,,,,,7.606,,,,,,,,,,3.366,3.398,,5.203,,5.054,2.099,,,,,,,,,,9.902,,,,3.095,3.735,,,,6.65,,,,,1.316,2.247,,,,,,,,,,,4.136,,,,,,,3.459,,,,,,,,,,,,,6.699,,,,,,,,,,,,,,,,,,,,,,,3.22,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, agriculture, % of GDP",,metadata/GB_AGR_XGDP.html,,,,,,GB_AGR_XGDP,,,,,,,,0.08,,,0.037,0.01,,,,,,,0.009,,,,,,0.016,,,,,0.038,,,,,0.033,,,,,0.024,,,,,,,,0.01,,0.034,0.025,,,0.034,,,,,,,,,0.042,,,0.036,0.021,,,,0.029,,,0.017,,,,,,,,,,0.015,0.148,,,,,0.036,0.034,0.015,,0.02,,,,,,,,0.036,,,,,,0.021,0.001,,,,,,,0.008,,,,0.012,,,,,,,,,,,,0.013,,0.112,,,,,0.076,,,,,,,,,,0.014,0.031,,0.063,,0.014,0.011,,,,,,,,,,0.043,,,,0.011,0.015,,,,0.037,,,,,0.01,0.02,,,,,,,,,,,0.011,,,,,,,0.019,,,,,,,,,,,,,0.047,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, agriculture, million NC",,,,,,,,,,,,,,,,,,,634.43,34.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.661,,,1187.931,,,700.4,,,,,,,,,,,,76.62,476.547,,,,894.6,,,,,,,,,,,,,,,,,,,,,,,107732,,,,,,,,,,,,,,,0.583,,,,,,,,,,,2366.625,,,,,,,,,,,,88.12,,296.7,,,,,2353.4,,,,,,,,,,,57.04,,,,108.017,,,,,,,,,,,,,,,8.567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8082.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, agriculture, million USD PPPs",,,,,,,,,,,,,,,,,,,438.389,43.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.265,,,97.375,,,,,,,,,,,,84.843,599.363,,,,1155.93,,,,,,,,,,,,,,,,,,,,,,,1060.365,,,,,,,,,,,,,,,0.68,,,,,,,,,,,275.107,,,,,,,,,,,,110.208,,204.354,,,,,250.551,,,,,,,,,,,97.565,,,,63.305,,,,,,,,,,,,,,,17.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, agriculture, million constant USD PPPs",,,,,,,,,,,,,,,,,,,412.05,37.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.986,,,87.341,,,,,,,,,,,,75.218,532.46,,,,1010.152,,,,,,,,,,,,,,,,,,,,,,,959.016,,,,,,,,,,,,,,,0.576,,,,,,,,,,,250.752,,,,,,,,,,,,99.61,,181.083,,,,,230.384,,,,,,,,,,,86.436,,,,57.107,,,,,,,,,,,,,,,16.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, agriculture, % of total GBAORD",,,,,,,,,,,,,,,,,,,9.147,1.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.535,,,4.083,,,3.672,,,,,,,,,,,,4.152,3.411,,,,3.246,,,,,,,,,,,,,,,,,,,,,,,3.118,,,,,,,,,,,,,,,0.184,,,,,,,,,,,4.11,,,,,,,,,,,,1.755,,20.676,,,,,7.606,,,,,,,,,,,3.398,,,,5.054,,,,,,,,,,,,,,,3.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
