CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Civil,Latest available,,,,,,,,,GB_CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, civil, million NC",,metadata/GB_CIV_NC.html,,,,,,GB_CIV_NC,,,,,,,,8553.69,,,6361.831,2776.303,,,,,,,2534.735,,,,,,,,,,,212.258,,,,,9352,,,,,320837,,,,,,,,2518.049,,59.655,28688.283,,,19503.5,,,,,,,,,138.356,,,1809.88,13070.729,,,,26792,,,922.2,,,,,,,,,,95585.7,19416,,,,,736.3,,8308.4,,3325906,,,,,,,,45.7,,,,,,121.934,316.527,,,,,,,24.316,,,,36337.777,,,,,,,,,,,,4960.384,,1408.2,,,,,29487.1,,,,,,,,,,6967.8,1674.16,,15382376.25,,2099.945,45333.3,,,,,,,,,,17002.9,,,,272.842,159.494,,,,5956.365,,,,,32024,5678.47,,,,,,,,,,,5313.9,,,,,,,8453.4,,,,,,,,,,,,,112157.673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, civil, million USD PPPs",,,,,,,,GB_CIV_PPP,,,,,,,,2673.028,,,4349.889,3481.253,,,,,,,3177.004,,,,,,,,,,,330.62,,,,,7640.52,,,,,917.515,,,,,,,,743.578,,96.373,2230.586,,,2695.398,,,,,,,,,260.134,,,2000.26,16267.22,,,,34436.99,,,1497.042,,,,,,,,,,731.568,140.35,,,,,915.008,,11424.29,,32427.87,,,,,,,,92.342,,,,,,270.964,360.513,,,,,,,42.66,,,,4735.79,,,,,,,,,,,,6165.713,,975.522,,,,,2939.747,,,,,,,,,,3950.507,2862.327,,17665.9,,1279.272,4594.047,,,,,,,,,,410.897,,,,560.431,272.757,,,,8924.063,,,,,3589.337,4422.348,,,,,,,,,,,4280.062,,,,,,,12279.19,,,,,,,,,,,,,7374.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222275.94,,,,,,,,,,,,
,,"GBAORD, civil, million constant USD PPPs",,metadata/GB_CIV_PPPK.html,,,,,,GB_CIV_PPPK,,,,,,,,1970.589,,,4316.677,3121.381,,,,,,,3122.181,,,,,,,,,,,,,,,,7249.818,,,,,868.64,,,,,,,,750.707,,,1928.571,,,2496.709,,,,,,,,,226.182,,,1939.654,15322.075,,,,29412.461,,,1368.759,,,,,,,,,,619.592,124.838,,,,,792.697,,10664.587,,31274.236,,,,,,,,86.364,,,,,,295.576,351.779,,,,,,,33.486,,,,4494.401,,,,,,,,,,,,5883.232,,925.134,,,,,2630.738,,,,,,,,,,3688.902,2877.093,,16754.241,,890.144,22194.278,,,,,,,,,,303.582,,,,556.502,257.201,,,,8541.483,,,,,3315.731,4342.611,,,,,,,,,,,2478.653,,,,,,,11229.032,,,,,,,,,,,,,7072.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244585.58,,,,,,,,,,,,
,,"GBAORD, civil, % of total GBAORD",,metadata/GB_CIV_XGB.html,,,,,,GB_CIV_XGB,,,,,,,,98.576,,,93.466,99.919,,,,,,,99.898,,,,,,,,,,,99.9,,,,,97.358,,,,,99.981,,,,,,,,99.983,,100,98.611,,,99.674,,,,,,,,,98.506,,,98.075,93.558,,,,97.22,,,99.911,,,,,,,,,,99.514,100,,,,,100,,99.245,,96.914,,,,,,,,98.069,,,,,,99.903,100,,,,,,,100,,,,99.826,,,,,,,,,,,,98.792,,100,,,,,96.323,,,,,,,,,,94.946,99.722,,86.521,,98.253,47.919,,,,,,,,,,96.55,,,,98.574,99.789,,,,99.006,,,,,96.656,99.579,,,,,,,,,,,70.906,,,,,,,83.554,,,,,,,,,,,,,94.752,,,,,,,,,,,,,,,,,,,,,,,94.92,,95.419,,,95.596,,,,,,,,,,,,,,,,,,,,75.966,,,,,,,,,,,,
,,"GBAORD, civil, % of GDP",,metadata/GB_CIV_XGDP.html,,,,,,GB_CIV_XGDP,,,,,,,,0.323,,,0.384,0.795,,,,,,,0.618,,,,,,,,,,,0.24,,,,,0.493,,,,,0.233,,,,,,,,0.816,,0.338,0.608,,,0.946,,,,,,,,,0.683,,,0.845,0.586,,,,0.855,,,0.525,,,,,,,,,,0.281,0.968,,,,,0.288,,0.505,,0.627,,,,,,,,0.188,,,,,,0.327,0.584,,,,,,,0.262,,,,0.25,,,,,,,,,,,,0.706,,0.559,,,,,0.947,,,,,,,,,,0.387,0.905,,1.035,,0.277,0.322,,,,,,,,,,0.421,,,,0.337,0.414,,,,0.554,,,,,0.766,0.882,,,,,,,,,,,0.227,,,,,,,0.451,,,,,,,,,,,,,0.669,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, civil, million NC",,,,,,,,,,,,,,,,,,,,2776.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2518.049,,,28688.283,,,19503.5,,,,,,,,,,,,1809.88,13070.729,,,,26792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.527,,,,,,,,,,,,,,,,,,,,,,,4960.384,,,,,,,29487.1,,,,,,,,,,,1674.16,,,,2099.945,,,,,,,,,,,,,,,272.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, civil, million USD PPPs",,,,,,,,,,,,,,,,,,,,3481.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230.586,,,2695.398,,,,,,,,,,,,2000.26,16267.22,,,,34436.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.513,,,,,,,,,,,,,,,,,,,,,,,6165.713,,,,,,,2939.747,,,,,,,,,,,2862.327,,,,1279.272,,,,,,,,,,,,,,,560.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, civil, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
