CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Defence,Latest available,,,,,,,,,GB_DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, defence, million NC",,metadata/GB_DEF_NC.html,,,,,,GB_DEF_NC,,,,,,,,123.59,,,453.17,2.254,,,,,,,2.598,,,,,,,,,,,0.212,,,,,303,,,,,62.055,,,,,,,,0.42,,0,403.949,,,62.2,,,,,,,,,2.099,,,35.52,899.971,,,,766.06,,,0.82,,,,,,,,,,574.7,0,,,,,0,,63.2,,106634,,,,,,,,0.9,,,,,,0.119,0,,,,,,,0,,,,100,,,,,,,,,,,,60.69,,0,,,,,1140,,,,,,,,,,370.9,4.66,,2546137.59,,37.342,49271.7,,,,,,,,,,607.5,,,,3.946,0.338,,,,85.977,,,,,1108,27.527,,,,,,,,,,,859,,,,,,,1663.9,,,,,,,,,,,,,6331.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, defence, million USD PPPs",,metadata/GB_DEF_PPP.html,,,,,,GB_DEF_PPP,,,,,,,,38.545,,,313.139,2.828,,,,,,,3.259,,,,,,,,,,,0.33,,,,,247.845,,,,,0.165,,,,,,,,0.191,,0,31.714,,,8.648,,,,,,,,,3.95,,,39.332,1131.912,,,,989.841,,,1.332,,,,,,,,,,4.402,0,,,,,0,,86.972,,1049.558,,,,,,,,1.819,,,,,,0.264,0,,,,,,,0,,,,11.624,,,,,,,,,,,,75.902,,0,,,,,121.368,,,,,,,,,,210.458,7.971,,2864.923,,21.885,4993.162,,,,,,,,,,14.681,,,,8.266,0.578,,,,128.919,,,,,124.288,21.457,,,,,,,,,,,692.438,,,,,,,2418.892,,,,,,,,,,,,,421.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75683.461,,,,,,,,,,,,
,,"GBAORD, defence, million constant USD PPPs",,metadata/GB_DEF_PPPK.html,,,,,,GB_DEF_PPPK,,,,,,,,37.083,,,294.325,2.415,,,,,,,2.91,,,,,,,,,,,0.304,,,,,233.733,,,,,0.148,,,,,,,,0.176,,,27.539,,,7.756,,,,,,,,,3.543,,,34.87,1005.565,,,,865.009,,,1.195,,,,,,,,,,3.981,0,,,,,0,,77.481,,949.242,,,,,,,,1.623,,,,,,0.244,0,,,,,,,0,,,,10.595,,,,,,,,,,,,68.603,,0,,,,,111.599,,,,,,,,,,192.183,7.062,,2845.702,,19.742,8050.293,,,,,,,,,,13.51,,,,7.658,0.51,,,,117.684,,,,,114.618,18.914,,,,,,,,,,,651.777,,,,,,,2200.383,,,,,,,,,,,,,382.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75598.648,,,,,,,,,,,,
,,"GBAORD, defence, % of total GBAORD",,metadata/GB_DEF_XGB.html,,,,,,GB_DEF_XGB,,,,,,,,1.424,,,6.534,0.081,,,,,,,0.102,,,,,,,,,,,0.1,,,,,3.022,,,,,0.019,,,,,,,,0.017,,0,1.389,,,0.326,,,,,,,,,1.494,,,1.925,6.442,,,,2.78,,,0.089,,,,,,,,,,0.598,0,,,,,0,,0.755,,3.086,,,,,,,,1.931,,,,,,0.097,0,,,,,,,0,,,,0.174,,,,,,,,,,,,1.208,,0,,,,,3.684,,,,,,,,,,5.054,0.278,,13.479,,1.747,52.082,,,,,,,,,,3.45,,,,1.426,0.211,,,,1.423,,,,,3.344,0.482,,,,,,,,,,,13.916,,,,,,,16.446,,,,,,,,,,,,,5.248,,,,,,,,,,,,,,,,,,,,,,,5.08,,,,,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, defence, % of GDP",,metadata/GB_DEF_XGDP.html,,,,,,GB_DEF_XGDP,,,,,,,,0.005,,,0.026,0.001,,,,,,,0.001,,,,,,,,,,,0,,,,,0.016,,,,,0,,,,,,,,0,,0,0.009,,,0.003,,,,,,,,,0.01,,,0.017,0.04,,,,0.024,,,0,,,,,,,,,,0.002,0,,,,,0,,0.004,,0.02,,,,,,,,0.004,,,,,,0,0,,,,,,,0,,,,0.001,,,,,,,,,,,,0.009,,0,,,,,0.037,,,,,,,,,,0.021,0.003,,0.163,,0.005,0.35,,,,,,,,,,0.015,,,,0.005,0.001,,,,0.008,,,,,0.027,0.004,,,,,,,,,,,0.037,,,,,,,0.089,,,,,,,,,,,,,0.037,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, defence, million NC",,,,,,,,,,,,,,,,,,,453.17,2.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,403.949,,,62.2,,,,,,,,,,,,35.52,899.971,,,,766.06,,,,,,,,,,,,,,,,,,,,,,,106634,,,,,,,,,,,,,,,0,,,,,,,,,,,100,,,,,,,,,,,,60.69,,0,,,,,1140,,,,,,,,,,,4.66,,,,37.342,,,,,,,,,,,,,,,3.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6331.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, defence, million USD PPPs",,,,,,,,,,,,,,,,,,,313.139,2.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.714,,,8.648,,,,,,,,,,,,39.332,1131.912,,,,989.841,,,,,,,,,,,,,,,,,,,,,,,1049.558,,,,,,,,,,,,,,,0,,,,,,,,,,,11.624,,,,,,,,,,,,75.902,,0,,,,,121.368,,,,,,,,,,,7.971,,,,21.885,,,,,,,,,,,,,,,8.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, defence, million constant USD PPPs",,,,,,,,,,,,,,,,,,,294.325,2.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.539,,,7.756,,,,,,,,,,,,34.87,1005.565,,,,865.009,,,,,,,,,,,,,,,,,,,,,,,949.242,,,,,,,,,,,,,,,0,,,,,,,,,,,10.595,,,,,,,,,,,,68.603,,0,,,,,111.599,,,,,,,,,,,7.062,,,,19.742,,,,,,,,,,,,,,,7.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
