CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Earth,Latest available,,,,,,,,,GB_EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, earth, million NC",,metadata/GB_EAR_NC.html,,,,,,GB_EAR_NC,,,,,,,,530.702,,,407.96,52.754,,,,,,,28.673,,,,,,1.1,,,,,20.785,,,,,128,,,,,18026.337,,,,,,,,2.523,,0.12,448.878,,,77.4,,,,,,,,,2.033,,,21.51,188.745,,,,481.49,,,32.81,,,,,,,,,,2056.5,293,,,,,2.8,89.4,500.9,,47728,,,,,,,,0.7,,,,,,3.803,0.15,,,,,,,0.001,,,,2590.986,,,,,,,,,,,,23.081,,69,,,,,391.6,,,,,,,,,,149.2,27.84,,340733.342,,56,738.8,,,,,,,,,,211.7,,,,5.301,3.036,,,,99.036,,,,,314,7.285,,,,,,,,,,,214.1,,,,,,,377.1,,,,,,,,,,,,,1965.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, earth, million USD PPPs",,metadata/GB_EAR_PPP.html,,,,,,GB_EAR_PPP,,,,,,,,165.514,,,281.899,66.196,,,,,,,35.967,,,,,,1.56,,,,,32.375,,,,,104.7,,,,,47.997,,,,,,,,0.847,,0.194,35.242,,,10.761,,,,,,,,,3.825,,,23.819,237.388,,,,622.142,,,53.305,,,,,,,,,,15.752,2.12,,,,,3.482,23.546,689.309,,469.769,,,,,,,,1.414,,,,,,8.451,0.175,,,,,,,0.002,,,,301.188,,,,,,,,,,,,28.866,,47.524,,,,,41.691,,,,,,,,,,84.66,47.619,,383.394,,32.819,88.843,,,,,,,,,,5.116,,,,11.104,5.196,,,,148.5,,,,,35.222,5.679,,,,,,,,,,,172.586,,,,,,,548.209,,,,,,,,,,,,,130.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3549.86,,,,,,,,,,,,
,,"GBAORD, earth, million constant USD PPPs",,metadata/GB_EAR_PPPK.html,,,,,,GB_EAR_PPPK,,,,,,,,159.235,,,264.962,56.527,,,,,,,32.111,,,,,,1.437,,,,,29.785,,,,,98.739,,,,,42.985,,,,,,,,0.779,,0.178,30.602,,,9.652,,,,,,,,,3.431,,,21.116,210.89,,,,543.682,,,47.802,,,,,,,,,,14.246,1.96,,,,,2.953,20.064,614.086,,424.868,,,,,,,,1.263,,,,,,7.791,0.148,,,,,,,0.002,,,,274.524,,,,,,,,,,,,26.091,,42.112,,,,,38.335,,,,,,,,,,77.308,42.188,,380.822,,29.606,158.788,,,,,,,,,,4.708,,,,10.287,4.58,,,,135.559,,,,,32.482,5.006,,,,,,,,,,,162.451,,,,,,,498.687,,,,,,,,,,,,,118.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5064.465,,,,,,,,,,,,
,,"GBAORD, earth, % of total GBAORD",,metadata/GB_EAR_XGB.html,,,,,,GB_EAR_XGB,,,,,,,,6.116,,,5.882,1.899,,,,,,,1.13,,,,,,7.285,,,,,9.783,,,,,1.277,,,,,5.487,,,,,,,,0.1,,0.201,1.543,,,0.406,,,,,,,,,1.447,,,1.166,1.351,,,,1.747,,,3.555,,,,,,,,,,2.139,1.509,,,,,0.38,1.303,5.983,,1.381,,,,,,,,1.502,,,,,,3.116,0.047,,,,,,,0.004,,,,4.5,,,,,,,,,,,,0.46,,4.808,,,,,1.266,,,,,,,,,,2.033,1.658,,1.804,,2.62,1.502,,,,,,,,,,1.202,,,,1.915,1.899,,,,1.639,,,,,0.948,0.128,,,,,,,,,,,3.468,,,,,,,3.727,,,,,,,,,,,,,1.629,,,,,,,,,,,,,,,,,,,,,,,2.04,,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, earth, % of GDP",,metadata/GB_EAR_XGDP.html,,,,,,GB_EAR_XGDP,,,,,,,,0.02,,,0.024,0.015,,,,,,,0.007,,,,,,0.004,,,,,0.023,,,,,0.007,,,,,0.011,,,,,,,,0.001,,0.001,0.01,,,0.004,,,,,,,,,0.01,,,0.01,0.008,,,,0.015,,,0.019,,,,,,,,,,0.006,0.015,,,,,0.001,0.008,0.03,,0.009,,,,,,,,0.003,,,,,,0.01,0,,,,,,,0,,,,0.013,,,,,,,,,,,,0.003,,0.026,,,,,0.013,,,,,,,,,,0.008,0.015,,0.022,,0.007,0.008,,,,,,,,,,0.005,,,,0.007,0.008,,,,0.009,,,,,0.008,0.001,,,,,,,,,,,0.009,,,,,,,0.02,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.01,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, earth, million NC",,,,,,,,,,,,,,,,,,,407.96,52.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.523,,,448.878,,,77.4,,,,,,,,,,,,21.51,188.745,,,,481.49,,,,,,,,,,,,,,,,,,,,,,,47728,,,,,,,,,,,,,,,0.15,,,,,,,,,,,2590.986,,,,,,,,,,,,23.081,,69,,,,,391.6,,,,,,,,,,,27.84,,,,56,,,,,,,,,,,,,,,5.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1965.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, earth, million USD PPPs",,,,,,,,,,,,,,,,,,,281.899,66.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.242,,,10.761,,,,,,,,,,,,23.819,237.388,,,,622.142,,,,,,,,,,,,,,,,,,,,,,,469.769,,,,,,,,,,,,,,,0.175,,,,,,,,,,,301.188,,,,,,,,,,,,28.866,,47.524,,,,,41.691,,,,,,,,,,,47.619,,,,32.819,,,,,,,,,,,,,,,11.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, earth, million constant USD PPPs",,,,,,,,,,,,,,,,,,,264.962,56.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.602,,,9.652,,,,,,,,,,,,21.116,210.89,,,,543.682,,,,,,,,,,,,,,,,,,,,,,,424.868,,,,,,,,,,,,,,,0.148,,,,,,,,,,,274.524,,,,,,,,,,,,26.091,,42.112,,,,,38.335,,,,,,,,,,,42.188,,,,29.606,,,,,,,,,,,,,,,10.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, earth, % of total GBAORD",,,,,,,,,,,,,,,,,,,5.882,1.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,1.543,,,0.406,,,,,,,,,,,,1.166,1.351,,,,1.747,,,,,,,,,,,,,,,,,,,,,,,1.381,,,,,,,,,,,,,,,0.047,,,,,,,,,,,4.5,,,,,,,,,,,,0.46,,4.808,,,,,1.266,,,,,,,,,,,1.658,,,,2.62,,,,,,,,,,,,,,,1.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, earth, % of GDP",,,,,,,,,,,,,,,,,,,0.024,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.004,,,,,,,,,,,,0.01,0.008,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,0,,,,,,,,,,,0.013,,,,,,,,,,,,0.003,,0.026,,,,,0.013,,,,,,,,,,,0.015,,,,0.007,,,,,,,,,,,,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, earth, million NC",,,,,,,,,,,,,,,,,,,408.76,51.687,,,,,,,28.673,,,,,,1.1,,,,,20.785,,,,,,,,,,18026.337,,,,,,,,3.102,,0.12,435.634,,,83.6,,,,,,,,,2.033,,,24.55,161.709,,,,466.65,,,32.81,,,,,,,,,,2056.5,,,,,,2.8,89.4,500.9,,48526,,,,,,,,0.7,,,,,,3.803,0.14,,,,,,,0.001,,,,2617.715,,,,,,,,,,,,21.024,,36.3,,,,,389.411,,,,,,,,,,149.2,28.65,,340733.342,,60.4,,,,,,,,,,,211.7,,,,6.746,3.036,,,,99.036,,,,,314,,,,,,,,,,,,214.1,,,,,,,377.1,,,,,,,,,,,,,1864.856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, earth, million USD PPPs",,,,,,,,,,,,,,,,,,,279.557,64.931,,,,,,,35.967,,,,,,1.56,,,,,32.375,,,,,,,,,,47.997,,,,,,,,0.847,,0.194,34.064,,,11.49,,,,,,,,,3.825,,,27.166,202.348,,,,603.778,,,53.305,,,,,,,,,,15.752,,,,,,3.482,23.546,689.309,,473.352,,,,,,,,1.414,,,,,,8.451,0.158,,,,,,,0.002,,,,311.607,,,,,,,,,,,,26.104,,25.159,,,,,40.251,,,,,,,,,,84.66,49.12,,383.394,,35.181,,,,,,,,,,,5.116,,,,13.918,5.196,,,,148.5,,,,,35.222,,,,,,,,,,,,172.586,,,,,,,548.209,,,,,,,,,,,,,122.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, earth, million constant USD PPPs",,,,,,,,,,,,,,,,,,,266.157,56.163,,,,,,,32.111,,,,,,1.437,,,,,29.785,,,,,,,,,,42.985,,,,,,,,0.779,,0.178,29.962,,,10.439,,,,,,,,,3.431,,,24.395,182.084,,,,534.451,,,47.802,,,,,,,,,,14.246,,,,,,2.953,20.064,614.086,,433.641,,,,,,,,1.263,,,,,,7.791,0.136,,,,,,,0.002,,,,287.69,,,,,,,,,,,,23.899,,22.582,,,,,37.489,,,,,,,,,,77.308,44.079,,380.822,,32.147,,,,,,,,,,,4.708,,,,13.061,4.58,,,,135.559,,,,,32.482,,,,,,,,,,,,162.451,,,,,,,498.687,,,,,,,,,,,,,113.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
