CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Energy,Latest available,,,,,,,,,GB_ENE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, million NC",,metadata/GB_ENE_NC.html,,,,,,GB_ENE_NC,,,,,,,,429.653,,,400.07,65.559,,,,,,,32.558,,,,,,0,,,,,1.105,,,,,715,,,,,9422.487,,,,,,,,3.999,,0.02,1251.687,,,403,,,,,,,,,3.173,,,129.33,885.288,,,,1314.3,,,17.7,,,,,,,,,,2992.4,118,,,,,7.2,32.3,305.5,,418668,,,,,,,,2.6,,,,,,6.388,1.053,,,,,,,0.044,,,,11334.753,,,,,,,,,,,,112.45,,18.9,,,,,799.8,,,,,,,,,,138.9,36.13,,1558247.801,,116.272,4426,,,,,,,,,,261.2,,,,4.028,4.204,,,,154.915,,,,,1341,40.945,,,,,,,,,,,177.7,,,,,,,251.1,,,,,,,,,,,,,7412.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, million USD PPPs",,metadata/GB_ENE_PPP.html,,,,,,GB_ENE_PPP,,,,,,,,133.999,,,276.447,82.264,,,,,,,40.84,,,,,,,,,,,1.721,,,,,584.85,,,,,25.088,,,,,,,,1.355,,0.03,98.27,,,56.028,,,,,,,,,5.971,,,143.21,1113.445,,,,1698.232,,,28.756,,,,,,,,,,22.921,0.854,,,,,8.955,8.507,420.411,,4120.789,,,,,,,,5.254,,,,,,14.196,1.229,,,,,,,0.077,,,,1317.604,,,,,,,,,,,,140.637,,13.017,,,,,85.149,,,,,,,,,,78.815,61.799,,1753.346,,68.143,315.707,,,,,,,,,,6.312,,,,8.438,7.194,,,,232.287,,,,,150.424,31.916,,,,,,,,,,,143.244,,,,,,,365.036,,,,,,,,,,,,,493.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14337.918,,,,,,,,,,,,
,,"GBAORD, energy, million constant USD PPPs",,metadata/GB_ENE_PPPK.html,,,,,,GB_ENE_PPPK,,,,,,,,128.916,,,259.838,70.247,,,,,,,36.461,,,,,,0,,,,,1.583,,,,,551.549,,,,,22.468,,,,,,,,1.247,,0.03,85.333,,,50.255,,,,,,,,,5.356,,,126.964,989.159,,,,1484.062,,,25.788,,,,,,,,,,20.729,0.789,,,,,7.593,7.249,374.532,,3726.927,,,,,,,,4.689,,,,,,13.087,1.04,,,,,,,0.071,,,,1200.957,,,,,,,,,,,,127.112,,11.535,,,,,78.296,,,,,,,,,,71.971,54.75,,1741.583,,61.471,319.563,,,,,,,,,,5.809,,,,7.817,6.342,,,,212.044,,,,,138.72,28.135,,,,,,,,,,,134.832,,,,,,,332.061,,,,,,,,,,,,,448.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13859.186,,,,,,,,,,,,
,,"GBAORD, energy, % of total GBAORD",,metadata/GB_ENE_XGB.html,,,,,,GB_ENE_XGB,,,,,,,,4.951,,,5.768,2.359,,,,,,,1.283,,,,,,0,,,,,0.52,,,,,7.132,,,,,2.868,,,,,,,,0.159,,0.024,4.302,,,2.113,,,,,,,,,2.259,,,7.008,6.337,,,,4.769,,,1.918,,,,,,,,,,3.112,0.608,,,,,0.978,0.471,3.649,,12.117,,,,,,,,5.579,,,,,,5.234,0.333,,,,,,,0.181,,,,19.687,,,,,,,,,,,,2.239,,1.317,,,,,2.585,,,,,,,,,,1.893,2.152,,8.249,,5.44,2.021,,,,,,,,,,1.483,,,,1.455,2.63,,,,2.564,,,,,4.047,0.718,,,,,,,,,,,2.879,,,,,,,2.482,,,,,,,,,,,,,6.144,,,,,,,,,,,,,,,,,,,,,,,4.14,,,,,4.11,,,,,,,,,,,,,,,,,,,,14337.918,,,,,,,,,,,,
,,"GBAORD, energy, % of GDP",,metadata/GB_ENE_XGDP.html,,,,,,GB_ENE_XGDP,,,,,,,,0.016,,,0.023,0.019,,,,,,,0.008,,,,,,0,,,,,0.001,,,,,0.038,,,,,0.006,,,,,,,,0.001,,0,0.027,,,0.02,,,,,,,,,0.016,,,0.06,0.04,,,,0.042,,,0.01,,,,,,,,,,0.009,0.006,,,,,0.003,0.003,0.019,,0.078,,,,,,,,0.011,,,,,,0.017,0.002,,,,,,,0,,,,0.058,,,,,,,,,,,,0.016,,0.007,,,,,0.026,,,,,,,,,,0.008,0.02,,0.1,,0.015,0.011,,,,,,,,,,0.006,,,,0.005,0.011,,,,0.014,,,,,0.032,0.006,,,,,,,,,,,0.008,,,,,,,0.013,,,,,,,,,,,,,0.043,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, million NC",,,,,,,,,,,,,,,,,,,400.07,65.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.999,,,1251.687,,,403,,,,,,,,,,,,129.33,885.288,,,,1314.3,,,,,,,,,,,,,,,,,,,,,,,418668,,,,,,,,,,,,,,,1.053,,,,,,,,,,,11334.753,,,,,,,,,,,,112.45,,18.9,,,,,799.8,,,,,,,,,,,36.13,,,,116.272,,,,,,,,,,,,,,,4.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7412.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, million USD PPPs",,,,,,,,,,,,,,,,,,,276.447,82.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.27,,,56.028,,,,,,,,,,,,143.21,1113.445,,,,1698.232,,,,,,,,,,,,,,,,,,,,,,,4120.789,,,,,,,,,,,,,,,1.229,,,,,,,,,,,1317.604,,,,,,,,,,,,140.637,,13.017,,,,,85.149,,,,,,,,,,,61.799,,,,68.143,,,,,,,,,,,,,,,8.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, million constant USD PPPs",,,,,,,,,,,,,,,,,,,259.838,70.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.333,,,50.255,,,,,,,,,,,,126.964,989.159,,,,1484.062,,,,,,,,,,,,,,,,,,,,,,,3726.927,,,,,,,,,,,,,,,1.04,,,,,,,,,,,1200.957,,,,,,,,,,,,127.112,,11.535,,,,,78.296,,,,,,,,,,,54.75,,,,61.471,,,,,,,,,,,,,,,7.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, % of total GBAORD",,,,,,,,,,,,,,,,,,,5.768,2.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159,,,4.302,,,2.113,,,,,,,,,,,,7.008,6.337,,,,4.769,,,,,,,,,,,,,,,,,,,,,,,12.117,,,,,,,,,,,,,,,0.333,,,,,,,,,,,19.687,,,,,,,,,,,,2.239,,1.317,,,,,2.585,,,,,,,,,,,2.152,,,,5.44,,,,,,,,,,,,,,,1.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, % of GDP",,,,,,,,,,,,,,,,,,,0.023,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,,,0.02,,,,,,,,,,,,0.06,0.04,,,,0.042,,,,,,,,,,,,,,,,,,,,,,,0.078,,,,,,,,,,,,,,,0.002,,,,,,,,,,,0.058,,,,,,,,,,,,0.016,,0.007,,,,,0.026,,,,,,,,,,,0.02,,,,0.015,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, million NC",,,,,,,,,,,,,,,,,,,353.02,93.438,,,,,,,32.558,,,,,,,,,,,1.105,,,,,,,,,,9422.487,,,,,,,,4.962,,,1227.464,,,673.9,,,,,,,,,3.173,,,177.51,1009.453,,,,1260.39,,,17.7,,,,,,,,,,2992.4,,,,,,7.2,32.3,305.5,,378244,,,,,,,,2.6,,,,,,6.388,0.997,,,,,,,0.044,,,,11101.835,,,,,,,,,,,,116.089,,15.7,,,,,733.4,,,,,,,,,,138.9,58.24,,1558247.801,,98.372,,,,,,,,,,,261.2,,,,5.598,4.204,,,,154.915,,,,,1341,,,,,,,,,,,,177.7,,,,,,,251.1,,,,,,,,,,,,,6732.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, million USD PPPs",,,,,,,,,,,,,,,,,,,241.436,117.38,,,,,,,40.84,,,,,,,,,,,1.721,,,,,,,,,,25.088,,,,,,,,1.355,,,95.981,,,92.618,,,,,,,,,5.971,,,196.425,1263.137,,,,1630.764,,,28.756,,,,,,,,,,22.921,,,,,,8.955,8.507,420.411,,3689.621,,,,,,,,5.254,,,,,,14.196,1.132,,,,,,,0.077,,,,1321.537,,,,,,,,,,,,144.139,,10.881,,,,,75.807,,,,,,,,,,78.815,99.852,,1753.346,,57.298,,,,,,,,,,,6.312,,,,11.55,7.194,,,,232.287,,,,,150.424,,,,,,,,,,,,143.244,,,,,,,365.036,,,,,,,,,,,,,443.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, million constant USD PPPs",,,,,,,,,,,,,,,,,,,229.863,101.529,,,,,,,36.461,,,,,,,,,,,1.583,,,,,,,,,,22.468,,,,,,,,1.247,,,84.421,,,84.148,,,,,,,,,5.356,,,176.392,1136.64,,,,1443.516,,,25.788,,,,,,,,,,20.729,,,,,,7.593,7.249,374.532,,3380.085,,,,,,,,4.689,,,,,,13.087,0.97,,,,,,,0.071,,,,1220.105,,,,,,,,,,,,131.962,,9.767,,,,,70.606,,,,,,,,,,71.971,89.605,,1741.583,,52.356,,,,,,,,,,,5.809,,,,10.838,6.342,,,,212.044,,,,,138.72,,,,,,,,,,,,134.832,,,,,,,332.061,,,,,,,,,,,,,408.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, % of total GBAORD",,,,,,,,,,,,,,,,,,,5.073,3.404,,,,,,,1.283,,,,,,,,,,,0.52,,,,,,,,,,2.868,,,,,,,,0.182,,,4.411,,,3.301,,,,,,,,,2.259,,,8.868,7.122,,,,4.75,,,1.918,,,,,,,,,,3.112,,,,,,0.978,0.471,3.649,,10.876,,,,,,,,5.579,,,,,,5.234,0.314,,,,,,,0.181,,,,18.797,,,,,,,,,,,,2.379,,1.218,,,,,2.532,,,,,,,,,,1.893,3.317,,8.249,,5.358,,,,,,,,,,,1.483,,,,1.693,2.63,,,,2.564,,,,,4.047,,,,,,,,,,,,2.879,,,,,,,2.482,,,,,,,,,,,,,5.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, % of GDP",,,,,,,,,,,,,,,,,,,0.021,0.027,,,,,,,0.008,,,,,,,,,,,0.001,,,,,,,,,,0.006,,,,,,,,0.001,,,0.027,,,0.033,,,,,,,,,0.016,,,0.085,0.046,,,,0.042,,,0.01,,,,,,,,,,0.009,,,,,,0.003,0.003,0.019,,0.071,,,,,,,,0.011,,,,,,0.017,0.002,,,,,,,0,,,,0.061,,,,,,,,,,,,0.017,,0.006,,,,,0.024,,,,,,,,,,0.008,0.032,,0.1,,0.014,,,,,,,,,,,0.006,,,,0.007,0.011,,,,0.014,,,,,0.032,,,,,,,,,,,,0.008,,,,,,,0.013,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, million NC",,,,,,,,,,,,,,,,,,,514.08,51.442,,,,,,,53.532,,,,,,0,,,,,0.634,,,,,,,,,,10729.844,,,,,,,,9.1,,,1223.975,,,824.2,,,,,,,,,2.613,,,171,865.697,,,,1323.43,,,21.2,,,,,,,,,,790.7,118,,,,,5.7,27.6,316.5,,441285,,,,,,,,3.3,,,,,,3.591,5.691,,,,,,,0.098,,,,12627.037,,,,,,,,,,,,95.768,,14.7,,,,,720.62,,,,,,,,,,143.3,36.57,,1609268.924,,111.659,,,,,,,,,,,200.43,,,,3.836,4.966,,,,135.174,,,,,1389,40.945,,,,,,,,,,,39.055,,,,,,,254.7,,,,,,,,,,,,,6325.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, million USD PPPs",,,,,,,,,,,,,,,,,,,352.392,64.708,,,,,,,67.123,,,,,,,,,,,0.998,,,,,,,,,,29.589,,,,,,,,2.461,,,96.719,,,112.559,,,,,,,,,4.967,,,188.846,1076.402,,,,1726.409,,,34.33,,,,,,,,,,6.144,0.854,,,,,6.991,7.175,430.938,,4308.304,,,,,,,,6.651,,,,,,7.927,6.458,,,,,,,0.174,,,,1578.627,,,,,,,,,,,,119.502,,10.191,,,,,77.466,,,,,,,,,,81.499,63.362,,1848.701,,65.888,,,,,,,,,,,4.92,,,,7.95,8.509,,,,204.104,,,,,158.891,31.916,,,,,,,,,,,34.039,,,,,,,367.929,,,,,,,,,,,,,424.956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, energy, million constant USD PPPs",,,,,,,,,,,,,,,,,,,333.349,56.952,,,,,,,60.471,,,,,,0,,,,,0.929,,,,,,,,,,26.694,,,,,,,,2.289,,,85.025,,,103.845,,,,,,,,,4.456,,,172.691,980.993,,,,1545.567,,,30.564,,,,,,,,,,5.572,0.789,,,,,6.305,6.366,390.444,,4020.995,,,,,,,,5.975,,,,,,7.374,5.558,,,,,,,0.162,,,,1422.717,,,,,,,,,,,,108.956,,9.164,,,,,71.044,,,,,,,,,,74.701,57.448,,1838.352,,60.853,,,,,,,,,,,4.576,,,,7.411,7.565,,,,185.954,,,,,146.612,28.135,,,,,,,,,,,31.846,,,,,,,338.674,,,,,,,,,,,,,395.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13859.186,,,,,,,,,,,,
,,"GBAORD, energy, % of total GBAORD",,,,,,,,,,,,,,,,,,,7.206,1.943,,,,,,,1.962,,,,,,0,,,,,0.307,,,,,,,,,,3.399,,,,,,,,0.388,,,4.486,,,4.154,,,,,,,,,1.842,,,8.543,5.842,,,,5.186,,,2.713,,,,,,,,,,0.87,0.608,,,,,0.784,0.403,3.745,,12.086,,,,,,,,8.639,,,,,,2.85,1.618,,,,,,,0.511,,,,21.845,,,,,,,,,,,,1.965,,1.157,,,,,2.675,,,,,,,,,,1.937,2.249,,9.051,,7.858,,,,,,,,,,,1.236,,,,1.326,3.078,,,,2.34,,,,,4.226,0.718,,,,,,,,,,,0.696,,,,,,,2.487,,,,,,,,,,,,,5.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
