CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Environment,Latest available,,,,,,,,,GB_ENV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, environment, million NC",,metadata/GB_ENV_NC.html,,,,,,GB_ENV_NC,,,,,,,,369.301,,,247.48,18.925,,,,,,,50.408,,,,,,0.5,,,,,1.007,,,,,377,,,,,8262.709,,,,,,,,14.169,,0.439,638.726,,,296.8,,,,,,,,,10.763,,,16.1,207.95,,,,795.13,,,28.42,,,,,,,,,,2105.6,661,,,,,7.1,54.9,212.3,,77256,,,,,,,,3.7,,,,,,2.583,8.297,,,,,,,0.144,,,,629.583,,,,,,,,,,,,27.702,,94.4,,,,,764.8,,,,,,,,,,471.4,62.41,,476156.598,,114.5,296.2,,,,,,,,,,591.4,,,,5.608,9.919,,,,227.646,,,,,490,12.591,,,,,,,,,,,152.3,,,,,,,225.9,,,,,,,,,,,,,3349.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, environment, million USD PPPs",,metadata/GB_ENV_PPP.html,,,,,,GB_ENV_PPP,,,,,,,,115.177,,,171.008,23.747,,,,,,,63.231,,,,,,0.709,,,,,1.569,,,,,308.375,,,,,22,,,,,,,,3.551,,0.709,50.147,,,41.264,,,,,,,,,20.253,,,17.828,261.543,,,,1027.403,,,46.173,,,,,,,,,,16.128,4.782,,,,,8.83,14.459,292.155,,760.401,,,,,,,,7.476,,,,,,5.74,9.681,,,,,,,0.253,,,,73.186,,,,,,,,,,,,34.646,,65.018,,,,,81.423,,,,,,,,,,267.484,106.75,,535.773,,67.104,21.128,,,,,,,,,,14.292,,,,11.747,16.977,,,,341.344,,,,,54.965,9.814,,,,,,,,,,,122.769,,,,,,,328.402,,,,,,,,,,,,,222.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5516.879,,,,,,,,,,,,
,,"GBAORD, environment, million constant USD PPPs",,metadata/GB_ENV_PPPK.html,,,,,,GB_ENV_PPPK,,,,,,,,110.807,,,160.734,20.278,,,,,,,56.452,,,,,,0.653,,,,,1.443,,,,,290.817,,,,,19.703,,,,,,,,3.267,,0.652,43.545,,,37.012,,,,,,,,,18.166,,,15.805,232.349,,,,897.834,,,41.406,,,,,,,,,,14.586,4.422,,,,,7.488,12.321,260.272,,687.723,,,,,,,,6.673,,,,,,5.292,8.192,,,,,,,0.232,,,,66.707,,,,,,,,,,,,31.314,,57.615,,,,,74.869,,,,,,,,,,244.257,94.574,,532.179,,60.534,21.386,,,,,,,,,,13.152,,,,10.883,14.965,,,,311.598,,,,,50.688,8.652,,,,,,,,,,,115.56,,,,,,,298.736,,,,,,,,,,,,,202.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5258.252,,,,,,,,,,,,
,,"GBAORD, environment, % of total GBAORD",,metadata/GB_ENV_XGB.html,,,,,,GB_ENV_XGB,,,,,,,,4.256,,,3.568,0.681,,,,,,,1.987,,,,,,3.311,,,,,0.474,,,,,3.761,,,,,2.515,,,,,,,,0.563,,0.736,2.196,,,1.556,,,,,,,,,7.663,,,0.872,1.488,,,,2.885,,,3.079,,,,,,,,,,2.19,3.404,,,,,0.964,0.8,2.536,,2.236,,,,,,,,7.94,,,,,,2.116,2.621,,,,,,,0.592,,,,1.093,,,,,,,,,,,,0.552,,6.578,,,,,2.472,,,,,,,,,,6.423,3.717,,2.521,,5.357,0.135,,,,,,,,,,3.358,,,,2.026,6.206,,,,3.768,,,,,1.479,0.221,,,,,,,,,,,2.467,,,,,,,2.233,,,,,,,,,,,,,2.777,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,2.65,,,,,,,,,,,,,,,,,,,,5516.879,,,,,,,,,,,,
,,"GBAORD, environment, % of GDP",,metadata/GB_ENV_XGDP.html,,,,,,GB_ENV_XGDP,,,,,,,,0.014,,,0.014,0.005,,,,,,,0.012,,,,,,0.002,,,,,0.001,,,,,0.02,,,,,0.005,,,,,,,,0.004,,0.002,0.014,,,0.014,,,,,,,,,0.053,,,0.008,0.009,,,,0.025,,,0.016,,,,,,,,,,0.006,0.033,,,,,0.003,0.005,0.013,,0.014,,,,,,,,0.015,,,,,,0.007,0.015,,,,,,,0.002,,,,0.003,,,,,,,,,,,,0.004,,0.036,,,,,0.025,,,,,,,,,,0.026,0.034,,0.031,,0.015,0.001,,,,,,,,,,0.015,,,,0.007,0.026,,,,0.021,,,,,0.012,0.002,,,,,,,,,,,0.007,,,,,,,0.012,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, environment, million NC",,,,,,,,,,,,,,,,,,,247.48,18.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.169,,,638.726,,,296.8,,,,,,,,,,,,16.1,207.95,,,,795.13,,,,,,,,,,,,,,,,,,,,,,,77256,,,,,,,,,,,,,,,8.297,,,,,,,,,,,629.583,,,,,,,,,,,,27.702,,94.4,,,,,764.8,,,,,,,,,,,62.41,,,,114.5,,,,,,,,,,,,,,,5.608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3349.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, environment, million USD PPPs",,,,,,,,,,,,,,,,,,,171.008,23.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.147,,,41.264,,,,,,,,,,,,17.828,261.543,,,,1027.403,,,,,,,,,,,,,,,,,,,,,,,760.401,,,,,,,,,,,,,,,9.681,,,,,,,,,,,73.186,,,,,,,,,,,,34.646,,65.018,,,,,81.423,,,,,,,,,,,106.75,,,,67.104,,,,,,,,,,,,,,,11.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, environment, million constant USD PPPs",,,,,,,,,,,,,,,,,,,160.734,20.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.545,,,37.012,,,,,,,,,,,,15.805,232.349,,,,897.834,,,,,,,,,,,,,,,,,,,,,,,687.723,,,,,,,,,,,,,,,8.192,,,,,,,,,,,66.707,,,,,,,,,,,,31.314,,57.615,,,,,74.869,,,,,,,,,,,94.574,,,,60.534,,,,,,,,,,,,,,,10.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
