CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Health,Latest available,,,,,,,,,GB_HEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, health, million NC",,metadata/GB_HEA_NC.html,,,,,,GB_HEA_NC,,,,,,,,873.892,,,1284.71,138.135,,,,,,,46.736,,,,,,0.005,,,,,4.607,,,,,1664,,,,,29072.8,,,,,,,,2.944,,3.764,2066.98,,,3246.3,,,,,,,,,19.365,,,49.99,972.634,,,,1431.5,,,112.27,,,,,,,,,,13205.3,997,,,,,41.7,46,805,,145967,,,,,,,,6.4,,,,,,2.381,57.912,,,,,,,1.677,,,,3208.88,,,,,,,,,,,,210.982,,130,,,,,5082.3,,,,,,,,,,792.4,167.97,,1577580.77,,42.09,5610.5,,,,,,,,,,496.8,,,,17.413,12.53,,,,871.986,,,,,684,12.203,,,,,,,,,,,178,,,,,,,2364.7,,,,,,,,,,,,,21576.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, health, million USD PPPs",,metadata/GB_HEA_PPP.html,,,,,,GB_HEA_PPP,,,,,,,,272.547,,,887.729,173.333,,,,,,,58.626,,,,,,0.007,,,,,7.176,,,,,1361.105,,,,,77.409,,,,,,,,1.064,,6.081,162.279,,,451.328,,,,,,,,,36.439,,,55.355,1223.302,,,,1849.669,,,182.4,,,,,,,,,,101.149,7.213,,,,,51.863,12.115,1107.793,,1436.698,,,,,,,,12.932,,,,,,5.291,67.576,,,,,,,2.942,,,,373.015,,,,,,,,,,,,263.866,,89.538,,,,,541.079,,,,,,,,,,449.627,287.308,,1775.099,,24.668,400.197,,,,,,,,,,12.006,,,,36.475,21.444,,,,1307.5,,,,,76.727,9.512,,,,,,,,,,,143.485,,,,,,,3437.679,,,,,,,,,,,,,1435.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50530.723,,,,,,,,,,,,
,,"GBAORD, health, million constant USD PPPs",,metadata/GB_HEA_PPPK.html,,,,,,GB_HEA_PPPK,,,,,,,,262.208,,,834.395,148.013,,,,,,,52.34,,,,,,0.007,,,,,6.602,,,,,1283.605,,,,,69.326,,,,,,,,0.979,,5.59,140.915,,,404.82,,,,,,,,,32.685,,,49.075,1086.753,,,,1616.401,,,163.569,,,,,,,,,,91.477,6.67,,,,,43.979,10.324,986.902,,1299.379,,,,,,,,11.543,,,,,,4.878,57.179,,,,,,,2.704,,,,339.992,,,,,,,,,,,,238.492,,79.342,,,,,497.527,,,,,,,,,,410.585,254.535,,1763.19,,22.252,405.085,,,,,,,,,,11.048,,,,33.792,18.903,,,,1193.559,,,,,70.757,8.385,,,,,,,,,,,135.06,,,,,,,3127.139,,,,,,,,,,,,,1304.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47454.496,,,,,,,,,,,,
,,"GBAORD, health, % of total GBAORD",,metadata/GB_HEA_XGB.html,,,,,,GB_HEA_XGB,,,,,,,,10.071,,,18.523,4.971,,,,,,,1.842,,,,,,0.036,,,,,2.168,,,,,16.599,,,,,8.85,,,,,,,,0.117,,6.31,7.105,,,17.018,,,,,,,,,13.787,,,2.709,6.962,,,,5.194,,,12.163,,,,,,,,,,13.733,5.135,,,,,5.663,0.671,9.616,,4.225,,,,,,,,13.734,,,,,,1.951,18.296,,,,,,,6.897,,,,5.573,,,,,,,,,,,,4.201,,9.059,,,,,16.426,,,,,,,,,,10.798,10.005,,8.351,,1.969,2.561,,,,,,,,,,2.821,,,,6.291,7.839,,,,14.431,,,,,2.064,0.214,,,,,,,,,,,2.884,,,,,,,23.373,,,,,,,,,,,,,17.885,,,,,,,,,,,,,,,,,,,,,,,9.19,,,,,9.48,,,,,,,,,,,,,,,,,,,,50530.723,,,,,,,,,,,,
,,"GBAORD, health, % of GDP",,metadata/GB_HEA_XGDP.html,,,,,,GB_HEA_XGDP,,,,,,,,0.033,,,0.075,0.04,,,,,,,0.011,,,,,,0,,,,,0.005,,,,,0.088,,,,,0.018,,,,,,,,0.001,,0.021,0.044,,,0.158,,,,,,,,,0.096,,,0.023,0.044,,,,0.046,,,0.064,,,,,,,,,,0.039,0.05,,,,,0.016,0.004,0.049,,0.027,,,,,,,,0.026,,,,,,0.006,0.107,,,,,,,0.018,,,,0.016,,,,,,,,,,,,0.03,,0.049,,,,,0.163,,,,,,,,,,0.044,0.091,,0.101,,0.006,0.014,,,,,,,,,,0.012,,,,0.022,0.032,,,,0.081,,,,,0.016,0.002,,,,,,,,,,,0.008,,,,,,,0.126,,,,,,,,,,,,,0.126,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.06,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, health, million NC",,,,,,,,,,,,,,,,,,,1284.71,138.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.944,,,2066.98,,,3246.3,,,,,,,,,,,,49.99,972.634,,,,1431.5,,,,,,,,,,,,,,,,,,,,,,,145967,,,,,,,,,,,,,,,57.912,,,,,,,,,,,3208.88,,,,,,,,,,,,210.982,,130,,,,,5082.3,,,,,,,,,,,167.97,,,,42.09,,,,,,,,,,,,,,,17.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21576.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, health, million USD PPPs",,,,,,,,,,,,,,,,,,,887.729,173.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.279,,,451.328,,,,,,,,,,,,55.355,1223.302,,,,1849.669,,,,,,,,,,,,,,,,,,,,,,,1436.698,,,,,,,,,,,,,,,67.576,,,,,,,,,,,373.015,,,,,,,,,,,,263.866,,89.538,,,,,541.079,,,,,,,,,,,287.308,,,,24.668,,,,,,,,,,,,,,,36.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, health, million constant USD PPPs",,,,,,,,,,,,,,,,,,,834.395,148.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.915,,,404.82,,,,,,,,,,,,49.075,1086.753,,,,1616.401,,,,,,,,,,,,,,,,,,,,,,,1299.379,,,,,,,,,,,,,,,57.179,,,,,,,,,,,339.992,,,,,,,,,,,,238.492,,79.342,,,,,497.527,,,,,,,,,,,254.535,,,,22.252,,,,,,,,,,,,,,,33.792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1304.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
