CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Industrial production,Latest available,,,,,,,,,GB_IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, industrial production, million NC",,metadata/GB_IND_NC.html,,,,,,GB_IND_NC,,,,,,,,1114.511,,,614.32,381.436,,,,,,,813.895,,,,,,0.4,,,,,20.908,,,,,1105,,,,,19144.785,,,,,,,,20.629,,0.75,3203.147,,,939.4,,,,,,,,,5.574,,,271.14,189.803,,,,3357.69,,,32.38,,,,,,,,,,9978,208,,,,,153,2074.4,1026.9,,244410,,,,,,,,5.2,,,,,,9.515,60.969,,,,,,,0.956,,,,4865.211,,,,,,,,,,,,383.896,,248.4,,,,,2835.8,,,,,,,,,,1790,101.53,,5531504.437,,209.907,17436.4,,,,,,,,,,2920.9,,,,19.254,18.233,,,,407.961,,,,,1209,27.65,,,,,,,,,,,952.6,,,,,,,365.5,,,,,,,,,,,,,22094.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, industrial production, million USD PPPs",,metadata/GB_IND_PPP.html,,,,,,GB_IND_PPP,,,,,,,,347.591,,,424.493,478.628,,,,,,,1020.951,,,,,,0.567,,,,,32.567,,,,,903.859,,,,,50.975,,,,,,,,6.855,,1.121,251.48,,,130.603,,,,,,,,,10.489,,,300.239,238.719,,,,4338.536,,,52.606,,,,,,,,,,76.429,1.505,,,,,190.288,546.349,1413.159,,2405.634,,,,,,,,10.507,,,,,,21.144,71.143,,,,,,,1.677,,,,565.555,,,,,,,,,,,,480.123,,171.087,,,,,301.909,,,,,,,,,,1015.69,173.664,,6224.068,,123.018,1243.74,,,,,,,,,,70.587,,,,40.332,31.207,,,,611.718,,,,,135.618,21.553,,,,,,,,,,,767.889,,,,,,,531.345,,,,,,,,,,,,,1470.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10567.573,,,,,,,,,,,,
,,"GBAORD, industrial production, million constant USD PPPs",,metadata/GB_IND_PPPK.html,,,,,,GB_IND_PPPK,,,,,,,,334.405,,,398.989,408.713,,,,,,,911.488,,,,,,0.523,,,,,29.961,,,,,852.394,,,,,45.652,,,,,,,,6.307,,1.135,218.372,,,117.145,,,,,,,,,9.408,,,266.179,212.073,,,,3791.388,,,47.175,,,,,,,,,,69.12,1.392,,,,,161.361,465.561,1258.944,,2175.705,,,,,,,,9.379,,,,,,19.493,60.197,,,,,,,1.542,,,,515.486,,,,,,,,,,,,433.952,,151.604,,,,,277.608,,,,,,,,,,927.494,153.855,,6182.311,,110.974,1258.93,,,,,,,,,,64.956,,,,37.365,27.508,,,,558.411,,,,,125.066,18.999,,,,,,,,,,,722.797,,,,,,,483.346,,,,,,,,,,,,,1335.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21059.629,,,,,,,,,,,,
,,"GBAORD, industrial production, % of total GBAORD",,metadata/GB_IND_XGB.html,,,,,,GB_IND_XGB,,,,,,,,12.844,,,8.857,13.728,,,,,,,32.077,,,,,,2.649,,,,,9.84,,,,,11.022,,,,,5.828,,,,,,,,0.819,,0.893,11.01,,,4.924,,,,,,,,,3.969,,,14.692,1.359,,,,12.184,,,3.508,,,,,,,,,,10.376,1.071,,,,,20.78,30.243,12.266,,7.074,,,,,,,,11.159,,,,,,7.796,19.262,,,,,,,3.932,,,,8.45,,,,,,,,,,,,7.644,,17.31,,,,,9.165,,,,,,,,,,24.391,6.048,,29.283,,9.821,7.96,,,,,,,,,,16.586,,,,6.956,11.408,,,,6.752,,,,,3.649,0.485,,,,,,,,,,,15.432,,,,,,,3.613,,,,,,,,,,,,,18.314,,,,,,,,,,,,,,,,,,,,,,,8.81,,,,,8.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, industrial production, % of GDP",,metadata/GB_IND_XGDP.html,,,,,,GB_IND_XGDP,,,,,,,,0.042,,,0.036,0.109,,,,,,,0.198,,,,,,0.001,,,,,0.024,,,,,0.058,,,,,0.012,,,,,,,,0.008,,0.004,0.068,,,0.046,,,,,,,,,0.028,,,0.127,0.009,,,,0.107,,,0.018,,,,,,,,,,0.029,0.01,,,,,0.06,0.178,0.062,,0.045,,,,,,,,0.021,,,,,,0.025,0.112,,,,,,,0.01,,,,0.025,,,,,,,,,,,,0.055,,0.093,,,,,0.091,,,,,,,,,,0.099,0.055,,0.355,,0.028,0.042,,,,,,,,,,0.072,,,,0.024,0.047,,,,0.038,,,,,0.029,0.004,,,,,,,,,,,0.041,,,,,,,0.02,,,,,,,,,,,,,0.129,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.06,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, industrial production, million NC",,,,,,,,,,,,,,,,,,,614.32,381.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.629,,,3203.147,,,939.4,,,,,,,,,,,,271.14,189.803,,,,3357.69,,,,,,,,,,,,,,,,,,,,,,,244410,,,,,,,,,,,,,,,60.969,,,,,,,,,,,4865.211,,,,,,,,,,,,383.896,,248.4,,,,,2835.8,,,,,,,,,,,101.53,,,,209.907,,,,,,,,,,,,,,,19.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22094.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, industrial production, million USD PPPs",,,,,,,,,,,,,,,,,,,424.493,478.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.48,,,130.603,,,,,,,,,,,,300.239,238.719,,,,4338.536,,,,,,,,,,,,,,,,,,,,,,,2405.634,,,,,,,,,,,,,,,71.143,,,,,,,,,,,565.555,,,,,,,,,,,,480.123,,171.087,,,,,301.909,,,,,,,,,,,173.664,,,,123.018,,,,,,,,,,,,,,,40.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, industrial production, million constant USD PPPs",,,,,,,,,,,,,,,,,,,398.989,408.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.372,,,117.145,,,,,,,,,,,,266.179,212.073,,,,3791.388,,,,,,,,,,,,,,,,,,,,,,,2175.705,,,,,,,,,,,,,,,60.197,,,,,,,,,,,515.486,,,,,,,,,,,,433.952,,151.604,,,,,277.608,,,,,,,,,,,153.855,,,,110.974,,,,,,,,,,,,,,,37.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1335.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
