CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Non-oriented research (Civil),Latest available,,,,,,,,,GB_NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, non-oriented research, million NC",,,,,,,,GB_NOR_NC,,,,,,,,1882.561,,,2604.378,1939.164,,,,,,,1159.475,,,,,,7.8,,,,,108.841,,,,,3503,,,,,148985,,,,,,,,2589.4,,47.804,15316.432,,,12259.5,,,,,,,,,68.5,,,1058,6629.19,,,,14892.5,,,379.02,,,,,,,,,,54918.5,11169,,,,,364.2,3862.6,3753.4,,2037110,,,,,,,,11.8,,,,,,88.45,134.303,,,,,,,18.33,,,,,,,,,,,,,,,,3578.088,,702.4,,,,,12800.9,,,,,,,,,,2909.2,992.97,,24.123,,,6899.5,,,,,,,,,,8453.218,,,,185.234,81.136,,,,2996.692,,,,,24002,5161.75,,,,,,,,,,,2884.155,,,,,,,3536.1,,,,,,,,,,,,,36387.972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, non-oriented research, million USD PPPs",,,,,,,,GB_NOR_PPP,,,,,,,,588.3,,,1780.738,2431.55,,,,,,,1452.557,,,,,,11.159,,,,,171.403,,,,,2861.927,,,,,426.06,,,,,,,,707.1,,75.401,1196.692,,,1683.537,,,,,,,,,130.083,,,1169.791,8288.458,,,,19253.19,,,615.278,,,,,,,,,,426.36,80.736,,,,,452.595,1003.349,5106.015,,19862,,,,,,,,23.781,,,,,,195.254,152.257,,,,,,,32.558,,,,,,,,,,,,,,,,4447.531,,486.584,,,,,1322.082,,,,,,,,,,1653.092,1701.055,,,,,829.686,,,,,,,,,,207.517,,,,381.859,138.754,,,,4520.824,,,,,2690.209,4019.93,,,,,,,,,,,2323.032,,,,,,,5103.585,,,,,,,,,,,,,2392.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97055.883,,,,,,,,,,,,
,,"GBAORD, non-oriented research, million constant USD PPPs",,,,,,,,GB_NOR_PPPK,,,,,,,,435.839,,,1767.143,2129.048,,,,,,,1329.548,,,,,,,,,,,,,,,,2715.581,,,,,384.098,,,,,,,,,,,1113.618,,,1526.543,,,,,,,,,110.688,,,1044.247,7720.627,,,,17463.514,,,672.815,,,,,,,,,,374.855,71.813,,,,,392.629,896.364,4776.325,,19155.426,,,,,,,,13.337,,,,,,181.251,134.301,,,,,,,35.078,,,,,,,,,,,,,,,,4291.497,,461.45,,,,,1227.691,,,,,,,,,,1523.575,1632.216,,,,,2820.175,,,,,,,,,,,,,,368.663,132.702,,,,4487.354,,,,,2485.141,3947.449,,,,,,,,,,,1626.273,,,,,,,4692.332,,,,,,,,,,,,,2345.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101977.16,,,,,,,,,,,,
,,"GBAORD, non-oriented research, % of total GBAORD",,,,,,,,GB_NOR_XGB,,,,,,,,21.695,,,37.422,69.79,,,,,,,42.501,,,,,,56.46,,,,,52.686,,,,,34.943,,,,,52.451,,,,,,,,95.094,,77.268,55.036,,,60.053,,,,,,,,,48.289,,,52.858,46.772,,,,56.129,,,41.063,,,,,,,,,,60.41,57.525,,,,,49.464,56.353,44.417,,58.577,,,,,,,,30.89,,,,,,70.191,38.178,,,,,,,95.633,,,,,,,,,,,,,,,,71.247,,54.483,,,,,44.193,,,,,,,,,,39.33,56.56,,,,,14.029,,,,,,,,,,52.139,,,,56.007,50.763,,,,51.876,,,,,72.444,90.462,,,,,,,,,,,46.723,,,,,,,34.528,,,,,,,,,,,,,31.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, non-oriented research, % of GDP",,,,,,,,GB_NOR_XGDP,,,,,,,,0.071,,,0.157,0.555,,,,,,,0.289,,,,,,0.029,,,,,0.13,,,,,0.185,,,,,0.108,,,,,,,,0.776,,0.272,0.336,,,0.605,,,,,,,,,0.347,,,0.505,0.302,,,,0.491,,,0.216,,,,,,,,,,0.17,0.557,,,,,0.142,0.35,0.231,,0.384,,,,,,,,0.05,,,,,,0.242,0.269,,,,,,,0.217,,,,,,,,,,,,,,,,0.509,,0.279,,,,,0.411,,,,,,,,,,0.169,0.553,,,,,0.072,,,,,,,,,,0.216,,,,0.235,0.21,,,,0.289,,,,,0.574,0.802,,,,,,,,,,,0.123,,,,,,,0.194,,,,,,,,,,,,,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, non-oriented research, % of total civil GBAORD",,metadata/GB_NOR_XGBCIV.html,,,,,,GB_NOR_XGBCIV,,,,,,,,19.493,,,9.619,13.218,,,,,,,25.176,,,,,,,,,,,,,,,,9.728,,,,,39.019,,,,,,,,,,,33.418,,,15.316,,,,,,,,,41.686,,,28.527,24.217,,,,17.491,,,6.85,,,,,,,,,,23.197,19.669,,,,,34.144,3.215,2.158,,21.981,,,,,,,,24.289,,,,,,,22.093,,,,,,,,,,,22.587,,,,,,,,,,,,19.406,,10.181,,,,,14.672,,,,,,,,,,29.684,17.528,,,,55.26,24.848,,,,,,,,,,,,,,16.455,57.404,,,,20.234,,,,,23.108,26.297,,,,,,,,,,,5.642,,,,,,,13.823,,,,,,,,,,,,,23.446,,,,,,,,,,,,,,,,,,,,,,,,,17.248,,,18.725,,,,,,,,,,,,,,,,,,,,18.376,,,,,,,,,,,,
,,"GBAORD, General University Funds (GUF), % of total civil GBAORD",,metadata/GB_GUF_XGBCIV.html,,,,,,GB_GUF_XGBCIV,,,,,,,,2.516,,,30.513,56.933,,,,,,,19.93,,,,,,,,,,,,,,,,32.248,,,,,9.92,,,,,,,,,,,22.674,,,46.819,,,,,,,,,0,,,32.42,26.38,,,,41.399,,,39.355,,,,,,,,,,25.036,37.855,,,,,18.158,51.833,43.399,,37.163,,,,,,,,4.376,,,,,,,30.232,,,,,,,,,,,30.232,,,,,,,,,,,,56.153,,24.488,,,,,32.626,,,,,,,,,,1.372,42.694,,,,1.024,0,,,,,,,,,,,,,,54.348,0.766,,,,31.414,,,,,51.842,64.038,,,,,,,,,,,45.008,,,,,,,26.234,,,,,,,,,,,,,8.548,,,,,,,,,,,,,,,,,,,,,,,,,37.344,,,35.352,,,,,,,,,,,,,,,,,,,,24.99,,,,,,,,,,,,
,,"GBAORD, generic research, % of total civil GBAORD",,metadata/GB_GEN_XGBCIV.html,,,,,,GB_GEN_XGBCIV,,,,,,,,22.009,,,40.938,69.791,,,,,,,42.584,,,,,,,,,,,,,,,,37.457,,,,,56.224,,,,,,,,,,,57.743,,,61.142,,,,,,,,,48.938,,,60.948,50.389,,,,59.375,,,49.155,,,,,,,,,,49.157,57.525,,,,,49.531,55.78,44.787,,59.124,,,,,,,,0,,,,,,,38.178,,,,,,,,,,,,,,,,,,,,,,,74.477,,49.879,,,,,46.667,,,,,,,,,,41.302,56.731,,,,51.738,24.848,,,,,,,,,,,,,,66.247,51.595,,,,52.536,,,,,74.95,90.9,,,,,,,,,,,62.398,,,,,,,41.787,,,,,,,,,,,,,32.444,,,,,,,,,,,,,,,,,,,,,,,,,54.402,,,54.286,,,,,,,,,,,,,,,,,,,,55.711,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
