CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Space,Latest available,,,,,,,,,GB_SPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, space, million NC",,metadata/GB_SPA_NC.html,,,,,,GB_SPA_NC,,,,,,,,673.265,,,25.71,18.634,,,,,,,211.34,,,,,,0.01,,,,,3.143,,,,,359,,,,,5247.698,,,,,,,,0.167,,0,511.576,,,125.7,,,,,,,,,2.029,,,23.68,827.669,,,,1409.02,,,16.85,,,,,,,,,,962.6,,,,,,17.3,36.4,728,,215982,,,,,,,,0.8,,,,,,1.197,0.243,,,,,,,0,,,,98.808,,,,,,,,,,,,133.14,,0,,,,,652.9,,,,,,,,,,69.1,6.85,,507397.305,,59.5,46836.1,,,,,,,,,,95.9,,,,1.079,0.125,,,,275.73,,,,,272,179.729,,,,,,,,,,,23.5,,,,,,,334.4,,,,,,,,,,,,,1997.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, space, million USD PPPs",,metadata/GB_SPA_PPP.html,,,,,,GB_SPA_PPP,,,,,,,,209.976,,,17.766,23.382,,,,,,,265.105,,,,,,0.014,,,,,4.896,,,,,293.652,,,,,13.972,,,,,,,,0.039,,0,40.164,,,17.476,,,,,,,,,3.818,,,26.221,1040.976,,,,1820.622,,,27.375,,,,,,,,,,7.373,,,,,,21.516,9.587,1001.83,,2125.828,,,,,,,,1.616,,,,,,2.752,0.283,,,,,,,0,,,,11.486,,,,,,,,,,,,166.513,,0,,,,,69.51,,,,,,,,,,39.209,11.717,,570.925,,34.871,3340.822,,,,,,,,,,2.318,,,,2.26,0.214,,,,413.444,,,,,30.511,140.096,,,,,,,,,,,18.943,,,,,,,486.134,,,,,,,,,,,,,132.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16894.496,,,,,,,,,,,,
,,"GBAORD, space, million constant USD PPPs",,metadata/GB_SPA_PPPK.html,,,,,,GB_SPA_PPPK,,,,,,,,202.01,,,16.698,19.967,,,,,,,236.682,,,,,,0.013,,,,,4.504,,,,,276.932,,,,,12.513,,,,,,,,0.036,,,34.876,,,15.675,,,,,,,,,3.425,,,23.247,924.779,,,,1591.017,,,24.549,,,,,,,,,,6.668,,,,,,18.245,8.169,892.503,,1922.643,,,,,,,,1.443,,,,,,2.785,0.239,,,,,,,0,,,,10.469,,,,,,,,,,,,150.5,,0,,,,,63.915,,,,,,,,,,35.804,10.38,,567.095,,31.457,3381.625,,,,,,,,,,2.133,,,,2.094,0.189,,,,377.415,,,,,28.137,123.496,,,,,,,,,,,17.831,,,,,,,442.219,,,,,,,,,,,,,120.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19436.855,,,,,,,,,,,,
,,"GBAORD, space, % of total GBAORD",,metadata/GB_SPA_XGB.html,,,,,,GB_SPA_XGB,,,,,,,,7.759,,,0.371,0.671,,,,,,,8.329,,,,,,0.072,,,,,1.479,,,,,3.581,,,,,1.597,,,,,,,,0.007,,0,1.758,,,0.659,,,,,,,,,1.445,,,1.283,5.924,,,,5.113,,,1.826,,,,,,,,,,1.001,,,,,,2.35,0.531,8.696,,6.251,,,,,,,,1.717,,,,,,0.86,0.077,,,,,,,0,,,,0.172,,,,,,,,,,,,2.651,,0,,,,,2.11,,,,,,,,,,0.942,0.408,,2.686,,2.784,21.381,,,,,,,,,,0.545,,,,0.39,0.078,,,,4.563,,,,,0.821,3.15,,,,,,,,,,,0.381,,,,,,,3.305,,,,,,,,,,,,,1.655,,,,,,,,,,,,,,,,,,,,,,,5.26,,,,,5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, space, % of GDP",,metadata/GB_SPA_XGDP.html,,,,,,GB_SPA_XGDP,,,,,,,,0.025,,,0.001,0.005,,,,,,,0.052,,,,,,0,,,,,0.004,,,,,0.019,,,,,0.003,,,,,,,,0,,0,0.011,,,0.006,,,,,,,,,0.01,,,0.011,0.037,,,,0.045,,,0.01,,,,,,,,,,0.003,,,,,,0.007,0.003,0.044,,0.04,,,,,,,,0.003,,,,,,0.004,0,,,,,,,0,,,,0.001,,,,,,,,,,,,0.019,,0,,,,,0.021,,,,,,,,,,0.004,0.004,,0.033,,0.008,0.113,,,,,,,,,,0.002,,,,0.001,0,,,,0.026,,,,,0.007,0.028,,,,,,,,,,,0.001,,,,,,,0.018,,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.04,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, space, million NC",,,,,,,,,,,,,,,,,,,25.71,18.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167,,,511.576,,,125.7,,,,,,,,,,,,23.68,827.669,,,,1409.02,,,,,,,,,,,,,,,,,,,,,,,215982,,,,,,,,,,,,,,,0.243,,,,,,,,,,,98.808,,,,,,,,,,,,133.14,,0,,,,,652.9,,,,,,,,,,,6.85,,,,59.5,,,,,,,,,,,,,,,1.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, space, million USD PPPs",,,,,,,,,,,,,,,,,,,17.766,23.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.164,,,17.476,,,,,,,,,,,,26.221,1040.976,,,,1820.622,,,,,,,,,,,,,,,,,,,,,,,2125.828,,,,,,,,,,,,,,,0.283,,,,,,,,,,,11.486,,,,,,,,,,,,166.513,,0,,,,,69.51,,,,,,,,,,,11.717,,,,34.871,,,,,,,,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, space, million constant USD PPPs",,,,,,,,,,,,,,,,,,,16.698,19.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.876,,,15.675,,,,,,,,,,,,23.247,924.779,,,,1591.017,,,,,,,,,,,,,,,,,,,,,,,1922.643,,,,,,,,,,,,,,,0.239,,,,,,,,,,,10.469,,,,,,,,,,,,150.5,,0,,,,,63.915,,,,,,,,,,,10.38,,,,31.457,,,,,,,,,,,,,,,2.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
