CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Telecom and infrastructures,Latest available,,,,,,,,,GB_TEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, telecom and infrastructures, million NC",,metadata/GB_TEL_NC.html,,,,,,GB_TEL_NC,,,,,,,,142.324,,,134.74,38.965,,,,,,,40.971,,,,,,0,,,,,9.63,,,,,281,,,,,10608.046,,,,,,,,26.538,,0.529,1081.611,,,178.5,,,,,,,,,11.34,,,28.31,695.308,,,,439.81,,,43.26,,,,,,,,,,5958.9,473,,,,,3.6,140.2,101.7,,106284,,,,,,,,2,,,,,,0.029,1.041,,,,,,,0.029,,,,164.996,,,,,,,,,,,,86.362,,68.5,,,,,499.4,,,,,,,,,,555.5,69.25,,147004.671,,50.684,1389.5,,,,,,,,,,571,,,,3.145,4.806,,,,236.735,,,,,1645,11.07,,,,,,,,,,,209.3,,,,,,,370.3,,,,,,,,,,,,,5877.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, telecom and infrastructures, million USD PPPs",,metadata/GB_TEL_PPP.html,,,,,,GB_TEL_PPP,,,,,,,,44.388,,,93.105,48.894,,,,,,,51.394,,,,,,,,,,,15,,,,,229.85,,,,,28.245,,,,,,,,2.875,,0.855,84.918,,,24.817,,,,,,,,,21.338,,,31.348,874.504,,,,568.287,,,70.282,,,,,,,,,,45.643,3.422,,,,,4.477,36.925,139.954,,1046.113,,,,,,,,4.041,,,,,,0.066,1.215,,,,,,,0.051,,,,19.18,,,,,,,,,,,,108.009,,47.18,,,,,53.168,,,,,,,,,,315.204,118.45,,165.41,,29.704,99.113,,,,,,,,,,13.799,,,,6.588,8.226,,,,354.972,,,,,184.525,8.629,,,,,,,,,,,168.716,,,,,,,538.323,,,,,,,,,,,,,391.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4698.99,,,,,,,,,,,,
,,"GBAORD, telecom and infrastructures, million constant USD PPPs",,metadata/GB_TEL_PPPK.html,,,,,,GB_TEL_PPPK,,,,,,,,42.704,,,87.511,41.751,,,,,,,45.883,,,,,,0,,,,,13.8,,,,,216.763,,,,,25.295,,,,,,,,2.646,,0.786,73.738,,,22.259,,,,,,,,,19.14,,,27.792,776.889,,,,496.618,,,63.027,,,,,,,,,,41.279,3.164,,,,,3.797,31.465,124.681,,946.126,,,,,,,,3.607,,,,,,0.066,1.028,,,,,,,0.047,,,,17.482,,,,,,,,,,,,97.623,,41.807,,,,,48.888,,,,,,,,,,287.834,104.939,,164.3,,26.796,100.324,,,,,,,,,,12.698,,,,6.103,7.251,,,,324.038,,,,,170.168,7.606,,,,,,,,,,,158.809,,,,,,,489.694,,,,,,,,,,,,,355.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6489.162,,,,,,,,,,,,
,,"GBAORD, telecom and infrastructures, % of total GBAORD",,metadata/GB_TEL_XGB.html,,,,,,GB_TEL_XGB,,,,,,,,1.64,,,1.943,1.402,,,,,,,1.615,,,,,,0,,,,,4.532,,,,,2.803,,,,,3.229,,,,,,,,1.054,,0.887,3.718,,,0.936,,,,,,,,,8.074,,,1.534,4.977,,,,1.596,,,4.687,,,,,,,,,,6.197,2.436,,,,,0.489,2.044,1.215,,3.076,,,,,,,,4.292,,,,,,0.025,0.329,,,,,,,0.119,,,,0.287,,,,,,,,,,,,1.72,,4.774,,,,,1.614,,,,,,,,,,7.569,4.125,,0.778,,2.371,0.634,,,,,,,,,,3.242,,,,1.136,3.007,,,,3.918,,,,,4.965,0.194,,,,,,,,,,,3.391,,,,,,,3.66,,,,,,,,,,,,,4.872,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, telecom and infrastructures, % of GDP",,metadata/GB_TEL_XGDP.html,,,,,,GB_TEL_XGDP,,,,,,,,0.005,,,0.008,0.011,,,,,,,0.01,,,,,,0,,,,,0.011,,,,,0.015,,,,,0.007,,,,,,,,0.003,,0.003,0.023,,,0.009,,,,,,,,,0.056,,,0.013,0.031,,,,0.014,,,0.025,,,,,,,,,,0.018,0.024,,,,,0.001,0.012,0.006,,0.02,,,,,,,,0.008,,,,,,0,0.002,,,,,,,0,,,,0.001,,,,,,,,,,,,0.012,,0.026,,,,,0.016,,,,,,,,,,0.031,0.037,,0.009,,0.007,0.003,,,,,,,,,,0.014,,,,0.004,0.012,,,,0.022,,,,,0.039,0.002,,,,,,,,,,,0.009,,,,,,,0.02,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, telecom and infrastructures, million NC",,,,,,,,,,,,,,,,,,,134.74,38.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.538,,,1081.611,,,178.5,,,,,,,,,,,,28.31,695.308,,,,439.81,,,,,,,,,,,,,,,,,,,,,,,106284,,,,,,,,,,,,,,,1.041,,,,,,,,,,,164.996,,,,,,,,,,,,86.362,,68.5,,,,,499.4,,,,,,,,,,,69.25,,,,50.684,,,,,,,,,,,,,,,3.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5877.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, telecom and infrastructures, million USD PPPs",,,,,,,,,,,,,,,,,,,93.105,48.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.918,,,24.817,,,,,,,,,,,,31.348,874.504,,,,568.287,,,,,,,,,,,,,,,,,,,,,,,1046.113,,,,,,,,,,,,,,,1.215,,,,,,,,,,,19.18,,,,,,,,,,,,108.009,,47.18,,,,,53.168,,,,,,,,,,,118.45,,,,29.704,,,,,,,,,,,,,,,6.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, telecom and infrastructures, million constant USD PPPs",,,,,,,,,,,,,,,,,,,87.511,41.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.738,,,22.259,,,,,,,,,,,,27.792,776.889,,,,496.618,,,,,,,,,,,,,,,,,,,,,,,946.126,,,,,,,,,,,,,,,1.028,,,,,,,,,,,17.482,,,,,,,,,,,,97.623,,41.807,,,,,48.888,,,,,,,,,,,104.939,,,,26.796,,,,,,,,,,,,,,,6.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
