CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Total,Latest available,,,,,,,,,GB_TOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, total thematic, million NC",,,,,,,,GB_TOT_NC,,,,,,,,6671.129,,,3757.453,839.378,,,,,,,1563.324,,,,,,,,,,,97.663,,,,,5849,,,,,171852,,,,,,,,181.7,,14.064,11208.673,,,7791.3,,,,,,,,,71.474,,,907.2,6526.862,,,,10189.8,,,392.05,,,,,,,,,,35855.4,8247,,,,,371.1,,4627.2,,1288796,,,,,,,,25.7,,,,,,37.506,217.481,,,,,,,0.773,,,,,,,,,,,,,,,,1226.196,,705.8,,,,,14629.3,,,,,,,,,,4134.6,757.33,,,,,20867,,,,,,,,,,7158.781,,,,94.379,76.121,,,,2707.381,,,,,8022,516.72,,,,,,,,,,,1738.007,,,,,,,4926,,,,,,,,,,,,,75769.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, total thematic, million USD PPPs",,,,,,,,GB_TOT_PPP,,,,,,,,2084.728,,,2569.151,1052.51,,,,,,,1958.486,,,,,,,,,,,153.8,,,,,4778.593,,,,,491.454,,,,,,,,49.618,,22.183,875.747,,,1069.941,,,,,,,,,135.731,,,1003.057,8160.518,,,,13173.49,,,636.43,,,,,,,,,,278.364,59.614,,,,,461.17,,6294.706,,12565.87,,,,,,,,51.794,,,,,,82.795,246.553,,,,,,,1.373,,,,,,,,,,,,,,,,1524.151,,488.939,,,,,1510.92,,,,,,,,,,2349.4,1297.38,,,,,2509.319,,,,,,,,,,175.74,,,,194.562,130.177,,,,4084.367,,,,,899.128,402.417,,,,,,,,,,,1399.872,,,,,,,7109.601,,,,,,,,,,,,,4982.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133956.28,,,,,,,,,,,,
,,"GBAORD, total thematic, million constant USD PPPs",,,,,,,,GB_TOT_PPPK,,,,,,,,1544.458,,,2549.535,992.333,,,,,,,1792.633,,,,,,,,,,,,,,,,4534.237,,,,,443.051,,,,,,,,,,,814.953,,,970.166,,,,,,,,,115.494,,,895.407,7601.451,,,,11948.948,,,695.945,,,,,,,,,,244.737,53.025,,,,,400.068,,5888.264,,12118.852,,,,,,,,44.102,,,,,,68.605,217.478,,,,,,,2.061,,,,,,,,,,,,,,,,1591.735,,463.684,,,,,1403.047,,,,,,,,,,2165.328,1244.878,,,,,8529.399,,,,,,,,,,,,,,187.839,124.5,,,,4054.128,,,,,830.589,395.161,,,,,,,,,,,980.001,,,,,,,6536.701,,,,,,,,,,,,,4726.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126746.27,,,,,,,,,,,,
,,"GBAORD, total thematic, % of total GBAORD",,,,,,,,GB_TOT_XGB,,,,,,,,76.88,,,53.991,30.209,,,,,,,57.304,,,,,,,,,,,47.275,,,,,58.344,,,,,60.502,,,,,,,,6.673,,22.732,40.276,,,38.166,,,,,,,,,50.385,,,45.324,46.05,,,,38.405,,,42.475,,,,,,,,,,39.441,42.475,,,,,50.401,,54.757,,37.059,,,,,,,,67.277,,,,,,29.763,61.822,,,,,,,4.033,,,,,,,,,,,,,,,,24.416,,54.747,,,,,50.505,,,,,,,,,,55.896,43.138,,,,,42.431,,,,,,,,,,44.155,,,,28.536,47.626,,,,46.868,,,,,24.212,9.056,,,,,,,,,,,28.155,,,,,,,48.099,,,,,,,,,,,,,65.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, total thematic, % of GDP",,,,,,,,GB_TOT_XGDP,,,,,,,,0.252,,,0.227,0.24,,,,,,,0.39,,,,,,,,,,,0.117,,,,,0.308,,,,,0.125,,,,,,,,0.054,,0.08,0.246,,,0.384,,,,,,,,,0.362,,,0.433,0.297,,,,0.336,,,0.223,,,,,,,,,,0.111,0.411,,,,,0.145,,0.285,,0.243,,,,,,,,0.109,,,,,,0.103,0.435,,,,,,,0.009,,,,,,,,,,,,,,,,0.175,,0.28,,,,,0.469,,,,,,,,,,0.24,0.422,,,,,0.219,,,,,,,,,,0.183,,,,0.12,0.197,,,,0.261,,,,,0.192,0.08,,,,,,,,,,,0.074,,,,,,,0.27,,,,,,,,,,,,,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, total thematic, million NC",,,,,,,,,,,,,,,,,,,,839.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, total thematic, million USD PPPs",,,,,,,,,,,,,,,,,,,,1052.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524.151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GBAORD, total thematic, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
