CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>GFCF (Gross Fixed Capital Formation),Latest available,,,metadata/GFCF.html,,,,,,GFCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GFCF, million NC",,metadata/GFCF_NC.html,,,,,,GFCF_NC,,,,,,,,,,,421979,76844.5,,,,,,,94356.4,,,,,,5023.9,,1148453,,,16170.4,,,,,466273,,,,,37481694.45,29005300,171179000,,,,5317411,,60692.8,,1916,1198101,,,414110,,,,,,,,,4789.6,,,46423,489360,,,,603820,,,20285.172,,,,,,,,,,7366895,419951.29,,,,,54234.819,9343,284338.05,,124305700,,,,,,,,5496.83,,,,,,7195.006,9718.98,,,,,,,1109.9,,,,3751660.73,,,,583.8,,,,,,,,140049,,10041,,,,,746167,,,,,,,,,,360848,27478.309,,485948300,,148207.6,16376459.2,,,,,,,,,,743171.6,,,,18107.75,7524.576,,,,212069,,,,,1054908,154215.177,,,,105443,,,,,,,688315.72,,,,,,,323227,,3576630.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051639.6,1693620.2,,,2255056.2,2964934.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1698553.4,,,
,,"GFCF, million USD PPPs",,metadata/GFCF_PPP.html,,,,,,GFCF_PPP,,,,,,,,,,,288527.3,96457.04,,,,,,,118265.1,,,,,,7126.099,,657009.8,,,25148.37,,,,,367379.8,,,,,98959.54,8248025,145145.3,,,,14064.73,,16133.12,,2925.191,93609.11,,,57230.3,,,,,,,,,9005.306,,,51306.19,609034.7,,,,780625.2,,,32929.7,,,,,,,,,,56382.73,2992.405,,,,,67398.17,2458.697,393167.4,,1211991,,,,,,,,11107.01,,,,,,15988.9,11021.87,,,,,,,1974.911,,,,446471,,,,1608.264,,,,,,,,174079.7,,6955.844,,,,,74389.88,,,,,,,,,,204588.6,46979.93,,543716.7,,92271,682787.9,,,,,,,,,,18408.55,,,,37329.05,12868.06,,,,317730.2,,,,,117417.9,123659.3,,,,5691.623,,,,,,,554401.5,,,,,,,466056.2,,3576630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3906927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GFCF, million constant USD PPPs",,,,,,,,GFCF_PPPK,,,,,,,,,,,274764.1,83498.88,,,,,,,105670,,,,,,6563.641,,611249.9,,,23790.73,,,,,353619.2,,,,,89303.16,7680533,137418.3,,,,13081.75,,15272.94,,2766.648,82401.96,,,51517.98,,,,,,,,,8084.104,,,45758.95,546174.8,,,,691550.8,,,29553.95,,,,,,,,,,51032.39,2649.76,,,,,57198.5,2096.864,345600.8,,1102816,,,,,,,,9913.928,,,,,,14740.02,9425.684,,,,,,,1869.97,,,,410375,,,,1547.97,,,,,,,,157144.2,,6195.8,,,,,69914.93,,,,,,,,,,186695.3,41617.03,,533480.8,,85158.1,657536.1,,,,,,,,,,17428.62,,,,35057.85,11352.13,,,,290276.5,,,,,107598.8,106564.3,,,,5475.728,,,,,,,523920.5,,,,,,,420148.9,,3291240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GFCF, % of GDP",,metadata/GFCF_XGDP.html,,,,,,GFCF_XGDP,,,,,,,,,,,25.499,22.967,,,,,,,22.988,,,,,,,,19.873,,,20.7,,,,,22.997,,,,,23.165,44.049,24.101,,,,19.913,,18.6,,11.6,24.963,,,20.055,,,,,,,,,22.335,,,21.531,21.956,,,,20.039,,,11.438,,,,,,,,,,17.798,21.239,30.78,33.186,,,31.823,19.145,17.001,,23.43,,,,,,,,18.295,,,,,,19.347,17.815,,,,,,,15.3,,,,22.541,,,,18.5,,,,,,,,19.932,,22.56,,,,,24.077,,,,,,,,,,18.058,14.858,,29.678,,23.6,19.954,,,,,,,,,,20.5,,,,20.173,17.579,,,,19.928,,,,,24.111,24.275,,,,23,,,,,,,29.719,,,,,,,16.664,,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,17.68,,,17.313,19.801,,,,,,,,,,,,,,,,,,,,21.188,,,,,,,,20.228,17.688,,,
,,"Gross fixed capital formation (expenditure), USD, constant PPPs, OECD base year, millions",,metadata/GFCF_OBY.html,,,,,,GFCF_OBY,,,,,,,,128895.886,,,262631.875,86541.964,,,,,,,107560.573,,,,,,,,613571.432,,,24453.065,,,,,331933.132,,,,,84104.876,,159523.876,,,,14466.704,,18286.697,,4350.665,83310.084,,,51860.31,,,,,,,,,8232.8,,,46460.3,545155.068,,,,712218.158,,,29234.582,,,,,,,,,,47024.999,3440.712,1461631.329,851488.787,,,94710.164,51376.122,352729.745,,1087283.826,,,,,,,,8275.867,,,,,,14524.932,9013.319,,,,,,,3374.179,,,,436952.257,,,,,,,,,,,,165463.897,,35784.181,,,,,69087.704,,,,,,,,86573.138,,184941.04,45249.506,,543745.314,,98258.412,667617.925,,,,,,,,,,,,,,34234.518,10402.168,,,,324672.808,,,,,109873.975,111833.27,,,,,,,,,,,533995.469,,,,,,,418377.065,,3335342.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1767087.538,3096323.904,,2509015.106,3620851.495,,,,,,,,,,,,,,,,,,,2513897.541,10212470.8,,,,,,,,7825836.601,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GFCF, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466273,,,,,,,,,,,,,,,,,,,414110,,,,,,,,,,,,46423,,,,,,,,,,,,,,,,,,,,,,,,,,284338.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140049,,,,,,,746167,,,,,,,,,,,27478.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054908,,,,,,,,,,,,,,,,,,,323227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GFCF, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367379.8,,,,,,,,,,,,,,,,,,,57230.3,,,,,,,,,,,,51306.19,,,,,,,,,,,,,,,,,,,,,,,,,,393167.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174079.7,,,,,,,74389.88,,,,,,,,,,,46979.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117417.9,,,,,,,,,,,,,,,,,,,466056.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GFCF, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353619.2,,,,,,,,,,,,,,,,,,,51517.98,,,,,,,,,,,,45758.95,,,,,,,,,,,,,,,,,,,,,,,,,,345600.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157144.2,,,,,,,69914.93,,,,,,,,,,,41617.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107598.8,,,,,,,,,,,,,,,,,,,420148.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
