CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Gross fixed capital formation (GFCF),Latest available,,,,,,,,,GGEGFCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, GFCF, million NC",,metadata/GGEGFCF_NC.html,,,,,,GGEGFCF_NC,,,,,,,,,,,53851,10510.49,,,,,,,9730.7,,,,,,,,171540,,,,,,,,78851,,,,,3009258.37,3314244,28293397.01,,,,719307.075,,,,,158823,,,76698,,,,,,,,,989.9,,,8325,76120,,,,66789,,,5525,,,,,,,,,,1088480.93,67291.17,,,,,4902.97,27008.338,35048,,19746000,,,,,,,,882.97,,,,,,1123.858,2053.81,,,,,,,,,,,362037.166,,,,,,,,,,,,24498,,10040,,,,,166948,,,,,,,,30887,,61358,2798.585,,73036800,,,3303129.684,,,,,,,,,,,,,,2598.242,1212.54,,,,21548,,,,,193070,19272.89,,,,,,,,,,,77527,,,,,,,51060,,576243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198731.8,,,,290421.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, GFCF, million current USD PPPs",,,,,,,,GGEGFCF_PPP,,,,,,,,,,,36820.51,13179.28,,,,,,,12148.38,,,,,,,,98135.01,,,,,,,,62127.27,,,,,8219.167,942447.3,22591.36,,,,1643.453,,,,,12348.89,,,10599.72,,,,,,,,,1829.552,,,9200.699,94735.41,,,,85846.98,,,9041.344,,,,,,,,,,8145.204,477.331,,,,,6063.997,7147.112,48462.49,,192525.2,,,,,,,,1794.344,,,,,,2503.025,2339.218,,,,,,,,,,,43084.68,,,,,,,,,,,,30450.79,,6955.151,,,,,16644.05,,,,,,,,19450.25,,34980.25,4784.768,,81719.24,,,137718.2,,,,,,,,,,,,,,5336.921,2070.284,,,,32623.74,,,,,21489.91,15454.21,,,,,,,,,,,62443.85,,,,,,,73622.66,,576243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384613.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, GFCF, million constant USD PPPs",,,,,,,,GGEGFCF_PPPK,,,,,,,,,,,35064.12,11276.31,,,,,,,10730.21,,,,,,,,91300.05,,,,,,,,59800.21,,,,,7472.614,877603.7,20518.94,,,,1512.323,,,,,10807.67,,,9541.73,,,,,,,,,1643.101,,,8205.918,84957.55,,,,75403.95,,,8041.734,,,,,,,,,,7466.532,416.09,,,,,5235.432,5978.446,42599.34,,175182.7,,,,,,,,1581.184,,,,,,2275.477,2004.065,,,,,,,,,,,39601.4,,,,,,,,,,,,27488.37,,6195.182,,,,,15642.82,,,,,,,,17896.11,,31682.74,4238.572,,80180.81,,,132625,,,,,,,,,,,,,,5049.795,1818.383,,,,29404.32,,,,,19692.81,13317.77,,,,,,,,,,,59010.69,,,,,,,66370.7,,530262.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, GFCF, million NC",,,,,,,,,,,,,,,,,,,,10510.49,,,,,,,9730.7,,,,,,,,,,,,,,,,78851,,,,,,,28293397.01,,,,,,,,,158823,,,76698,,,,,,,,,989.9,,,8325,76120,,,,66789,,,5525,,,,,,,,,,1088480.93,67291.17,,,,,4897.63,,35048,,,,,,,,,,882.97,,,,,,1123.858,2053.81,,,,,,,,,,,,,,,,,,,,,,,24498,,,,,,,166948,,,,,,,,,,61358,2798.585,,,,,,,,,,,,,,,,,,,2598.242,1212.54,,,,21548,,,,,193070,,,,,,,,,,,,,,,,,,,51060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, GFCF, million current USD PPPs",,,,,,,,,,,,,,,,,,,,13179.28,,,,,,,12148.38,,,,,,,,,,,,,,,,62127.27,,,,,,,22591.36,,,,,,,,,12348.89,,,10599.72,,,,,,,,,1829.552,,,9200.699,94735.41,,,,85846.98,,,9041.344,,,,,,,,,,8145.204,477.331,,,,,6057.392,,48462.49,,,,,,,,,,1794.344,,,,,,2503.025,2339.218,,,,,,,,,,,,,,,,,,,,,,,30450.79,,,,,,,16644.05,,,,,,,,,,34980.25,4784.768,,,,,,,,,,,,,,,,,,,5336.921,2070.284,,,,32623.74,,,,,21489.91,,,,,,,,,,,,,,,,,,,73622.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, GFCF, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,11276.31,,,,,,,10730.21,,,,,,,,,,,,,,,,59800.21,,,,,,,20518.94,,,,,,,,,10807.67,,,9541.73,,,,,,,,,1643.101,,,8205.918,84957.55,,,,75403.95,,,8041.734,,,,,,,,,,7466.532,416.09,,,,,5229.73,,42599.34,,,,,,,,,,1581.184,,,,,,2275.477,2004.065,,,,,,,,,,,,,,,,,,,,,,,27488.37,,,,,,,15642.82,,,,,,,,,,31682.74,4238.572,,,,,,,,,,,,,,,,,,,5049.795,1818.383,,,,29404.32,,,,,19692.81,,,,,,,,,,,,,,,,,,,66370.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, GFCF, million NC",,,,,,,,,,,,,,,,,,,53851,10186.64,,,,,,,9672.3,,,,,,,,,,,,,,,,76973,,,,,,,28178000,,,,,,,,,236312,,,73292,,,,,,,,,1087.4,,,8173,76207,,,,64381,,,6823,,,,,,,,,,2252842.71,64008.63,,,,,4346.47,24448.814,36686,,19746000,,,,,,,,1120.5,,,,,,1357.097,1956.27,,,,,,,,,,,362037.166,,,,,,,,,,,,24510,,10040,,,,,153632,,,,,,,,30887,,79012.6,4049.304,,68591100,,,3303129.684,,,,,,,,,,,,,,4950.645,1826.76,,,,26970,,,,,174390,19272.89,,,,,,,,,,,77527,,,,,,,50233,,576243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, GFCF, million current USD PPPs",,,,,,,,,,,,,,,,,,,36820.51,12786.51,,,,,,,12123.14,,,,,,,,,,,,,,,,61413,,,,,,,23506.78,,,,,,,,,18463.35,,,10064.83,,,,,,,,,2044.507,,,9036.576,95281.41,,,,83232.47,,,11076.04,,,,,,,,,,17242.19,456.1,,,,,5401.403,6433.932,50444.31,,192525.2,,,,,,,,2264.106,,,,,,3015.772,2218.521,,,,,,,,,,,43084.68,,,,,,,,,,,,30407.72,,6955.151,,,,,15867.17,,,,,,,,19450.25,,44797.48,6936.855,,77006.05,,,,,,,,,,,,,,,,,10205.73,3124.01,,,,40407.52,,,,,19546.11,15454.21,,,,,,,,,,,62443.85,,,,,,,72967.16,,576243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
