CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Environment and climate change,Latest available,,,,,,,,,GLBCLMCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Carbon dioxide emissions, million tonnes",,metadata/CO2_TON.html,,,,,,CO2_TON,,4.12,122.93,,19.3,,,192.41,5.22,,373.78,60.78,30.79,,29.69,62.27,,57.43,87.36,,5.74,,,18.3,21.62,6.88,476.02,,6.7,42.13,,,6.1,6.04,554.8,,,,,75.81,9086.96,72.5,,2.64,,7.17,9.35,15.14,29.45,5.76,96.55,37.8,4.66,34.51,,,19.26,38.73,173.27,5.88,,0.56,17.52,9.13,,45.25,285.68,3.49,,7.72,723.27,13.11,0.54,65.88,,16.14,,,,2.76,,8.75,47.94,40.28,2.04,2019.67,436.53,556.09,141.03,33.86,64.69,319.71,7.17,1188.63,24.11,223.69,12.35,,86.08,8.36,,6.72,22.37,,,47.9,,10.31,9.25,,,,220.52,,,2.34,,,,430.92,,,18.16,2.22,,53.11,3.87,19.56,3.59,,5.93,148.34,4.77,31.24,4.54,,60.16,,35.31,59.9,137.43,,,10.59,,5.19,47.79,95.71,279.04,42.81,77.61,567.81,7.25,68.16,1467.55,,,,,,,,506.59,6.28,38.11,,,45.32,29.33,12.76,,,437.37,231.99,16.74,13.34,,,37.42,37.74,27.57,4.66,243.52,7.43,,1.72,,,23.21,25.01,307.11,67,,,,236.54,175.43,407.84,10.37,5176.21,6.27,97.9,,154.99,143.31,21.34,3.19,,,,249.66,,,,,,,,,,,12128.44,1032.43,,1647.14,,,,,,,,,,,,,3542.73,3160.02,,,,,,,,,,,,,,,,,18508.25,,3716.75,11855.55,,,,46.049,,,,12146.1,32381.04,8.467,116.12,
,,"Environmental productivity, USD per Kg of CO2 emitted, 2005 constant USD PPPs",,metadata/GDP_CO2.html,,,,,,GDP_CO2,,7.143,4.167,,7.143,,,4.167,4.348,,2.778,5.882,5,,1.961,7.692,,2.778,5,,3.448,,,3.571,1.639,4.762,6.25,,4.167,2.778,,,7.692,10,2.703,,,,,4.762,1.852,8.333,,10,,9.091,7.143,5.263,7.692,4.348,3.03,3.846,11.111,6.667,,,6.667,4.348,5,8.333,,12.5,1.887,14.286,,4.545,8.333,9.091,,4.167,4.762,7.692,1.818,4,,7.143,,,,6.25,,4.167,7.692,5.556,6.667,3.448,5.882,2.273,3.448,6.25,3.846,6.25,3.125,3.704,3.125,1.754,10,,2.941,2.174,,6.25,3.333,,,1.923,,7.143,5,,,,3.226,,,5,,,,4.545,,,1.786,4,,4.545,7.692,12.5,6.25,,11.111,5,0.508,4.762,6.25,,16.667,,9.091,2.564,5.882,,,7.143,,10,7.143,6.667,3.226,6.25,3.704,3.03,2.273,5.263,2.174,,,,,,,,2.941,5,0.251,,,9.091,5,4.348,,,1.515,6.25,12.5,11.111,,,11.111,11.111,4.348,4.545,4.167,3.571,,5.556,,,1.754,4.762,4.545,1.149,,,,1.471,3.226,5.882,11.111,3.125,11.111,1.639,,3.226,3.333,4.348,16.667,,,,3.704,,,,,,,,,,,,4.545,,2.857,,,,,,,,,,,,,4,5.556,,,,,,,,,,,,,,,,,2.857,,5.556,3.846,,,,,,,,3.226,3.125,,2.222,
,,"Environmental productivity,unit of CO2 emitted per GDP,2005 constant USD PPPs",,metadata/CO2GDP_PPPK.html,,,,,,CO2GDP_PPPK,,0.14,0.24,,0.14,,,0.24,0.23,,0.36,0.17,0.2,,0.51,0.13,,0.36,0.2,,0.29,,,0.28,0.61,0.21,0.16,,0.24,0.36,,,0.13,0.1,0.37,,,,,0.21,0.54,0.12,,0.1,,0.11,0.14,0.19,0.13,0.23,0.33,0.26,0.09,0.15,,,0.15,0.23,0.2,0.12,,0.08,0.53,0.07,,0.22,0.12,0.11,,0.24,0.21,0.13,0.55,0.25,,0.14,,,,0.16,,0.24,0.13,0.18,0.15,0.29,0.17,0.44,0.29,0.16,0.26,0.16,0.32,0.27,0.32,0.57,0.1,,0.34,0.46,,0.16,0.3,,,0.52,,0.14,0.2,,,,0.31,,,0.2,,,,0.22,,,0.56,0.25,,0.22,0.13,0.08,0.16,,0.09,0.2,1.97,0.21,0.16,,0.06,,0.11,0.39,0.17,,,0.14,,0.1,0.14,0.15,0.31,0.16,0.27,0.33,0.44,0.19,0.46,,,,,,,,0.34,0.2,3.98,,,0.11,0.2,0.23,,,0.66,0.16,0.08,0.09,,,0.09,0.09,0.23,0.22,0.24,0.28,,0.18,,,0.57,0.21,0.22,0.87,,,,0.68,0.31,0.17,0.09,0.32,0.09,0.61,,0.31,0.3,0.23,0.06,,,,0.27,,,,,,,,,,,,0.22,,0.35,,,,,,,,,,,,,0.25,0.18,,,,,,,,,,,,,,,,,0.35,,0.18,0.26,,,,,,,,0.31,0.32,,0.45,
,,"Environmental productivity, GDP per unit of CO2 emitted, annual growth rate at constant prices, %",,metadata/GDPCO2_GRO.html,,,,,,GDPCO2_GRO,,5394.505,1711.594,,5002.041,,,1793.939,1711.594,,630.994,3167.974,2531.579,,284.468,5394.505,,650.751,2280.952,,1131.527,,,1222.751,168.745,2876.19,4066.667,,1636.111,716.993,,,6310.256,9900,611.238,,,,,1970.393,224.886,6844.444,,9900,,8164.463,5002.041,2531.579,5817.16,1876.285,741.751,1379.29,15773.016,3821.569,,,4066.667,1876.285,2400,6844.444,,15525,225.309,20308.163,,1793.939,6310.256,7475.758,,1793.939,1970.393,5394.505,249.65,1438.462,,6393.506,,,,4707.692,,1636.111,5817.16,2986.42,4344.444,1089.061,3360.208,416.529,1177.139,3576.471,1273.626,3576.471,846.97,1222.751,908.065,165.816,9900,,819.118,326.257,,3576.471,1090.476,,,380.769,,4661.905,2280.952,,,,940.583,,,2400,,,,1793.939,,,188.018,1438.462,,2064.502,6893.007,20733.333,3806.25,,13788.889,2280.952,-73.834,2167.574,3806.25,,23709.524,,7475.758,574.764,3360.208,,,5002.041,,11011.111,5394.505,4344.444,848.767,3806.25,1271.742,765.801,441.126,2531.579,352.899,,,,,,,,791.266,2400,-94.83,,,8164.463,2073.913,1572.241,,,133.1,3806.25,17757.143,12245.679,,,12245.679,11011.111,1711.594,2425.253,1566.667,1052.074,,2823.977,,,207.787,2167.574,2064.502,22.279,,,,107.125,908.065,2995.975,12245.679,876.563,10001.01,152.207,,975.269,1049.425,1572.241,33233.333,,,,1271.742,,,,,,,,,,,,1966.116,,740.336,,,,,,,,,,,,,-3.846,2677.778,,,,,,,,,,,,,,,,,693.651,,2823.977,1379.29,,,,,,,,-3.125,846.97,,344.444,
,,"Environmental productivity, GDP per unit of CO2 emitted, index 2005=100",,,,,,,,GDPCO2_I,,,,,,,,133.333,,,120.93,123.81,,,,,,,129.167,,,,,,,,94.118,,,,,,,,115,,,,,92.857,129.688,115.385,,,,108.333,,,,,133.333,,,123.81,,,,,108.333,,,,101.351,,,114.286,126.667,,,,115.385,,,109.677,,,,,,,,,,139.13,123.529,103.125,119.048,,,130,117.241,128.571,,103.333,,,,,,,,119.048,,,,,,138.889,137.037,,,,105.714,,,,,,,103.571,,,,,,,,,,,,112.5,,123.077,,,,,107.143,,,,,,,,100,,136.585,130,,105.405,,,124.286,,,,,,,,,,,,,123.077,155.556,114.286,,,111.268,142.105,,,,,145.455,125,,,103.333,,,,,,,,103.704,,,,,,,125,,125.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.087,,,,,,,,,,,,,,,,,,,,116.667,,,,,,,,,,,,
,,"Environmental productivity, NNI per unit of CO2 emitted, USD PPPs",,metadata/ENVPDNNI_PPP.html,,,,,,ENVPDNNI_PPP,,,,,,,,,,,2376.757,5548.549,,,,,,,4565.646,,,,,,1560.039,,6814.462,,,2650.079,,,,,2352.816,,,,,5217.86,2018.052,8315.313,,,,9203.209,,4464.479,,3833.012,2491.379,,,6644.981,,,,,,,,,1751.277,,,4029.562,7554.646,,,,4382.24,,,3530.981,,,,,,,,,,4870.862,5846.952,,,,,4736.285,3940.176,5573.979,,3375.508,,,,,,,,5381.574,,,,,,6946.079,2543.142,,,,,,,4352.148,,,,4381.487,,,,,,,,,,,,4542.308,,4401.435,,,,,8173.734,,,,,,,,,,3003.543,5741.591,,2415.404,,3546.001,2164.318,,,,,,,,,,1416.646,,,,4080.478,3897.009,,,1336.547,5446.532,,,,,10072.409,10167.808,,,,,,,,,,,4912.283,,,,,,,5432.29,,2900.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4968.938,,,,,,,,,,,,,,,,,,,,3275.634,,,,,,,,,,,,
,,"Environmental productivity, NNI per unit of CO2 emitted, constant USD PPPs",,metadata/ENVPDNNI_PPPK.html,,,,,,ENVPDNNI_PPPK,,,,,,,,,,,2445.554,4647.396,,,,,,,3815.201,,,,,,,,9624.577,,,3262.17,,,,,2221.677,,,,,5073.806,2031.411,9210.507,,,,1143.771,,4661.764,,3763.646,2096.489,,,5236.28,,,,,,,,,1602.021,,,3391.827,6330.237,,,,3640.211,,,3193.337,,,,,,,,,,4334.138,7249.857,,,,,3714.934,3698.573,4501.213,,2652.371,,,,,,,,6124.506,,,,,,7383.678,2119.23,,,,,,,,,,,3983.308,,,,,,,,,,,,3898.274,,3767.654,,,,,7703.388,,,,,,,,,,2658.265,4726.074,,2560.821,,,2521.868,,,,,,,,,,2167.453,,,,3371.595,3611.027,,,1628.111,4708.225,,,,,8911.387,7547.557,,,,,,,,,,,0,,,,,,,5490.342,,2701.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3830.192,,,,,,,,,,,,,,,,,,,,101148.373,,,,,,,,,,,,
,,"Environmental productivity, NNI per unit of CO2 emitted, annual growth rate at constant prices, %",,metadata/ENVPDNNI_GRO.html,,,,,,ENVPDNNI_GRO,,,,,,,,,,,4.74,6.615,,,,,,,7.688,,,,,,,,-1.224,,,14.95,,,,,1.444,,,,,11.065,2.638,-3.14,,,,-3.926,,6.891,,-1.023,7.006,,,14.406,,,,,,,,,9.807,,,9.201,11.329,,,,7.629,,,4.741,,,,,,,,,,3.599,2.076,,,,,9.746,8.152,6.379,,3.678,,,,,,,,4.249,,,,,,9.753,-0.232,,,,,,,,,,,2.419,,,,,,,,,,,,3.591,,3.264,,,,,1.308,,,,,,,,,,7.871,2.68,,3.518,,,5.071,,,,,,,,,,-8.163,,,,10.398,16.878,,,-2.674,3.378,,,,,2.431,8.994,,,,,,,,,,,,,,,,,,12.804,,1.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
