CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Natural resources,Latest available,,,,,,,,,GLBNTRSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Water stress, total freshwater abstraction, % of total internal resources",,metadata/WTRSTR_XWR.html,,,,,,WTRSTR_XWR,,,,,,,,,,,3.631,,,,,,,,41.229,,,,,,,,,,,,,,,,1.033,,,,,3.838,,1.589,,,,1.479,,,,,10.829,,,4.565,,,,,,,,,13.967,,,6.133,16.675,,,,22.097,,,15.786,,,,,,,,,,67.052,0.097,,,,,1.594,66.122,63.016,,19.55,,,,,,,,1.807,,,,,,2.963,5.077,,,,,,,,,,,20.052,,,,,,,,,,,,103.864,,1.072,,,,,0.795,,,,,,,,,,21.179,23.712,,40.385,,,1.742,,,,,,,,,,,,,,3.656,6.756,,,,33.607,,,,,1.559,4.979,,,,,,,,,,,22.212,,,,,,,5.09,,19.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.391,,,,,,,,10.445,,,,
,,"Forest, % total land areas",,metadata/FRST_XLA.html,,,,,,FRST_XLA,,,,,,,,10.015,,,16.199,46.862,,,,,,,22.555,,,,,,,,59.167,,,,,,,,38.172,,,,,23.448,21.94,52.752,,,,53.384,,,,,34.516,,,14.367,,,,,,,,,52.663,,,73.112,30.821,,,,32.723,,,31.216,,,,,,,,,,22.803,0.478,23.713,50.616,,,10.863,7.523,31.424,,68.465,,,,,,,,53.966,,,,,,34.765,33.475,,,,,,,,,,,34.019,,,,,,,,,,,,11.143,,38.555,,,,,33.156,,,,,,,,,,30.745,34.861,,63.517,,,49.764,,,,,,,,0.454,,,,,,40.34,61.956,,,,36.752,,,,,68.923,31.638,,,,,,,,,,,15.089,,,,,,,12.925,,33.87,,,,,,,,,,,,,,,,,,,,,,42.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.313,,,,,,,,30.554,30.767,,,
,,"Arable and cropland, % total land areas",,metadata/CRPLND_XLA.html,,,,,,CRPLND_XLA,,,,,,,,14.689,,,6.158,17.172,,,,,,,27.718,,,,,,,,10.36,,,,,,,,5.571,,,,,2.349,13,3.198,,,,10.695,,,,,41.691,,,57.64,,,,,,,,,15.435,,,7.352,35.299,,,,34.606,,,28.898,,,,,,,,,,50.646,1.209,56.962,25.392,,,15.372,18.378,31.009,,12.396,,,,,,,,19.54,,,,,,38.057,24.772,,,,,,,,,,,13.205,,,,,,,,,,,,32.096,,2.495,,,,,2.221,,,,,,,,,,36.918,20.578,,17.347,,,7.616,,,,,,,,1.697,,,,,,29.389,11.781,,,,34.362,,,,,6.376,10.773,,,,,,,,,,,31.111,,,,,,,25.951,,17.186,,,,,,,,,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.182,,,,,,,,12.364,12.181,,,
,,"Pasture, % total land areas",,metadata/PSTR_XLA.html,,,,,,PSTR_XLA,,,,,,,,39.646,,,46.726,15.718,,,,,,,16.248,,,,,,,,23.45,,,,,,,,1.606,,,,,18.849,41.681,37.282,,,,24.775,,,,,12.913,,,4.567,,,,,,,,,7.549,,,0.109,17.237,,,,13.33,,,34.523,,,,,,,,,,8.406,17.466,3.444,6.072,,,49.456,6.47,13.738,,1.174,,,,,,,,10.566,,,,,,9.068,25.803,,,,,,,,,,,41.686,,,,,,,,,,,,22.493,,39.721,,,,,0.481,,,,,,,,,,10.19,19.831,,0.588,,,5.679,,,,,,,,79.081,,,,,,10.635,18.755,,,,18.772,,,,,1.07,27.761,,,,,,,,,,,18.992,,,,,,,45.276,,27.439,,,,,,,,,,,,,,,,,,,,,,19.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.43,,,,,,,,23.394,25.487,,,
,,"Built-up and other areas, % of total land areas",,metadata/BLTUP_XLA.html,,,,,,BLTUP_XLA,,,,,,,,35.649,,,30.918,20.248,,,,,,,33.479,,,,,,,,7.023,,,,,,,,54.652,,,,,55.354,23.378,6.767,,,,11.146,,,,,10.879,,,23.426,,,,,,,,,24.352,,,19.428,16.643,,,,19.341,,,5.362,,,,,,,,,,18.144,80.847,15.88,17.92,,,24.309,67.629,23.828,,19.139,,,,,,,,15.928,,,,,,18.11,15.95,,,,,,,,,,,11.09,,,,,,,,,,,,34.268,,19.229,,,,,64.143,,,,,,,,,,22.147,24.731,,18.548,,,36.942,,,,,,,,18.768,,,,,,19.636,7.508,,,,10.114,,,,,23.631,29.828,,,,,,,,,,,34.808,,,,,,,15.848,,21.505,,,,,,,,,,,,,,,,,,,,,,24.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.075,,,,,,,,33.688,31.681,,,
,,"Threatened species, mammals, % of total",,metadata/THRTMML_XT.html,,,,,,THRTMML_XT,,,,,,,,,,,26.933,26.733,,,,,,,21.429,,,,,,,,,,,,,,,,18.807,,,,,21.714,,8.351,,,,5.6,,,,,18.681,,,16.418,,,,,,,,,3.077,,,15.278,9.483,,,,34.409,,,25.217,,,,,,,,,,37.778,,,,,,1.754,56.19,18.254,,20.625,,,,,,,,8.065,,,,,,7.353,51.563,,,,,,,,,,,26.773,,,,,,,,,,,,20,,18.462,,,,,19.101,,,,,,,,,,11.607,19.62,,11.2,,,12.5,,,,,,,,,,,,,,22.222,38.202,,,,18.261,,,,,21.538,35.714,,,,,,,,,,,14.286,,,,,,,7.895,,17.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Threatened species, birds, % of total",,metadata/THRTBRD_XT.html,,,,,,THRTBRD_XT,,,,,,,,,,,15.131,27.273,,,,,,,20.455,,,,,,,,,,,,,,,,9.187,,,,,9.438,,3.6,,,,2.412,,,,,52.381,,,16.268,,,,,,,,,10.08,,,23.79,27.366,,,,35.606,,,14.091,,,,,,,,,,14.504,44,,,,,24.07,18.571,27.715,,13.857,,,,,,,,16.738,,,,,,8.483,19.084,,,,,,,,,,,20.748,,,,,,,,,,,,21.809,,17.213,,,,,17.424,,,,,,,,,,7.539,28.244,,10.536,,,7.65,,,,,,,,,,,,,,24.171,27.632,,,,20.536,,,,,20.233,34.634,,,,,,,,,,,3.696,,,,,,,2.429,,12.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Threatened species, vascular plants, % of total",,metadata/THRTPLN_XT.html,,,,,,THRTPLN_XT,,,,,,,,,,,6.58,33.39,,,,,,,23.267,,,,,,,,,,,,,,,,2.896,,,,,7.215,,2.518,,,,1.379,,,,,33,,,4.022,,,,,,,,,9.388,,,15.887,53.119,,,,27.384,,,4.359,,,,,,,,,,7.131,11.872,,,,,9.619,16.521,8.24,,25.414,,,,,,,,10.79,,,,,,9.07,26.757,,,,,,,,,,,1.867,,,,,,,,,,,,22.624,,5.358,,,,,7.586,,,,,,,,,,15.808,,,5.062,,,1.763,,,,,,,,,,,,,,14.562,9.676,,,,14.995,,,,,17.297,24.705,,,,,,,,,,,10.951,,,,,,,8.758,,27.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
