CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Waste,Latest available,,,,,,,,,GLBWST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Municipal waste, thousand tonnes",,,,,,,,WST_TON,,,,,,,,,,,13339,4836,,,,,,,4708,,,,,,,,57900,,,,,,,,,,,,,7416.037,170809,8975,,,,1877,,,,,3337.34,,,4485,,,,,,,,,472.55,,,2738.28,33399,,,,51046,,,5585,,,,,,,,,,3712,174.5,17568.9,7650.389,,,2692.5,5126.2,29524,,44317,,,,,,,,798.061,,,,,,1326.529,356.01,,,,,,,,,,,42102.75,,,,,,,,,,,,8855,,3221,,,,,2187.22,,,,,,,,,,10863,4710.46,,18219,,,80564.33,,,,,,,,,,,,,,1784.18,925.94,,,,20151.3,,,,,4376.53,6030,,,,,,,,,,,31283,,,,,,,31567.33,,234471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272517.031,662725.13,,,,,,,,657890.438,,,,
,,"Municipal waste treated through recovery operations, thousand tonnes",,,,,,,,TTWST_TON,,,,,,,,,,,13339,4727.8,,,,,,,4602,,,,,,,,57563,,,,,,,,33461.211,,,,,7416.037,144895,8974,,,,1869.7,,,,,3337.34,,,4485,,,,,,,,,434.25,,,2738.28,33399,,,,51047,,,5585,,,,,,,,,,3710,174.5,,,,,2439.45,5126.2,26253,,43677,,,,,,,,723,,,,,,1282.127,356.01,,,,,,,,,,,42102.75,,,,,,,,,,,,8855,,2798,,,,,2187.22,,,,,,,,,,10864,4710.46,,18219,,,,,,,,,,,,,,,,,1776.06,899.74,,,,20151.3,,,,,4376.53,6030,,,,,,,,,,,27584,,,,,,,31427.13,,234471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Municipal waste generated intensity, kg per capita",,metadata/WSTINT_KGHAB.html,,,,,,WSTINT_KGHAB,,,,,,,,,,,557.161,566.392,,,,,,,414.101,,,,,,,,295,,,,,,,,,,,,,418.725,116,194.92,,,,,,,,,316.886,,,799.263,,,,,,,,,360.311,,,498.504,502.257,,,,628.63,,,503.607,,,,,,,,,,378.786,536.953,17,41,,,587.203,616.377,478.999,,349.094,,,,,,,,392.87,,,,,,,632.69,,,,,,,,,,,359.687,,,,,,,,,,,,521.459,,701.346,,,,,445.98,,,,,,,,,,285.748,452.119,,361.316,,,562.573,,,,,,,,,,,,,,329.376,448.069,,,,434.267,,,,,446.63,741.815,,,,,,,,,,,402.417,,,,,,,489.175,,735.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490,519.518,,,,,,,,530,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Municipal waste, thousand tonnes",,,,,,,,,,,,,,,,,,,13339,4836,,,,,,,4708,,,,,,,,,,,,,,,,,,,,,,,,,,,1877,,,,,3337.34,,,4485,,,,,,,,,472.55,,,2738.28,33399,,,,51046,,,,,,,,,,,,,3712,,,,,,,5126.2,29524,,,,,,,,,,798.061,,,,,,1326.529,356.01,,,,,,,,,,,,,,,,,,,,,,,8855,,3221,,,,,2187.22,,,,,,,,,,10863,,,,,,,,,,,,,,,,,,,,1784.18,925.94,,,,20151.3,,,,,4376.53,6030,,,,,,,,,,,31283,,,,,,,31567.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662725.13,,,,,,,,,,,,
,,"Municipal waste treated through recovery operations, thousand tonnes",,,,,,,,,,,,,,,,,,,13339,4727.8,,,,,,,4602,,,,,,,,,,,,,,,,,,,,,,,,,,,1869.7,,,,,3337.34,,,4485,,,,,,,,,434.25,,,2738.28,33399,,,,51047,,,,,,,,,,,,,3710,,,,,,,5126.2,26253,,,,,,,,,,723,,,,,,1282.127,356.01,,,,,,,,,,,,,,,,,,,,,,,8855,,,,,,,2187.22,,,,,,,,,,10864,,,,,,,,,,,,,,,,,,,,1776.06,899.74,,,,20151.3,,,,,4376.53,6030,,,,,,,,,,,27584,,,,,,,31427.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Municipal waste generated intensity, kg per capita",,,,,,,,,,,,,,,,,,,557.161,566.392,,,,,,,414.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.886,,,799.263,,,,,,,,,360.311,,,498.504,502.257,,,,628.63,,,,,,,,,,,,,378.786,,,,,,,616.377,478.999,,,,,,,,,,392.87,,,,,,,632.69,,,,,,,,,,,,,,,,,,,,,,,521.459,,701.346,,,,,445.98,,,,,,,,,,285.748,,,,,,,,,,,,,,,,,,,,329.376,448.069,,,,434.267,,,,,446.63,741.815,,,,,,,,,,,402.417,,,,,,,489.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.518,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Municipal waste, thousand tonnes",,,,,,,,,,,,,,,,,,,,4832.5,,,,,,,4788,,,,,,,,,,,,,,,,,,,,,7416.037,,,,,,1788,,,,,3260.58,,,4450,,,,,,,,,469.55,,,2629.88,33703,,,,51102,,,,,,,,,,,,,3795,174.5,,,,,,4999.5,29652,,44317,,,,,,,,726,,,,,,1308.352,348.15,,,,,,,,,,,,,,,,,,,,,,,8895,,2931,,,,,2175.44,,,,,,,,,,10330,4710.46,,18219,,,,,,,,,,,,,,,,,1732.99,891.71,,,,20836.4,,,,,4246.28,6006,,,,,,,,,,,31230,,,,,,,31130.99,,234471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653802,,,,,,,,,,,,
