CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Total expenditure,Latest available,,,,,,,,,GNGVEXPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, total expenditure, million NC",,metadata/GGVE_NC.html,,,,,,GGVE_NC,318255,435698,7746214,,3656328,,1040,2372548,1328029,,615336,178507.44,22019,2084,4076,2091906,4047,384490556,225116.1,1266,1222178,,36476,101598,12421,53885,2480008,,6868,33449,1424000,1283687,14976855,3465247,843678,47884,,140000,1101425,41150749,21820303,302303000,71138,2414266,,13533540.69,4469954,156793,,7026,1880967,,5223640,1105633,161184,477,551365,38812,813684,5520,2331394,20444,8450.1,230521,2849,120147,1257171,1902217,10770,9304,1387676,33442,,86185,691,59891,14286960,167571,193398,92203,,125143,435633,16617327.76,1103505.83,38012113,2013184230,1990402700,89834328,74376.38,482602.258,829311,460720,208863700,7746,9590892,1729282,248,19331,166225,26201345,9093.5,20065763,15379,888,40570,,13213.86,22302.28,80754,4327591,824012,292076,21414,1622265,3812,100,513687,105324,4464299,190,,7837948,1747,,303133,209633,18907737,63754,,425291,305249,,99371.283,87945,1387686,10502849,,1590914,13568,5425827,102,,11874,13789,36023819,268042,2538108,763911,83335.749,248820,529775900,46502,243916,31324066.31,1642124,749,1085,586,776,296,2405019,1001517,2413410,1777529,5934,4476346,76444,33706.261,18085.19,4151,,1345131,472248,2228821,63353,5230,17369,2190775,218778.23,799504,15559,2998183,180108,1340,702085,,252,61857,23672,774363.174,21693,,51,14254767,855940,415918,817004,16338693,6806394,470941,58957158,20017,2916933,1242937000,1903692,51544,,,,2959164,,,,22070,,,,,,23550,,,,,,,,,,,,,,4772568.1,,,,6412327.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, total expenditure, million current USD PPPs",,,,,,,,GGVE_PPP,16891.62,9900.652,270865.6,,54847.11,,615.021,359259.3,6702.038,,420734.8,223833.5,68809.38,2100.806,22395.6,74780.37,2131.122,743695500,281048.3,1119.363,5577.105,,1753.823,33234.54,17618.44,13006.28,1329050,,12813.43,52101.25,6756.404,2128.03,10834.15,14992.89,664739.9,1027.355,,447.746,5199.006,108646.6,6295586,252188.6,331.565,13507.74,,25185.11,19070.99,42816.22,,11350.57,146249.9,,9177.967,152799.3,1624.757,269.644,26936.59,71741.22,356722.5,11265.31,10648.07,2482.876,15617.63,28815.13,2483.871,132785.2,1564617,7747.991,919.099,10465.69,1783644,27821.96,,141036.8,376.567,15479.71,4268.524,735.248,1699.62,4098.458,,11252.85,75552.03,124349,7827.731,2224622,497511.8,241696.4,247372.5,91988.76,127709.2,1146727,6821.439,2036439,24055.9,103371.3,39517.41,233.083,165222.2,7897.8,9644.882,18479.53,21606.13,3415.279,1635.359,56504.18,,29429.53,25401.52,14320.62,5379.766,5251.327,206268.4,2274.456,7473.603,6687.719,97.847,5436.187,6438.685,531279.4,193.089,,12252.19,4812.672,,84579.52,11810.98,73506.89,11132.18,,14080.15,379421.8,,68838.88,8040.318,6218.986,120714.1,,158607.8,89263.16,183845.3,97.889,,19889.45,6296.347,15492.39,168792.2,141880.9,435506.3,142479.9,117924.2,592754.4,6812.481,149890.5,1306002,5855.276,427.268,565.104,353.865,398.972,413.408,225.089,698407.9,10983.08,42956.23,783.677,1966.136,89303.74,69234.38,30878.56,531.566,,243857.5,714984.9,49151.44,20970.87,2729.645,3803.153,243847.1,175430,39055.45,7491.093,244231.3,9411.507,3358.396,3093.894,,158.79,18648.48,35173.85,623708.1,15266.01,,43.111,14203.83,146590.2,212311.4,1178026,24946.13,6806394,23507.09,64660.61,167.527,248800.2,164056.9,18157.9,17478.47,,,,194579.4,,,,28222.51,,,,,,12778.08,,,,,,,,,,,,,,,,,,8492033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, total expenditure, million constant USD PPPs",,,,,,,,GGVE_PPPK,15575.21,9110.698,249255,,50471.16,,565.918,330608.5,6167.292,,400665.1,191513.9,63217.69,1933.617,20563.96,68811.82,1961.072,682848700,248239.4,1030.036,5132.127,,1613.863,30575.89,16227.83,11970.02,1223288,,11795.69,47932.75,6229.972,1958.231,9989.929,13796.64,639841.3,945.381,,412.859,4784.177,98044.98,5803277,232067.9,305.111,12497.57,,23175.6,17749.5,39396.12,,10435.04,127997.1,,8445.656,137548,1498.173,248.192,24787.39,66076.98,328354.9,10372.14,9073.31,2289.2,14026.03,26518.35,2285.338,118428.4,1403129,7129.765,847.476,9628.193,1566669,25582.6,,125443.8,346.571,14243.33,4016.047,676.584,1564.001,3771.524,,10355.55,69529.16,113988,6823.44,2047133,457814.3,222411.4,228098,79419.72,106826.7,1007992,6277.119,1852998,22192.18,95123.17,36365.07,215.076,151184.2,7267.603,8875.325,16284.24,19922.59,3142.95,1507.268,51966.73,,26754.12,21762.1,13178.42,4950.512,4832.297,189854.8,2093.007,6877.297,6147.453,90.004,5012.615,5924.896,488326.9,177.598,,11274.59,4430.964,,77829.55,10868.2,67641.87,10243.36,,12956.78,342509.5,,61317.05,7398.573,5722.779,111081.2,,149066.7,82248.11,169173.2,90.027,,18326.24,5911.99,14256.26,155305.1,130560.8,394452.1,126215.4,107445.1,581595.4,6268.34,134600.5,1257702,5388.093,396.05,520.044,325.629,367.163,380.332,178.142,642615.1,10106.76,39529.2,722.659,1809.261,82155.18,65509.57,27121.41,490.179,,222505.1,644427.9,45229.39,19306.33,2511.357,3499.719,223455.4,151178,39055.45,6906.392,224757.2,8660.682,3106.453,2852.821,,146.362,17162.24,32393.27,589416.7,14044.86,,39.755,13097.12,134897.9,196282.6,1061988,22955.75,6263290,21631.86,59622.35,154.474,228943.5,150967.1,16743.09,16080.28,,,,179058.4,,,,25991.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, total expenditure, million NC",,,,,,,,,,,,,,,,,,,,178507.44,,,,,,,225116.1,,,,,,,,,,,,,,,,843678,,,,,,,,,,,,,,,,1880967,,,1105633,,,,,,,,,8450.1,,,120147,1257171,,,,1387676,,,86185,,,,,,,,,,16617327.76,1103505.83,,,,,74555.18,,829311,,,,,,,,,,9093.5,,,,,,13213.86,22302.28,,,,,,,,,,,,,,,,,,,,,,,305249,,,,,,,1590914,,,,,,,,,,763911,83335.749,,,,,,,,,,,,,,,,,,,33706.261,18085.19,,,,472248,,,,,2190775,,,,,,,,,,,,,,,,,,,817004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, total expenditure, million current USD PPPs",,,,,,,,,,,,,,,,,,,,223833.5,,,,,,,281048.3,,,,,,,,,,,,,,,,664739.9,,,,,,,,,,,,,,,,146249.9,,,152799.3,,,,,,,,,15617.63,,,132785.2,1564617,,,,1783644,,,141036.8,,,,,,,,,,124349,7827.731,,,,,92209.9,,1146727,,,,,,,,,,18479.53,,,,,,29429.53,25401.52,,,,,,,,,,,,,,,,,,,,,,,379421.8,,,,,,,158607.8,,,,,,,,,,435506.3,142479.9,,,,,,,,,,,,,,,,,,,69234.38,30878.56,,,,714984.9,,,,,243847.1,,,,,,,,,,,,,,,,,,,1178026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, total expenditure, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,191513.9,,,,,,,248239.4,,,,,,,,,,,,,,,,639841.3,,,,,,,,,,,,,,,,127997.1,,,137548,,,,,,,,,14026.03,,,118428.4,1403129,,,,1566669,,,125443.8,,,,,,,,,,113988,6823.44,,,,,79610.64,,1007992,,,,,,,,,,16284.24,,,,,,26754.12,21762.1,,,,,,,,,,,,,,,,,,,,,,,342509.5,,,,,,,149066.7,,,,,,,,,,394452.1,126215.4,,,,,,,,,,,,,,,,,,,65509.57,27121.41,,,,644427.9,,,,,223455.4,,,,,,,,,,,,,,,,,,,1061988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government, total expenditure, million NC",,,,,,,,,318255,435698,7746214,,3656328,,1040,2372548,1328029,,615336,175606.36,22019,2084,4076,2091906,4047,384490556,221042.2,1266,1222178,,36476,101598,12421,53885,2480008,,6868,33449,1424000,1283687,14976855,3465247,816336,47884,,140000,1101425,41150749,21820303,302303000,71138,2414266,,,4469954,156793,,7026,1916390,,5223640,1111402,161184,477,551365,38812,813684,5520,2331394,20444,8174.5,230521,2849,119378,1243990,1902217,10770,9304,1333861,33442,,95247,691,59891,14286960,167571,193398,92203,,125143,435633,17010004.82,949454.07,38012113,2013184230,1990402700,89834328,75579.61,461525.381,830135,460720,208863700,7746,9590892,1729282,248,19331,166225,26201345,9025.26,20065763,15379,888,40570,,13111.165,21594.84,80754,4327591,824012,292076,21414,1622265,3812,100,513687,105324,4464299,190,,7837948,1747,,303133,209633,18907737,63754,,425291,306759,,99371.283,87945,1387686,10502849,,1521059,13568,5425827,102,,11874,13789,36023819,268042,2538108,747832.7,86739.139,248820,504628400,46502,243916,31324066.31,1642124,749,1085,586,776,296,2405019,1001517,2413410,1777529,5934,4476346,76444,35850.419,18558.56,4151,,1345131,470667,2228821,63353,5230,17369,2098533,218778.23,,15559,2998183,180108,1340,702085,,252,61857,23672,774363.174,21693,,51,14254767,855940,415918,802809,16338693,6806394,470941,58957158,,2916933,1242937000,1903692,51544,,,,2959164,,,,22070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
