CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>General government revenue, total",Latest available,,,,,,,,,GNGVRVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government revenue, total, million NC",,metadata/GGVR_NC.html,,,,,,GGVR_NC,301356,377545,5032399,,3053759,,748,1985132,1084076,,567218,173077.44,18344,1702,2315,1503600,3439,354182442,214063.4,986,848316,,36231,85926,12352,47981,1871789,,4288,30964,1276966,1032768,13837439,3012745,805776,41827,,134100,783106,37840468,19948957,276658000,82526,1455000,,12606765.91,3916812,146086,,6785,1908524,,5191123,1092743,113025,489,538020,33586,533250,4696,2070737,10243,8506.8,199639,2537,116047,1181278,1797326,8298,8923,1411381,26824,,87473,658,52884,9749320,123547,185485,82026,,118743,450007,15970642.56,1415277.38,28637656,1714761317,1794099700,63450138,72565.32,456840.29,788502,455836,190224900,6658,6791267,1214870,353,19905,161262,23284748,9096.95,14432763,15412,656,11797,,13314.65,23147.04,116112,3380940,676831,256952,17218,1481124,3683,105,460209,91405,4303563.409,200,,5921978,1479,,260390,165979,15414268,51514,,430843,307822,,99304.921,83152,1001309,6845590,,1684599,9508,3984015,117,,10655,10776,34117150,253705,2567719,719176,79613.345,281838,564443800,43670,233554,30102263.13,1457472,900,1026,543,699,294,1965469,615910,2026440,1631702,6276,3494712,86731,32344.724,17352.12,4128,,1188309,421672,1460892,54169,3688,14446,2229991,225687.44,582024,14434,3032171,160683,1450,537158,,242,50697,19941,804986.686,20819,,54,12112748,832860,387395,759769,13461587,6045156,418752,60444277,25786,1522477,995671000,1046422,34421,,,,2662327,,,,20052,,,,,,11720,,,,,,,,,,,,,,4482453.8,,,,5977803.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government revenue, total, million current USD PPPs",,,,,,,,GGVR_PPP,15994.69,8579.203,175970.3,,45808.22,,442.342,300595.4,5470.904,,387834.2,217024.7,57325,1715.726,12719.78,53749.91,1810.953,685072400,267249.4,871.795,3871.079,,1742.042,28107.95,17520.57,11581.22,1003102,,8000,48230.53,6058.777,1712.069,10009.9,13035.08,634876.7,897.402,,428.877,3696.459,99906.78,5755666,230794.9,384.643,8140.68,,23270.4,16711.02,39892.41,,10961.23,148392.5,,9120.835,151017.9,1139.307,276.427,26284.63,62081.33,233779,9583.674,9457.579,1243.988,15722.43,24954.88,2211.857,128253.9,1470164,7320.755,708.141,10037.12,1814113,22316.14,,143144.5,358.583,13668.65,2912.811,542.084,1630.078,3646.086,,10677.37,78044.92,119509.8,10039.29,1675991,423763.4,217859.2,174719.6,89748.84,120891.9,1090298,6749.126,1854709,20677.02,73196.74,27762.11,331.767,170128.2,7661.995,8571.265,18486.54,15540.71,3422.607,1208.103,16430.36,,29654.01,26363.67,20590.88,4202.954,4313.361,181463.3,1828.784,6823.381,6461.403,102.74,4870.246,5587.786,512150.9,203.252,,9257.17,4074.38,,72653.46,9351.456,59925.46,8994.937,,14263.96,382620,,68792.91,7602.121,4487.418,78679.52,,167947.8,62552.63,134991.9,112.284,,17847.57,4920.548,14672.41,159763.9,143536.2,410002.8,136115.7,133572.5,631543.6,6397.598,143522.8,1255061,5196.868,513.406,534.375,327.899,359.383,410.615,183.951,429504.9,9222.031,39432.14,828.843,1534.975,101321.3,66437.71,29626.92,528.621,,215427.4,638412.7,32216.56,17930.82,1924.843,3163.127,248212.1,180970.3,28431.63,6949.446,246999.9,8396.457,3634.085,2367.106,,152.489,15283.99,29630.02,648373.7,14650.95,,45.647,12069.47,142637.4,197751.4,1095500,20553.33,6045156,20902.07,66291.59,215.81,129859.9,131419.9,9981.038,11672.09,,,,175061,,,,25641.94,,,,,,6359.197,,,,,,,,,,,,,,,,,,7916579.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government revenue, total, million constant USD PPPs",,,,,,,,GGVR_PPPK,14748.19,7894.685,161930.8,,42153.43,,407.026,276623.1,5034.387,,369333.9,185688.2,52666.57,1579.183,11679.48,49459.9,1666.451,629022000,236051.4,802.224,3562.219,,1603.023,25859.41,16137.68,10658.5,923278.2,,7364.577,44371.72,5586.701,1575.46,9229.91,11995.03,611096.6,825.796,,395.46,3401.519,90157.98,5305578,212381.1,353.954,7531.884,,21413.66,15553.06,36705.86,,10077.11,129872.3,,8393.082,135944.3,1050.545,254.436,24187.45,57179.77,215188.2,8823.834,8058.886,1146.951,14120.15,22965.79,2035.066,114387,1318425,6736.62,652.958,9233.918,1593432,20519.93,,127318.5,330.02,12576.92,2740.522,498.833,1500.009,3355.238,,9825.948,71823.32,109552,8751.255,1542274,389950.5,200476.1,161106,77485.85,101124.1,958390.4,6210.577,1687638,19075.08,67356.28,25547.5,306.137,155673.3,7050.613,7887.37,16290.42,14329.78,3149.694,1113.477,15110.96,,26958.19,22586.4,18948.57,3867.598,3969.176,167023.5,1682.89,6278.956,5939.42,94.504,4490.771,5141.897,470744.8,186.945,,8518.543,3751.228,,66855.27,8605.006,55144.08,8276.763,,13125.93,345396.6,,61276.11,6995.351,4129.371,72400.98,,157844.9,57636.72,124218.6,103.266,,16444.85,4620.175,13501.71,146998.1,132084,371352.8,120577.7,121702.9,619654.2,5886.594,128882.4,1208645,4782.218,475.894,491.765,301.734,330.731,377.762,147.067,395193.6,8486.228,36286.26,764.309,1412.502,93210.73,62863.37,26022.06,487.463,,196564.4,575412.1,29645.84,16507.57,1770.915,2910.757,227455.3,155952.4,28431.63,6407.022,227305.1,7726.61,3361.46,2182.664,,140.554,14065.89,27287.69,612726.2,13478.99,,42.093,11129.05,131260.4,182821.9,987591,18913.44,5562794,19234.65,61126.25,198.994,119495.8,120934.2,9203.349,10738.38,,,,161096.8,,,,23614.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government revenue, total, % of GDP",,,,,,,,GGVR_XGDP,25.666,25.971,29.001,,24.78,,21.519,34,21.478,,33.591,49.87,33.75,19.552,20.241,9.305,38.973,40.725,52.006,27.964,16.94,,25.66,37.717,44.349,34.948,31.702,,26.464,35.849,19.622,22.805,18.467,17.896,37.77,26.395,,14.209,12.16,,29.101,34.129,31.62,27.725,,32.054,21.255,43.71,,38.947,40.811,,14.409,57.435,36.828,36.411,17.719,33.984,21.935,18.226,37.255,14.278,38.735,16.143,27.558,54.901,53.544,21.187,21.718,28.077,44.572,20.046,,47.006,25.553,10.811,19.442,19.765,28.39,19.485,,26.664,18.731,47.541,45.594,21.008,14.858,15.474,32.112,34.758,37.728,48.18,27.974,35.843,24.962,17.683,20.088,163.426,55.183,38.066,22.812,35.215,18.711,59.481,32.236,22.301,,34.993,44.119,31.49,11.836,21.115,22.211,35.715,19.176,41.871,57.377,29.899,22.462,24.542,62.893,,25.562,40.632,,25.998,27.74,20.065,31.48,,20.278,43.893,,39.643,24.961,23.688,7.192,,54.356,42.277,14.549,40.767,,20.439,24.044,23.289,41.455,19.328,38.87,44.527,41.764,33.2,36.087,32.844,38.361,24.499,37.221,26.831,26.566,35.92,20.836,27.965,25.144,25.086,41.069,34.288,15.835,21.55,39.235,44.944,46.133,,29.426,38.584,12.928,10.74,20.958,28.124,50.169,33.535,20.848,29.821,22.398,29.168,55.344,21.818,,29.017,32.218,23.325,36.572,16.671,,125.581,15.109,42.075,30.533,38.286,15.056,33.148,28.307,35.271,31.514,26.895,23.747,13.214,18.072,,,,15.954,,,,19.742,,,,,,26.845,,,,,,,,,,,,,,46.793,,,,45.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government revenue, total, million NC",,,,,,,,,,,,,,,,,,,,173077.44,,,,,,,214063.4,,,,,,,,,,,,,,,,805776,,,,,,,,,,,,,,,,1908524,,,1092743,,,,,,,,,8506.8,,,116047,1181278,,,,1411381,,,87473,,,,,,,,,,15970642.56,1415277.38,,,,,73029,,788502,,,,,,,,,,9096.95,,,,,,13314.65,23147.04,,,,,,,,,,,,,,,,,,,,,,,307822,,,,,,,1684599,,,,,,,,,,719176,79613.345,,,,,,,,,,,,,,,,,,,32344.724,17352.12,,,,421672,,,,,2229991,,,,,,,,,,,,,,,,,,,759769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government revenue, total, million current USD PPPs",,,,,,,,,,,,,,,,,,,,217024.7,,,,,,,267249.4,,,,,,,,,,,,,,,,634876.7,,,,,,,,,,,,,,,,148392.5,,,151017.9,,,,,,,,,15722.43,,,128253.9,1470164,,,,1814113,,,143144.5,,,,,,,,,,119509.8,10039.29,,,,,90322.32,,1090298,,,,,,,,,,18486.54,,,,,,29654.01,26363.67,,,,,,,,,,,,,,,,,,,,,,,382620,,,,,,,167947.8,,,,,,,,,,410002.8,136115.7,,,,,,,,,,,,,,,,,,,66437.71,29626.92,,,,638412.7,,,,,248212.1,,,,,,,,,,,,,,,,,,,1095500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government revenue, total, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,185688.2,,,,,,,236051.4,,,,,,,,,,,,,,,,611096.6,,,,,,,,,,,,,,,,129872.3,,,135944.3,,,,,,,,,14120.15,,,114387,1318425,,,,1593432,,,127318.5,,,,,,,,,,109552,8751.255,,,,,77980.97,,958390.4,,,,,,,,,,16290.42,,,,,,26958.19,22586.4,,,,,,,,,,,,,,,,,,,,,,,345396.6,,,,,,,157844.9,,,,,,,,,,371352.8,120577.7,,,,,,,,,,,,,,,,,,,62863.37,26022.06,,,,575412.1,,,,,227455.3,,,,,,,,,,,,,,,,,,,987591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"General government revenue, total, % of GDP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
