CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Government and administration,Latest available,,,,,,,,,GOVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,E-government development index,,metadata/EGOV_I.html,,,,,,EGOV_I,0.231,0.533,0.3,0.63,0.331,,0.489,0.698,0.518,,0.914,0.821,0.627,0.511,0.773,0.38,0.631,0.662,0.787,0.383,0.204,,0.351,0.482,0.512,0.453,0.638,,0.53,0.638,0.16,0.228,0.259,0.276,0.828,0.474,,0.079,0.126,0.695,0.607,0.624,0.216,0.257,,0.631,0.218,0.716,0.352,0.602,0.645,0.275,0.155,0.851,0.134,0.458,0.491,0.563,0.459,0.472,0.24,0.09,0.833,0.267,0.499,0.882,0.846,0.358,0.24,0.611,0.821,0.418,,0.691,0.517,0.479,0.123,0.182,0.365,0.193,,0.361,,0.675,0.766,0.464,0.448,0.465,0.333,0.769,0.781,0.776,0.453,0.844,0.512,0.725,0.419,0.312,0.708,0.497,0.309,0.681,0.565,0.277,0.234,0.432,0.731,0.775,0.77,,0.242,0.24,0.617,0.433,0.182,0.742,0.27,0.173,0.623,0.62,0.31,0.732,0.519,0.673,,0.519,0.231,0.236,0.368,0.287,0.346,0.866,,0.865,0.38,0.059,0.329,,0.812,0.596,0.258,0.455,,0.49,0.188,0.499,0.538,0.577,0.721,0.714,0.67,0.891,0.599,0.561,0.721,0.339,0.503,0.453,0.449,0.402,0.551,0.239,0.682,0.325,0.713,0.518,0.159,0.883,0.592,0.777,0.241,0.027,0.555,0.814,0.545,0.254,0.455,0.341,0.87,0.752,0.34,0.337,0.552,0.589,0.258,0.31,,0.47,0.578,0.568,0.59,0.334,,0.295,0.36,0.608,0.752,0.919,0.353,0.842,0.724,0.543,0.308,0.513,0.514,0.225,0.351,,,,,,,,,,,,,,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,E-government development index,,,,,,,,,0.231,0.533,0.3,0.63,0.331,,0.489,0.698,0.518,,0.914,0.821,0.627,0.511,0.773,0.38,0.631,0.662,0.787,0.383,0.204,,0.351,0.482,0.512,0.453,0.638,,0.53,0.638,0.16,0.228,0.259,0.276,0.828,0.474,,0.079,0.126,0.695,0.607,0.624,0.216,,,0.631,0.218,0.716,0.352,0.602,0.645,,,0.851,0.134,0.458,0.491,0.563,0.459,0.472,0.24,0.09,0.833,0.267,0.499,0.882,0.846,0.358,0.24,0.611,0.821,0.418,,0.691,0.517,0.479,0.123,0.182,0.365,0.193,,0.361,,0.675,0.766,0.464,0.448,0.465,0.333,0.769,0.781,0.776,0.453,0.844,0.512,0.725,0.419,0.312,0.708,0.497,0.309,0.681,0.565,0.277,0.234,0.432,0.731,0.775,0.77,,0.242,0.24,0.617,0.433,0.182,0.742,0.27,0.173,0.623,0.62,0.31,0.732,0.519,0.673,,0.519,0.231,0.236,0.368,0.287,0.346,0.866,,0.865,0.38,0.059,0.329,,0.812,0.596,0.258,0.455,,0.49,0.188,0.499,0.538,0.577,0.721,0.714,0.67,0.891,0.599,0.561,0.721,0.339,0.503,0.453,0.449,0.402,0.551,0.239,0.682,0.325,0.713,0.518,0.159,0.883,0.592,0.777,0.241,0.027,0.555,0.814,0.545,0.254,0.455,0.341,0.87,0.752,0.34,0.337,0.552,0.589,0.258,0.31,,0.47,0.578,0.568,0.59,0.334,,0.295,0.36,0.608,0.752,0.919,0.353,0.842,0.724,0.543,,0.513,0.514,0.225,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,E-government development index,,,,,,,,,0.19,0.505,0.311,0.643,0.297,,0.593,0.631,0.59,,0.91,0.791,0.547,0.49,0.809,0.276,0.593,0.605,0.756,0.377,0.169,,0.283,0.456,0.471,0.42,0.601,,0.504,0.542,0.18,0.193,0.3,0.278,0.842,0.355,,0.126,0.108,0.712,0.545,0.617,0.181,,,0.606,0.204,0.628,0.392,0.596,0.607,,,0.816,0.146,0.434,0.448,0.505,0.513,0.499,0.227,0.091,0.818,0.259,0.504,0.845,0.894,0.329,0.229,0.605,0.786,0.374,,0.712,0.522,0.316,0.095,0.161,0.37,0.181,,0.408,,0.664,0.797,0.383,0.449,0.451,0.314,0.781,0.816,0.759,0.439,0.887,0.517,0.728,0.381,0.32,0.627,0.466,0.266,0.718,0.498,0.263,0.177,0.375,0.698,0.727,0.759,,0.261,0.232,0.612,0.481,0.163,0.652,0.285,0.189,0.534,0.573,0.334,0.671,0.558,0.635,,0.506,0.238,0.187,0.388,0.278,0.234,0.89,,0.864,0.276,0.095,0.293,,0.836,0.627,0.258,0.442,,0.524,0.12,0.374,0.544,0.477,0.648,0.69,0.636,0.946,0.557,0.563,0.73,0.359,0.498,0.452,0.416,0.42,0.582,0.222,0.69,0.267,0.547,0.511,0.133,0.908,0.615,0.651,0.209,0.014,0.487,0.841,0.542,0.261,0.404,0.306,0.823,0.727,0.313,0.34,0.463,0.472,0.253,0.245,,0.471,0.493,0.539,0.544,0.351,,0.306,0.259,0.503,0.714,0.869,0.276,0.875,0.742,0.47,,0.556,0.47,0.272,0.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,E-government development index,,,,,,,,,0.17,0.516,0.361,0.617,0.32,,0.634,0.623,0.5,,0.839,0.784,0.498,0.579,0.695,0.299,0.657,0.609,0.772,0.392,0.206,,0.294,0.466,0.533,0.419,0.617,,0.625,0.613,0.158,0.229,0.29,0.307,0.843,0.43,,0,0.109,0.677,0.536,0.657,0.236,,,0.54,0.258,0.733,0.449,0.651,0.649,,,0.889,0.223,0.556,0.513,0.487,0.461,0.551,0.295,0.204,0.799,0.231,0.467,0.851,0.863,0.369,0.269,0.556,0.808,0.316,,0.687,0.548,0.439,0,0.194,0.455,0.151,,0.434,,0.72,0.784,0.383,0.495,0.488,0.341,0.715,0.81,0.719,0.455,0.802,0.488,0.684,0.421,0.3,0.596,0.488,0.294,0.66,0.514,0.35,0.241,0,0.826,0.733,0.801,,0.305,0.274,0.67,0.499,0.186,0.713,0.313,0.2,0.507,0.624,0.381,0.747,0.544,0.622,,0.421,0.279,0.27,0.394,0.324,0.266,0.912,,0.838,0.362,0.112,0.268,,0.859,0.594,0.282,0.436,,0.573,0.215,0.48,0.523,0.513,0.644,0.717,0.64,0.928,0.563,0.606,0.734,0.329,0.527,0.512,0.518,0.436,0.63,0.333,0.666,0.267,0.631,0.519,0.156,0.847,0.629,0.749,0.242,0.064,0.487,0.777,0.436,0.261,0.434,0.318,0.86,0.813,0.37,0.407,0.509,0.559,0.237,0.214,,0.44,0.573,0.483,0.528,0.381,,0.354,0.319,0.565,0.734,0.896,0.331,0.869,0.632,0.51,,0.559,0.522,0.247,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,E-government development index,,,,,,,,,0.21,0.452,0.318,0.515,0.311,,0.515,0.547,0.402,,0.786,0.668,0.457,0.487,0.736,0.303,0.571,0.49,0.722,0.351,0.202,,0.26,0.428,0.47,0.364,0.501,,0.48,0.559,0.159,0.201,0.288,0.272,0.845,0.405,,0.14,0.123,0.601,0.47,0.613,0.233,,,0.475,0.28,0.586,0.432,0.571,0.606,,,0.787,0.206,0.415,0.456,0.432,0.452,0.47,0.29,0.186,0.697,0.203,0.393,0.697,0.751,0.342,0.212,0.425,0.731,0.275,,0.571,0.428,0.394,0.143,0.156,0.414,0.207,,0.406,,0.631,0.67,0.357,0.403,0.423,0.3,0.687,0.655,0.58,0.447,0.715,0.528,0.558,0.334,0,0.529,0.442,0.264,0.583,0.439,0.351,0.213,0.38,0.669,0.63,0.667,,0.289,0.236,0.61,0.439,0.181,0.613,0,0.236,0.465,0.515,0,0,0.524,0.51,,0.329,0.229,0.282,0.331,0,0.257,0.81,,0.731,0.363,0.11,0.269,,0.802,0.458,0.275,0.419,,0.462,0.204,0.424,0.492,0.464,0.558,0.579,0.493,0.879,0.461,0.548,0.514,0.275,0.469,0.447,0.436,0.374,0,0.326,0.514,0.224,0.459,0.418,0.17,0.748,0.564,0.624,0.245,0,0.431,0.752,0.399,0.254,0.328,0.276,0.747,0.714,0.31,0.348,0.465,0.526,0.227,0.215,,0.37,0.481,0.483,0.478,0.323,,0,0.281,0.518,0.535,0.815,0.293,0.851,0.585,0.45,,0.477,0.445,0.215,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
