CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>GOVERD (Government intramural expenditure on R&D),Latest available,,,metadata/GV.html,,,,,,GV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GOVERD, million NC",,metadata/GV_NC.html,,,,,,GV_NC,,867.7,,,,,,12949.33,10618.7,,3329.3,471.111,104.1,,2.269,,,1059740,782.17,,,0,,32.928,12.723,88.31,,,4.511,176.061,2592.499,2990.462,27076.14,,2885,,,,,47448.25,228994.6,59115.36,,,,41940,,700.106,,10.9,18090.631,,11812.3,1388,,,,165.745,5790.795,8.432,,,32.712,1283.897,,496.2,6357.516,,19.173,8.1,12485.607,166.515,,479.35,,29.2,,,,,,,658,62241.1,2345,447725.8,3184998,14092000,30711.74,139.7,838.6,2901.586,,1377232,,18304.37,10120.6,,57.943,366.101,3340,39,,1.973,,,,66.536,208.97,0.022,11960.53,,2945.966,,25489,11.85,,,457.2,36777.701,,1.291,28666.8,2.618,,1293.23,859.14,,216.615,,3604.614,1681,,654,,,16135.1,,9055.3,25.949,27425.57,,,16.411,,72238.95,91.01,4731.595,4405.8,135.289,1050.652,7745312.548,302.8,1330.167,284154.3,,,,0.2,,,,,18030.73,9569.1,14.821,,972.098,258.341,115.217,,,6001.707,2520.417,3365.95,75.6,,,4686,193.909,,44.5,8426,346.9,,1120.77,,,106.6,267.166,2130.766,,,,75138.9,3996.1,4833.513,2165,145125.2,56206,1536.655,167859,,,5656801,,,,,,63603.237,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,52.85,,,,,,,,,,,,,,,,,8833112,,,,,,,,,,,,
,,"GOVERD, million USD PPPs",,metadata/GV_PPP.html,,,,,,GV_PPP,,19.472,,,,,,2400.84,53.61,,2281.716,591.35,328.593,,11.155,,,205.137,980.362,,,0,,18.336,18.434,24.037,,,8.826,260.38,14.184,7.865,20.051,,2273.112,,,,,125.273,66190.31,49.232,,,,111.035,,198.251,,16.522,1413.443,,28.39,190.607,,,,296.488,2380.063,17.162,,,61.505,192.801,,548.63,7948.785,,1.929,9.545,16141.532,265.731,,778.147,,7.937,,,,,,,117.034,476.364,16.71,26377.52,839.165,4312.026,81.927,172.781,220.685,3989.765,,13428.132,,205.926,320.308,,323.638,17.676,2.178,78.804,,0.428,,,,149.819,236.984,0.006,17.753,,2081.11,,133.251,19.796,,,28.506,4376.776,,,44.812,7.272,,342.221,48.404,,37.35,,158.904,2085.49,,453.055,,,483.796,,935.235,173.469,944.342,,53.621,27.697,,31.283,67.959,263.575,2497.94,231.764,415.893,8695.529,44.476,818.069,12588.72,,,,0.116,,,,,77.792,236.962,3.853,,1147.866,532.569,197.038,,,1159.318,3776.189,76.537,110.278,,,525.22,155.488,,22.097,691.37,18.119,,5.065,,,28.645,417.907,1716.218,,,,93.758,686.734,2277.3,3144.823,241.064,56206,82.488,186.6,,,750.852,,,,,,4182.222,,,,9.639,,,,,,,,,,,,,,,,,,,,,40741.349,,41732.068,47476.035,,,,,,,,,,,,,,,,,,,,136833.199,,,,,,,,,,,,
,,"GOVERD, million constant USD PPPs",,metadata/GV_PPPK.html,,,,,,GV_PPPK,,20.481,,,,,,2626.024,49.313,,2158.846,511.907,298.877,,10.376,,,1882080,875.954,,,,,21.824,16.623,22.493,,,9.04,252.297,14.717,7.457,18.06,,2187.97,,,,,113.049,60902.877,45.381,,,,103.18,,175.91,,16.189,1244.222,,29.603,173.315,,,,275.909,2336.823,15.955,,,55.213,181.586,,492.889,7122.962,,1.89,8.876,14299.679,265.574,,698.376,,7.636,,,,,,,108.871,431.16,14.796,24112.16,794.491,4397.84,77.98,149.173,188.208,3553.356,,12218.534,,195.336,320.313,,306.582,16.006,2.522,70.339,,0.403,,,,136.309,202.664,0.006,17.394,,1914.932,,133.251,19.11,,,27.266,4022.925,,,41.236,6.64,,342.215,44.541,,34.74,,158.906,1897.209,,403.551,,,302.788,,869.957,157.301,855.109,,,26.241,,28.588,75.773,249.54,2279.47,208.187,400.158,8656.584,40.817,734.028,11409.165,,,,0.141,,,,,77.789,212.8,4.148,,1071.241,500.166,173.826,,,1101.47,3449.904,72.463,129.313,,,484.746,133.993,,19.753,631.651,16.681,,4.708,,,26.642,383.674,1621.861,,,,100.034,629.794,2281.062,2863.051,228.23,51721.143,76.723,169.753,,,710.879,,,,,,3848.618,,,,9.482,,,,,,,,,,,,,,,,,,,,,36461.215,,,42533.082,,,,,,,,,,,,,,,,,,,,125412.992,,,,,,,,,,,,
,,"GOVERD, % of total gross domestic R&D expenditures (GERD)",,metadata/GV_XG.html,,,,,,GV_XG,,52.098,,,,,,47.729,84.209,,11.208,4.439,86.104,,17.87,,,23.574,7.765,,,0,,21,20.359,13.133,,,91.594,20.78,72.215,87.154,31.19,,8.509,,,,,7.812,16.161,3.053,,,,26.926,,24.533,,13.557,20.404,,100,2.314,,,,36.807,32.974,39.798,,,10.805,24.49,,8.173,13.07,,54.435,15.028,14.063,96.045,,28.134,,16.544,,,,,,,3.934,13.288,4.834,52.472,39.393,56.07,39.267,4.388,1.695,13.254,,7.899,,29.68,40.639,,38.905,71.446,50.915,25.607,,12.849,,,,17.193,31.14,0.022,56.387,,19.564,,82.58,17.529,,,73.363,37.85,,100,80.057,19.153,,23.067,43.022,,45.919,,100,12.333,,20.336,,,35.189,,15.04,39.211,40.616,,56.128,57.99,,39.619,25.631,29.731,24.394,5.91,32.28,11.743,67.14,38.257,31.066,,,,13.333,,,,,52.047,27.348,97.053,,11.401,27.86,13.506,,,23.389,19.135,34.808,39.203,,,3.417,0.879,,84.44,9.951,13.974,,18.614,,,73.7,50.5,10.336,,,,38.578,32.688,41.059,6.798,38.647,11.177,34.394,45.969,,,42.245,,,,,,12.46,,,,1.758,,,,,,,,,,,,,,,,,,,,,11.439,,13.108,12.285,,,62.654,,,,,,,,,,,,,,,,,10.964,,,,,,,,,,,,
,,"GOVERD, % of GDP",,metadata/GV_XGDP.html,,,,,,GV_XGDP,,0.08,,,,,,0.281,0.211,,0.206,0.139,0.192,,0.018,,,0.122,0.191,,,0,,0.058,0.045,0.071,,,0.034,0.199,0.08,0.12,0.037,,0.142,,,,,0.03,0.334,0.007,,,,0.155,,0.21,,0.062,0.397,,0.08,0.068,,,,0.163,0.238,0.034,,,0.162,0.148,,0.237,0.29,,0.072,0.028,0.412,0.362,,0.273,,0.007,,,,,,,0.029,0.183,0.106,0.329,0.033,0.377,0.015,0.053,0.072,0.176,,0.26,,0.051,0.319,,0.117,0.086,0.019,0.16,,0.007,,,,0.179,0.399,0,0.06,,0.254,,0.482,0.135,,,0.13,0.202,,0.038,0.124,0.073,,0.165,0.145,,0.155,,0.303,0.246,,0.26,,,0.077,,0.29,0.097,0.1,,0.276,0.037,,0.051,0.04,0.041,0.245,0.075,0.155,0.497,0.248,0.187,0.352,,,,0.016,,,,,0.282,0.237,0.293,,0.251,0.328,0.299,,,0.169,0.234,0.035,0.117,,,0.112,0.03,,0.092,0.062,0.062,,0.05,,,0.063,0.331,0.091,,,,0.183,0.202,0.355,0.116,0.204,0.312,0.116,0.098,,,0.158,,,,,,0.38,,,,0.008,,,,,,,,,,,,,,,,,,,,,0.24,,0.254,0.241,,,0.54,,,,,,,,,,,,,,,,,0.261,,,,,,,,,,,,
,,"GOVERD, per capita population (USD PPPs)",,,,,,,,GV_XPOP,,,,,,,,,,,97.136,69.259,,,,,,,86.23,,,,,,,,,,,35.905,,,,,62.288,,,,,7.012,47.139,1.021,,,,,,,,17.87,134.209,,,33.968,,,,,,,,,46.897,,,99.878,122.923,,,,198.782,,,68.275,,,,,,,,,,48.61,50.935,20.569,3.358,,,37.407,26.535,64.73,,106.07,,,,,,,,38.794,,,,,,47.661,473.143,,,,,,,47.501,,,,36.17,,,,8.889,,,,,,,,122.812,,98.649,,,,,190.697,,,,,,,,,,65.707,22.332,,171.791,,38.485,80.998,,,,,,,,,,33.398,,,210.562,98.317,95.348,,,22.048,81.378,5.067,3.124,,,53.599,19.128,,2.638,15.366,,,0.001,,,8.874,88.457,22.077,,,,2.805,26.886,0.109,48.733,1.119,174.899,24.233,,,,5.239,,,,,,174.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GOVERD, compound annual growth rate at constant prices, %",,metadata/GV_GRO.html,,,,,,GV_GRO,,,,,,,,17.601,,,-10.629,1.894,,,,,,,-4.455,,,,,,,,,,,,,,,,-0.877,,,,,0.313,11.821,,,,,,,,,,10.937,,,3.895,,,,,,,,,2.842,,,-13.347,2.04,,,,-0.613,,,17.378,,,,,,,,,,0.945,-10.025,,,,,3.85,-1.552,-2.616,,-7.218,,,,,,,,-0.395,,,,,,,10.352,,,,,,,,,,,-0.014,,,,,,,,,,,,6.063,,1.65,,,,,7.804,,,,,,,,,,12.912,-5.225,,6.037,,18.331,1.702,,,,,,,,,,,,,13.819,36.43,5.37,,,3.647,4.115,,,,,-1.024,2.308,,,,,,,,,,,15.898,,,,,,,-3.107,,2.781,,,,,,,,,,,1.404,,,,,,,,,,,,,,,,,,,,,,,,,0.248,,,1.812,,,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GOVERD, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
