CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>>Industry funding,Latest available,,,,,,,,,GV_BEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GOVERD, financed by industry, million NC",,metadata/GV_BEF_NC.html,,,,,,GV_BEF_NC,,,,,,,,49.909,,,328.8,17.81,38.8,,,,,158443,42.228,,,,,,0.002,7.12,,,,3.958,,,455.2,,57,,,,,1288.258,8931.472,91.514,,,,,,55.872,,0.027,501.349,,,17,,,,0.026,5.167,,,,0.531,2.555,,43.1,499.519,,,,1402.568,24.773,,21.59,,,,,,,,,,5493.2,364.5,,,,,1.1,17.8,122.12,,31675,,1975.9,123,,2.103,13.074,,6.6,,,,,,8.851,3.438,,,,40.402,,,0.16,,,,279.55,,,86.1,0.063,,,,,,,,222,,107,,,,,785.7,0.001,,,,,,,,67.089,197.6,1.656,0.6,179782.753,,202.048,32877.1,,,,,,,,,714.6,1083.9,,,41.397,22.329,9.268,,,421.228,139.762,17.25,,,,168,0,,,1,,,,,,,,44.391,,,,5.4,294.8,,258.8,10,211,6.423,35649,,,827299.9,,,,,,1863.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240520.66,,,,,,,,,,,,
,,"GOVERD, financed by industry, million USD PPPs",,metadata/GV_BEF_PPP.html,,,,,,GV_BEF_PPP,,,,,,,,12.792,,,225.386,22.364,122.473,,,,,30.67,52.429,,,,,,0.003,1.929,,,,5.951,,,0.337,,46.103,,,,,3.43,2581.619,0.076,,,,,,15.821,,0.039,39.203,,,2.336,,,,0.048,2.331,,,,0.999,0.384,,47.693,621.099,,,,1829.645,61.221,,35.076,,,,,,,,,,42.076,2.599,,,,,1.368,4.64,166.275,,308.977,,22.229,3.893,,11.744,0.631,,13.336,,,,,,19.93,3.844,,,,28.541,,,0.267,,,,33.277,,,0.135,0.175,,,,,,,,275.641,,74.016,,,,,84.462,0.004,,,2.06,,,,,3.737,112.123,2.87,0.238,202.292,,124.262,1456.535,,,,,,,,,3.025,26.841,,,48.882,46.068,15.862,,,81.366,211.032,0.392,,,,19.558,0,,,0.082,,,,,,,,38.689,,,,0.007,50.662,,376.23,0.021,211,0.345,39.629,,,109.811,,,,,,122.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,2831.916,,,,,,,,,,,,,,,,,,,,4538.615,,,,,,,,,,,,
,,"GOVERD, financed by industry, million constant USD PPPs",,metadata/GV_BEF_PPPK.html,,,,,,GV_BEF_PPPK,,,,,,,,3.803,,,213.207,20.07,,,,,,,48.016,,,,,,5.987,,,,,5.797,,,,,43.151,,,,,3.072,2375.393,,,,,,,14.039,,0.039,34.481,,,2.123,,,,,,,,,0.896,,,42.828,566.047,,,,1637.988,,,31.455,,,,,,,,,,38.053,2.302,,,,,1.16,4.151,150.651,,283.056,,,,,,,,11.904,,,,,,18.133,3.409,,,,,,,0.258,,,,30.723,,,,0.162,,,,,,,,252.354,,67.077,,,,,77.46,,,,,,,,,,102.387,2.602,,200.935,,107.536,1346.821,,,,,,,,,,5.209,,,45.46,43.23,13.982,,,77.306,192.265,,,,,18.048,0,,,,,,,,,,,36.197,,,,,,,342.244,,194.164,,,,,,,,,,,113.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4296.324,,,,,,,,,,,,
,,"GOVERD, financed by industry, % of total GOVERD",,metadata/GV_BEF_XGV.html,,,,,,GV_BEF_XGV,,,,,,,,0.327,,,9.876,4.192,,,,,,,5.447,,,,,,33.333,,,,,2.409,,,,,1.768,,,,,2.715,3.9,,,,,,,7.981,,0.183,2.771,,,1.225,,,,,,,,,1.624,,,8.686,8.105,,,,11.26,,,4.487,,,,,,,,,,8.826,15.544,,,,,0.787,2.218,4.126,,2.3,,,,,,,,16.923,,,,,,13.303,1.96,,,,,,,1.35,,,,0.706,,,,2.356,,,,,,,,13.206,,18.349,,,,,7.377,,,,,,,,,,4.485,1.185,,2.321,,15.19,11.57,,,,,,,,,,3.1,,,4.258,8.643,8.044,,,7.018,6.037,,,,,3.661,2.393,,,,,,,,,,,2.827,,,,,,,11.954,,0.375,,,,,,,,,,,2.93,,,,,,,,,,,,,,,,,,,,,,,,,8.939,,,8.505,,,,,,,,,,,,,,,,,,,,3.723,,,,,,,,,,,,
,,"GOVERD, financed by industry, % of total GERD",,,,,,,,GV_BEF_XG,,,,,,,,0.081,,,0.795,0.186,,,,,,,0.442,,,,,,6.272,,,,,0.595,,,,,0.165,,,,,0.212,0.63,,,,,,,1.958,,0.03,0.565,,,0.028,,,,,,,,,0.175,,,0.71,1.042,,,,1.665,,,1.267,,,,,,,,,,1.173,0.751,,,,,0.084,0.041,0.548,,0.182,,,,,,,,4.334,,,,,,2.287,0.57,,,,,,,0.237,,,,0.288,,,,0.502,,,,,,,,1.629,,3.985,,,,,1.459,,,,,,,,,,1.094,0.074,,0.273,,5.811,3.594,,,,,,,,,,0.758,,,0.486,2.408,1.086,,,1.642,1.09,,,,,0.135,0,,,,,,,,,,,0.252,,,,,,,0.813,,0.042,,,,,,,,,,,0.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GOVERD, financed by industry, % of GDP",,metadata/GV_BEF_XGDP.html,,,,,,GV_BEF_XGDP,,,,,,,,0,,,0.02,0.006,,,,,,,0.011,,,,,,0.016,,,,,0.005,,,,,0.003,,,,,0.001,0.013,,,,,,,0.017,,0,0.011,,,0.001,,,,,,,,,0.003,,,0.021,0.023,,,,0.048,,,0.012,,,,,,,,,,0.016,0.016,,,,,0,0.002,0.008,,0.006,,,,,,,,0.027,,,,,,0.024,0.007,,,,,,,0.002,,,,0.002,,,,0.002,,,,,,,,0.032,,0.046,,,,,0.025,,,,,,,,,,0.011,0.001,,0.012,,0.028,0.04,,,,,,,,,,0.006,,,0.011,0.028,0.024,,,0.012,0.013,,,,,0.004,0,,,,,,,,,,,0.002,,,,,,,0.014,,0.001,,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,,,0.009,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GOVERD, financed by industry, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GOVERD, financed by industry, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
