CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Basic research,Latest available,,,,,,,,,GV_BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, government, million NC",,metadata/GV_BR_NC.html,,,,,,GV_BR_NC,,,,,,,,5957.345,,,1059.8,90.411,,,,,,,232.558,,,,,,,,,,,53.604,,,,,,,,,,4533.581,31369.888,,,,,,,439.27,,1.738,12387.324,,,320,,,,,,,,,15.844,,,91.6,1420.128,,,,7244.07,,,168.76,,,,,,,,,,33537.2,445,,,,,19.2,160,786.347,,283351,,,,,,,,11.5,,,,,,27.178,,,,,,,,11.233,,,,14827.247,,,,,,,,,,,,412.667,,166,,,,,1445.4,,,,,,,,,,1660.2,13.727,,2750934.404,,512.244,7007.71,,,,,,,,,,3558.575,,,19.667,116.311,48.883,,,,800.15,,,,,130,0.454,,,,,,,,,,,555.099,,,,,,,1011.4,,11225,,,,,,,,,,,18391.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, government, million USD PPPs",,metadata/GV_BR_PPP.html,,,,,,GV_BR_PPP,,,,,,,,1100.955,,,726.473,113.53,,,,,,,288.734,,,,,,,,,,,84.416,,,,,,,,,,13.056,9050.828,,,,,,,118.786,,2.741,978.849,,,43.701,,,,,,,,,29.813,,,101.159,1765.778,,,,9449.861,,,267.569,,,,,,,,,,260.596,3.173,,,,,23.549,41.709,1070.669,,2763.977,,,,,,,,23.176,,,,,,59.996,,,,,,,,19.707,,,,1765.001,,,,,,,,,,,,514.937,,114.828,,,,,160.223,,,,,,,,,,944.208,23.783,,3095.361,,302.264,4206.294,,,,,,,,,,95.435,,,23.22,241.039,83.758,,,,1208.178,,,,,15.134,0.364,,,,,,,,,,,483.799,,,,,,,1461.025,,11225,,,,,,,,,,,1212.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, government, million constant USD PPPs",,metadata/GV_BR_PPPK.html,,,,,,GV_BR_PPPK,,,,,,,,1025.398,,,687.215,101.882,,,,,,,264.432,,,,,,,,,,,78.509,,,,,,,,,,12.537,8343.062,,,,,,,110.485,,2.549,860.498,,,40.319,,,,,,,,,26.742,,,92.506,1609.265,,,,8459.982,,,238.807,,,,,,,,,,236.345,2.81,,,,,21.237,37.312,970.062,,2532.097,,,,,,,,20.823,,,,,,55.812,,,,,,,,18.115,,,,1629.532,,,,,,,,,,,,469.495,,104.063,,,,,145.922,,,,,,,,,,865.448,21.563,,3074.595,,279.166,3215.369,,,,,,,,,,93.506,,,21.598,224.699,74.468,,,,1100.739,,,,,13.966,0.314,,,,,,,,,,,452.637,,,,,,,1344.858,,10799.01,,,,,,,,,,,1115.766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, government, % of government R&D",,,,,,,,GV_BR_XGV,,,,,,,,46.005,,,31.833,21.279,,,,,,,30,,,,,,,,,,,32.625,,,,,,,,,,,13.699,,,,,,,64.967,,14.072,79.936,,,24.169,,,,,,,,,48.435,,,16.267,23.042,,,,57.826,,,41.151,,,,,,,,,,55.334,18.977,,,,,14.735,19.938,26.568,,20.574,,,,,,,,29.487,,,,,,42.436,,,,,,,,94.793,,,,38.802,,,,,,,,,,,,26.247,,26.688,,,,,17.819,,,,,,,,,,42.869,9.817,,35.517,,46.661,37.959,,,,,,,,,,42.685,,,2.023,61.291,45.141,,,,33.219,,,,,2.833,0.234,,,,,,,,,,,32.549,,,,,,,45.513,,,,,,,,,,,,,28.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, government, % of GDP",,metadata/GV_BR_XGDP.html,,,,,,GV_BR_XGDP,,,,,,,,0.129,,,0.066,0.028,,,,,,,0.059,,,,,,,,,,,0.064,,,,,,,,,,0.004,0.046,,,,,,,0.134,,0.01,0.287,,,0.016,,,,,,,,,0.078,,,0.045,0.066,,,,0.248,,,0.093,,,,,,,,,,0.104,0.02,,,,,0.01,0.015,0.048,,0.053,,,,,,,,0.049,,,,,,0.074,,,,,,,,0.121,,,,0.081,,,,,,,,,,,,0.062,,0.071,,,,,0.047,,,,,,,,,,0.097,0.008,,0.177,,0.077,0.13,,,,,,,,,,0.104,,,0.005,0.153,0.131,,,,0.077,,,,,0.003,0,,,,,,,,,,,0.027,,,,,,,0.055,,0.069,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, government, % of  total basic research",,,,,,,,GV_BR_XBR,,,,,,,,62.57,,,18.237,5.005,,,,,,,12.226,,,,,,,,,,,74.863,,,,,,,,,,3.859,44.805,,,,,,,47.347,,9.848,43.496,,,3.093,,,,,,,,,15.846,,,,12.565,,,,,,,33.253,,,,,,,,,,43.852,3.28,,,,,3.791,3.08,14.45,,15.16,,,,,,,,17.647,,,,,,28.189,,,,,,,,13.631,,,,33.975,,,,,,,,,,,,12.105,,24.556,,,,,15.419,,,,,,,,,,35.291,4.114,,21.508,,66.294,74.288,,,,,,,,,,34.349,,,0.738,38.513,18.118,,,,29.799,,,,,,0,,,,,,,,,,,,,,,,,,16.091,,11.991,,,,,,,,,,,39.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, government, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31369.888,,,,,,,,,,,,,,,,,,,,,,15.844,,,,,,,,,,,,,,,,,,,,,,445,,,,,,,,,283351,,,,,,,,,,,,,,,,,,,,,,11.233,,,,14827.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750934.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18391.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, government, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9050.828,,,,,,,,,,,,,,,,,,,,,,29.813,,,,,,,,,,,,,,,,,,,,,,3.173,,,,,,,,,2763.977,,,,,,,,,,,,,,,,,,,,,,19.707,,,,1765.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3095.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
