CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Growth and social inclusion,Latest available,,,,,,,,,GWTINCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gini coefficient at disposable income, post taxes and transfers (income inequality)",,metadata/GINIDSP_GINI.html,,,,,,GINIDSP_GINI,,,,,,,,,,,0.337,0.274,,,,,,,0.266,,,,,,,,0.47,,,,,,,,0.313,,,,,0.454,0.556,,,,,0.493,,,,,0.257,,,0.256,,,,,,,,,0.346,,,0.26,0.297,,,,0.289,,,0.339,,,,,,,,,,0.288,0.246,0.495,,,,0.298,0.36,0.326,,0.33,,,,,,,,0.35,,,,,,0.381,0.284,,,,,,,,,,,0.459,,,,,,,,,,,,0.303,,0.349,,,,,0.257,,,,,,,,,,0.298,0.338,,0.295,,,0.376,,,,,,,,,,,,,,0.247,0.251,,,,0.344,,,,,0.274,0.297,,,,,,,,,,,0.398,,,,,,,0.36,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S80/S20 disposable income quintile share - Method 2012,,,,,,,,INCGAP12,,,,,,,,,,,5.7,4.1,,,,,,,3.9,,,,,,,,12.5,,,,,,,,5.2,,,,,10,73.4,,,,,14.7,,,,,3.7,,,3.6,,,,,,,,,6.2,,,3.7,4.5,,,,4.4,,,6.4,,,,,,,,,,4.5,3.6,13.4,,,,4.6,7.1,5.9,,6.1,,,,,,,,6.4,,,,,,7.4,4.2,,,,,,,,,,,10.4,,,,,,,,,,,,4.6,,5.8,,,,,3.9,,,,,,,,,,4.7,5.9,,9.9,,,7.1,,,,,,,,,,,,,,3.7,3.7,,,,6.6,,,,,4.1,4.6,,,,,,,,,,,7.7,,,,,,,6.1,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S80/S20 disposable income quintile share - Method 2011,,,,,,,,INCGAP11,,,,,,,,,,,5.4,6.8,,,,,,,3.9,,,,,,,,,,,,,,,,5.2,,,,,13,,,,,,,,,,,3.7,,,3.6,,,,,,,,,6.5,,,3.7,4.7,,,,4.4,,,6.3,,,,,,,,,,4.5,3.4,,,,,4.8,7.4,5.8,,6.1,,,,,,,,6.7,,,,,,6.3,4.2,,,,,,,,,,,13.7,,,,,,,,,,,,4.1,,5.2,,,,,3.7,,,,,,,,,,4.8,6.2,,5.7,,,7.6,,,,,,,,,,,,,,4,3.8,,,,12.7,,,,,4.1,4.4,,,,,,,,,,,8.4,,,,,,,5.6,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,
,,"Poor population, after taxes and transfers, % total population (poverty rate)",,metadata/PVRTTX_X.html,,,,,,PVRTTX_X,,,,,,,,,,,0.128,0.09,,,,,,,0.091,,,,,,,,0.2,,,,,,,,0.126,,,,,0.161,0.339,,,,,0.215,,,,,0.059,,,0.055,,,,,,,,,0.155,,,0.063,0.082,,,,0.095,,,0.148,,,,,,,,,,0.101,0.065,0.197,,,,0.092,0.195,0.137,,0.161,,,,,,,,0.162,,,,,,0.157,0.081,,,,,,,,,,,0.167,,,,,,,,,,,,0.079,,0.109,,,,,0.081,,,,,,,,,,0.104,0.135,,0.138,,,0.146,,,,,,,,,,,,,,0.087,0.094,,,,0.153,,,,,0.09,0.099,,,,,,,,,,,0.173,,,,,,,0.109,,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Gini coefficient at disposable income, post taxes and transfers (income inequality)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S80/S20 disposable income quintile share - Method 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S80/S20 disposable income quintile share - Method 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Poor population, after taxes and transfers, % total population (poverty rate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
