CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Funding from abroad,Latest available,,,,,,,,,G_AF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by abroad, million NC",,metadata/G_AF_NC.html,,,,,,G_AF_NC,,122.7,,,,,,32.288,286.9,,455.6,1721.23,0.2,,1.58,,,571790,1256.878,,,,,3.551,10.562,145.67,0.547,,0.138,338.256,4712.33,1176.107,30326.52,,1914,,,,,78232.18,10517.06,46945.93,,,,2207.44,,413.08,18.6,19.894,28814.911,,,3913,,,,11.081,16.14,3.576,,,36.894,112.704,,881.6,3731.653,1019,5.6,3.3,4218.444,54.12,,216.34,,86.5,,,,,,,1173,70029.8,12783.5,0.257,0.006,0.207,67.85,543.9,21621.3,2078.927,,83560,,466.3,11740,,0.402,5.148,3542,68.5,,1.201,,,,133.834,195.906,0.5,2599.182,,253.12,,2719,14.379,,,40.1,383.292,,,1414.3,0.808,,95.96,796.44,,74.579,,,2062,,194,,,474.6,,4805,0,1794.22,,,0.072,,18840.38,,292.474,3023.8,125.313,78.77,495858.684,52.5,668.515,24212,,,,,,,,,14041.84,4392,,,583.7,365.642,90.066,,,3315.227,950.156,486.18,,,,8364,2235,,0.1,1310,130.1,,333.728,,,,21,190.394,,,,111611.5,2222.2,,5601.6,70015.91,23487,329.523,4348,,,201800,,,,,,389.219,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,1.048,,,15.795,,,,,,,,,,,,,,,,,1.445,,,,,,,,,,,,
,,"GERD, financed by abroad, million USD PPPs",,metadata/G_AF_PPP.html,,,,,,G_AF_PPP,,2.754,,,,,,20.066,1.448,,308.031,2159.81,0.569,,7.767,,,110.683,1560.49,,,,,1.454,15.303,39.649,0.637,,0.305,508.553,23.641,3.687,22.458,,1548.097,,,,,208.3,3039.929,39.097,,,,5.844,,116.973,55.645,29.428,2253.165,,0.13,537.788,,,,19.822,7.281,7.279,,,69.424,16.925,,975.54,4639.914,4.072,0.563,3.965,5502.944,86.367,,351.477,,23.513,,,,,,,208.633,536.408,91.164,0.501,0.037,0.414,0.181,667.105,5636.232,2830.611,,815.095,,5.246,371.561,,2.947,0.249,2.31,138.413,,0.26,,,,301.354,219.025,0.128,4.397,,178.811,,14.214,24.021,,,2.5,45.626,,,2.224,2.244,,25.393,44.871,,12.859,,,2560.237,,134.197,,,14.23,,532.635,0.002,61.78,,23.096,0.121,,8.159,,16.292,1715.779,217.119,31.181,557.942,7.711,411.145,1072.65,,,,,,,,,60.582,108.76,,,689.241,754.38,154.15,,,640.385,1434.676,11.055,,,,973.7,1650.577,,0.051,107.488,6.795,,1.508,,,,32.117,165.938,,,,139.268,381.888,,8143.318,146.455,23487,17.689,4.833,,,26.786,,,,,,25.661,,,,,,,,,,,,,,,,,,,,,,,,,0.676,,,0.64,,,,,,,,,,,,,,,,,,,,0.672,,,,,,,,,,,,
,,"GERD, financed by abroad, million constant USD PPPs",,metadata/G_AF_PPPK.html,,,,,,G_AF_PPPK,,2.896,,,,,,20.435,1.359,,325.186,1844.318,0.52,,7.104,,,845505.8,1429.145,,,,,1.472,10.71,4.923,,,0.321,495.416,23.93,3.517,2.675,,1448.975,,,,,186.549,2797.093,30.753,,,,18.277,,103.791,,29.174,1981.807,,,488.604,,,,22.412,,1.282,,,62.272,15.94,,876.046,4228.647,4.124,0.552,,4926.507,86.316,,315.191,,22.621,,,,,,,119.444,485.115,80.736,,,,,601.609,5042.126,2564.628,,746.714,,4.976,371.566,,2.938,0.215,2.675,123.545,,0.02,,,,274.179,194.24,0.134,4.451,,324.057,,14.214,23.188,,,2.391,42.124,,,3.429,6.685,,25.393,71.907,,0.393,,,2343.933,,121.616,,,8.906,,485.095,0.002,30.282,,,22.296,,3.108,,20.482,1566.792,196.854,30.001,554.199,6.614,355.803,991.852,,,,,,,,,60.58,85.523,,,640.991,707.909,135.88,,,608.431,1307.095,6.294,,,,898.529,1527.172,,0.048,80.992,3.653,,2.277,,,,33.259,155.25,,,,148.591,611.763,,7407.697,146.456,21612.897,11.048,,,,30.885,,,,,,23.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by abroad, % of total GERD",,metadata/G_AF_XG.html,,,,,,G_AF_XG,,7.367,,,,,,0.597,2.275,,1.61,15.481,0.162,,12.442,,,12.719,13.167,,,,,1.858,16.901,21.663,5.12,,6.56,50.879,59.606,39.917,34.934,,8.86,,,,,12.88,0.742,2.424,,,,1.417,,14.475,4.981,23.657,32.499,,,6.524,,,,2.461,0.119,16.879,,,12.186,2.15,,14.522,7.787,3.088,15.9,14.69,6.153,31.216,,12.662,,49.009,,,,,,,7.012,14.951,26.354,14.505,-58.391,68.243,0.087,18.74,49.248,9.326,,0.479,,0.756,47.142,,1.175,1.005,53.994,44.977,,7.823,,,,34.583,32.342,0.594,10.584,,1.681,,8.809,21.27,,,6.435,0.469,,,2.848,5.91,,1.712,39.883,,15.81,,,15.128,,8.24,,,1.035,,9.205,0.009,2.657,,24.176,0.254,,10.333,,1.838,16.742,5.614,2.42,0.752,11.641,19.227,2.647,,,,,,,,,40.533,12.552,,,6.846,39.432,10.558,,,12.92,8.041,5.028,,,,6.711,10.211,,0.21,1.547,5.241,,5.543,,,,3.94,1.066,,,,57.304,18.178,,17.589,42.005,4.67,7.376,1.191,,,1.507,,,,,,0.076,,,,,,,,,,,,,,,,,,,,,,,,,9.302,,,10.165,,,18.725,,,,,,,,,,,,,,,,,6.21,,,,,,,,,,,,
,,"GERD, financed by abroad, % of GDP",,metadata/G_AF_XGDP.html,,,,,,G_AF_XGDP,,0.011,,,,,,0.003,0.006,,0.036,0.493,0,,0.013,,,0.054,0.321,,,,,0.003,0.029,0.017,0,,0,0.404,0.119,0.062,0.014,,0.097,,,,,0.049,0.015,0.005,,,,0.03,,0.124,0.048,0.113,0.633,,-4.287,0.193,,,,0.015,,0.003,,,0.182,0.013,,0.421,0.174,0.018,0.021,,0.144,0.118,,0.123,,0.022,,,,,,,0.034,0.206,0.577,0,0,0,0,0.282,2.041,0.128,,0.016,,0.001,0.37,,0,0.001,0.02,0.281,,0,,,,0.359,0.421,0,0.016,,0.05,,0.051,0.155,,,0.012,0.002,,,0.011,0.075,,0.012,0.33,,0.002,,,0.302,,0.084,,,0.001,,0.156,0,0.004,,,0.036,,0.007,,0.005,0.168,0.072,0.012,0.032,0.042,0.094,0.029,,,,,,,,,0.219,0.096,,,0.149,0.465,0.234,,,0.094,0.092,0.004,,,,0.222,0.358,,0,0.009,0.021,,0.027,,,,0.03,0.009,,,,0.254,0.165,,0.299,0.16,0.13,0.018,,,,0.008,,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,-0.901,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by abroad, million NC",,,,,,,,,,,,,,,,,,,,1721.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by abroad, million USD PPPs",,,,,,,,,,,,,,,,,,,,2159.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by abroad, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,1844.318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
