CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Applied research,Latest available,,,,,,,,,G_AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, million NC",,metadata/G_AR_NC.html,,,,,,G_AR_NC,,889.37,,,,,,2390.3,357.3,,10955.2,3402.988,24.4,,3.874,,,504459,3691.47,,,,,49.212,33.289,,,,,477.052,,3266.226,57479.329,,,3.536,,,,156419.636,152863.018,,,,,24738,,897.111,186.7,51.573,29770.272,,,21541.6,,,,160.957,,13.218,,,74.872,2389.508,,,18011.4,,,1.7,,58.519,,570.47,,161.2,,,,,,,,129035.7,25392.2,118205.9,,,27028.717,935.571,4897.202,10480.99,,3462256,,35841.1,6136,,42.079,42.7,,71,,7.863,,,,171.923,,,9261.211,,10613.5,,,14.44,,,99.5,30078.94,,,11464.8,,,,1017.77,,229.616,,,6129.319,,1050,,,17390.8,,10741.9,18.737,,,,13.054,,133260.023,,,3191.7,878.817,1630.945,13744954.17,176.3,1125.446,12117.49,,,,,,,,,,13030.8,,,2734.506,190.334,505.417,,,,5185.99,5518.65,,,,,7525,,13.003,30204,,,2932.881,,,,,,,,,83721.6,1960.5,,13257.9,264350.146,86773,748.42,123453.9,,,8791101,,,,,,118043.159,,,,96.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, million USD PPPs",,metadata/G_AR_PPP.html,,,,,,G_AR_PPP,,20.583,,,,,,1482.803,1.91,,7406.803,4273.169,76.25,,19.082,,,267.007,4583.183,,,,,20.152,47.218,,,,,751.263,,8.145,41.58,,,0.073,,,,450.48,44103.981,,,,,65.433,,242.594,501.108,81.345,2352.453,,,2931.546,,,,287.938,,26.92,,,142.309,356.909,,,22395.262,,,2.043,,93.332,,904.48,,43.816,,,,,,,,1002.655,181.081,8685.862,,,74.428,1154.319,1276.601,14270.636,,33772.944,,398.347,194.202,,244.648,2.405,,143.088,,1.746,,,,379.521,,,13.746,,7495.41,,,25.648,,,6.168,3580.527,,,17.922,,,,57.342,,39.589,,,7648.328,,726.322,,,313.828,,1192.855,123.27,,,8.259,22.013,,57.31,,,1815.221,1522.659,645.663,15465.87,31.852,664.102,6533.141,,,,,,,,,,314.906,,,3228.46,394.442,866.005,,,,7830.526,125.487,,,,,5557.313,,7.473,2460.411,,,13.246,,,,,,,,,111.46,335.76,,19151.791,439.105,86773,65.461,135.397,,,1166.88,,,,,,7782.381,,,,122.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, million constant USD PPPs",,metadata/G_AR_PPPK.html,,,,,,G_AR_PPPK,,20.993,,,,,,1512.245,1.831,,7819.321,3834.757,70.054,,17.712,,,155.98,4197.422,,,,,20.401,43.492,,,,,698.699,,8.145,38.34,,,0.071,,,,432.549,40655.089,,,,,60.86,,225.641,,75.631,2068.023,,,2735.222,,,,267.939,,25.012,,,127.684,337.957,,,20410.218,,,1.933,,93.332,,807.253,,42.156,,,,,,,,909.347,160.369,8791.678,,,68.629,1022.662,1142.036,12929.672,,30939.606,,366.562,194.202,,238.961,,,128.561,,1.607,,,,353.056,,,13.468,,6898.971,,,23.843,,,5.934,3305.712,,,16.492,,,,52.765,,36.825,,,6973.378,,658.228,,,326.352,,1417.983,113.583,,,,20.873,,52.737,,,1663.806,1380.541,621.172,15362.111,,613.353,4994.054,,,,,,,,,,289.783,,,3002.905,367.703,769.95,,,,7134.182,118.806,,,,,5141.82,,7.322,2264.227,,,12.32,,,,,,,,,111.46,308.979,,17629.021,415.728,83479.953,69.885,124.847,,,1104.76,,,,,,7161.547,,,,115.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, % of total R&D expenditures",,metadata/G_AR_XG.html,,,,,,G_AR_XG,,53.4,,,,,,38.837,3.501,,38.712,35.554,20.182,,30.503,,,24.231,38.672,,,,,25.75,53.267,,,,,71.756,,95.191,66.212,,,3.29,,,,33.233,10.788,,,,,15.882,,34.576,50,61.328,34.981,,,37.581,,,,35.744,,62.387,,,26.112,45.579,,,37.587,,,7.568,,33.754,,38.922,,91.331,,,,,,,,29.254,52.348,22.286,,,34.558,32.836,11.155,47.019,,19.857,,53.815,24.639,,100,9.55,,43.612,,51.195,,,,45.624,,,43.661,,70.483,,,23.852,,,15.966,30.956,,,32.017,,,,50.966,,48.675,,,46.197,,39.106,,,37.928,,36.414,28.313,,,13.529,46.127,,73.086,,,19.741,39.369,50.108,20.839,52.864,44.037,15.799,,,,,,,,,,37.241,,,32.071,28.424,56.774,,,,40.45,57.07,,,,,37.69,,35.595,35.672,,,48.711,,,,,,,,,42.985,16.037,,43.327,70.397,19.132,43.456,33.808,,,65.651,,,,,,23.126,,,,21.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, % of GDP",,metadata/G_AR_XGDP.html,,,,,,G_AR_XGDP,,0.082,,,,,,0.271,0.009,,0.87,1.055,0.045,,0.031,,,0.17,0.942,,,,,0.04,0.116,,,,,0.57,,0.131,0.077,,,0.002,,,,0.121,0.223,,,,,0.091,,0.273,,0.294,0.69,,,1.14,,,,0.157,,0.053,,,0.379,0.276,,,0.839,,,0.006,,0.127,,0.316,,0.041,,,,,,,,0.398,1.147,0.182,,,0.014,0.21,0.462,0.646,,0.653,,0.09,0.194,,0.099,0.015,,0.3,,0.026,,,,0.47,,,0.046,,0.917,,,0.171,,,0.029,0.165,,,0.05,,,,0.172,,0.165,,,0.924,,0.452,,,0.053,,0.54,0.07,,,,0.029,,0.094,,,0.186,0.508,0.24,0.882,0.214,0.168,0.202,,,,,,,,,,0.322,,,0.7,0.251,1.354,,,,0.5,0.058,,,,,1.207,,0.043,0.221,,,0.129,,,,,,,,,0.19,0.099,,0.727,0.373,0.537,0.159,0.072,,,0.245,,,,,,0.704,,,,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35841.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Applied research expenditures, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
