CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Industry funding,Latest available,,,,,,,,,G_BEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by industry, million NC",,metadata/G_BEF_NC.html,,,,,,G_BEF_NC,,54.3,,,,,,1434.766,342,,17519.3,5640.69,38.9,,2.765,,,1856943,5853.519,,,,,9.945,19.618,118.9,24153.05,,0.078,147.938,943.34,1176.107,16878.12,,14444,,,,,199083.156,1058858,650629.4,,,,2315.12,,1331.022,149.4,11.538,30611.531,,,35609,,,,0.525,1088.677,0.139,,,124.144,39.311,,3324.7,26669.099,9657,5.6,,55607.15,0.176,,534.78,,93.5,,,,,,,7760.6,232868.6,16130.3,,115029,7770000,861.85,1541.9,16265.3,10304.707,,13595305,,17836.1,1081,,2.103,44.426,2362,30.6,,0.12,,,,108.416,100.009,0.31,2599.182,,1713.17,,861.8,29.83,,,1.7,20582.373,,,2630.5,4.081,,1678.46,9.42,,52.352,,,6638,,1068,,,72.8,,21894.2,14.139,540.55,,,3.07,,509.75,,5866.417,7044.5,933.092,787.181,49169995.25,31.2,1296.599,242155.4,,,,,,,,,1418.844,4472,,,4613.149,232.349,590.398,,,10615.9,5949.817,3934.01,,,,75973,11250,,0.602,56086,416.5,,465.275,,,,101,8951.637,,,,26632.8,4923.7,7628.323,15411.4,132.234,322617,204.069,142166.6,,,5352700,,,,,,397865.1,,,,294,,,,,,,,,,,,,,,,,,,,,,,,,,,17.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by industry, million USD PPPs",,metadata/G_BEF_PPP.html,,,,,,G_BEF_PPP,,1.219,,,,,,891.666,,,11844.786,7077.973,122.788,,13.59,,,359.454,7267.498,,,,,4.073,28.424,32.363,13978.37,,0.153,222.418,4.733,,12.499,,11682.711,,,,,530.077,306060.3,541.853,,,,6.129,,376.909,166.935,17.068,2393.651,,,4893.964,,,,0.939,447.455,0.283,,,233.601,5.903,,3678.967,33160.191,38.59,,,72539.312,0.281,,868.831,,,,,,,,,1380.32,1783.707,115.031,128152.7,72.102,2377.551,2.299,1891.172,4240.032,14030.614,,132616.846,,200.658,34.213,,11.744,2.145,1.54,61.831,,0.026,,,,244.12,111.811,0.074,,,1210.23,,5.077,49.833,,,0.106,2450.078,,,4.112,11.335,,444.163,0.531,,9.027,,,8241.927,,738.773,,,2.183,,2426.973,94.518,,,3.59,5.181,,0.221,,326.791,3997.223,1616.698,311.6,55326.249,,797.424,10728.07,,,,,,,,,6.121,110.741,,,5447.268,479.374,1010.477,,,2050.618,8983.858,89.454,,,,8844.44,8308.276,,0.346,4601.965,21.754,,2.281,,,,154.466,7801.837,,,,33.232,846.143,3157.091,22404.301,0.277,322617,10.954,158.039,,,710.487,,,,,,26230.558,,,,358.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by industry, million constant USD PPPs",,metadata/G_BEF_PPPK.html,,,,,,G_BEF_PPPK,,1.282,,,,,,907.676,,,12504.475,6044.066,111.684,,12.641,,,3297899,6655.8,,,,,4.123,39.779,30.284,12855.16,,0.156,216.673,4.79,,11.258,,10934.689,,,,,474.725,281611.499,499.467,,,,5.696,,334.435,,16.92,2105.374,,,4446.38,,,,0.874,439.326,0.263,,,209.536,5.56,,3303.755,30220.978,39.08,,,64940.768,0.281,,779.134,,,,,,,,,1284.05,1613.141,101.874,,78.885,2424.866,2.188,1705.499,3793.097,12712.204,,121491.127,,190.339,34.213,,11.125,1.942,1.784,55.189,,0.025,,,,222.106,99.158,0.075,,,1113.592,,5.279,48.106,,,0.101,2262.028,,,3.784,10.35,,444.155,0.488,,8.396,,,7545.6,,669.512,,,1.366,,2210.358,85.708,,,,4.909,,0.202,,309.39,3650.13,1465.803,299.811,54955.072,,690.087,9919.974,,,,,,,,,6.121,99.45,,,5065.943,449.844,890.717,,,1948.296,8184.953,84.692,,,,8161.638,7687.106,,0.339,4204.458,20.028,,2.281,,,,138.211,7299.318,,,,35.457,775.985,2944.841,20380.425,0.277,296874.354,10.189,143.771,,,672.663,,,,,,24138.034,,,,352.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by industry, % of total GERD",,metadata/G_BEF_XG.html,,,,,,G_BEF_XG,,3.26,,,,,,26.522,,,61.908,53.389,32.175,,21.769,,,41.307,61.321,,,,,5.204,31.392,17.682,36.357,,1.584,22.252,11.932,,19.442,,43.605,,,,,32.776,74.726,33.597,,,,1.486,,46.642,40.011,13.72,34.526,,,59.372,,,,0.117,6.199,0.656,,,41.003,0.75,,54.765,55.655,29.265,,,65.597,0.102,,31.4,,,,,,,,,46.395,49.717,33.254,,14.69,30.916,1.102,52.128,37.048,46.228,,77.972,,28.921,4.341,,1.412,8.67,36.006,20.092,,0.781,,,,28.015,16.51,0.182,,,11.377,,10.101,44.125,,,0.273,19.67,,,7.346,29.855,,29.938,0.472,,11.098,,,48.701,,43.097,,,0.159,,44.235,21.365,,,3.758,10.848,,0.28,,36.862,39.005,41.801,24.185,74.546,,37.291,26.475,,,,,,,,,4.096,12.781,,,54.104,25.057,69.209,,,41.37,45.844,40.683,,,,60.956,63.476,,1.649,66.239,16.778,,11.68,,,,18.949,50.098,,,,13.674,40.276,74.286,48.392,0.079,64.152,4.568,38.933,,,39.974,,,,,,77.945,,,,65.43,,,,,,,,,,,,,,,,,,,,,56.1,,,54.865,,,20.417,,,,,,,,,,,,,,,,,62.241,,,,,,,,,,,,
,,"GERD, financed by industry, % of GDP",,metadata/G_BEF_XGDP.html,,,,,,G_BEF_XGDP,,0.005,,,,,,0.109,0.009,,1.391,1.667,0.072,,0.022,,,0.295,1.494,,,,,0.008,0.11,0.096,0.418,,0.001,0.177,0.024,0.062,0.023,,0.729,,,,,0.125,1.545,0.081,,,,0.008,,0.399,0.095,0.066,0.672,,11812.3,1.757,,,,0.001,0.045,0.001,,,0.613,0.005,,1.587,1.242,0.168,0.021,,1.92,0,,0.305,,0.025,,,,,,,0.343,0.685,0.729,249626.3,0.006,0.207,0,0.801,1.536,0.635,,2.563,,0.05,0.034,,0.004,0.01,0.013,0.126,,0,,,,0.29,0.215,0,0.016,,0.148,,0.022,0.322,,,0,0.105,,1.275,0.011,0.113,,0.214,0.002,,0.038,,,0.971,,0.551,,,0,,0.854,0.053,0.003,,,0.007,,0,,0.051,0.392,0.539,0.116,3.155,,0.182,0.291,,,,,,,,,0.022,0.111,,,1.182,0.295,1.531,,,0.3,0.561,0.041,,,,2.015,2.169,,0.002,0.41,0.075,,0.03,,,,0.118,0.442,,,,0.061,0.248,0.517,0.823,0,1.789,0.015,0.083,,,0.149,,,,,,2.374,,,,0.287,,,,,,,,,,,,,,,,,,,,,1.176,,,1.07,,,,,,,,,,,,,,,,,,,,1.482,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by industry, million NC",,,,,,,,,,,,,,,,,,,,5640.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by industry, million USD PPPs",,,,,,,,,,,,,,,,,,,,7077.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by industry, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,6044.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
