CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Basic research,Latest available,,,,,,,,,G_BR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, million NC",,metadata/G_BR_NC.html,,,,,,G_BR_NC,,458.01,,,,,,9266.677,4265.1,,5680.2,1806.318,62.4,,3.21,,,255119,1902.191,,,,,147.911,12.809,,,,,75.834,,,11757.53,,,25.371,,,,115361.765,71612.3,,,,,4616,,907.333,74.7,17.344,26359.412,,,11032.3,,,,50.78,,5.642,,,86.95,639.584,,,11686.8,,,5.6,,29.123,,507.5,,11.4,,,,,,,,81663.3,10140.9,84623.91,,,49173.61,532.713,5389.006,5547.455,,2076931,,13809.2,14318,,,87.5,,47.9,,4.819,,,,103.627,,,9251.076,,3152.42,,,34.284,,,30.7,28243.522,,,16769.8,,,,541.91,,91.788,,,3639.872,,676,,,16599.9,,5860.1,41.474,,,,9.242,,24936.56,,,5420.4,518.119,883.306,11361657.87,78.1,901.681,9875.67,,,,,,,,,,12708.7,,,1677.523,302.002,160.672,,,,2911.707,959.29,,,,,5630,,14.804,12445,,,3085.161,,,,,,,,,67586.9,2460.2,,5174.4,71445.36,74849,243.932,71377.8,,,2557766,,,,,,44332.685,,,,92.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, million USD PPPs",,metadata/G_BR_PPP.html,,,,,,G_BR_PPP,,10.278,,,,,,1718.066,22.796,,3840.379,2268.213,196.966,,15.781,,,135.033,2361.685,,,,,60.581,18.558,,,,,114.013,,,8.707,,,0.522,,,,332.236,20699.35,,,,,12.221,,257.63,166.935,25.656,2082.926,,,1501.36,,,,90.835,,11.484,,,165.267,96.045,,,14531.294,,,6.728,,46.476,,804.641,,3.099,,,,,,,,634.554,72.318,6412.807,,,131.176,657.268,1404.804,7553.266,,20259.644,,170.223,453.152,,,4.928,,96.534,,1.044,,,,234.023,,,13.731,,2226.955,,,58.819,,,1.914,3362.043,,,26.214,,,,30.531,,15.827,,,4541.93,,467.613,,,497.733,,650.746,277.253,,,12.424,15.597,,10.799,,,3082.753,897.706,349.65,12784.177,14.11,558.769,5607.339,,,,,,,,,,314.709,,,1980.842,625.859,275.303,,,,4396.498,21.813,,,,,4157.83,,8.508,1021.136,,,13.942,,,,,,,,,84.334,422.788,,7474.715,118.676,74849,21.336,79.347,,,339.503,,,,,,2922.777,,,,113.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, million constant USD PPPs",,metadata/G_BR_PPPK.html,,,,,,G_BR_PPPK,,10.811,,,,,,959.807,21.86,,4054.267,2035.502,179.154,,14.679,,,78.883,2162.904,,,,,61.316,16.735,,,,,111.068,,,7.843,,,0.512,,,,319.012,19045.838,,,,,11.356,,228.213,,25.435,1831.084,,,1400.815,,,,84.53,,10.677,,,148.282,90.459,,,13243.287,,,6.368,,46.448,,718.147,,2.981,,,,,,,,575.502,64.047,6293.984,,,124.857,582.302,1256.726,6843.511,,18559.987,,157.09,453.159,,,,,86.734,,0.985,,,,212.805,,,13.453,,2049.131,,,56.61,,,1.831,3103.997,,,24.123,,,,28.095,,14.721,,,4141.113,,423.774,,,311.51,,773.561,251.412,,,,14.777,,9.869,,,2825.608,813.918,336.421,12698.409,,491.404,4286.354,,,,,,,,,,282.62,,,1842.177,583.434,244.767,,,,4005.532,20.652,,,,,3846.97,,8.336,932.933,,,12.96,,,,,,,,,89.98,387.733,,6880.396,112.358,65456.918,22.778,72.183,,,321.429,,,,,,2689.615,,,,111.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, % of  total R&D expenditures",,metadata/G_BR_XG.html,,,,,,G_BR_XG,,27.5,,,,,,34.156,41.791,,20.072,18.872,51.613,,25.279,,,12.254,19.927,,,,,77.394,20.496,,,,,11.407,,,13.544,,,23.608,,,,24.51,5.054,,,,,2.963,,34.97,20.005,20.625,30.973,,,19.247,,,,11.277,,26.631,,,30.324,12.2,,,24.389,,,24.929,,16.798,,34.626,,6.459,,,,,,,,18.514,20.906,15.954,,,62.873,18.697,12.275,24.886,,11.912,,20.735,57.494,,,19.571,,29.423,,31.374,,,,27.5,,,43.613,,20.935,,,56.631,,,4.926,29.067,,,46.832,,,,27.137,,19.458,,,27.434,,25.177,,,36.203,,19.865,62.671,,,20.353,32.655,,13.676,,,33.525,23.211,27.138,17.225,23.418,35.282,12.876,,,,,,,,,,36.32,,,19.674,45.1,18.048,,,,22.711,9.92,,,,,28.198,,40.525,14.698,,,51.24,,,,,,,,,34.701,20.125,,16.91,19.026,16.503,14.164,19.547,,,19.101,,,,,,8.685,,,,20.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, % of GDP",,metadata/G_BR_XGDP.html,,,,,,G_BR_XGDP,,0.042,,,,,,0.199,0.113,,0.451,0.56,0.115,,0.026,,,0.086,0.486,,,,,0.122,0.045,,,,,0.091,,,0.016,,,0.017,,,,0.089,0.104,,,,,0.017,,0.277,,0.099,0.611,,,0.6,,,,0.05,,0.023,,,0.44,0.074,,,0.544,,,0.021,,0.063,,0.281,,0.003,,,,,,,,0.252,0.458,0.131,,,0.025,0.19,0.509,0.342,,0.391,,0.039,0.452,,,0.031,,0.203,,0.016,,,,0.283,,,0.046,,0.272,,,0.407,,,0.009,0.155,,,0.072,,,,0.092,,0.066,,,0.549,,0.291,,,0.05,,0.295,0.154,,,,0.021,,0.018,,,0.315,0.299,0.13,0.729,0.095,0.135,0.173,,,,,,,,,,0.314,,,0.43,0.398,0.43,,,,0.281,0.01,,,,,0.903,,0.049,0.091,,,0.136,,,,,,,,,0.154,0.124,,0.284,0.101,0.463,0.052,0.042,,,0.071,,,,,,0.265,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13809.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Basic research expenditures, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
