CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>>Experimental development,Latest available,,,,,,,,,G_ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, million NC",,metadata/G_ED_NC.html,,,,,,G_ED_NC,,318.12,,,,,,1885.649,4816.4,,11663.7,4203.918,6.3,,2.943,,,859571,3947.509,,,,,12.872,11.407,,,,,111.943,,,17574.16,,,,,,,115600.593,1192513,,,,,19286,,790.16,112,15.177,28974.783,,,24745.4,,,,48.071,,1.706,,,124.914,2213.517,,,16651.7,,,,,85.731,,387.7,,3.9,,,,,,,,224945.8,12973.8,124382.4,,,2009.312,1344.857,33616.892,6262.609,,11104257,,16949.8,4450,,,316.7,,43.9,,2.677,,,,101.277,,,,,1292.42,,,6.045,,,493,41657.633,,,6529.8,,,,437.28,,125.378,,,3498.669,,960,,,11962.8,,12897.3,5.966,,,,6,,24136.84,,,7556.1,835.313,740.586,40852759.69,58.5,528.535,51880.18,,,,,,,,,,9251,,,4114.441,177.296,224.142,,,,4723.06,3192.07,,,,,5355,,4.71,36140,,,1172.379,,,,,,,,,43460.8,6581.1,,12167.3,39717.21,290935,154.723,113111.5,,,1312199,,,,,,348067.607,,,,260.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, million USD PPPs",,metadata/G_ED_PPP.html,,,,,,G_ED_PPP,,7.139,,,,,,349.604,25.743,,7885.819,5278.905,19.886,,14.464,,,454.966,4901.071,,,,,5.272,16.527,,,,,168.301,,,13.015,,,,,,,332.924,344692.9,,,,,51.059,,224.359,445.463,22.451,2289.593,,,3367.544,,,,85.991,,3.473,,,237.425,332.4,,,20704.62,,,,,136.813,,614.698,,1.06,,,,,,,,1747.912,92.521,9425.709,,,5.36,1659.302,8763.238,8527.001,,108317.654,,177.384,140.839,,,17.835,,88.473,,0.58,,,,228.716,,,,,913.001,,,10.371,,,30.739,4958.828,,,10.207,,,,24.636,,21.619,,,4365.732,,664.066,,,358.694,,1432.205,39.884,,,6.209,10.126,,10.453,,,4297.393,1447.282,293.156,45967.666,10.569,327.532,22620.926,,,,,,,,,,229.085,,,4858.387,367.423,384.055,,,,7131.531,72.584,,,,,3954.739,,2.707,2965.357,,,5.225,,,,,,,,,54.23,1130.969,,17576.357,65.973,290935,13.533,125.74,,,174.174,,,,,,22947.495,,,,317.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, million constant USD PPPs",,metadata/G_ED_PPPK.html,,,,,,G_ED_PPPK,,7.509,,,,,,950.38,24.686,,8325.016,4737.308,18.088,,13.454,,,265.781,4488.553,,,,,5.336,14.903,,,,,163.954,,,11.722,,,,,,,319.672,317157.994,,,,,47.447,,198.741,,22.257,2012.764,,,3142.021,,,,80.022,,3.229,,,213.024,313.065,,,18869.428,,,,,136.732,,548.622,,1.02,,,,,,,,1585.249,81.938,9251.061,,,5.102,1470.047,7839.519,7725.747,,99230.484,,163.699,140.841,,,,,79.491,,0.547,,,,207.979,,,,,840.097,,,9.982,,,29.401,4578.224,,,9.393,,,,22.67,,20.108,,,3980.465,,601.809,,,224.492,,1702.506,36.167,,,,9.594,,9.552,,,3938.93,1312.199,282.064,45659.275,,288.044,18164.531,,,,,,,,,,205.726,,,4518.286,342.517,341.457,,,,6497.347,68.719,,,,,3659.063,,2.652,2709.217,,,5.015,,,,,,,,,57.86,1037.195,,16178.851,62.461,266083.38,14.448,114.388,,,164.902,,,,,,21116.875,,,,312.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, % of  total R&D expenditures",,metadata/G_ED_XG.html,,,,,,G_ED_XG,,19.101,,,,,,6.95,47.192,,41.216,43.922,5.211,,23.171,,,41.288,41.354,,,,,6.735,18.253,,,,,16.838,,,20.244,,,,,,,24.561,84.158,,,,,12.382,,30.454,29.995,18.048,34.046,,,43.17,,,,10.675,,8.054,,,43.564,42.222,,,34.75,,,,,49.449,,26.452,,2.21,,,,,,,,50.997,26.746,23.45,,,2.569,47.201,76.571,28.095,,63.686,,25.45,17.869,,,70.834,,26.966,,17.43,,,,26.876,,,,,8.583,,,9.985,,,79.108,42.873,,,18.236,,,,21.897,,26.578,,,26.37,,35.754,,,26.09,,43.721,9.016,,,10.171,21.201,,13.238,,,46.734,37.42,22.753,61.936,17.541,20.681,67.643,,,,,,,,,,26.439,,,48.255,26.477,25.178,,,,36.839,33.01,,,,,26.821,,12.893,42.682,,,26.556,,,,,,,,,22.314,53.834,,39.763,10.577,64.147,8.984,30.976,,,9.799,,,,,,68.189,,,,57.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, % of GDP",,metadata/G_ED_XGDP.html,,,,,,G_ED_XGDP,,0.029,,,,,,0.124,0.127,,0.926,1.303,0.012,,0.023,,,0.289,1.008,,,,,0.011,0.04,,,,,0.134,,,0.023,,,,,,,0.09,1.74,,,,,0.071,,0.241,,0.086,0.672,,,1.28,,,,0.047,,0.007,,,0.632,0.255,,,0.775,,,,,0.186,,0.215,,0.001,,,,,,,,0.694,0.586,0.192,,,0.001,0.03,3.174,0.386,,2.093,,0.04,0.14,,,0.111,,0.186,,0.009,,,,0.277,,,,,0.112,,,0.072,,,0.143,0.229,,,0.028,,,,0.074,,0.09,,,0.528,,0.413,,,0.036,,0.648,0.022,,,,0.013,,0.017,,,0.439,0.483,0.109,2.621,0.071,0.079,0.682,,,,,,,,,,0.229,,,1.054,0.233,0.6,,,,0.455,0.033,,,,,0.859,,0.016,0.264,,,0.059,,,,,,,,,0.099,0.331,,0.668,0.056,1.801,0.033,0.066,,,0.037,,,,,,2.077,,,,0.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, million NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16949.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, million USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Experimental development expenditures, million constant USD PPPs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
