CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>GERD, financed by government",Latest available,,,,,,,,,G_GVF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by government, million NC",,metadata/G_GVF_NC.html,,,,,,G_GVF_NC,,1345.8,,,,,,3654.553,9308.4,,9790.2,3332.59,79.5,,5.269,,,2066698,2298.707,,,,,97.828,23.5,401.52,40813.9,,4.482,175.638,715.48,1764.025,20399.56,,11018,107.457,,,,258734.137,301319.6,839338.9,,,,87536,,1037.515,205.4,47.474,28562.502,,11812.3,17633,,,,190.924,16462.48,6.991,,,140.38,4145.249,,1753.6,16573.54,19170,13.573,10.5,24364.664,118.414,,887.35,,41.5,,,,,,,7785.8,162175.6,15526,20802.191,661751,15491000,75412.2,797.4,5466.5,9102.404,,2684063.048,,39273.3,6466,,138.433,457.319,525,49.8,,13.985,,,,137.834,293.054,428.13,21211.61,,5377.07,,28147,22.51,,,451.4,71200.338,,1.275,28666.8,7.898,,1293.23,868.48,,298.221,,,4547,,1068,,,44182.2,,23261.5,36.836,45229.73,,,22.9,,133271.6,,8210.506,7553.7,1052.226,1014.828,15608087.25,,1449.599,635859.9,,,,,,,,,16495.25,17715.4,,,3162.679,296.133,169.644,,,11007.08,5302.309,5209.97,,,,35239,4705,,52.7,17386,1312.1,,5687.32,,,,411,4620.855,,,,42724.9,4811.1,2640.573,8911.1,95897.44,120874,1279.281,207995.6,,,7481400,,,,,,107563.423,,,,111.9,,,,1.3,,,70487.365,,,,,,,,,,,,,,,,,,,,,,,,3.813,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by government, million USD PPPs",,metadata/G_GVF_PPP.html,,,,,,G_GVF_PPP,,30.201,,,,,,2271.198,46.995,,6619.147,4181.755,250.943,,25.901,,,400.057,2853.984,,,,,40.068,34.048,109.289,23620.7,,8.769,264.064,3.589,5.53,15.107,,8911.666,2.211,,,,688.903,87095.65,699.013,,,,231.75,,293.796,890.926,70.226,2233.428,,28.39,2423.412,,,,341.529,6766.213,14.229,,,264.153,622.486,,1940.457,20607.436,76.604,1.366,12.614,31783.61,188.969,,1441.634,,11.281,,,,,,,1384.802,1242.219,110.722,,414.795,4740.107,201.17,978.028,1425.005,12393.59,,26181.978,,441.83,204.643,,773.216,22.08,0.342,100.627,,3.03,,,,310.361,327.638,76.071,31.484,,3798.508,,147.147,37.605,,,28.145,8475.523,,,44.812,21.937,,342.221,48.93,,51.421,,,5645.683,,738.773,,,1324.763,,2578.539,246.249,1557.391,,28.045,38.647,,57.714,,457.369,4286.156,1823.113,401.713,17562.274,4.02,891.521,28170.13,,,,,,,,,71.167,438.691,,,3734.534,610.971,290.349,,,2126.181,8006.16,118.468,,,,4102.368,3474.706,,26.169,1426.555,68.533,,25.702,,,,628.568,4027.325,,,,53.312,826.793,1092.839,12954.499,200.593,120874,68.672,231.217,,,993.039,,,,,,7091.47,,,,136.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by government, million constant USD PPPs",,metadata/G_GVF_PPPK.html,,,,,,G_GVF_PPPK,,31.766,,,,,,2414.669,43.228,,6987.797,3570.909,228.249,,24.092,,,3670420,2613.767,,,,,40.555,30.702,102.268,21722.7,,8.982,257.243,3.633,5.275,13.607,,8341.069,2.167,,,,616.966,80138.249,644.333,,,,215.354,,260.688,,69.619,1964.447,,29.603,2201.775,,,,317.824,6643.287,13.228,,,236.94,586.277,,1742.552,18780.859,77.578,1.338,11.94,28454.255,188.858,,1292.801,,10.853,,,,,,,1288.22,1123.432,98.057,9489.729,453.82,4834.441,191.479,882.006,1274.798,11229.006,,23985.475,,419.107,204.646,,732.467,19.995,0.396,89.818,,2.858,,,,282.373,290.561,69.867,30.847,,3495.195,,147.147,36.301,,,26.92,7825.004,,,41.236,20.031,,342.215,45.025,,47.828,,,5168.702,,669.512,,,829.114,,2348.395,223.298,1410.229,,,36.617,,52.742,,433.015,3913.974,1652.951,386.514,17444.451,,771.518,26048.207,,,,,,,,,71.164,393.96,,,3473.105,573.334,255.938,,,2020.088,7294.198,112.161,,,,3785.66,3214.919,,23.393,1303.332,63.094,,23.891,,,,562.421,3767.924,,,,56.881,758.239,1019.368,11784.264,200.593,111229.076,63.872,210.342,,,940.173,,,,,,6525.753,,,,134.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by government, % of total GERD",,metadata/G_GVF_XG.html,,,,,,G_GVF_XG,,80.805,,,,,,67.556,73.818,,34.595,30.676,65.757,,41.491,,,45.973,24.081,,,,,51.188,37.603,59.71,61.436,,91.005,26.419,9.05,59.871,23.499,,33.303,100,,,,42.596,21.265,43.341,,,,56.198,,36.357,55.008,56.453,32.215,,100,29.4,,,,42.399,93.742,32.995,,,46.366,79.068,,28.885,34.587,58.093,38.536,46.741,27.891,68.301,,53.056,,23.513,,,,,,,46.545,34.624,32.008,18484.869,84.51,61.636,96.421,27.471,12.451,40.834,,15.413,,63.68,25.964,,92.949,89.248,8.003,32.699,,91.057,,,,35.616,48.38,87.204,100,,35.708,,91.191,33.297,,,72.433,70.29,,98.769,80.057,57.783,,23.067,43.49,,63.218,,,33.36,,37.096,,,96.357,,44.925,55.663,66.983,,29.356,80.919,,73.092,,51.591,41.824,47.138,31.179,23.663,,41.692,69.518,,,,,,,,,47.615,50.629,,,37.092,31.936,19.886,,,42.895,40.93,53.878,,,,28.274,24.369,,100,20.533,52.856,,94.457,,,,77.111,27.555,,,,21.936,39.355,25.714,27.981,57.532,24.036,28.634,56.96,,,55.871,,,,,,21.073,,,,24.903,,,,100,,,,,,,,,,,,,,,,,32.135,,,32.58,,,,,,,100,,,,,,,,,,,,,26.231,,,,,,,,,,,,
,,"GERD, financed by government, % of GDP",,metadata/G_GVF_XGDP.html,,,,,,G_GVF_XGDP,,0.125,,,,,,0.482,0.185,,0.777,0.958,0.146,,0.042,,,0.325,0.587,,,,,0.08,0.082,0.323,0.706,,0.03,0.21,0.018,0.092,0.027,,0.557,0.073,,,,0.163,0.44,0.105,,,,0.321,,0.311,0.332,0.27,0.627,,0.08,0.87,,,,0.187,0.674,0.028,,,0.693,0.478,,0.837,0.772,0.334,0.051,0.039,0.816,0.257,,0.515,,0.011,,,,,,,0.345,0.477,0.701,,0.037,0.414,0.038,0.422,0.516,0.561,,0.507,,0.109,0.204,,0.28,0.106,0.003,0.204,,0.046,,,,0.369,0.63,0.118,0.106,,0.465,,0.532,0.243,,,0.131,0.375,,0.037,0.124,0.218,,0.165,0.147,,0.214,,,0.665,,0.474,,,0.134,,0.868,0.137,0.165,,,0.051,,0.094,,0.071,0.42,0.608,0.149,1.001,9.355,0.204,0.764,,,,,,,,,0.258,0.438,,,0.81,0.376,0.44,,,0.311,0.501,0.054,,,,0.935,0.833,,0.109,0.127,0.235,,0.25,,,,0.481,0.243,,,,0.097,0.242,0.179,0.476,0.219,0.67,0.096,0.121,,,0.209,,,,,,0.642,,,,0.109,,,,,,,,,,,,,,,,,,,,,0.673,,8.967,0.636,,,,,,,,,,,,,,,,,,,,0.624,,,,,,,,,,,,
,,"GERD, financed by government, compound annual growth rate at constant prices, %",,metadata/G_GVF_GRO.html,,,,,,G_GVF_GRO,,3.26,,,,,,20.071,,,61.908,47.157,9.452,,,,,45.79,56.967,,,,,5.204,,,45.212,,1.584,19.511,11.932,,,,45.386,,,,,31.964,75.421,33.679,,,,18.847,,42.914,25.017,12.114,37.595,,,57.879,,,,8.529,,1.389,,,36.965,10.771,,53.528,55.025,29.265,,,65.441,0.102,,29.984,,,,,,,,,,48.283,39.158,32.495,14.69,30.916,0,53.622,36.538,45.193,,77.264,,51.589,4.341,,5.183,38.582,36.006,27.826,,3.378,,,,31.682,17.674,,,,55.006,,10.101,50.02,,,,23.756,,,11.357,42.317,,29.938,,,19.83,,,51.529,,39.777,,,0.159,,43.192,4.559,,,,2.312,,4.282,,61.956,38.996,42.272,,75.326,,32.915,27.072,,,,,,,,,4.096,8.189,,,52.67,32.214,68.39,,,38.339,46.305,40.926,,,,60.954,60.778,,1.648,41.427,7.787,,,,,,20.031,50.867,,,,13.674,27.155,,46.477,,60.854,8.495,,,,18.06,,,,,,77.239,,,,,,,,,,,,,,,,,,,,,,,,,55.489,,53.302,54.336,,,,,,,,,,,,,,,,,,,,60.924,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by government, million NC",,,,,,,,,,,,,,,,,,,,3332.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by government, million USD PPPs",,,,,,,,,,,,,,,,,,,,4181.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
