CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
">>>>GERD, financed by higher education",Latest available,,,,,,,,,G_HEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, million NC",,metadata/G_HEF_NC.html,,,,,,G_HEF_NC,,142.7,,,,,,235.924,,,34.2,56.319,0.5,,2.695,,,2978,97.496,,,,,50.737,8.794,6.36,1466.799,,0.365,0.304,966.24,6.237,53.2,,3269,,,,,67520.976,85671.4,336206.6,,,,,,58.03,,4.674,627.803,,,,,,,56.748,,10.292,,,0.633,94.311,,18.3,487.211,3150,,8.1,,0.476,,41.97,,48.5,,,,,,,8,,2015.6,,1175,1872000,1635.271,21.1,89.8,233.41,,944460.952,,7087.1,4738,,0.25,1.28,131,3.4,,1.05,,,,5.708,10.482,30.63,,,1050.72,,,0.801,,,129.2,3457.317,,,3467.1,0.879,,2538.81,266,,28.324,,,23,,271,,,37.5,,267.3,15.061,17231.18,,,2.26,,3743.668,,1427.926,397.4,93.011,1190.113,424697.242,,59.02,10875.1,,,,,,,,,11.5,8406.2,,,166.942,30.208,2.893,,,,531.977,16.38,,,,1229,215,,0.1,4673,620.1,,,,,,,3241.22,,,,2019.5,20.6,,393.2,553.362,17127,2642.931,,,,110100,,,,,,3718.263,,,,40,,,,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, million USD PPPs",,metadata/G_HEF_PPP.html,,,,,,G_HEF_PPP,,3.202,,,,,,146.62,3797.8,,23.123,70.72,1.578,,13.248,,,3.043,121.047,,,,,20.781,12.741,1.731,848.898,,0.714,0.457,4.847,0.02,0.039,,2644.059,,,,,179.781,24163.78,279.997,,,,11751.5,,16.433,,6.914,49.091,,,2178.1,,,,101.512,,20.948,,,1.191,14.162,,20.25,605.795,12.588,,9.731,307.424,0.76,,68.187,,13.184,,,,,,,1.423,3150.8,14.374,,0.737,572.815,4.362,25.88,23.409,317.805,,9212.845,,88.4,149.954,,1.398,0.062,0.085,6.87,,0.268,,,,12.853,11.719,5.442,,,742.257,,,1.338,,,8.056,411.551,,0.016,5.42,2.441,,671.833,14.986,,4.884,,,28.557,,187.46,,,1.124,,29.63,100.681,593.32,,4.362,3.814,,1.621,,79.543,225.495,161.153,471.098,477.871,302.3,36.298,481.793,,,,,,,,,0.05,208.165,,,197.127,62.323,4.952,,,,803.253,0.431,,,,143.075,158.78,,0.051,383.429,32.389,,,,,,51,2824.9,,,,2.52,3.54,,571.614,1.157,17127,141.872,,,,14.614,,,,,,245.139,,,,48.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, million constant USD PPPs",,metadata/G_HEF_PPPK.html,,,,,,G_HEF_PPPK,,3.368,,,,,,46.69,0,,24.41,63.465,1.436,,12.323,,,30924.06,110.859,,,,,21.033,11.489,1.62,780.686,,0.731,0.445,4.907,0.019,0.035,,2474.764,,,,,161.008,22874.09,258.095,,,,0,,14.581,,6.854,43.178,,,,,,,94.466,0,19.475,,,1.068,13.339,,18.185,552.099,12.748,,9.211,,0.759,,61.147,,12.683,,,,,,,1.324,,12.73,0,0.806,584.215,4.152,23.339,20.942,287.942,,8439.945,,86.612,149.956,,1.324,0.056,0.099,6.132,,0.262,,,,11.694,10.393,4.999,,,682.987,,,1.292,,,7.705,379.963,,,4.987,2.229,,671.821,13.79,,4.543,,,26.145,,169.886,,,0.704,,26.986,91.297,537.255,,,3.613,,1.482,,75.308,205.914,146.112,453.274,474.665,,31.412,445.502,,,,,,,,,0.05,186.94,,,183.328,58.484,4.365,,,,731.822,0.431,,,,132.029,146.909,,0.048,350.309,29.818,,,,,,0,2642.947,,,,2.689,3.247,,519.978,1.157,15760.382,131.957,,,,13.836,,,,,,225.583,,,,48.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, % of total GERD",,metadata/G_HEF_XG.html,,,,,,G_HEF_XG,,8.568,,,,,,4.361,0,,0.121,0.588,0.414,,21.221,,,0.309,1.021,,,,,26.548,14.072,0.946,2.208,,7.411,0.046,12.222,0.212,0.061,,9.477,,,,,11.116,7.232,17.361,,,,0,,2.034,,5.558,0.708,,,,,,,12.602,0,48.577,,,0.209,1.799,,0.301,1.017,9.546,,36.058,0,0.275,,2.463,,27.479,,,,,,,0.048,0,4.155,0,0.15,7.448,2.091,0.711,0.205,1.047,,5.417,,16.348,19.025,,0.168,0.25,1.997,2.232,,44.662,,,,1.475,1.73,6.239,,,6.978,,,1.185,,,20.732,3.558,,,9.682,6.429,,45.284,13.32,,6.004,,,0.169,,10.093,,,0.082,,0.527,22.758,25.518,,4.566,7.985,,2.053,,8.972,2.2,4.167,36.564,0.644,,1.697,1.189,,,,,,,,,0.033,24.024,,,1.958,3.258,0.339,,,,4.149,0.187,,,,0.986,1.077,,0.21,5.519,24.98,,,,,,0,18.418,,,,1.037,0.169,,1.235,0.332,3.406,59.155,,,,0.822,,,,,,0.728,,,,8.902,,,,27.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30325.823,,,,,,,,,,,,
,,"GERD, financed by higher education, % of GDP",,metadata/G_HEF_XGDP.html,,,,,,G_HEF_XGDP,,0.013,,,,,,0.018,0,,0.003,0.017,0.001,,0.021,,,0.002,0.025,,,,,0.042,0.031,0.005,0.025,,0.002,0,0.024,0,0,,0.165,,,,,0.043,0.144,0.042,,,,,,0.017,,0.027,0.014,,,0,,,,0.055,,0.041,,,0.003,0.011,,0.009,0.023,0.055,,0.03,0,0.001,,0.024,,0.012,,,,,,,0,0,0.091,0,0,0.05,0.001,0.011,0.008,0.014,,0.178,,0.025,0.149,,0.001,0,0.001,0.014,,0.005,,,,0.015,0.023,0.008,,,0.091,,,0.009,,,0.038,0.019,,,0.015,0.024,,0.324,0.045,,0.02,,,0.003,,0.117,,,0,,0.009,0.056,0.063,,,0.005,,0.003,,0.012,0.022,0.054,0.175,0.027,,0.008,0.013,,,,,,,,,0,0.208,,,0.043,0.038,0.008,,,,0.051,0,,,,0.033,0.034,,0,0.034,0.111,,,,,,201.279,0.159,,,,0.005,0.001,,0.021,0.001,0.095,0.199,,,,0.003,,,,,,0.022,,,,0.039,,,,,,,,,,,,,,,,,,,,,0.49,,,0.02,,,,,,,,,,,,,,,,,,,,26597.955,,,,,,,,,,,,
,,"GERD, financed by higher education, compound annual growth rate at constant prices, %",,metadata/G_HEF_GRO.html,,,,,,G_HEF_GRO,,8.568,,,,,,3.114,0,,0.121,0.666,0.104,,,,,0,2.871,,,,,26.548,,,2.145,,7.411,0.133,12.222,0.212,,,8.507,,,,,9.424,,17.486,,,,0,,2.068,,5.632,0.454,,,,,,,1.422,0,0.069,,,0.27,1.085,,0.232,1.219,9.546,,,,0.275,,2.599,,27.716,,,,,,,,,1.361,0,0,7.448,,0.633,1.786,0.936,,5.864,,16.348,19.025,,0.029,1.431,1.997,2.334,,44.662,,,,0.175,0.074,,,,3.143,,,1.13,,,,2.214,,,1.269,3.496,,45.284,0,,,,,0.386,,9.448,,,0.082,,0.527,32.131,12.294,,,3.083,,18.929,,6.383,2.131,3.576,,0.725,,1.147,1.043,,,,,,,,,0.033,25.865,,,2.183,2.744,0.346,,,,4.077,0.187,,,,0.992,1.162,,0.137,17.795,7.329,,,,,,0,20.436,,,,1.037,0.211,,1.049,,3.097,45.196,,,,0.66,,,,,,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, million NC",,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,8.794,,,,,,,,53.2,,,,,,,67520.976,,336206.545,,,,,,58.03,,,627.803,,,,,,,,,,,,0.633,,,18.3,,,,,,,,41.97,,,,,,,,,,,2015.6,,,,1635.271,,,,,944460.952,,,,,,1.28,,3.4,,,,,,5.708,,30.63,,,1050.72,,,0.801,,,,3457.317,,,3467.1,0.879,,,266,,,,,23,,,,,,,,15.061,17231.18,,,,,3743.668,,,397.4,,,424697.242,,59.02,10875.1,,,,,,,,,,8406.2,,,,30.208,2.893,,,,,,,,,,,,,4673,620.1,,,,,,,,,,,,20.6,,393.2,,17127,,,,,,,,,,,3718.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GERD, financed by higher education, million USD PPPs",,,,,,,,,,,,,,,,,,,,,1.563,,,,,,,,,,,,12.474,,,,,,,,0.038,,,,,,,179.781,,280.472,,,,,,15.847,,,49.091,,,,,,,,,,,,1.191,,,20.25,,,,,,,,68.187,,,,,,,,,,,14.374,,,,4.503,,,,,9212.845,,,,,,0.061,,6.87,,,,,,12.684,,5.432,,,742.034,,,1.405,,,,411.551,,,5.42,2.421,,,14.987,,,,,28.557,,,,,,,,99.083,583.851,,,,,1.61,,,225.495,,,477.871,,34.377,481.793,,,,,,,,,,203.147,,,,62.323,4.952,,,,,,,,,,,,,380.661,32.403,,,,,,,,,,,,3.528,,571.614,,17127,,,,,,,,,,,245.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
