CATEGORY,TIME,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,ID,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,BRIICS,AFRIC,ASM,ASME,ATF,BEL-VLG,BEL-WAL,BLX,BVT,CCK,CXR,E21,EA15,EA17,EU15,EU25,EU27,EU28,EUR,FLK,FRO,G20,G7M,GLP,GUM,HMD,IOT,JPN2,MNP,MTQ,MYT,NCL,NFK,NMEC,NOC,OAVG,OEU,OECD,PYF,REU,ROW,SCG,SGS,SHN,SPM,OTO,WLD,XKO,YUG,
>>Regional inequalities in GERD,Latest available,,,,,,,,,G_INEQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of GERD in the 20% top region, percentage",,,,,,,,G_TOP20,,,,,,,,,,,0.202,0.298,,,,,,,0.211,,,,,,,,,,,,,,,,0.229,,,,,0.234,,,,,,,,,,,0.496,,,0.401,,,,,,,,,0.2,,,0.313,0.483,,,,0.393,,,0.314,,,,,,,,,,0.415,,,,,,0.224,0.465,0.327,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.216,,,,,,,0.365,,,,,,,,,,0.497,0.348,,0.273,,,,,,,,,,,,,,,,,0.654,0.272,,,,0.417,,,,,0.328,,,,,,,,,,,,,,,,,,,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,,,,,,,,,,,,
,,GERD Hirshman-Herfindal index ,,,,,,,,G_HHI,,,,,,,,,,,0.106,0.091,,,,,,,0.189,,,,,,,,,,,,,,,,0.23,,,,,0.2,,,,,,,,,,,0.087,,,0.288,,,,,,,,,,,,0.134,0.157,,,,0.091,,,0.176,,,,,,,,,,0.311,,,,,,0.408,0.084,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,,,,,,,0.13,,,,,,,,,,0.143,0.236,,0.409,,,,,,,,,,,,,,,,,0.18,0.085,,,,0.109,,,,,0.121,,,,,,,,,,,,,,,,,,,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of GERD in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,0.202,0.298,,,,,,,0.211,,,,,,,,,,,,,,,,0.229,,,,,0.234,,,,,,,,,,,0.496,,,0.401,,,,,,,,,0.2,,,0.313,0.483,,,,0.393,,,0.314,,,,,,,,,,0.415,,,,,,0.224,,0.327,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.216,,,,,,,0.365,,,,,,,,,,0.497,0.348,,0.273,,,,,,,,,,,,,,,,,0.654,0.272,,,,0.417,,,,,0.328,,,,,,,,,,,,,,,,,,,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.396,,,,,,,,,,,,
,,GERD Hirshman-Herfindal index ,,,,,,,,,,,,,,,,,,,0.106,0.091,,,,,,,0.189,,,,,,,,,,,,,,,,0.23,,,,,0.2,,,,,,,,,,,0.087,,,0.288,,,,,,,,,,,,0.134,0.157,,,,0.091,,,0.176,,,,,,,,,,0.311,,,,,,0.408,,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145,,,,,,,0.13,,,,,,,,,,0.143,0.236,,0.409,,,,,,,,,,,,,,,,,0.18,0.085,,,,0.109,,,,,0.121,,,,,,,,,,,,,,,,,,,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Share of GERD in the 20% top region, percentage",,,,,,,,,,,,,,,,,,,0.201,0.34,,,,,,,0.212,,,,,,,,,,,,,,,,0.233,,,,,0.234,,,,,,,,,,,0.505,,,0.412,,,,,,,,,0.2,,,0.302,0.487,,,,0.392,,,0.313,,,,,,,,,,0.425,,,,,,0.223,,0.333,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,0.212,,,,,,,0.373,,,,,,,,,,0.442,0.355,,0.271,,,,,,,,,,,,,,,,,0.622,0.283,,,,0.406,,,,,0.304,,,,,,,,,,,,,,,,,,,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.386,,,,,,,,,,,,
,,GERD Hirshman-Herfindal index ,,,,,,,,,,,,,,,,,,,0.106,0.105,,,,,,,0.192,,,,,,,,,,,,,,,,0.233,,,,,0.2,,,,,,,,,,,0.091,,,0.309,,,,,,,,,,,,0.122,0.158,,,,0.092,,,0.176,,,,,,,,,,0.325,,,,,,0.392,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,,,,,,,0.136,,,,,,,,,,0.108,0.238,,0.401,,,,,,,,,,,,,,,,,0.152,0.115,,,,0.104,,,,,0.112,,,,,,,,,,,,,,,,,,,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
